location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_49182d9a,Mi piacerebbe parlare della mia formazione...,,,,,
"A """"",A_19312488,"D'accordo, di cosa ti piacerebbe parlare esattamente?",,,,,
"A """"",A_541e0be0,"Allora, hai finito?",,,,,
"S """"",S_79f17f5a,N-non ancora...,,,,,
"A """"",A_607a407d,Cosa stai aspettando allora?,,,,,
"S """"",S_bbd0fc38,A-va bene...,,,,,
"S """"",S_789436ce,Quindi devo solo... giocare con me stesso?,,,,,
"A """"",A_14109863,"Non esattamente. Sono rimasto davvero sorpreso quando mi hai detto che ti masturbi così poco. Questo compito è semplice e piacevole, tutto ciò che devi fare è...",,,,,
"A """"",A_44f366e5,"Devi iniziare a masturbarti più spesso. L'hai già fatto qui, in questa stanza?",,,,,
"S """"",S_134c2991,Che cosa??? No... non l'ho fatto qui...,,,,,
"A """"",A_fc6d20e2,"Bene, iniziamo a risolverlo.",,,,,
"S """"",S_9043308f,"Non dirmi che devo farlo proprio ora, di fronte a te...",,,,,
"A """"",A_bd36a037,"Hah, vuoi?",,,,,
"S """"",S_3a711ab5,,,,,,
"S """"",S_f5fcd04a,No! Preferisco farlo quando sono da solo. Quindi... dovrei farlo e poi chiamarti? ..,,,,,
"A """"",A_23969dfa,Sì hai ragione.,,,,,
"S """"",S_5307ec8d,"(Sembra abbastanza semplice, sicuramente non avrò problemi con questo!)",,,,,
"A """"",A_9576a6b3,Qualche domanda?,,,,,
"S """"",S_39b6b7dd,,,,,,
"A """"",A_ce2967f7,"Va bene, ti aspetterò allora.",,,,,
"A """"",A_94e069c6,"Vedo che non stavi sprecando il tuo tempo, ahaha!",,,,,
"S """"",S_e9a34699,Perché prolungare la tortura?,,,,,
"A """"",A_0c8cbb1b,"Bene, dimmi, com'era?",,,,,
"S """"",S_c2474926,"Cosa vuoi dire, 'com'era'? L'ho fatto, tutto è andato secondo i piani.",,,,,
"A """"",A_c5644ba3,"No-no-no. Mi hai frainteso, devi dirmi tutto quello che è successo, con i dettagli.",,,,,
"S """"",S_ffe2c9d7,Eh? Dettagli? Cosa intendi per tutto? Pensavo di doverti chiamare e dirti che l'ho fatto...,,,,,
"A """"",A_98740744,"Ehehe, no, ti sbagliavi. Devi anche dirmi come lo hai fatto.",,,,,
"S """"",S_1d86a109,(Dannazione... dire a qualcuno che non era qualcosa che avrei mai pensato che avrei mai fatto...),,,,,
"S """"",S_7ab5f9a5,Eh... Beh io...,,,,,
"S """"",S_6da27922,{size=-5}Ho usato quel poster sul muro...{/size},,,,,
"A """"",A_cd161ba4,Il poster? Quindi l'hai trovato anche utile! Ahahaha!,,,,,
"S """"",S_7055fb66,"S-stop... Avevo bisogno di rilassarmi e non è facile qui, quindi ho dovuto usare tutto quello che potevo.",,,,,
"A """"",A_88ee38d8,"Ahah, sono felice che tu l'abbia trovato utile.",,,,,
"A """"",A_45c12ccc,Ho trovato utile anche in passato. L'hai immaginata anche lei selvaggia?,,,,,
"S """"",S_3a711ab5_1,,,,,,
"S """"",S_082a21da,W-cosa? No! Non sono pervertito!,,,,,
"S """"",S_f226ea9e,(Ma ho immaginato qualcosa di simile... Oh Dio... Sto... diventando un pervertito...),,,,,
"A """"",A_d540ea7c,"Ahahah, beh, non era l'unico personaggio che interpretava nella mia immaginazione. In effetti, lascia che ti dica come dovrebbe essere una fantasia...",,,,,
"S """"",S_6535f90f,Ho solo fantasticato un po '.,,,,,
"A """"",A_d9a74315,"Ooh, è carino. Dimmi, hai fantasticato su qualsiasi cosa tu chiami 'pervertita'? Ehehe.",,,,,
"S """"",S_3a711ab5_2,,,,,,
"S """"",S_a9eb87fd,N-no! Ovviamente no!,,,,,
"A """"",A_521fe069,Noioso!,,,,,
"A """"",A_2eee1c13,Lascia che ti dica come dovrebbe essere una fantasia...,,,,,
"S """"",S_eb9b6c2c,"Devo ascoltare, però?",,,,,
"A """"",A_859a29ea,"Beh no. Ma posso dirti solo uno, il mio preferito.",,,,,
"S """"",S_52b081b2,(Non penso che succederà qualcosa di brutto se mi dice una delle sue fantasie...),,,,,
"S """"",S_f25cbaed,"Bene, vai avanti allora.",,,,,
"A """"",A_b5dd18e8,,,,,,
"A """"",A_9051450b,"Hm, davvero? Questo era abbastanza inaspettato.",,,,,
"S """"",S_88a9d35c,Posso cambiare idea in qualsiasi momento...,,,,,
"A """"",A_e682b4a6,"Heh, non ce n'è bisogno. Così...",,,,,
"A """"",A_b8795642,"La mia storia preferita con Raquel è quella in cui mi sono perso in una giungla, sono caduto dietro i miei compagni. E poi è inciampato su di lei.",,,,,
"A """"",A_7333ed76,"La mia storia preferita è quella con la ragazza sul poster, con Raquel. È uno dove mi sono perso in una giungla, sono caduto dietro i miei compagni. E poi è inciampato su di lei.",,,,,
"A """"",A_996a0d38,"Sta nuotando in un piccolo lago con acqua cristallina, una cascata che si schianta proprio accanto a lei. E lei è completamente nuda...",,,,,
"S """"",S_add998a2,(Sembra che ci vorrà un po '... Sta partendo da lontano...),,,,,
"A """"",A_5370b433,"Così ho deciso di rilassarmi un po '. Approfitta della situazione, lo sai?",,,,,
"S """"",S_b73f3487,"Sì, come se non avessi mai approfittato di qualcosa...",,,,,
"A """"",A_c1019aef,"Non interrompermi. Così, ho distolto lo sguardo per un momento, per abbassarmi i pantaloni, e quando ho guardato indietro lei non c'era!",,,,,
"S """"",S_44bc54ef,(Una svolta così inaspettata di eventi...),,,,,
"A """"",A_4b416f81,"Mi sono guardato intorno e non ho trovato nessun segno della sua esistenza. Improvvisamente, è apparsa dal nulla e altri come lei sono venuti subito dopo. Erano amazzoni, che vivevano da soli nella foresta, senza maschi.",,,,,
"S """"",S_8c5a5730,(E all'improvviso ci sono {i}tu{/i} nella loro foresta...),,,,,
"A """"",A_3c2fa484,"Fortunatamente, non avevano intenzione di uccidermi, mi hanno legato e iniziato a spogliarmi...",,,,,
"A """"",A_73842bc6,"Lascia che te lo dica, i vestiti nella mia immaginazione sono molto diversi da quelli nella realtà, sono molto più interessanti e non coprono molto!",,,,,
"S """"",S_c30ee2d3,,,,,,
"A """"",A_ddb0e06b,"Così, hanno iniziato a spogliarmi... Ovviamente, ho già un Everest nei miei pantaloni. Anche se l'ho avuto da quando ho notato Raquel nello stagno... Comunque...",,,,,
"A """"",A_e7f59ac7,"Finalmente hanno notato il mio uccello. Tutti lo fissarono, proprio come tutte le altre ragazze che l'avevano mai visto.",,,,,
"S """"",S_c30ee2d3_1,,,,,,
"S """"",S_4eca5269,(Com'è lui così importante...),,,,,
"A """"",A_50950fb1,"Poi, hanno iniziato a parlare a vicenda. Non li capivo, dal momento che la loro lingua era sconosciuta per me. Ma potevo facilmente intuire di cosa stessero parlando. Volevano {i}esso{/i}.",,,,,
"A """"",A_40ced44d,"Ben presto, hanno raggiunto un accordo e hanno iniziato a recitare. Ero legato e non potevo fare nulla.",,,,,
"A """"",A_4fe6db29,"Sebbene non volessi nemmeno fare nulla, ho pienamente supportato la loro decisione!",,,,,
"A """"",A_216eb457,"Uno di loro si è seduto sulla mia faccia. Voleva che le leccassi la figa, quindi era esattamente quello che ho iniziato a fare. Presto, un altro ha montato il mio cazzo.",,,,,
"A """"",A_66c4c1cc,"Quello che si è seduto sulla mia faccia era Raquel. Era la più attiva e audace del gruppo. Almeno, è quello che pensavo. Quello sul mio cazzo iniziò a girare in giro con velocità e sicurezza... Era come se fosse nata per cavalcare cazzi, ahaha! Quelle femmine sanno come montare!",,,,,
"A """"",A_85755757,"Un altro si sedette tra loro, completando il cerchio. Si sono baciati e hanno giocato a vicenda mentre ero appena stato usato. E, sai, non avevo assolutamente nulla contro questo.",,,,,
"S """"",S_e404eee2,(Stukov ama essere legato e usato?... Incredibile...),,,,,
"A """"",A_3159eeb8,"Raquel non è rimasto indietro, si è soffocata su tutta la mia faccia. I lamenti di quei tre selvaggi trafissero l'aria della giungla, diffondendosi in tutto il mondo. E non erano solo gemiti... Erano più, molto più che semplici gemiti. Erano quasi selvaggi, come se fossero animali, pantere selvagge che li lasciavano uscire, non umani...",,,,,
"A """"",A_723c4777,"E quello andò avanti per l'eternità, non si fermarono una volta. Non appena ne è venuto uno, un altro ha preso il suo posto. Funzionavano come un orologio perfetto...",,,,,
"A """"",A_07a6ffb1,"Ahem, quindi è così. Ha continuato fino a quando ero soddisfatto. Ed è la mia fantasia preferita su Raquel.",,,,,
"S """"",S_c30ee2d3_2,,,,,,
"S """"",S_c37c3bc5,Io... io... non so cosa dire...,,,,,
"A """"",A_e8abaf8e,"Heh, non devi dire nulla.",,,,,
"S """"",S_d4d51b7a,"Io-era un po 'strano, ascoltando che lo dicevi...",,,,,
"A """"",A_b341724e,"Ahaha, questo era solo l'inizio. Ci arriveremo alla fine, si chiama 'scambio di informazioni'.",,,,,
"S """"",S_d915e1f7,Scambio... informazioni indecenti...,,,,,
"A """"",A_6c141f98,"L'informazione è solo questo, informazione! Ehehe...",,,,,
"S """"",S_b51acc44,"N-no, gestirò senza sentirlo.",,,,,
"A """"",A_e0e5a6d0,"Ah, peccato.",,,,,
"A """"",A_9c49201c,"Quindi, tornando alla nostra discussione precedente. Quante volte sei riuscito a venire?",,,,,
"S """"",S_c30ee2d3_3,,,,,,
"S """"",S_ede405e3,"Cosa intendi, 'quanti'? Ho finito una volta e mi sono fermato.",,,,,
"A """"",A_d4775341,,,,,,
"A """"",A_9d1a6abc,E non stai ancora scherzando?,,,,,
"S """"",S_414621b3,Y-sì? Cosa c'è che non va?,,,,,
"A """"",A_9d76126b,*Sigh* Questo è... completamente inaccettabile... Devi farlo almeno cinque volte!,,,,,
