location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_42225baf,"Королева Клинков медленно приближалась к Лиззаре, сгорая от предвкушения.",narrator_42225baf,,,,
"S1 """"",S1_6479db8c,Как я рада снова видеть тебя!,S1_6479db8c,,,,
"L """"",L_47611823,(Это не взаимно...),L_47611823,,,,
"S1 """"",S1_4a226aa8,"Возможно, я бы очень разозлилась на твою фразу, но впереди нас ждет кое-что настолько увлекательное, что я пропущу это мимо своих ушей.",S1_4a226aa8,,,,
"L """"",L_9fe859f4,(Увлекательное? Что извращенный разум может принимать за увлекательное?),L_9fe859f4,,,,
"S1 """"",S1_1dbff532,"Не волнуйся, рано или поздно ты все узнаешь. Но будет не так весело, если я раскрою все карты с самого начала.",S1_1dbff532,,,,
"S1 """"",S1_f56cf277,"Я уже не могу дождаться, когда мы наконец приступим! Черт, это предвкушение может свести с ума, хи-хи.",S1_f56cf277,,,,
"L """"",L_53930c75,(Мне все это не нравится...),L_53930c75,,,,
"""""",narrator_546beabe,"Лиззара чувствовала себя еще более не комфортно, чем в их первую встречу. Дикий и похотливый взгляд девушки пугал ее. Но еще больше ее пугала неизвестность.",narrator_546beabe,,,,
"L """"",L_7309a9ff,(Т-ты собираешься причинить мне вред?),L_7309a9ff,,,,
"S1 """"",S1_824e030a,Что?,S1_824e030a,,,,
"S1 """"",S1_9b7bfa1c,"Нет же, глупышка. Не в моих интересах портить тебя.",S1_9b7bfa1c,,,,
"L """"",L_de8d34a5,(Тогда что меня ждет?),L_de8d34a5,,,,
"S1 """"",S1_8b34530d,"Осталось недолго... Ты скоро все-е-е узнаешь, хи-хи.",S1_8b34530d,,,,
"S1 """"",S1_bb3a6679,Прекрасно...,S1_bb3a6679,,,,
"""""",narrator_34459861,"Лиззара без раздумий сделала попытку пошевелиться, но ее тело не слушалось.",narrator_34459861,,,,
"L """"",L_2306fd44,(Ч-что происходит? Почему я не могу пошевелиться?!),L_2306fd44,,,,
"""""",narrator_24a26d60,"Протосс прилагала все силы, чтобы сдвинуться с места, но ее попытки были обречены на провал.",narrator_24a26d60,,,,
"S1 """"",S1_2310f20f,"Перестань напрасно растрачивать энергию, это бесполезно.",S1_2310f20f,,,,
"L """"",L_e4205be7,"(Перестать?! Тогда скажи, что ты собралась делать со мной?)",L_e4205be7,,,,
"S1 """"",S1_2fd84186,К чему все эти переживания? Просто небольшая процедура. Настало время снова немного улучшить твое прекрасное тело.,S1_2fd84186,,,,
"L """"",L_fb1d0380,(О чем ты вообще говоришь? Процедуры?),L_fb1d0380,,,,
"S1 """"",S1_41d551c9,"Не процедуры, а процедура. Всего одна безвредная процедурка.",S1_41d551c9,,,,
"S1 """"",S1_8f7da4d9,"А ты очень любопытная, Лиззара. Все тебе нужно знать...{w} Хм...{w} раз мы уже здесь, можно и рассказать тебе о моих великолепных планах на тебя.",S1_8f7da4d9,,,,
"L """"",L_b94bfc5a,(Что вообще творится в твоей голове? Что за безумие ты придумала на этот раз?),L_b94bfc5a,,,,
"S1 """"",S1_24a56bd6,"Ничего безумного. Твое тело прекрасно, но... Ему все еще есть куда совершенствоваться. Я хочу изменить в тебе кое-какую деталь.",S1_24a56bd6,,,,
"S1 """"",S1_d166d3cd,"Создать из тебя еще более совершенное существо, хи-хи.",S1_d166d3cd,,,,
"L """"",L_2e6e7eca, (C-создать?),L_2e6e7eca,,,,
"S1 """"",S1_0d3de4ea,"Что тебя в этом так удивляет? Это тело тоже было другим раньше, более хрупким и менее податливым изменениям.",S1_0d3de4ea,,,,
"S1 """"",S1_51722854,"Хм, оно все еще далеко до моего идеала, но и мои совершенствования пока не окончены. Как и твои, хи-хи.",S1_51722854,,,,
"L """"",L_f46a1988,(Я протосс! Это зерги поддаются постоянной... мутации. Но мы другие! Со мной так нельзя!!!),L_f46a1988,,,,
"""""",narrator_4dfdf666,"На Лиззару накатывала паника от мысли, что ее тело как-то изуродуют или сделают с ним что-то неприемлемое.",narrator_4dfdf666,,,,
"S1 """"",S1_0d09298f,"Расслабься, в большинстве ты останешься такой же. Нет необходимости в масштабных изменениях.",S1_0d09298f,,,,
"S1 """"",S1_28f332e9,Просто для наших игр тебе не хватает кое-чего очень важного. Мы не можем обойти этот вопрос стороной.,S1_28f332e9,,,,
"L """"",L_eb0494e7,(Ты серьезно хочешь менять мое тело ради своих забав?),L_eb0494e7,,,,
"S1 """"",S1_ecfa7f54,Да... *зевок* Мне надоедает говорить об этом. Мы здесь не ради пустой болтовни собрались.,S1_ecfa7f54,,,,
"L """"",L_d506b52e,(А??? Ч-что это?!),L_d506b52e,,,,
"L """"",L_6becb3f3,"(Нет! Даже не думай, я отказываюсь в этом участвовать!)",L_6becb3f3,,,,
"S1 """"",S1_bcb7057e,"Ха-ха, ты снова начинаешь. Всегда такая зануда, но это только сначала.",S1_bcb7057e,,,,
"L """"",L_c2f9d257,(Эта штука... Пугающая.),L_c2f9d257,,,,
"S1 """"",S1_e51897e8,"Но ты не переживай, это не выглядит так плохо, как ты думаешь.",S1_e51897e8,,,,
"L """"",L_c34768f8,(Иииии!!!!),L_c34768f8,,,,
"L """"",L_c9dba45d,(Ах... Ч-что?),L_c9dba45d,,,,
"""""",narrator_e9d44cc7,"На секунду все мысли покинули голову Лиззары, оставляя только странное чувство.",narrator_e9d44cc7,,,,
"L """"",L_69bd0542,(Нгг... Ч-что со мной происходит? Почему этот странный тентакль...),L_69bd0542,,,,
"L """"",L_c80e3dd1,(!!!),L_c80e3dd1,,,,
"L """"",L_5eba5f5e,(Ммммм! Ч-что я?!...),L_5eba5f5e,,,,
"""""",narrator_e374bd52,"Королева Клинков ухмыльнулась, увидев реакцию протосса.",narrator_e374bd52,,,,
"S1 """"",S1_d010a995,"Все даже лучше, чем я могла себе представить, хи-хи-хи.",S1_d010a995,,,,
"S1 """"",S1_979ffd71,"Ты так громко стонешь... Не сдерживай себя, все равно не получится.",S1_979ffd71,,,,
