location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_3ddc364a,我想开始我的体能训练了。,,,,,
"A """"",A_2ec6b9b4,好吧。首先，让我们检查一下你的当前状态。,,,,,
"""""",narrator_cca8752a,斯托科夫围着莎拉，检查她的身体。,,,,,
"S """"",S_52317230,（……）,,,,,
"Aside8 """"",Aside8_72731c7b,不错...,,,,,
"S """"",S_b6ad03a4,你想过不再盯着我直截了当地说吗？,,,,,
"Aside3 """"",Aside3_6bd138c9,哈哈哈，你以为我在干什么？这是训练的一部分，我要检查一下你现在的状态。还有，我喜欢看你的身体。,,,,,
"S """"",S_75cc25af,……,,,,,
"S """"",S_d10af909,(他让人无法忍受......),,,,,
"A """"",A_986111f5,好了，现在我们可以开始了。,,,,,
"S """"",S_781fd6db,那么，我下一步该干什么呢？,,,,,
"A """"",A_0df8d721,很简单，只是需要做一些运动改善你的身体状态罢了。,,,,,
"S """"",S_934f44a6,又是变态的运动？,,,,,
"A """"",A_7a5bf057,这个相比以前的训练要正常得多。,,,,,
"S """"",S_792d00eb,(他说的话，根本不足以令人相信......),,,,,
"A """"",A_452b3ff6,现在我们可以开始了，不过你得先告诉我，你平时都是怎样训练的。,,,,,
"S """"",S_91d4fb95,可是，我平时已经做了。,,,,,
"A """"",A_db4a9f40,不，这还不够，在我们开始体能训练之前，我得确保你的身体是最佳状态。,,,,,
"S """"",S_23a3130b,(也许，他有更好的锻炼方法。),,,,,
"S """"",S_a62fc576,好吧！我先做一遍给你看......,,,,,
"""""",narrator_90b3e6cf,莎拉摆出了她平时锻炼的姿势，她的手放在脑后，脚与肩同宽。,,,,,
"Aside8 """"",Aside8_d9b85a6c,难道你平时都是穿着铠甲锻炼的，你不觉得这样做很奇怪吗？,,,,,
"S """"",S_3f32666e,不觉得，我一直都是戴着它锻炼的,,,,,
"Aside8 """"",Aside8_8f82ac3c,……,,,,,
"Aside9 """"",Aside9_b792ae4c,好吧！先让我们跳过这个问题，你继续。,,,,,
"""""",narrator_74a84bf2,莎拉把她平时做的体能锻炼，对着斯图科夫又做了一次。,,,,,
"Aside10 """"",Aside10_275f7454,非常好，姿势优美，不过难度系数就太低了，不过，没关系。,,,,,
"S """"",S_7a3be9d6,(这样动作还算难度系数低？他会吗？),,,,,
"S """"",S_059460ca,当然不错，这是我多年训练的结果。,,,,,
"Aside3 """"",Aside3_5cbafa16,给我一分钟的时间，让我教你更科学的训练方法。,,,,,
"S """"",S_7d97a6e9,你在干什么？？？,,,,,
"""""",narrator_d9e99ce2,斯图科夫脱掉了所有的衣服，只剩下裤子。,,,,,
"A1side11 """"",A1side11_99ec7b08,规则一:衣服和运动不能搭配在一起。,,,,,
"S """"",S_bbd0523b,这是什么变态规矩？,,,,,
"A1side4 """"",A1side4_0c36c87c,你会习惯的，让我们开始吧！,,,,,
"""""",narrator_e8587a19,斯图科夫走近了莎拉，然后，站在她身后，这让莎拉感到有点不舒服。,,,,,
"""""",narrator_678a70f4,斯图科夫嗅了嗅她的身上。,,,,,
"A """"",A_807c00be,宝贝，你身上真香......,,,,,
"S """"",S_68d189cc,！！！,,,,,
"S """"",S_9f407277,你真恶心,,,,,
"A """"",A_e7789a4c,是的，我恶心，而你的身上非常香。,,,,,
"S """"",S_92c9bbb9,闭嘴，你再这样，我就不训练了......,,,,,
"A """"",A_ffb16e9f,好吧！那我们开始吧！现在把你的腿放到这里。,,,,,
"A """"",A_c982790d,这样可以锻炼肌肉。,,,,,
"S """"",S_ccc5f243,让我这样做吗？,,,,,
"S """"",S_9a800a2b,(真是一种奇怪的姿势......),,,,,
"A """"",A_371f0a5b,是的，现在蹲着，你会觉得它给肌肉带来了压力。,,,,,
"S """"",S_d9763815,好...好吧...,,,,,
"A """"",A_55cacc91,不用急，我们可以慢慢来。,,,,,
"""""",narrator_8b62a8b8,斯图科夫放在莎拉的臀部试着引导她。,,,,,
"S """"",S_b5623092,(我就知道他会这样的......),,,,,
"A """"",A_5fccca73,你干得不错。,,,,,
"S """"",S_514f4f6c,你现在让我感觉非常尴尬。,,,,,
"A """"",A_a57e44d1,你不应该这么想，它其实是一个有效的训练。,,,,,
"S """"",S_95b54bba,有不有效我不知道，反正我觉得它是一个变态的训练。,,,,,
"A """"",A_f14f2615,随你怎么想，但必须这么做。,,,,,
"S """"",S_5f968664,没问题，我可以做到的......,,,,,
"A """"",A_50ccda27,下面是重点，你站起来之前，稍微停顿一下，感受一下你的肌肉是如何进行运作的。,,,,,
"S """"",S_6cb0d88e,好吧...,,,,,
"S """"",S_a2c4011c,(身体有点热了？),,,,,
"A """"",A_a153c84a,你感觉怎么样？,,,,,
"S """"",S_ef6f3de3,好的...,,,,,
"A """"",A_bbfbc92d,太好了，那我们可以完成结束动作了。,,,,,
"S """"",S_53d978f4,！！！,,,,,
"S """"",S_36ba2c7e,你在做什么？,,,,,
"A """"",A_d6785ef8,我是一片好心，我在保证你的安全，让你不会摔倒。,,,,,
"S """"",S_24de1798,我才不会相信，你这么好心......,,,,,
"S """"",S_3514580d,(这样做，真是只有变态才能想出来的姿势......),,,,,
"A """"",A_8d8b12b2,集中你的精神，然后协调你的呼吸。,,,,,
"""""",narrator_2b870e1b,斯图科夫用力挤压它们，似乎增加练习的难度。,,,,,
"S """"",S_7fe22934,(啊......他在挤我......),,,,,
"S """"",S_0fda8ccb,这样你会影响到我的......,,,,,
"A """"",A_3b7af723,我只是在检查你的肌肉。,,,,,
"A """"",A_33e10cd0,别想这么多，你继续做吧！。,,,,,
"S """"",S_75cc25af_1,……,,,,,
"S """"",S_09e1a848,(这种训练跟我平时做的完全不一样，没错，这是只有变态才能想出来的点子。),,,,,
"A """"",A_685f9036,感觉到你的肌肉正在颤抖吗？,,,,,
"S """"",S_2664ae29,是的，我感觉到了......,,,,,
"S """"",S_710dfa8e,但，这是你在用力的缘故......,,,,,
"A """"",A_9f12dd52,没错就是这样。,,,,,
"S """"",S_beaf0cfc,而且，我还记得，上次你就是用这只手，打我屁股的......,,,,,
"S """"",S_3a86c42f,(该死的变态......),,,,,
"A """"",A_a1a2abd6,你蹲下的时候，请不要说话。,,,,,
"S """"",S_a5099feb,这不是我的错，根本就是你找我说话的？？？,,,,,
"A """"",A_91d30cb4,这不是重点，我只是让你集中精神罢了。,,,,,
"S """"",S_20c3824c,(说起来容易，你怎么不来......),,,,,
"S """"",S_c62b5b2b,(啊......他又在碰我的胸了......),,,,,
"A """"",A_8d447b75,已经够了，你可以回到你正常的姿势了。,,,,,
"S """"",S_56211103,(汗水已经打湿了我的全身。要不是穿着铠甲，他会看到的......),,,,,
"A """"",A_341acc35,我们现在还有些时间，来做几次深呼吸吧！,,,,,
"S """"",S_75cc25af_2,……,,,,,
"S """"",S_71a89ce0,做深呼吸？？？,,,,,
"A """"",A_011e8fcd,是的，凡事欲速而不达。你可以趁机休息一下。,,,,,
"S """"",S_75cc25af_3,……,,,,,
"S """"",S_aaf9ddca,(这肯定又是他的阴谋。),,,,,
"""""",narrator_135b4902,莎拉试图屏住呼吸，但她做不到，因为斯图科夫一直在按压她的胸部，他的勃起鸡巴正在顶着她的屁股。,,,,,
"A """"",A_7e4ce84d,继续，这次希望你不要停下来。,,,,,
"S """"",S_105f16ef,(他真的很令人恶心......),,,,,
"""""",narrator_36b2c3bc,莎拉继续在斯图科夫的帮助下进行体能训练。,,,,,
"""""",narrator_ee159570,一段时间后。,,,,,
"S """"",S_635d87bc,我以前到极限了......,,,,,
"A """"",A_d751d871,干得不错，真是一个很棒的训练。,,,,,
"S """"",S_07444e52,真的吗？但，你根本什么都没做，只是一直按压着我的奶子,,,,,
"A """"",A_d7272c0f,,,,,,
"S """"",S_75cc25af_4,……,,,,,
"S """"",S_580594a3,你现在能放开我吗？训练不是已经结束了吗？......,,,,,
"A """"",A_5d486560,抱歉，我已经习惯这样了。,,,,,
"A1side2 """"",A1side2_5a732295,这就是今天的全部内容，记住好好休息，我们明天继续开始训练。,,,,,
"A1side8 """"",A1side8_d3d96420,我希望我不需要提醒你运动后多休息的多重要性了吧？,,,,,
"S """"",S_82bbf14f,这个不用你说，我也知道。,,,,,
"A1side11 """"",A1side11_1b0bde7c,真是个乖女孩，那么今天就这样吧，再见。 哈哈哈,,,,,
"S """"",S_68d189cc_1,！！！,,,,,
"""""",narrator_5c6a72be,莎拉看到了斯图科夫强健的肌肉，她突然意识到自己一直以来都小看了斯图科夫。,,,,,
"S """"",S_09bf91d0,也许，你的训练方法是正确的......,,,,,
"A1side4 """"",A1side4_4fbe7ab3,那当然，我当年地球中勇士中精英的精英。,,,,,
"""""",narrator_eb38f8fe,斯图科夫转向出口。,,,,,
"S """"",S_10d9fddd,还好，我已经挺过这次训练了。,,,,,
"S """"",S_eb899309,但是，满头我已经大汗了...... ,,,,,
"S """"",S_cc2181e8,*闻了闻*,,,,,
"S """"",S_53d978f4_1,！！！,,,,,
"S """"",S_e6972423,臭死了......也许我该去洗一个澡。,,,,,
"""""",narrator_cb1a68f7,体能训练课程完成后，莎拉发现她的肌肉力量正在增长。但，依然比斯图科夫弱多了,,,,,
"""""",narrator_d5635fee,体能训练课程结束后，莎拉变得更强大了。,,,,,
"A """"",A_30dd53b8,我觉得我应该需要休息一下，因为我不知道，还有其他变态的训练在等着我。,,,,,
"S """"",S_c871be2d,是的，我现在感到了精力充沛。,,,,,
"A """"",A_cb821c61,这次脱光衣服，我们就可以开始了。,,,,,
"S """"",S_21e324d6,你叫我脱衣服？,,,,,
"A """"",A_aa57140b,没错就是这样，上次我让你保留了笨拙的铠甲，所以，这次我要求你脱掉衣服。,,,,,
"S """"",S_c2a9bec4,……,,,,,
"S """"",S_151f7bb7,我不知道该怎么说你才好，你真是一个变态......,,,,,
"S """"",S_d30315d9,我已经脱掉了，铠甲，我们可以开始训练吗？,,,,,
"A """"",A_2f51de15,我刚才说的是脱光衣服，内衣呢？,,,,,
"S """"",S_7cf15767,好吧，我脱就是了,,,,,
"A """"",A_40d6ff8e,如果，你觉得吃亏，我也可以在你面前脱得一丝不漏......,,,,,
"S """"",S_1656ff10,不必了,,,,,
"S """"",S_c2a9bec4_1,……,,,,,
"S """"",S_290e7b52,,,,,,
"Aside11 """"",Aside11_28314f4c,没错，我就是一个变态，特别是在对于你这种的美女的问题上。,,,,,
"""""",narrator_e0e66bb6,斯图科夫走进了莎拉，他闻了闻她的体香。,,,,,
"S """"",S_cdf467b8,(该死的，他就像一只狗......),,,,,
"A """"",A_55ce3d11,好像你没有才来的时候，香呢？,,,,,
"A """"",A_7d937ca3,如果你在训练时身体有点味道，我不会介意的。 其他时间也不会。,,,,,
"S """"",S_f614ea53,！！！,,,,,
"S """"",S_f3c22bfe,滚开，我不会让你这么做的。,,,,,
"S """"",S_a38ca518,(他TM的恶心！),,,,,
"A """"",A_fd4fcc4c,你的身材简直完美，特别是胸部，我怎么看都觉得不够。,,,,,
"S """"",S_ec7c450c,停止。。。,,,,,
"A """"",A_606c718f,我认为还不够。,,,,,
"S """"",S_5c7badf7,(啊...),,,,,
"S """"",S_77f8f469,,,,,,
"A """"",A_fad39fc2,我喜欢你的一切，包括你的汗味。,,,,,
"S """"",S_c2a9bec4_2,……,,,,,
"A """"",A_76a16924,我喜欢特别的味道......,,,,,
"S """"",S_f614ea53_1,！！！,,,,,
"A """"",A_f375e68f,你故意让我闻这种味道的吗？,,,,,
"S """"",S_25b50561,当然不是，我只是没有时间洗澡。,,,,,
"S """"",S_7418972d,(他真是自作多情，我才不会故意为他做任何事！),,,,,
"A """"",A_98956a69,没关系的，我喜欢这种味道,,,,,
"S """"",S_d2e214cd,你能正经一点吗？让我们回到体能训练上面来......,,,,,
"A """"",A_8a39cba1,好吧！那我们重复上次那个运动。,,,,,
"S """"",S_47136cab,你这次还打算按压我的胸部？,,,,,
"A """"",A_f3f94482,……,,,,,
"A """"",A_de8a7869,当然我就是这样想的。,,,,,
"A """"",A_6c1732ee,我必须为你测量心跳，难道你在成为特工之前，不知道这些基本的常识吗？,,,,,
"S """"",S_39e0d06e,但，我认为你这样的目的，只是单纯的性骚扰。,,,,,
"A """"",A_4436bcf9,但，我认为你这样的目的，只是单纯的性骚扰。,,,,,
"S """"",S_c2a9bec4_3,……,,,,,
"S """"",S_00d7113e,,,,,,
"A """"",A_c2fab967,但，我真不知道这样的做的意义何在？......,,,,,
"S """"",S_fb7ad78e,(当你以后身体棒棒的时候，没准你还会感谢我的),,,,,
"""""",narrator_e6f9dc1e,斯图科夫突然用手，按压住莎拉的奶子。,,,,,
"S """"",S_86a46a5e,啊啊!!!,,,,,
"A """"",A_5480c3dc,这是一个不错的反应，你的身体似乎已经习惯了。,,,,,
"S """"",S_11be27ae,你刚才吓到我了......,,,,,
"A """"",A_d5c16345,我只是在测试你的反应......,,,,,
"A """"",A_850153ab,好啦，你可以继续上次的训练了。,,,,,
"""""",narrator_871e178b,于是莎拉按照斯图科夫的吩咐，开始做上次的事情。,,,,,
"A """"",A_07cd64b9,这次，一气呵成，比上次好太多了。,,,,,
"S """"",S_c36ef815,(如果不是你在旁边性骚扰，也许我还能做得更好......),,,,,
"A """"",A_166e6c86,按照你这样的进步速度，很快就会得到自由的。,,,,,
"S """"",S_c2a9bec4_4,……,,,,,
"S """"",S_db165e6d,(你这个老头坏得很，我信你个鬼！),,,,,
"A """"",A_d49c6b6b,你知道吗？你现在身体的柔韧性已经很好了,,,,,
"S """"",S_a3da12ce,不，还不行...,,,,,
"A """"",A_af28c305,特别是这个部位......,,,,,
"S """"",S_7b75288b,哎呦...,,,,,
"A """"",A_e2b9a47c,我的手又被你的胸部弹了一下。,,,,,
"S """"",S_cd12edb4,才不是你的功劳，这是我自己的发育问题......,,,,,
"S """"",S_9569eadf,(他为什么甚至告诉我这个？他在分散我的注意力吗？),,,,,
"S """"",S_b1fe8502,我希望你在我体能训练的时候，分散我的注意力。,,,,,
"A """"",A_9ad85fc8,你又误会我了。,,,,,
"S """"",S_4036bb73,(这个人真是能找一万个理由......),,,,,
"A """"",A_10da9803,好吧！继续开始我们的训练。,,,,,
"A """"",A_98242ede,你要记住，你是为你自己做训练，而不是为我。,,,,,
"A """"",A_7c2694ad,哈哈哈。,,,,,
"S """"",S_a8983b7d,我觉得你就是故意的，趁机占我的便宜......,,,,,
"A """"",A_7b46a9b9,你真聪明，我就是这样的想的，但是，你能怎么样呢？还不是只有服从。,,,,,
"S """"",S_a2215220,没错，我就是知道是这样的,,,,,
"S """"",S_3f13266e,我都到这个地步了，我还能怎么办？而且我的身体在这个练习中变得很热......特别是在那里......,,,,,
"A """"",A_723bea21,这是正常的，由于你的腿处于的位置，所以，下骨盆的肌肉完成大部分工作......,,,,,
"A """"",A_f3f94482_1,……,,,,,
"A """"",A_40a0483f,相信我，我可是这方面的专家。,,,,,
"A """"",A_b431cbc5,来吧，我们继续。,,,,,
"S """"",S_99e4f7c6,(还自诩专家，哼......),,,,,
"S """"",S_542e7125,,,,,,
"A """"",A_40e239e0,别忘了调整你的呼吸。,,,,,
"S """"",S_6521dfca,嗯，我知道了......,,,,,
"""""",narrator_89b1fe26,莎拉体验到了这种体能训练带来的乐趣。,,,,,
"A """"",A_3141dbc7,很好，很好，你真是优秀的学生，但你身体协调性还不够,,,,,
"S """"",S_89f1c3e8,才不是这样了，都是你按压我胸部的原因。,,,,,
"A """"",A_4cdaad04,这不会影响什么，我不是说过，我在测量你的心跳吗？,,,,,
"S """"",S_77fd368d,(鬼才信你......),,,,,
"A """"",A_dd8cb291,喂，你为什么要要停下来？ 现在还不是休息的时候，给我继续锻炼。,,,,,
"S """"",S_c64d99a2,我知道...,,,,,
"S """"",S_f614ea53_2,！！！,,,,,
"S """"",S_f186424b,(他的那个东西硬了，而且一直顶着我的屁股......),,,,,
"A """"",A_9eb9c8f1,哈哈，你终于有感觉了。,,,,,
"S """"",S_d2579e8d,所以，你不把它拿开，我根本无法静下心来......,,,,,
"A """"",A_731fb228,别去想它，我相信你能的。,,,,,
"S """"",S_9dfebf53,（这种怪怪的感觉……）,,,,,
"""""",narrator_43bee560,莎拉试图不去想这件事，继续开始她的体能训练，但每次下蹲运动都给她带来了越来越多的快感。,,,,,
"S """"",S_7a970a70,(为什么我的身体，会有快感......),,,,,
"S """"",S_542e7125_1,,,,,,
"S """"",S_6333c9d9,嗯......哦......,,,,,
"""""",narrator_c7147088,莎拉不自觉地加快了速度。而且开始呻吟起来。,,,,,
"A """"",A_19cc4578,哈哈哈，很高兴看到你能如此饥渴，保持这种状态。,,,,,
"S """"",S_936c80ba,(不......我现在根本无法克制自己......),,,,,
"S """"",S_b6993dae,哦......不......,,,,,
"A """"",A_93a144b8,既然你很热情，我想我应该奖励你。,,,,,
"S """"",S_45514060,不，请不要这么做......,,,,,
"S """"",S_8152760e,(啊......他的意思是什么？他拿什么来奖励我？。),,,,,
"S """"",S_c31f3012,啊啊......我要......,,,,,
"""""",narrator_5373921b,莎拉一直在加速深蹲练习，越来越多的呻吟声从她嘴巴里传了出来。,,,,,
"A """"",A_718dcb7d,很好！这就是你的奖励,,,,,
"S """"",S_bb605d21,！！！,,,,,
"S """"",S_2983be83,等等，不，不！！它们很敏感了......,,,,,
"S """"",S_fff23718,哇喔！！,,,,,
"S """"",S_1b3e3e2e,嗯嗯嗯,,,,,
"""""",narrator_b6f165a8,斯图科夫更加用力挤压莎拉的胸部，瞬间将她达到了高潮。,,,,,
"A """"",A_c1bc4da1,我喜欢你的反应......,,,,,
"A """"",A_9d76e3d7,你做得非常好，我没想到你的身体已经如此敏感了。这真是一个好消息。,,,,,
"""""",narrator_4d0d11f4,莎拉试图反驳这个观点，但高潮过后的她，已经说不出话来了。,,,,,
"dev1 """"",dev1_8af37c6e,,,,,,
"A """"",A_9d55ef6e,没什么好害羞的，你应该为此感到高兴，毕竟作为特工，你被压抑得太久了，你很饥渴。,,,,,
"C """"",C_9c1e4de9,(明白了。),,,,,
"A """"",A_e25568dd,没想到我的体能训练，到达了一箭双雕的作用，我真是一个天才。,,,,,
"S """"",S_e7405732,也许，它真的有效......,,,,,
"A """"",A_97d740d7,这是你一个惊人的转变，请保持这个姿势。,,,,,
"S """"",S_0b32c13c,,,,,,
"""""",narrator_2786429c,莎拉试图打断斯图科夫，但在她虚弱的状态下，她甚至无法说话，所以她的努力是徒劳的。,,,,,
"A1side11 """"",A1side11_8e1a3dc0,刚才你是有话对我说吗？,,,,,
"S """"",S_0d2bc99e,我想骂你是个流氓......,,,,,
"A1side4 """"",A1side4_3b70b250,哈哈哈，我不一直都是这样的吗？今天已经够了，你好好休息一下吧！,,,,,
"""""",narrator_6dac239f,斯图科夫得意洋洋的晃动着手里那个装置，那是莎拉另一张裸露的全息图。,,,,,
"""""",narrator_12a4c1b5,斯图科夫离开了房间。,,,,,
"S """"",S_b58958cb,说实在的这种感觉其实也不错......,,,,,
"""""",narrator_a0ecafc1,过了一会儿，莎拉终于恢复了理智。,,,,,
"""""",narrator_6fe5c09c,体能训练课程结束后，莎拉的肌肉变得更强大了，她觉得自己已经跟斯图科夫的差不多了。,,,,,
"""""",narrator_751e5922,体能训练课程结束后，莎拉变得更强大了。,,,,,
"""""",narrator_4642c73b,莎拉熟练的掌握了那个变态的体能训练。,,,,,
"S """"",S_e64614cc,那么我现在应该做什么呢？ 是开始下个训练课程了吗？,,,,,
"A """"",A_c3bb4e84,别着急，慢慢来，我们需要把你以前学到的东西，再梳理一遍。,,,,,
"S """"",S_da83b05a,梳理一遍？,,,,,
"A """"",A_080fdb5a,是的，你得先得到我的认可，就可以开始下面的课程了。,,,,,
"S """"",S_7991b543,好吧！我觉得你的已经可以了，我现在已经可以随心所欲的展示自己的裸体。,,,,,
"A """"",A_a0cd2bdf,是的，我看到了你的进步。,,,,,
"S """"",S_bae766e0,我相信凭借这样的学习态度，一定能通过下面的课程,,,,,
"A """"",A_4cd06ce2,很好，现在你已经化被动为主动了。,,,,,
"S """"",S_617e559b,切，因为我成长了。,,,,,
"S """"",S_35bed17f,(我其实没必要把自己所有的一切都告诉他......),,,,,
"A """"",A_610888a5,一个好的开始，但是你离我们的目标，还是有一段距离的。,,,,,
"S """"",S_8246bb6c,……,,,,,
"S """"",S_8086fea7,(至少我现在已经没这么排斥它了......),,,,,
"S """"",S_3fd7683d,再做3次训练吧！我想就已经足够了，我们再开始接下来的课程。,,,,,
"S """"",S_8246bb6c_1,……,,,,,
"S """"",S_9d330f44,你总是喜欢提那种变态的要求......,,,,,
"A """"",A_31001938,是的，你又不是第一天认识我。,,,,,
"S """"",S_ce2af84d,好吧！我会照做的。,,,,,
"A """"",A_e1d7cbbe,不要生气，我会陪着你的，你可以尽所能向我敞开心房！,,,,,
"S """"",S_fb4b8b23,白痴，谁要向你敞开心房？,,,,,
"A """"",A_2e521810,哈哈哈！是的，你的顺从还不够，做完3次训练后，再叫我，我会向你展示一些更有趣的事。,,,,,
"S """"",S_8246bb6c_2,……,,,,,
"S """"",S_8e81f8de,至少，我现在终于可以得到清静一会儿了！,,,,,
"S """"",S_a58b8c8b,(只是有些奇怪，他这次为什么不呆在这里，看我做训练呢？。),,,,,
"S """"",S_73aedabe,算了，我先做训练吧！。,,,,,
"""""",narrator_bc6e8a71,莎拉现在可以不穿衣服锻炼了，她已经变得毫无羞耻。,,,,,
"A """"",A_9be59844,怎么样？你按照要求，完成我给你安排的训练了吗？,,,,,
"S """"",S_4cbdd6f2,还没呢！但是只差一点点了。,,,,,
"A """"",A_e5490b5e,那你为什么把我叫来呢？,,,,,
"S """"",S_c1668af9,我想问你，另外一件事。,,,,,
"S """"",S_18062df6,如果，我真的按照你的要求完成了训练，是不是就可以进入了下一个阶段了？,,,,,
"A """"",A_30de089f,我喜欢这种热枕的学习态度，你先回去休息，我们明天再开始。,,,,,
"S """"",S_62991ffe,(他实在太小看我了。),,,,,
"S """"",S_03011b12,好吧！我听你的。,,,,,
"A """"",A_ef3b42c7,我知道你已经等不及了，但是，你必须得到充足的休息，我们有的是时间。,,,,,
