location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_r6otia5b,Я чувствую в этой комнате зловоние. И это действует мне на нервы...,S_r6otia5b,,,,
"""""",narrator_QZuQzApe,"Неприятный запах был не достаточно стойким, чтобы сразу обнаружить его источник. В какие-то моменты с ним можно было ужиться и даже не замечать, но иногда это было невыносимо.",narrator_QZuQzApe,,,,
"""""",narrator_e6Hc9omH,"Как только девушка чувствовала, что попала на след, тут же отшатывалась от обилия аромата.",narrator_e6Hc9omH,,,,
"S """"",S_kG4SHpFZ,Так дело не пойдет.,S_kG4SHpFZ,,,,
"""""",narrator_5eRCjgFi,"Зерглинг удобно подстроился под руки девушки, уже зная, что в такие моменты ей некуда их деть. Новая порция поглаживаний пришлась ему как раз кстати.",narrator_5eRCjgFi,,,,
"S """"",S_aM6bvsUK,"Странно, что ты ходишь вполне спокойно. Разве у таких особей, как ты, не должно быть более острого нюха?",S_aM6bvsUK,,,,
"""""",narrator_5xs4gkZW,"[zergling_s_name!t] выглядел на удивление невозмутимо, волнуемый только легкими поглаживаниями по своей голове. Сара достаточно пристально следила за его носом и не видела никаких признаков реакции на неприятный запах.",narrator_5xs4gkZW,,,,
"S """"",S_ArXEZwys,Действительно странно...,S_ArXEZwys,,,,
"""""",narrator_k6vhH9b3,"Девушка уже собиралась опереть свой подбородок о руку, но приближение знакомого запаха ее остановило. Саре не составило труда поднести ту самую руку, которая недавно гладила зерга, и почувствовать жгучее ощущение в носу.",narrator_k6vhH9b3,,,,
"S """"",S_i53QagwJ,Неужели это ты... Мерзкая вонючка!,S_i53QagwJ,,,,
"Ze """"",Ze_42E4PZ5R,Скр?,Ze_42E4PZ5R,,,,
"""""",narrator_RmrNzqq6,"Зерглинг был удивлен не только остановкой поглаживаний. Его явно называли чем-то, что ощущалось нехорошим.",narrator_RmrNzqq6,,,,
"S """"",S_YphDP5de,Как тебе живется с этим запахом? Ты же ощущаешь его постоянно.,S_YphDP5de,,,,
"Ze """"",Ze_3xJVJyo6,Скр...,Ze_3xJVJyo6,,,,
"S """"",S_c5FxHiaD,"Тут и так все воняет, так не хватало, чтобы у меня под боком еще была одна вонючка!",S_c5FxHiaD,,,,
"""""",narrator_QcGJa6s5,"[zergling_s_name!t] развалился на полу брюхом кверху, демонстрируя свое отношение к этому во всей красе.",narrator_QcGJa6s5,,,,
"S """"",S_FkJUtpvr,"Да... Неудивительно, что ты так пахнешь. За все это время я ни разу не видела, чтобы ты себя вылизывал...",S_FkJUtpvr,,,,
"S """"",S_HfftAreR,"Хотя постойте, ты же не какой-то там пес или котяра... Слушай, а ты вообще моешься?",S_HfftAreR,,,,
"S """"",S_ZTV8vUuo,...,S_ZTV8vUuo,,,,
"S """"",S_WirvsrCR,"Действительно, зачем это им...",S_WirvsrCR,,,,
"S """"",S_4Cb6CtGc,"Его ни разу не почистили от всех выделений, которые он произвел.",S_4Cb6CtGc,,,,
"""""",narrator_C3h6q4hb,"Сара еще какое-то время смотрела на зерглинга, валяющегося на полу.",narrator_C3h6q4hb,,,,
"S """"",S_B7XiX2hW,Тебе-то все равно... А я с тобой надолго заперта в четырех стенах.,S_B7XiX2hW,,,,
"S """"",S_89QhSFNB,"Нужно поднять одного человека, который ответственен за твое появление тут... Пусть он и разбирается с твоей вонью!",S_89QhSFNB,,,,
"S """"",S_GCy5psCm,"То, что ты сюда привел, начинает создавать проблемы.",S_GCy5psCm,,,,
"A """"",A_abX3wid3,Ему всего лишь нужно внимание... Не будь так безукоризненна.,A_abX3wid3,,,,
"S """"",S_JnVF7pqB,Дело не в этом!,S_JnVF7pqB,,,,
"S """"",S_NBbRN98q,От него воняет!,S_NBbRN98q,,,,
"A """"",A_UFeM4T7j,Все мы не без греха.,A_UFeM4T7j,,,,
"S """"",S_MNn4JCdd,"Он начала вонять с недавних пор, а не с самого начала...",S_MNn4JCdd,,,,
"A """"",A_mJmRbuwB,"Что ты тут с ним делала, что он начал вонять?",A_mJmRbuwB,,,,
"""""",narrator_DshQRjfe,Стуков осмотрел девушку с ног до головы и приблизился.,narrator_DshQRjfe,,,,
"A """"",A_rRCYYvn9,Марафоны?,A_rRCYYvn9,,,,
"S """"",S_n2QcyzfK,К... К-какие еще марафоны?!,S_n2QcyzfK,,,,
"A """"",A_SFj9pFdZ,"Тьфу... Я уж начал надеяться, что он вывел тебя на путь просветления.",A_SFj9pFdZ,,,,
"S """"",S_sFSZQSeB,...,S_sFSZQSeB,,,,
"S """"",S_fihZX6ed,Ты и не думаешь его мыть?,S_fihZX6ed,,,,
"A """"",A_jeDTqSYk,"Естественно! Это запах самца! Запах дикой природы, грации... МОГУЩЕСТВА!!!",A_jeDTqSYk,,,,
"A """"",A_sdvW4b5x,Я не собираюсь смывать его естество во всей красе.,A_sdvW4b5x,,,,
"A """"",A_JYNdc6wH,Ты еще так мало смыслишь в жизни...,A_JYNdc6wH,,,,
"S """"",S_G7vtdCdg,Мог бы просто сказать 'нет'.,S_G7vtdCdg,,,,
"S """"",S_7EhsbsAD,Отведи меня тогда в банную комнату. Я сама смою это 'естество'.,S_7EhsbsAD,,,,
"""""",narrator_kmy96WmF,Сара попыталась как можно манернее спародировать с каким энтузиазмом Стуков распылялся о неправильности смывать этот запах.,narrator_kmy96WmF,,,,
"A """"",A_sUvjFvBM,А неплохо ты это придумала...,A_sUvjFvBM,,,,
"A """"",A_jjE2SJrD,"Рассказать про запах, попросить меня помыть его, зная что я не стану этого делать...",A_jjE2SJrD,,,,
"A """"",A_HFY8tKFo,"Может, ты хотела втайне поиграть с малышом в новых условиях и просто расстроилась, что не поддерживаю твои уловки?",A_HFY8tKFo,,,,
"S """"",S_LHmk8XaN,"Я всего-то хочу, чтобы он был чистым, извращенец!",S_LHmk8XaN,,,,
"A """"",A_AFR6ZtT9,...,A_AFR6ZtT9,,,,
"S """"",S_ZciuYidM,Так ты отведешь меня?,S_ZciuYidM,,,,
"A """"",A_HuySkgwi,А ты его помоешь?,A_HuySkgwi,,,,
"S """"",S_ZSW2vA2R,(Не нравится мне эта его ухмылка.),S_ZSW2vA2R,,,,
"S """"",S_g83VM9oH,Сам справится.,S_g83VM9oH,,,,
"A """"",A_ZeSzKe6i,"Хех, отведу. Что еще остается.",A_ZeSzKe6i,,,,
"""""",narrator_RE7tLAXx,"Стуков смылся из банной комнаты, как только увидел, что Сара заметила его недвусмысленные намеки зергу.",narrator_RE7tLAXx,,,,
"S """"",S_DHq7uRJT,Вот... Чертов извращуга! Каждый раз выгонять его становится все тяжелее и тяжелее!,S_DHq7uRJT,,,,
"S """"",S_MmkuNKcy,"Он что, сам не слышал, что от зерглинга неприятно пахнет? Или ему его запах самца все перебивает?",S_MmkuNKcy,,,,
"S """"",S_QE5f7rSj,"Хотя от него тоже временами пованивает... правда, запах другой, даже сложно передать его... Трупятиной, что-ли... хи-хи.",S_QE5f7rSj,,,,
"S """"",S_YvyYPEbB,Пф... В любом случае он уже ушел и мешать не будет.,S_YvyYPEbB,,,,
"""""",narrator_JZYzoE33,"[zergling_s_name!t] любопытно осматривал все кругом, давая понять, что он никогда не был в этой комнате. Для такого существа все должно было быть весьма в новинку.",narrator_JZYzoE33,,,,
"S """"",S_aNiU2SHP,"Точно, интересно, ты вообще где-то бывал помимо моей комнаты... такое чувство, будто тебя сразу ко мне подкинули...",S_aNiU2SHP,,,,
"""""",narrator_a3qZPHSH,"Стены и пол ничем не отличались от других комнат, разве что больших размеров резервуар мог вызвать интерес к изучению.",narrator_a3qZPHSH,,,,
"S """"",S_QVvpVsgz,"И чего ты крутишься вокруг меня? Мы сюда пришли не осматриваться, а купаться.",S_QVvpVsgz,,,,
"Ze """"",Ze_evzMKKLM,Скр?,Ze_evzMKKLM,,,,
"""""",narrator_GztX2ESQ,"Для зерга все было в новинку. Он не торопился далеко отходить от Сары, поглядывая с настороженностью на ванну.",narrator_GztX2ESQ,,,,
"S """"",S_TdfvMzRZ,И я на это согласилась... Но вонь-то от тебя просто ужасна!,S_TdfvMzRZ,,,,
"S """"",S_fwndzKwy,Давай быстрее с этим покончим и вернемся обратно.,S_fwndzKwy,,,,
"""""",narrator_EZY3bmZx,"[zergling_s_name!t] наклонил голову, игриво засматриваясь на раздевающуюся Сару.",narrator_EZY3bmZx,,,,
"""""",narrator_K282m9To,"Осторожность рядом с зеленой жидкостью куда-то пропала, как только на свет появились желанные участки кожи.",narrator_K282m9To,,,,
