location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S1 """"",S1_a31e2cb3,"Кто сегодня мне попался под руку... Верно, пешка нашей общей подруги. Как интересно...",S1_a31e2cb3,,,,
"""""",narrator_e0e08852,"Королева Клинков быстро определила свою новую цель, уже предвкушая, как Сосш будет сопротивляться ей и пытаться устоять перед соблазном.",narrator_e0e08852,,,,
"S1 """"",S1_b1eb4572,Почему ты так дергаешься? Боишься?,S1_b1eb4572,,,,
"""""",narrator_32e17aca,"Девушка безостановочно кружила вокруг насторожившегося дрона, оказывая на него все больше давления.",narrator_32e17aca,,,,
"S1 """"",S1_a4dc4d30,"С друзьями своих друзей нужно дружить, Сосш. Где твои манеры?",S1_a4dc4d30,,,,
"SO """"",SO_05af557f,"Сара даже если и говорила о тебе, то ничего положительного.",SO_05af557f,,,,
"S1 """"",S1_534388ae,"Брось, она преувеличивает. Просто пока не может осознать, какую помощь я ей оказываю! А у тебя есть прекрасная возможность понять это прямо сейчас.",S1_534388ae,,,,
"""""",narrator_90b417c3,"Королева Клинков игриво постукивала по панцирю Сосша, наблюдая, как он пытается увернуться от ее рук.",narrator_90b417c3,,,,
"S1 """"",S1_c1850c22,"Хм, а эта штука выглядит весьма прочной... хи, забавно.",S1_c1850c22,,,,
"S1 """"",S1_5a038c0c,"Может, это будет лучшим знакомством в твоей жизни! И ты хочешь это упустить?",S1_5a038c0c,,,,
"SO """"",SO_8390dc1a,Я больше верю Саре и... И верен ей до последнего!,SO_8390dc1a,,,,
"S1 """"",S1_3d7edb79,"Как такой трусливый кролик может быть так кому-то предан? Ах, моей подружке так повезло, хи-хи-хи.",S1_3d7edb79,,,,
"""""",narrator_f0da6ed9,"Девушка не отставала от пятившегося дрона, постоянно оказываясь рядом с ним. Преследовавшая по пятам тень Королевы Клинков загоняла Сосша в угол.",narrator_f0da6ed9,,,,
"SO """"",SO_7d535b70,"Я не собираюсь подставлять Сару! Она будет очень недовольна, если узнает о нашем общении!",SO_7d535b70,,,,
"S1 """"",S1_8dfe65cf,"Мы просто познакомимся чуть, ммм... поближе. Должна же я знать, кого Сара держит возле себя, хи-хи-хи.",S1_8dfe65cf,,,,
"SO """"",SO_3da466fc,Это не выглядит как просто знакомство!,SO_3da466fc,,,,
"""""",narrator_38af77f7,"Сосш старался не смотреть на ухмыляющуюся Королеву Клинков. Ее только больше заводило, что дрон все понимал и пытался избежать неизбежного.",narrator_38af77f7,,,,
"S1 """"",S1_a1d97844,"Правда? Это все твоя воспаленная фантазия, Сосш. Но если ты так настаиваешь...",S1_a1d97844,,,,
"SO """"",SO_2a432a59,М-мне нужно работать!,SO_2a432a59,,,,
"S1 """"",S1_0cfe187c,"И ты бросишь даму в одиночестве? Намекая на грязные делишки? Так не пойдет, Сосш...",S1_0cfe187c,,,,
