location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_852771bb,哎呀！多么令人厌恶的东西？！恶心！它会跳动。,,,,,
"S """"",S_5477b212,我再也不会靠近它。,,,,,
"S """"",S_3c051d1e,这食物没那么差...,,,,,
"S """"",S_4917f72b,呵呵！,,,,,
"S """"",S_7e3f4d7b,真的不是...,,,,,
"S """"",S_925cb416,我得吃点东西...,,,,,
"S """"",S_cdd5ba4e,我要尽量远离它！,,,,,
"""""",narrator_89f91884,我今天已经吃过了。,,,,,
"S """"",S_cdd5ba4e_1,我要尽量远离它！,,,,,
"S """"",S_852771bb_1,哎呀！多么令人厌恶的东西？！恶心！它会跳动。,,,,,
"S """"",S_5477b212_1,我再也不会靠近它。,,,,,
"""""",narrator_631162b1,,,,,,
"""""",narrator_7d869b9e,,,,,,
"""""",narrator_7abc3db7,莎拉看到了熟悉的触手，若有所思地盯着它们。,,,,,
"S """"",S_b78759b7,（那只是最近……有点顽皮……）,,,,,
"S """"",S_65e7440e,嗯……我可以再试一次。自那时以来，发生了很多事情。也许现在我甚至可以实施我的计划。,,,,,
"S """"",S_c5835510,但这有什么意义……尽管我可以给斯图科夫上一课，只是为了好玩。,,,,,
"S """"",S_d059ace7,但我从他们那里得到了这个。,,,,,
"S """"",S_0cf94554,它应该是什么…虽然我仍然不知道……,,,,,
"S """"",S_7318e564,,,,,,
"S """"",S_c2ced3f0,不，从来没有……我再也不会碰它们了。我用我的身体信任他们，他们……他们只想要一件事。,,,,,
"S """"",S_87b11d2c,叛徒！,,,,,
"S """"",S_84838904,这就是斯图科夫把我绑了几次的地方。我都不愿意想起来...,,,,,
"S """"",S_658e9166,我想我今天所做的已经足够了.,,,,,
"S """"",S_563714ef,我 ...,,,,,
"S """"",S_fbb1f136,为了我自己的安全，我会……把与这个触手的互动留到以后……,,,,,
"S """"",S_7d4bbae0,叫斯图科夫按钮。这里一切看起来都很奇怪。这个按钮也是。,,,,,
"A """"",A_427eb046,呵呵，她在那里，哈哈。莎拉，触手的女人。,,,,,
"S """"",S_b32e31f6,闭嘴......,,,,,
"A """"",A_b75dfd6d,啊哈！,,,,,
"A """"",A_0060f04c,见鬼，像这样的事情应该有成就！,,,,,
"S """"",S_8d552cc6,什么成就，你这个肮脏的变态？,,,,,
"A """"",A_8089bd18,这些。,,,,,
"S """"",S_49ae82a9,！！！,,,,,
"S """"",S_882e633b,你是怎么做到的？？？,,,,,
"A """"",A_491ac6a7,哈哈哈，我不知道。别问。,,,,,
"S """"",S_ee2fde1a,多—多么奇怪的感觉……,,,,,
"A """"",A_cce36f11,但现在你有了一个新的头衔。,,,,,
"S """"",S_1cf196d9,你敢那样叫我！,,,,,
"A """"",A_b6147530,什么？,,,,,
"S """"",S_470958ae,你知道的，别装傻。,,,,,
"A """"",A_6fc6df10,好吧，好吧，那你叫我过来是为了什么？,,,,,
"S """"",S_799d9a8c,除非先穿上内衣，否则我根本做不到......,,,,,
"S """"",S_1d0a6776,……,,,,,
"S """"",S_08712495,出去走走也无妨，不会有什么不好的事发生的。,,,,,
"S """"",S_c929907e,放松一下心情，这样训练会更有效的。,,,,,
"S """"",S_6c374a85,我还没有变态到这种地步，他绝不是我想见到的人。,,,,,
"S """"",S_2dc1f4e5,我实在太累了......,,,,,
"S """"",S_1d0a6776_1,……,,,,,
"S """"",S_8edec579,我得先穿上那件下流内衣。。。,,,,,
"S """"",S_1d0a6776_2,……,,,,,
"S """"",S_557c017d,(我真的必须这么做吗...),,,,,
"C """"",C_50eac14c,(如果你想更快离开这里，是的。),,,,,
"S """"",S_1d0a6776_3,……,,,,,
"C """"",C_0eb929cf,(其实你想想，我对这一切挺满意，有好的伙伴 ，有好的食物！在这里多呆一会得了！),,,,,
"S """"",S_49ae82a9_1,！！！,,,,,
"S """"",S_f36dabee,(你在开玩笑吗？),,,,,
"C """"",C_d9d3ce23,(当然不是。),,,,,
"S """"",S_277c24ed,(你这个小家伙...),,,,,
"""""",narrator_bd20daf1,莎拉按了呼叫按钮，但是没什么反应。,,,,,
"S """"",S_4065bc22,斯图科夫现在出去了。我得等到他回来。,,,,,
"""""",narrator_bd20daf1_1,莎拉按了呼叫按钮，但是没什么反应。,,,,,
"S """"",S_c5d99ba1,该死的，他一定是故意不理我.,,,,,
"A """"",A_31bd8cee,"哇哦,我看到你找到了我最喜欢的海报!",,,,,
"A """"",A_2b8172de,"你一定爱上了它了吧,没错吧?",,,,,
"A """"",A_ffe39226,"呵呵,它给了我很多美好的回忆.",,,,,
"A """"",A_2b96a630,你想要什么？,,,,,
"A """"",A_7bf7b01d,想我了吗？,,,,,
"S """"",S_6c598abd,带我去见阿巴瑟,,,,,
"A """"",A_feca4e7f,但是，我们刚从他那里回来，你现在应该休息。,,,,,
"""""",narrator_6476baa4,你的级别不够高，先完成其他场景。,,,,,
"A """"",A_de4401bc,够了。我们明天可以进一步再谈。,,,,,
"A """"",A_1b17e9ac,你想要什么？,,,,,
"S """"",S_2ae48edf,对...你活着的时候还是个混蛋和变态？,,,,,
"A """"",A_bb912820,呃...,,,,,
"A """"",A_6c1c9f49,('还是'？她根本不知道我是个多么变态的人！),,,,,
"A """"",A_312cba36,嗯，是的。一直是这样。,,,,,
"S """"",S_474c438b,我就知道！你只是个变态！你自己做的那些'考验'都是因为你喜欢它们！,,,,,
"S """"",S_dc797266,我受够了！让我马上走！,,,,,
"A """"",A_f207d0d4,哼，冷静点，姑娘。我想你需要一些独处的时间。再见！,,,,,
"S """"",S_99cca41f,不！停下，混蛋！别走，我还没说完呢！,,,,,
"""""",narrator_16bfaff6,斯图科夫跑出了房间，房间门就关上了。,,,,,
"""""",narrator_4da74ac1,莎拉试着敲了几分钟门，但最后还是放弃了，意识到不会有任何反应。,,,,,
"A """"",A_0af3228f,是吗？又要对我大喊大叫？,,,,,
"S """"",S_bb1ed975,不，我不会的。,,,,,
"A """"",A_6e090b18,很高兴听到这个。怎么了？,,,,,
"S """"",S_5e4f73ca,我想问个问题。,,,,,
"A """"",A_7f4abe8b,继续。,,,,,
"S """"",S_2f958db3,你告诉我这里除了...粘性物质就没有别的食物。你也吃这个吗？,,,,,
"A """"",A_d2053fe6,……,,,,,
"A """"",A_d2053fe6_1,……,,,,,
"S """"",S_f421f718,？？,,,,,
"A """"",A_87ad5682,还有其他问题吗？,,,,,
"S """"",S_f8d7b0b9,嘿，怎么了？这是一个简单的问题！,,,,,
"A """"",A_8790f301,我只是不想回答...,,,,,
"S """"",S_1ffd4e7c,……,,,,,
"A """"",A_8f8d4446,再说吧，我现在就走。,,,,,
"S """"",S_a7f88017,(他怎么了？),,,,,
"S """"",S_2d8778fb,我一直想问一个问题。以前是不是也有像我这样的俘虏，对吧？,,,,,
"A """"",A_8ea29100,当然有过。我有很多经验。,,,,,
"S """"",S_217a5c2e,他们怎么了？他们现在在哪里？,,,,,
"A """"",A_40c973f9,这不好说...,,,,,
"A """"",A_283272fc,我不太确定。首先，他们通过我考验的一部分，然后我送他们见虫后。我不知道之后他们会怎么样。,,,,,
"A """"",A_36f122c2,(我当然知道。我对囚犯所做的事情比他们后面要经过的都算是个玩笑),,,,,
"S """"",S_6be55446,但那意味着他们可能被杀了！,,,,,
"A """"",A_baf19de8,不，不，不用担心。你可以相信我们的虫后，经过所有的考验，所有的俘虏都被释放了。,,,,,
"A """"",A_48b58fc4,(哈哈哈！),,,,,
"S """"",S_08acd895,是的，我感觉到了......,,,,,
"A """"",A_20210e14,嗯？,,,,,
"S """"",S_caba9b11,我真的很无聊，我想除了西蒙再找别的人聊一会。,,,,,
"A """"",A_312f5fa0,哦，那好吧！我给你讲个笑话！,,,,,
"S """"",S_79cc70c5,？？？,,,,,
"S """"",S_038a9f0f,好吧，继续！,,,,,
"A """"",A_ace0399a,嗯...,,,,,
"A """"",A_00f92511,什么玩笑？,,,,,
"A """"",A_42be79bf,哦，对了！,,,,,
"A """"",A_bf397f3a,在攻击虫族基地之前。,,,,,
"A """"",A_36c1abec,-中士，食物只够你们一半的人吃！,,,,,
"A """"",A_fd65172f,-完美！袭击结束后我们一起吃饭，这样肯定会够......,,,,,
"S """"",S_1ffd4e7c_1,……,,,,,
"A """"",A_4e1acd43,哈哈哈！,,,,,
"S """"",S_1ffd4e7c_2,……,,,,,
"A """"",A_d96617aa,来吧，真有趣！,,,,,
"S """"",S_352efd7b,谢谢你的到来...,,,,,
"A """"",A_b36891ad,没问题！哈哈哈！,,,,,
"A """"",A_6a46a566,你先说吧？,,,,,
"S """"",S_60ab6621,我是不是...我是不是表现得好？,,,,,
"A """"",A_e21dcd63,哦？什么意思？,,,,,
"S """"",S_caceed92,好吧，你说你有经验，我和一般人相比怎么样？ ,,,,,
"A """"",A_55c6707e,嗯，有比你更顺从的人...,,,,,
"A """"",A_ec3e771b,但你很有潜力！我相信如果我们努力工作，你将是我迄今为止最好的成就！,,,,,
"S """"",S_1eda4cbb,真的吗？,,,,,
"A """"",A_9b00b8be,当然！就像我说的，你真的很有潜力。,,,,,
"S """"",S_b0c46045,谢谢！,,,,,
"S """"",S_79a62c84,我想跟你谈谈.,,,,,
"A """"",A_a330f5a7,"其实我有一个更好的注意,你有兴趣听我的以前的故事吗?",,,,,
"S """"",S_6bff196e,(又是那些令人恶心的往事...),,,,,
"A """"",A_89e74de6,"当我还是一名海军陆战队友的时候,有一次,我们跟队友去执行任务的时候,进入了百慕大三角.",,,,,
"A """"",A_33731fa0,,,,,,
"A """"",A_a9101880,"此时正下着雨,海上风浪很大,没有人理他.",,,,,
"A """"",A_fe771622,他恼羞成怒地又再重复了刚才的那个命令!',,,,,
"A """"",A_522b536f,"但,依然没有人理他.",,,,,
"A """"",A_72e139d6,我们中有一个队友打死了他!',,,,,
"A """"",A_5cbc89d6,"本来就是他非要执行追击任务,然后把我们带到这里来的.要是我们当时执行他那个决定,肯定早就葬身大海了.'",,,,,
"A """"",A_d897f4c5,哈哈哈！,,,,,
"S """"",S_1ffd4e7c_3,……,,,,,
"A """"",A_3aaea0ba,"这就是人类与虫族的区别,人类是自私,而虫族永远不会背叛!",,,,,
"S """"",S_e2aaf4c4,"我觉得不能这样做比较,虫族首领直接控制它们下属思想,而我们人类没有...",,,,,
"A """"",A_d2053fe6_2,……,,,,,
"A """"",A_e6cf960d,好吧!你说的没错.,,,,,
"S """"",S_25571fa6,"我已经听够了,你那些无聊的往事...",,,,,
"A """"",A_54f467f7,"今天,你找我干什么?",,,,,
"S """"",S_09da4abc,"我想问你一件事,你真的是来自地球的吗?",,,,,
"A """"",A_a262d379,"肯定呀,你看我样子就可以看出来,当然除了那只手.",,,,,
"S """"",S_3ec61595,你的军衔是什么?,,,,,
"A """"",A_d2053fe6_3,……,,,,,
"A """"",A_7aff70f7,"另外我还有一个海军上将的军衔,当年我叱咤风云的时候,你这个小屁孩还没出生呢!",,,,,
"S """"",S_3c777731,有一首流行歌曲叫《阿拉巴马甜蜜之家》.人们说它来自地球.它总是在酒吧里不停的播放.,,,,,
"A """"",A_939bd3c2,(他们怎么会知道我们家乡的歌曲?),,,,,
"S """"",S_5cf7670c,我还有一个问题?,,,,,
"A """"",A_93f3bc1c,继续。,,,,,
"S """"",S_da612562,"为什么你的舰队被部署到克普鲁星区?从我所记得的历史教训来看,我们的祖先在地球上不受欢迎.",,,,,
"A """"",A_d2053fe6_4,……,,,,,
"A """"",A_10a42446,我不想回答这个问题.,,,,,
"""""",narrator_77d24a6d,斯图科夫离开了房间。,,,,,
"S """"",S_580999b4,呃...,,,,,
"S """"",S_79b6a84f,"(也许这令他想起了伤心的往事,一定有什么难言之隐.)",,,,,
"S """"",S_6d60bce5,"我想再跟你谈谈,我还有问题?",,,,,
"A """"",A_a4f2d3fd,"正好,我也想问你一个问题!",,,,,
"S """"",S_b112bab5,(一定又是那种变态的问题?),,,,,
"A """"",A_0c09cef4,你知道这里哪里可以买酒吗?,,,,,
"S """"",S_1ffd4e7c_4,……,,,,,
"S """"",S_66e37cdf,我听说乌摩加出产最好的啤酒.,,,,,
