location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_3dc3ae15,"""Сара неотрывно смотрела на шкатулку в своих руках. Она была глубоко в своих мыслях, вспоминала отрывки тренировок с тем, что находилось внутри этой шкатулки.""",,,,,
,S_d0f795d1,"S ""(Да...неплохие были времена...)""",,,,,
,S_34f200da,"S ""(Тогда казалось, будто я могла умереть от них... ха-ха...)""",,,,,
,S_9b47380f,"S ""(Подумать только, какая я была глупая... хотя до сих пор отчетливо помню эту боль... ммм...)""",,,,,
,narrator_00393b85,"""Сара продолжала вспоминать о тренировках, которые ей приходилось пройти, но в голове были лишь приятные воспоминания.""",,,,,
,L1side3_e9d4cacd,"L1side3 ""(О чем ты так задумалась?)""",,,,,
,S_bb9a6f90,"S ""...""",,,,,
,S_959f0b5f,"S ""А?""",,,,,
,L_f269d178,"L ""(Я спросила о чем ты задумалась.)""",,,,,
,S_b5b86598,"S ""А... Да так, ничего такого, не бери в голову.""",,,,,
,narrator_eb152b01,"""Лиззара с интересом рассматривала то, что держала Сара.""",,,,,
,narrator_5527725e,"""Девушка перевела взгляд с протосса на шкатулку.""",,,,,
,S_f1a19473,"S ""Хотя...""",,,,,
,S_0143bc5a,"S ""Вот!""",,,,,
,narrator_23823ec4,"""Сара протянула вещицу Лиззаре, показывая, что находится внутри.""",,,,,
,S_dab7d1e1,"S ""Лиззара, слушай, ты случайно не знаешь ничего о этих штуках?""",,,,,
,narrator_39f6ddf0,"""Протосс сначала не придала значения просьбе, но как только увидела содержимое, на ее лице появилась тревога.""",,,,,
,L_355737f4,"L ""(Это... Откуда это у тебя?)""",,,,,
,S_5d6f657c,"S ""А???""",,,,,
,S_98d8a0bf,"S ""Ээм... ну как тебе сказать...""",,,,,
,narrator_ac377376,"""Девушка пыталась придумать, как же можно было объяснить, для чего и, главное, зачем они использовали приспособление. С небольшим нежеланием отвечать Сара решает скрыть эту правду.""",,,,,
,S_2c8a5cf9,"S ""Ха-ха... Долгая история.""",,,,,
,S_d2ef2f2c,"S ""Если в двух словах, то Стуков когда-то принес. Понятия не имею, откуда он это взял.""",,,,,
,narrator_873d5be8,"""Лиззара с опаской осматривала саму шкатулку и кристаллы, лежащие внутри. Девушка не могла поверить своим глазам.""",,,,,
,L_e51652a1,"L ""(Никогда не думала, что лично смогу увидеть нечто такое...)""",,,,,
,L_360df7de,"L ""(Я... я читала о подобном. Подумать только..)""",,,,,
,S_7383a416,"S ""Это что-то настолько редкое?""",,,,,
,L_99ae1853,"L ""(Редкое? Не то слово! Оно не просто очень редкое, оно о-о-о-очень опасно!)""",,,,,
,S_43316ab4,"S ""{size=-4}Да... Это та еще опасная штучка, хе-хе... Особенно когда шарахала меня током...{/size}""",,,,,
,narrator_3e7d5b2b,"""Девушка на секунду оторвалась от кристаллов и резко перебросила внимание на Сару.""",,,,,
,L_b7082e43,"L ""(Ты ничего с ним не делала?)""",,,,,
,S_5d6f657c_1,"S ""А???""",,,,,
,narrator_dd66e101,"""Сара не ожидала такой резкости и была немного выбита из колеи.""",,,,,
,S_00378b3b,"S ""Кхм! Ну-у-у-у-у, почти ничего. Пару раз они меня током ударили. Но, как видишь, жива, хи-хи.""",,,,,
,L_af181396,"L ""(Током? Хм...)""",,,,,
,narrator_01d7742c,"""Девушка снова начала внимательно рассматривать кристаллы, не желая даже притрагиваться к ним, все более детально разглядывая.""",,,,,
,L_f76acd74,"L ""(Возможно, это защитный механизм такой... а так как у тебя нет доступа, то он защищался от тебя.)""",,,,,
,L_fb068626,"L ""(Возможно, твои врожденные пси-способности спасли тебя. Или же у них цель не уничтожить, а просто отбить желание...)""",,,,,
,narrator_a29fd03d,"""Сара внимательно продолжала слушать размышления протосса.""",,,,,
,S_e8c4ab75,"S ""Так это не просто побрякушка, ха-ха?""",,,,,
,L_50854489,"L ""(Украшения? Конечно же, нет.)""",,,,,
,L_1fe66b8e,"L ""(Это кристалл Ихан. Я слышала, их когда-то использовали, чтобы хранить воспоминания.)""",,,,,
,L_23c92646,"L ""(О нем не так много известно...)""",,,,,
,narrator_1dfd2bd5,"""Сара отрицательно покачала головой.""",,,,,
,L_47ef99d7,"L ""(Но этот... он поврежден, изуродован. Я ощущаю, что его разбили на части и изменили.)""",,,,,
,L_01fdc426,"L ""(Чтобы он делал что-то другое. Он может содержать что угодно. Воспоминания, целую личность. Это очень опасно!)""",,,,,
,narrator_a6e7710c,"""Лиззара все же решилась и взяла его в руку. Подняв его высоко, начала более детально изучать. Кристалл оказался между Сарой и Лиззарой.""",,,,,
,L_b2108213,"L ""(Я думаю, это могли сделать... *шепотом* талдаримы.)""",,,,,
,L_9bb8a62c,"L ""(Они как легенды, потерянное племя. Призраки, крадущие корабли. Злые еретики, отказавшиеся от света Кхалы. Но я не думала, что они могут существовать.)""",,,,,
,L_e0abfcb5,"L ""(Речь может идти про масштабы целой планеты! Слава Зел'нага, что он не был активирован!)""",,,,,
,S_876fe8bd,"S ""!!!""",,,,,
,S_5e88179c,"S ""(Стуков вообще был в курсе, с чем он решил поиграться?! Он же говорил, что это просто оковы для заключенных... Придурок!)""",,,,,
,S_7a6d6ffc,"S ""Значит... Все обошлось?""",,,,,
,L_47c762da,"L ""(Похоже на то.)""",,,,,
,narrator_d2299444,"""Сара смотрела на кристалл перед собой, пытаясь осознать, с насколько опасной вещью она имела дела при интимных тренировках.""",,,,,
,S_4011f17a,"S ""(Поверить не могу. Кто вообще мог до такого додуматься? Использовать эту штуку для... Ужас.)""",,,,,
,S_f79d422a,"S ""Может, тогда стоит его просто уничтожить?""",,,,,
,L_7cf1f26a,"L ""(Нет! Мы не знаем, что произойдет! Уничтожим ли мы то, что там заключено, или поможем вырваться наружу...)""",,,,,
,L_d11363c9,"L ""(Я... конечно же, ничего не чувствую внутри. Но рисковать не стоит. Ты сама так говоришь.)""",,,,,
,L_f1505e44,"L ""(Талдаримы кошмарны... Легенды о них ужасающие. Поверь, тебе лучше не слышать.)""",,,,,
,L_e4ff3632,"L ""(Легенды говорят, что... они не чтут ни честь, ни доблесть, ни праведность. Ими движет лишь жажда власти и влияния. Им неведом свет Кхалы...)""",,,,,
,L_f68d7866,"L ""(Что за кощунство! Насколько нужно быть... подлым, чтобы скрывать свои эмоции и мысли от собственных сородичей?)""",,,,,
