location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_7dc07c10,"""В поле зрения Королевы Клинков попалась очень интересная фигура, которая только своим происхождением смогла заинтересовать девушку.""",,,,,
,S1_87900b95,"S1 ""(Так-так-так, а кто это у нас? Неужели Сара смогла найти себе хорошенькую игрушку? Как интересно...)""",,,,,
,L_341e2cbc,"L ""ХИ????""",,,,,
,S1_7cd5ce7f,"S1 ""Какое любопытное создание попало прямо мне в руки. Это, должно быть, невероятная удача! Ты так не думаешь?""",,,,,
,L_9fb5db5c,"L ""(С-Сара? Нет... Я чувствую совершенно другую энергию. Кто ты?)""",,,,,
,S1_ed6a9dd8,"S1 ""Пф, какой толк от этих глупых формальностей? Хотя, знаешь, я с удовольствием узнала бы, кто ты такая.""",,,,,
,narrator_ad59b9b6,"""Лиззара чувствовала себя некомфортно в присутствии незнакомки. Она все еще узнавала Сару в этих чертах, но черты эти были грубы и искажены. Лиззара пыталась отвести взгляд, но на протосса давила та сила, которую излучала девушка, как будто ее негласно хотели подчинить.""",,,,,
,L_b1180256,"L ""(Ты ведешь себя как охотник. Разве хищнику нужно знать, кто его добыча?)""",,,,,
,S1_27e76784,"S1 ""Ха-ха, а ты забавная... Ты слишком экзотична, особенно для этих мест, чтобы избавляться от тебя так быстро. Но не будем обольщаться, ты интересна не более чем игрушка.""",,,,,
,L_e6c2dc7c,"L ""(Ничего более я и не ждала.)""",,,,,
,S1_5021b784,"S1 ""Хм, так как же тебя зовут?""",,,,,
,L_43b189a5,"L ""(Лиззара.)""",,,,,
,narrator_52b2197c,"""Протосс всеми силами пыталась сбежать, отводя взгляд или отворачивая лицо, но Королева Клинков была повсюду. Она не собиралась отпускать ее так просто.""",,,,,
,S1_112c0b1e,"S1 ""Ух, какая ты ледышка. От твоего холодного поведения можно и насмерть замерзнуть.""",,,,,
,narrator_4b587b5f,"""Королеву Клинков забавляло такое поведение протосса. Своей отстраненностью она только сильнее подогревала нездоровый интерес к себе со стороны девушки.""",,,,,
,S1_dfd21c8f,"S1 ""Я Королева Клинков. Тебе стоит выделить для этого имени отдельный участок памяти, потому что думать обо мне тебе придется еще много... и много раз.""",,,,,
,L_c3d7cbf9,"L ""(Королева Клинков... Неужели это то, что я чувствовала в Саре? Быть такого не может.)""",,,,,
,S1_381a7ff8,"S1 ""В Саре... Звучит грубовато, знаешь, это и мое тело тоже. С са-а-а-амого начала, было и будет!""",,,,,
,S1_3c7818fc,"S1 ""Но ты очень догадливая! Вы с Сарой какие-то особые... Подружки?""",,,,,
,L_b5d2b169,"L ""(Я думаю, что тебе лучше знать об этом, если вы делите одно тело.)""",,,,,
,S1_891fb8dd,"S1 ""Мммм, даже так... Знаешь, твоя отстраненность забавна, но всему есть предел. Я люблю, когда на мои вопросы отвечают.""",,,,,
,narrator_9e37750f,"""Королева Клинков приблизилась к протоссу, хватая ее за подбородок. Для девушки было в новинку трогать такую кожу, поэтому она с удовольствием водила пальцами по прохладной и гладкой поверхности.""",,,,,
,L_18984f14,"L ""(Ч-что ты задумала?)""",,,,,
,S1_4a047ae3,"S1 ""А ты вся такая холодная?{w} Нет! Не говори... Я хочу это узнать сама, но позже. У нас будет достаточно времени на эксперименты, ха-ха.""",,,,,
,S1_53fb9d28,"S1 ""Но знаешь, ты окажешь себе большую услугу, если будешь вести себя покладистее. Я люблю строптивых, но в пределах разумного. Будет жалко повредить такой экземпляр.""",,,,,
,L_0f1dd1a3,"L ""(Я тебя не понимаю.)""",,,,,
,S1_f1048654,"S1 ""Хм, не хотелось бы захватывать твоих сородичей, если с тобой что-то случится.""",,,,,
,L_1e392f20,"L ""(Эксперименты? Что-то случится? Что ты задумала?)""",,,,,
,narrator_903036cb,"""Лиззара растерянно смотрела на Королеву Клинков, впервые сталкиваясь с кем-то подобным. Девушка вела себя непредсказуемо и очень уверенно, возвышаясь над протоссом. Их лица сблизились, они могли чувствовать дыхание друг друга.""",,,,,
,S1_e3592b0e,"S1 ""Ничего особенного... С таким изнеженным умом нужно быть осторожным и начинать с самого простого, но не менее приятного.""",,,,,
,S1_357629fa,"S1 ""Жаль, что у тебя нет рта... Возможно, это поправимо, ха-ха. Но в этом же есть и своя изюминка. Может, для начала это еще лучше!""",,,,,
,L_1e6845aa,"L ""(Нашему виду не нужны рты.)""",,,,,
,S1_4d672044,"S1 ""Да, я знаю об этом, но вы упускаете столько возможностей, ммм...""",,,,,
,L_285d6d46,"L ""Лучше расскажи, ч-что ты задумала.""",,,,,
,S1_bf44fbee,"S1 ""Я всего лишь хочу развлечься с такой невинной натурой. Одна мысль о твоем развращении меня заводит... Как Сара смогла устоять перед тобой? Она так много упускает!""",,,,,
,L_f1e1bece,"L ""(Р-развлечься? Мне это уже не нравится...)""",,,,,
,narrator_284fd81e,"""Лиззара сделала попытку отстраниться от Королевы Клинков, но та только укрепила свою хватку.""",,,,,
,S1_c78fd062,"S1 ""Т-ш-ш-ш... тише-тише, куда ты собралась.""",,,,,
,L_07c6cc92,"L ""(Меня не увлекают такие игры. Я не понимаю, что ты хочешь от меня, но ты этого не дождешься. Я здесь только из-за Сары, мне не интересна роль игрушки для тебя.)""",,,,,
,L_3db5d81f,"L ""(Я не наврежу тебе, потому что это и тело Сары тоже. Но только по этой причине.)""",,,,,
,S1_b3535b44,"S1 ""{size=+4}Ха-ха-ха-ха!!!{/size}""",,,,,
,S1_1d24c9e2,"S1 ""{size=+8}ХА-ХА-ХА-ХА-ХА-ХА-ХА!{/size}""",,,,,
,narrator_e235c6a1,"""Королева Клинков расхохоталась, смотря на серьезное выражение лица Лиззары.""",,,,,
,S1_8c188095,"S1 ""Прости-прости-прости меня, я была не готова к такому повороту.""",,,,,
,S1_641d4049,"S1 ""Ты? Ха-ха-ха! Что такая милашка может мне сделать?""",,,,,
,narrator_8bc78f51,"""На лице Королевы Клинков продолжала играть улыбка, сказанное Лиззарой весьма подняло ей настроение.""",,,,,
,S1_64e3a6fd,"S1 ""Только разве что рассмешить до смерти, да и только. Ты хорошо справляешься с этой задачей.""",,,,,
,S1_a198aaea,"S1 "" Хотя хочу отдать тебе должное: не каждому хватает смелости сказать мне вот так вот в лицо. Да и после этого остаться в живых.""",,,,,
,L_b6907713,"L ""(Насмехаешься надо мной? И как ты уживаешься в теле Сары? Такое поведение ей совсем не свойственно. Поэтому верни ее незамедлительно.)""",,,,,
,S1_60c4cc81,"S1 ""Ты еще и командовать умеешь? Но увы ничего не получится.""",,,,,
,S1_84364a3f,"S1 ""Действительно, я совершенно не такая, как Сара. Да и что в ней такого?""",,,,,
,S1_87caa946,"S1 ""Она ведь и пальцем тебя раньше не касалась? Так похоже на нее... Разве тебе не скучно с ней?""",,,,,
,S1_93c44122,"S1 ""Я могу открыть для тебя совершенно другой мир, Лиззара. О котором ты даже подумать не могла...""",,,,,
