location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_01b00d05,"""Вы уже видели данную сцену, хотите ли ее пропустить?""",,,,,
,S_755ce7f4,"S ""Что ж... Кажется, я все сделала!""",,,,,
,S_13d88686,"S ""Интересно, что Стуков приготовил для меня дальше?""",,,,,
,C_5e2f64d1,"C ""(Сколько желания от тебя исходит! Тренировки Стукова точно приносят свои плоды.)""",,,,,
,S_b5480a5e,"S ""!!!""",,,,,
,S_ff4c677b,"S ""Это же... хорошо?""",,,,,
,C_1b38dfe8,"C ""(Конечно! Все отлично, ты так не считаешь?)""",,,,,
,S_9626404b,"S ""Это все еще немного странно...""",,,,,
,C_41eb4cf9,"C ""(Разве ты не помнишь, ради чего все это делаешь? Все это ради того, чтобы ты раскрепостилась.)""",,,,,
,S_ee9ff614,"S ""Значит, я на верном пути!""",,,,,
,C_23725e7d,"C ""(Это именно тот настрой, с которым ты должна вызвать Стукова.)""",,,,,
,A_ffaca33b,"A ""Я и сам хотел к тебе зайти, но ты успела соскучиться по мне быстрее, хе-хе.""",,,,,
,S_fabd8838,"S ""Мы же должны двигаться дальше...""",,,,,
,S_8d113a6d,"S ""Регулярная практика дает результаты!""",,,,,
,S_d8bc8873,"S ""{size=14}...так Сай'мон сказал.{/size}""",,,,,
,A_d509b5d6,"A ""И он прав!""",,,,,
,C_f5617dc6,"C ""(Видишь?)""",,,,,
,S_898aaeff,"S ""(Да-да... Было бы удивительно, если Стуков не поддержал тебя. Такие извращенцы всегда заодно!)""",,,,,
,S_8caf695e,"S ""Но... Мне интересно, что ты придумал дальше?""",,,,,
,A_457e0bdb,"A ""Ох, отлично, что ты спросила! Все это время я не сидел сложа руки.""",,,,,
,S_e8d1fc9e,"S ""Кто бы сомневался... Стуков бы не был Стуковым, если бы держал руки при себе.""",,,,,
,A_2f295c81,"A ""Я имел другое в виду, но твой ход мыслей мне определенно нравится, хе-хе.""",,,,,
,S_b5480a5e_1,"S ""!!!""",,,,,
,S_4bdbeee8,"S ""(Он только что выставил меня извращенкой?!)""",,,,,
,S_20cb2049,"S ""(Хотя не то чтобы он был не прав... Почему я вообще думаю об это?! Сейчас важен только тест!)""",,,,,
,S_7aa2cf2a,"S ""Мне даже стало интересно, что такого ты так усердно придумывал.""",,,,,
,A_59dcaf83,"A ""Ха-ха, для такой старательной ученицы я приготовил нечто особенное!""",,,,,
,S_2139aa6f,"S ""И?...""",,,,,
,S_07c7c3ce,"S ""(Черт, мне действительно стало очень интересно! Это же Стуков, от этого извращенца можно ожидать чего угодно.)""",,,,,
,A_66527fb1,"A ""Ты так завелась от одной только мысли, хе-хе?""",,,,,
,S_128fd4e3,"S ""Не тяни!""",,,,,
,A_91ac5fd6,"A ""Хах, ты очень хорошо справлялась со всеми тренировками. Твоему старанию и рвению могла бы позавидовать любая элитная куртизанка.""",,,,,
,A_bdb3719b,"A ""Но нам еще стоит проверить, насколько хорошо ты закрепила все мои уроки.""",,,,,
,S_a4ee5194,"S ""Ха-ха... Проверка? Что твой извращенный разум придумал на этот раз?""",,,,,
,A_ca7b9618,"A ""Этот способ проверки никогда не ошибается, максимальная допустимая погрешность 0.01%%.""",,,,,
,A_d17e7e71,"A ""Им начали пользоваться наши предки. Очень давно, когда мир был юн и наивен.""",,,,,
,S_09f271cd,"S ""(Наверное, его снова сейчас понесет куда-то не в ту степь.)""",,,,,
,A_7bbdc20b,"A ""Когда солнце светило ярче, а луна покрывалась мраком, когда люди не знали тайн вселенной, когда...""",,,,,
,S_9ba2d372,"S ""(Ну вот... точно понесло...)""",,,,,
,S_671ae3e6,"S ""*Кхм-кхм*""",,,,,
,A_5ebbb3b4,"A ""...""",,,,,
,A_28b699bb,"A ""Некрасиво вот так вот просто перебивать...""",,,,,
,S_12d6ffe7,"S ""Так, а ну прекрати, мы тут не для этого! Давай уже переходи к своему 'легендарному' способу!""",,,,,
,A_5ebbb3b4_1,"A ""...""",,,,,
,A_a5c9758f,"A ""Выбирай руку.""",,,,,
,S_dba8d52b,"S ""...""",,,,,
,S_5a37a98e,"S ""Да ты издеваешься надо мной!""",,,,,
,S_8f998f80,"S ""Это и есть 'когда солнце светило ярче'... бла-бла-бла? Я думала, будет что-то пооригинальней...""",,,,,
,S_06a234be,"S ""А что будет дальше, камень-ножницы-бумага?""",,,,,
,A_1928591c,"A ""Хм, камень-ножницы-бумага тоже ничего, но слишком долго.""",,,,,
,S_99634de0,"S ""Стуков, ты безнадежно плох в этом...""",,,,,
,A_c4c11de0,"A ""Не тяни время, просто выбери руку!""",,,,,
,S_170139e6,"S ""Ну уж нет, знаю я ваше 'просто выбери руку', а потом бац - и член по яйца в глотке. Знаем мы, чем такие дела заканчиваются!""",,,,,
,S_b3bcebd7,"S ""Я не стану этого делать, пока ты все как следует не объяснишь!""",,,,,
,A_5ebbb3b4_2,"A ""...""",,,,,
,A_adcd73f5,"A ""Ладно, твоя взяла. Мы с тобой сразимся.""",,,,,
,A_a27a8a59,"A ""Точнее, мы проведем дуэль.""",,,,,
,S_e4704112,"S ""Дуэль на ‘выбери руку’? Знаешь, я очень хороша в этом.""",,,,,
,A_68d9e5b4,"A ""Да нет же.""",,,,,
,S_7233ce3e,"S ""Тогда, может, мы будем драться? Наконец-то у меня будет возможность надрать тебе зад.""",,,,,
,A_5ebbb3b4_3,"A ""...""",,,,,
,A_e66f8c8f,"A ""Это будет кое-что поинтереснее драки. Нас ждет дуэль, где побеждает тот, кто одолеет своего противника. С помощью оргазмов, естественно!""",,,,,
,S_b5480a5e_2,"S ""!!!""",,,,,
,S_65cff18d,"S ""Хм... возможно, так даже будет лучше... Мне начинает нравиться эта... дуэль.""",,,,,
