location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_42225baf,刀锋女王正慢慢靠近利扎拉，满怀期待。,,,,,
"S1 """"",S1_6479db8c,很高兴再次见到你！,,,,,
"L """"",L_47611823,（这不是相互的……）,,,,,
"S1 """"",S1_4a226aa8,你这么说我可能会很生气，但我们面前有一些激动人心的事情，我要让它过去。,,,,,
"L """"",L_9fe859f4,（令人兴奋？变态的头脑需要什么才能让人兴奋？）,,,,,
"S1 """"",S1_1dbff532,别担心，你迟早会发现的。但如果我从一开始就把所有的卡片都展示出来，那就没那么有趣了。,,,,,
"S1 """"",S1_f56cf277,我等不及要开始了！该死，这种期待会让你发疯的，哈哈。,,,,,
"L """"",L_53930c75,（我不喜欢这样……）,,,,,
"""""",narrator_546beabe,莉扎拉感到比他们第一次见面时更不舒服。那女孩狂野而好色的目光吓了她一跳。但她更害怕未知。,,,,,
"L """"",L_7309a9ff,（你……会伤害我吗？）,,,,,
"S1 """"",S1_824e030a,什么？,,,,,
"S1 """"",S1_9b7bfa1c,不，傻瓜。不宠坏你符合我的最大利益。,,,,,
"L """"",L_de8d34a5,（那还有什么等着我呢？）,,,,,
"S1 """"",S1_8b34530d,现在不会太久了……你很快就会发现的，哈哈。,,,,,
"S1 """"",S1_bb3a6679,别的… ,,,,,
"""""",narrator_34459861,莉扎拉不假思索地试图移动，但她的身体不听。,,,,,
"L """"",L_2306fd44,（怎么了？为什么我不能动？！）,,,,,
"""""",narrator_24a26d60,神族试图扭动身体，但她的尝试注定要失败。,,,,,
"S1 """"",S1_2310f20f,别浪费精力了，这没用。,,,,,
"L """"",L_e4205be7,(),,,,,
"S1 """"",S1_2fd84186,为什么这么担心？只是一个小手术。是时候再次改善你美丽的身体了。,,,,,
"L """"",L_fb1d0380,（你在说什么？手术？）,,,,,
"S1 """"",S1_41d551c9,不是很多手术，而是一个手术。只是一种无害的治疗。,,,,,
"S1 """"",S1_8f7da4d9,"You're very curious, Lizzara. Need to know everything...{w} Hm...{w} since we're already here, I can tell you about my great plans for you.",,,,,
"L """"",L_b94bfc5a,（你脑子里在想什么？这次你想出了什么样的疯狂想法？）,,,,,
"S1 """"",S1_24a56bd6,没什么疯狂的。你的身体很漂亮，但是……我们还有很多需要改进的地方。我想改变你的一些东西。,,,,,
"S1 """"",S1_d166d3cd,为了创造一个更加完美的你，哈哈。,,,,,
"L """"",L_2e6e7eca,（创—创造？）,,,,,
"S1 """"",S1_0d3de4ea,这有什么奇怪的？这个身体以前也不一样，更脆弱，更不容易改变。,,,,,
"S1 """"",S1_51722854,嗯，这还远远不够理想，但我的改良还没有结束。跟你一样，哈哈。,,,,,
"L """"",L_f46a1988,（我是神族！虫族可以接受不断的……突变。但我们是不同的！你不能这样对我！！！）,,,,,
"""""",narrator_4dfdf666,一想到自己的身体在某种程度上被毁容或有人做了一些不可接受的事情，莉莎拉就惊慌失措。,,,,,
"S1 """"",S1_0d09298f,放松点，你基本上会保持原样。没有必要进行大规模的变革。,,,,,
"S1 """"",S1_28f332e9,只是你错过了一些对我们的游戏非常重要的东西。我们无法避免这个问题。,,,,,
"L """"",L_eb0494e7,（你真的想为了你的乐趣而改变我的身体吗？）,,,,,
"S1 """"",S1_ecfa7f54,是的……*打呵欠*我厌倦了谈论它。我们不是来闲聊的。,,,,,
"L """"",L_d506b52e,（啊？？？那是什么？！）,,,,,
"L """"",L_6becb3f3,（不！别想了，我拒绝参与！）,,,,,
"S1 """"",S1_bcb7057e,哈哈，不要开始。总是那么无聊，但这只是开始。,,,,,
"L """"",L_c2f9d257,（这东西……可怕。）,,,,,
"S1 """"",S1_e51897e8,别担心，它看起来并不像你想的那么糟糕。,,,,,
"L """"",L_c34768f8,（咦！！！）,,,,,
"L """"",L_c9dba45d,（啊……什么？）,,,,,
"""""",narrator_e9d44cc7,（啊……什么？）,,,,,
"L """"",L_69bd0542,（嗯……我怎么了？这个奇怪的触手是什么……）,,,,,
"L """"",L_c80e3dd1,(！！！),,,,,
"L """"",L_5eba5f5e,（嗯！我变成什么了？！…）,,,,,
"""""",narrator_e374bd52,刀锋女王对神族的反应笑了。,,,,,
"S1 """"",S1_d010a995,这比我想象的还要好，哈哈哈。,,,,,
"S1 """"",S1_979ffd71,你的呻吟声太大了……别犹豫，反正也没用。,,,,,
"L """"",L_a5766797,（这只触手……为什么它用一些奇怪的液体覆盖着我？）,,,,,
"L """"",L_a9567d0f,（你知道……这对我不好……MH，我的身体反应太激烈了。）,,,,,
"L """"",L_01a46dde,（我的身体开始吸收它……啊……不，停下！）,,,,,
"S1 """"",S1_f6c86c7e,这是应该的，可爱的。你对一切的反应都很有趣。,,,,,
"S1 """"",S1_04a20ccd,或者你这样做是为了让我兴奋？,,,,,
"S1 """"",S1_4aef4c0a,多么狡猾的神族……你很擅长。一想到我能为你做什么……嗯……,,,,,
"L """"",L_8380dc5d,,,,,,
"L """"",L_b00aa275,（为什么有这么多液体？！）,,,,,
"""""",narrator_ba7432ac,触手正积极地向利扎拉的身体注入一种粘性液体，这种液体很快被神族的皮肤吸收。,,,,,
"L """"",L_b08497ee,（我的身体……噢，为什么这么热？我的皮肤正在融化，嗯……）,,,,,
"L """"",L_779c4da3,（够了！住手，MGH！我受不了！！！）,,,,,
"""""",narrator_1a2da092,*噗叽* *噗叽* *啪*,,,,,
"""""",narrator_762c9fd3,刀锋女王饶有兴趣地看着利扎拉对自己所发生的事情的反应发生了变化。女孩喜欢呻吟声变得多么响亮。,,,,,
"L """"",L_e8e7efb7,（住手！住手！没必要，啊……）,,,,,
"S1 """"",S1_6421bfa3,你太吵了，莉莎拉。但这只给了我继续下去的理由，哈哈。,,,,,
"L """"",L_e2320bc1,（我不喜欢这个！这种液体……闻起来像是不好的东西，不应该沾到我的皮肤上，嗯！）,,,,,
"L """"",L_175acb36,（我受不了！它想改变我。）,,,,,
"""""",narrator_37c34937,刀锋女王几乎控制不住自己，继续看着。,,,,,
"S1 """"",S1_da788ba6,这对我来说是一个真正的挑战，利扎拉。我迫不及待地想看看我修补的结果……啊，结果应该符合所有的期望。,,,,,
"L """"",L_082a98f7,(嗯哼!),,,,,
"""""",narrator_1a2da092_1,*噗叽* *噗叽* *啪*,,,,,
"L """"",L_9779ad92,（不！不！我的脸……都在这液体里！！！思考变得如此困难，嗯……）,,,,,
"L """"",L_4d740e95,（我不能……我不能屈服！！！）,,,,,
"L """"",L_2a1e6a16,（这么奇怪的想法，哈哈……这不是我的想法！不！！！）,,,,,
"""""",narrator_508951e0,利扎拉试图控制自己的大脑。但她忍不住，因为触手正往她身上泼液体。,,,,,
"""""",narrator_ceac2649,莉扎拉的意识游走在现实的边缘，几乎无法忍受自己身体的感受。,,,,,
"S1 """"",S1_cfc8c000,我知道那种感觉……你真幸运，莉莎拉！这么多生物想现在就站在你的立场上，哈哈。,,,,,
"""""",narrator_1a2da092_2,*噗叽* *噗叽* *啪*,,,,,
"""""",narrator_5c9d2e35,神族几乎没有注意到女孩在说什么。触手不仅开始释放液体，还开始对利扎拉的头部做一些事情，让她产生新的感觉，让她快疯了。,,,,,
"L """"",L_7ddea471,（不……不！不！！！这都是错的！我不应该有那种感觉……不是这样的。都是因为这个触手。）,,,,,
"L """"",L_fd348c15,（我的脑子里充满了下流的东西……很难思考，但是……为什么，嗯？这对我有什么影响？）,,,,,
"L """"",L_462797ef,（这些想法太不寻常了……啊！我从没想过这样的事情！太下流了……只有下流的东西！）,,,,,
"L """"",L_9095ddf0,（我的脑子根本不听我的！不是我，哈哈……这些想法都很愚蠢！我越来越愚蠢了！！！）,,,,,
"S1 """"",S1_acb0c4f9,每次看到这种抵抗都很有趣……啊，当我看到这些无辜的身体无法抵抗时，我都屏住了呼吸，哈哈。,,,,,
"L """"",L_5a5bda54,（别—别看着我！！！）,,,,,
"S1 """"",S1_7c84db75,噢，莉莎拉，如果可能的话……我的身体似乎也不听我的……因为你，我的脑子里充满了下流的东西。,,,,,
"""""",narrator_ccb3b04b,利扎拉对刀锋女王告诉她的话感到更加尴尬。,,,,,
"L """"",L_e3022dd4,（你…你不能怪我！这…都是你的错！！！）,,,,,
"S1 """"",S1_b1d59d89,我希望你能从另一个角度来看……嗯，你的身体太兴奋了……这是最好的节目，我一点也不后悔，哈哈。,,,,,
"S1 """"",S1_befc2c1b,而且这还没开始呢，莉扎拉。,,,,,
"L """"",L_ac5ea27f,（什么？？？不……嗯，我受够了，真的……）,,,,,
"S1 """"",S1_fc0c9714,最好不要反抗，因为这是无法停止的。,,,,,
"L """"",L_0f47c23e,（哼哼！）,,,,,
"""""",narrator_1a2da092_3,*噗叽* *噗叽* *啪*,,,,,
"L """"",L_c80e3dd1_1,(！！！),,,,,
"L """"",L_d1e4e151,（我的头！立刻停止这一切！！！）,,,,,
"L """"",L_5a003e47,（这种液体……不，它完全盖住了我的头……真恶心！）,,,,,
"""""",narrator_38a332a1,女孩故意观看了这个过程。,,,,,
"S1 """"",S1_934a2cdf,你看，你说你已经受够了……我们面前经历了一切，哈哈哈。,,,,,
"L """"",L_95e54f5d,（这种液体……它还在侵蚀！！！我的思维……不……）,,,,,
"L """"",L_8525368f,（我不知道哪些是我自己的！）,,,,,
"S1 """"",S1_d115b911,你的想法没有什么奇怪或错误……恰恰相反！我很惊讶你对他们如此敏感。,,,,,
"L """"",L_1ff3d14b,（没什么奇怪的？！啊，这根触手也不让我脱离……）,,,,,
"S1 """"",S1_8a6177b8,你需要出去吗？我不这么认为。。。,,,,,
"L """"",L_579e6aa9,,,,,,
"L """"",L_a55fe76a,（不不不不，停下，我不是那样的，不！）,,,,,
"L """"",L_6e7d402e,（这……它只变得更强了！！！这些画面在我的脑海里，嗯……）,,,,,
"S1 """"",S1_dcbf4ad6,太好了，哈哈。。。,,,,,
"L """"",L_c7e7ffe7,（我是神族！我不应该屈服，啊……我不应该想它！！！）,,,,,
