"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_a96f11ed","Ah, accidenti, di nuovo un incubo...","","","","",""
"""""","narrator_9230c63e","Non ancora completamente sveglio, Sarah guardò l'ingresso della sua cella. Con sua completa e totale sorpresa, la trovò spalancata.","","","","",""
"S """"","S_b4fdd8bd","(Cosa? Seriamente?)","","","","",""
"S """"","S_aca4216a","(È un sogno? Non mi sembra così...)","","","","",""
"S """"","S_7bc8914d","(Allora questa è la mia occasione!)","","","","",""
"""""","narrator_617b6042","Sarah saltò fuori dal suo letto, il che la fece sentire un po 'stordita. Barcollando in avanti, finalmente trovò il suo equilibrio.","","","","",""
"S """"","S_f6790eec","(Cazzo, non avrei dovuto saltare così in fretta...)","","","","",""
"C """"","C_3f30c31d","(Hai intenzione di cercare di scappare?)","","","","",""
"S """"","S_6e054d6b","(Certo, visto che ho una possibilità ora e non provo nemmeno a fermarmi!)","","","","",""
"C """"","C_4f1f74af","(Non avevo intenzione di.)","","","","",""
"S """"","S_6391a6a1","(Eh ??? Sei strano ultimamente e non mi piace.)","","","","",""
"C """"","C_4bc37c7e","(Non proprio, sono sempre lo stesso.)","","","","",""
"""""","narrator_2c6bdf63","Sarah si fermò per un momento.","","","","",""
"S """"","S_d9b5b736","(Non importa ora, non credo che avrò mai più un'opportunità se non recito ora!)","","","","",""
"""""","narrator_4373e2c5","Sarah lasciò con cautela la sua cella e ispezionò il corridoio al quale era collegata la sua stanza.","","","","",""
"S """"","S_6ab3e605","(Yuck, disgustoso... Non ho visto una base di zerg come questa, dove sono?)","","","","",""
"S """"","S_0e725139","(Devo pensare attentamente a tutto questo. Cosa faccio quando esco dalla base? Dovrò contattare qualcuno... Ma chi esattamente?)","","","","",""
"S """"","S_67f43639","(Mengsk è un traditore, quindi i figli di Korhal non sono degni di fiducia: se si accorgono che sono vivo, faranno di tutto per assicurarmi che non torni.)","","","","",""
"S """"","S_e1bd7c92","(Ma forse potrò contattare Raynor, è la mia unica possibilità!)","","","","",""
"S """"","S_8263f93b","","","","","",""
"S """"","S_27566fde","(Cazzo, non ho tempo per riflettere adesso. Devo uscire e poi pianificare.)","","","","",""
"S """"","S_07e6be0f","(Ma non ho idea di dove sia la fuga.)","","","","",""
"S """"","S_b3a7cb52","Questa è la mia cella.","","","","",""
"S """"","S_75601a36","Credo che dovrei andare bene.","","","","",""
"S """"","S_7e11a3b3","Penso che dovrei andare a sinistra.","","","","",""
"""""","narrator_fb25fee5","Un paio di minuti dopo Sarah raggiunse un bivio.","","","","",""
"S """"","S_9e50610e","","","","","",""
"S """"","S_f6859279","(Sembra un labirinto... Che cosa faccio? Forse dovrei chiedere a Sai'mon?)","","","","",""
"S """"","S_ebba1651","(Sono stato qui prima. Dove vado ora?)","","","","",""
"S """"","S_0d2fc5a4","(Sai, sai dove dovrei andare?)","","","","",""
"C """"","C_db0c0bcc","(Mi stai chiedendo davvero?)","","","","",""
"S """"","S_09dc5bbc","(Sicuramente, sai come uscire da qui, il che significa che puoi dirmi dove andare.)","","","","",""
"C """"","C_050f2d01","(Questa è la tua fuga, non la mia.)","","","","",""
"S """"","S_673ce2ba","","","","","",""
"S """"","S_80469f7d","(Sapevo che era un'idea stupida...)","","","","",""
"S """"","S_2b1cb6c9","Credo che dovrei andare bene.","","","","",""
"S """"","S_e46595b6","Penso che dovrei andare a sinistra.","","","","",""
"S """"","S_79d3f39c","Penso di aver perso qualcosa. Dovrei tornare indietro.","","","","",""
"S """"","S_b571b85d","Sono abbastanza lontano dalla mia stanza ma non ho ancora trovato nulla di utile.","","","","",""
"S """"","S_f8985d02","Credo che dovrei andare bene.","","","","",""
"S """"","S_622e977b","Penso che dovrei andare a sinistra.","","","","",""
"S """"","S_d3e75033","Blister e picchi, niente da vedere qui. Giusto, Sai'mon?","","","","",""
"C """"","C_404c538d","(Beh, non sei un intenditore di bellezza, è ovvio, è bello come in qualsiasi altra stanza.)","","","","",""
"S """"","S_4eb82e5f","Bella?! No grazie!","","","","",""
"S """"","S_74f215e4","Penso di aver perso qualcosa. Dovrei tornare indietro.","","","","",""
"S """"","S_513e9123","Un'altra forchetta Quanti sono lì?","","","","",""
"S """"","S_f99933d1","Sai, dove dovrei andare?","","","","",""
"C """"","C_52e3022d","(Questa è una domanda difficile. Dove vuoi arrivare?)","","","","",""
"S """"","S_f94f9b54","Voglio uscire di qui!","","","","",""
"C """"","C_1ceb8065","(Quindi dovresti cercare l'uscita.)","","","","",""
"S """"","S_d899e996","Ma stai scherzando?! Inutili...","","","","",""
"S """"","S_898299f4","Credo che dovrei andare bene.","","","","",""
"S """"","S_bdb1e8fa","Penso che dovrei andare a sinistra.","","","","",""
"S """"","S_e61b7264","Penso di aver perso qualcosa. Dovrei tornare indietro.","","","","",""
"S """"","S_24ea49f9","Sono già abbastanza lontano. Quando troverò già l'uscita?","","","","",""
"S """"","S_157e45ed","Credo che dovrei andare bene.","","","","",""
"S """"","S_f8abe2cf","Penso che dovrei andare a sinistra.","","","","",""
"S """"","S_aa1654d6","Penso di aver perso qualcosa. Dovrei tornare indietro.","","","","",""
"""""","narrator_5134b2f8","Sarah raggiunse un'altra forchetta, ma questa sembrava diversa dalle altre. La svolta a destra ha portato a salire una serie di scale.","","","","",""
"S """"","S_b6bd45a5","Penso di essere sulla strada giusta. Questa scala potrebbe condurmi all'uscita!","","","","",""
"S """"","S_a34a3ca8","Di nuovo questa forchetta. Forse l'uscita è lassù?","","","","",""
"S """"","S_b87a94e3","Vediamo dove questo mi porterà.","","","","",""
"S """"","S_b6bd45a5_1","Penso di essere sulla strada giusta. Questa scala potrebbe condurmi all'uscita!","","","","",""
"S """"","S_238fa3b9","Penso che dovrei andare a sinistra.","","","","",""
"S """"","S_9ca82089","Penso di aver perso qualcosa. Dovrei tornare indietro.","","","","",""
"S """"","S_9b9f2506","Beh, avrei dovuto aspettarmi che questo non mi avrebbe portato direttamente all'uscita... Un'altra forchetta. Dove vado ora?","","","","",""
"S """"","S_1ea383d9","","","","","",""
"S """"","S_a8afcfff","Credo che dovrei andare bene.","","","","",""
"S """"","S_e620a17e","Penso che dovrei andare a sinistra.","","","","",""
"S """"","S_5a7d68bf","Penso di aver perso qualcosa. Dovrei tornare indietro.","","","","",""
"""""","narrator_79befb42","Dopo un paio di minuti di cammino attraverso un lungo corridoio, Sarah raggiunse un altro bivio.","","","","",""
"S """"","S_4df17d33","Credo che dovrei andare bene.","","","","",""
"S """"","S_e96d0713","Penso che dovrei andare a sinistra.","","","","",""
"S """"","S_a3d8383c","Penso di aver perso qualcosa. Dovrei tornare indietro.","","","","",""
"S """"","S_89f91320","Ho passato parecchio tempo a cercare già. Quando riuscirò finalmente a scappare?","","","","",""
"""""","narrator_ca6eee45","Dopo aver camminato ancora, Sarah notò una strana porta.","","","","",""
"S """"","S_b1572041","Questa porta sembra la porta della mia cella, ma è molto più grande.","","","","",""
"S """"","S_33ddbe42","Questa strana porta di nuovo...","","","","",""
"S """"","S_8f94713a","Forse questa è l'uscita?","","","","",""
"""""","narrator_47fc663c","Sarah passa un po 'di tempo a ispezionare la porta insolita, ma per niente. Lei non può scoprire nulla di utile su di esso.","","","","",""
"S """"","S_e87b3553","Non sembra così","","","","",""
"S """"","S_eaee87a1","Pff... Ho perso tempo.","","","","",""
"S """"","S_687f34ac","(Forse Sai'mon può dirmi qualcosa?)","","","","",""
"S """"","S_585d4ff7","","","","","",""
"C """"","C_ca2437ab","(Si?)","","","","",""
"S """"","S_81e8000d","(Cosa puoi dirmi di questo?)","","","","",""
"C """"","C_1c2750d8","(Riguardo a cosa?)","","","","",""
"S """"","S_0f6fe0f4","","","","","",""
"S """"","S_fb2e8473","(Sai perfettamente di cosa sto parlando, perché chiedere?)","","","","",""
"C """"","C_cb9460de","(Voglio che tu mi faccia delle domande specifiche. Non sei tu quello che mi ha detto che non ti piacevo che ti 'spiavi' tutto il tempo?)","","","","",""
"S """"","S_0f6fe0f4_1","","","","","",""
"S """"","S_20996cb7","(Cosa c'è dietro questa porta?)","","","","",""
