location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_b232f796,"Королева Клинков точным и размеренным движением свалила Лиззару на пол, фиксируя податливое тело своими конечностями.",narrator_b232f796,,,,
"L """"",L_3c430fcd,И-и-ик!,L_3c430fcd,,,,
"L """"",L_d8427cdc,(Т-ты... Что ты делаешь?!),L_d8427cdc,,,,
"L """"",L_af422b08,"(Это было так быстро... ее реакция, я и глазом не успела моргнуть, как она схватила меня... Ты планировала это с самого начала?!)",L_af422b08,,,,
"S1 """"",S1_2063f4de,"Я всегда на шаг впереди, Лиззара.",S1_2063f4de,,,,
"L """"",L_7d4df61f,(Зачем ты меня держишь?),L_7d4df61f,,,,
"S1 """"",S1_c9d31ddf,"Дорогуша, а ты еще не заметила? В каком мы положении?",S1_c9d31ddf,,,,
"""""",narrator_d5a82785,"Королева Клинков сжала половинки ягодиц протосса, наталкивая Лиззару на понимание того, в каком положении она оказалась.",narrator_d5a82785,,,,
"L """"",L_b285a6fb,!!!,L_b285a6fb,,,,
"S1 """"",S1_248a8cb4,"Это всего лишь небольшой осмотр, не более того, так что тебе не нужно переживать.",S1_248a8cb4,,,,
"""""",narrator_b1a20967,"Лиззара почувствовала, как ее лицо вспыхнуло из-за смущения. Королева Клинков с огромным аппетитом смотрела на ее вагину, чего никто себе не позволял.",narrator_b1a20967,,,,
"S1 """"",S1_c70c6ef5,"Ммм, давай начнем...",S1_c70c6ef5,,,,
"S1 """"",S1_8c0fdac5,"Так-так-так, что у нас тут?",S1_8c0fdac5,,,,
"S1 """"",S1_30bd8cf5,"А у нас тут? Черт! Какая киска... Очень впечатляет, хи-хи. Ты скрывала от меня такую прелесть?",S1_30bd8cf5,,,,
"""""",narrator_9ba4bbc5,"Девушка немного раздвинула ягодицы, чтобы лучше рассмотреть вагину Лиззары.",narrator_9ba4bbc5,,,,
"S1 """"",S1_9b8392e5,Такая тугая и нетронутая... Прекрасно! С тобой можно столько всего попробовать!,S1_9b8392e5,,,,
"L """"",L_891b8b19,"(Эй... ч-что ты делаешь, нет, отпусти!)",L_891b8b19,,,,
"L """"",L_255c8c6a,(Не смотри на нее!),L_255c8c6a,,,,
