"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_fd11714a","那个茧蛹开始跳动得更加活跃，把里面发生的东西都隐藏了起来… ","","","","",""
"""""","narrator_39f8795a","整艘飞船上的人都无法想象这个小小的蝶蛹世界里发生了什么。很快他们会发现历史将诞生在一个曾经脆弱的血肉之躯中。","","","","",""
"S """"","S_6a59484f","啊啊啊...","","","","",""
"""""","narrator_00350cd5","对于莎拉来说，她好像被浓雾笼罩着。她经历着常人难以想象的痛苦","","","","",""
"S """"","S_7b1da4f4","停下！","","","","",""
"S """"","S_10db85c1","我已经不能承受… ","","","","",""
"""""","narrator_41d97678","成千上万的信息，涌入莎拉的脑子里。","","","","",""
"""""","narrator_7c2771c1","她只能不断抚摸身体，想把这一切淡化。","","","","",""
"S """"","S_9348cdf2","我要… 。啊啊！","","","","",""
"""""","narrator_1daf9fd7","模糊的幻想只是点燃了她的欲望，迫使莎拉重生了。","","","","",""
"S """"","S_8f20c1b4","雷洛，我爱你雷洛,… ","","","","",""
"""""","narrator_2ed02224","莎拉回想起自己的第一次，在那次酒会之后，她将自己的第一次交给了那个自己最爱的男人，雷洛。","","","","",""
"""""","narrator_b7b53e2b","但是，这段记忆之后，她也看到了她最厌恶的人。是的，那个蒙斯克。","","","","",""
"""""","narrator_9ee67ade","附近的任何人都能感受到蝶蛹放射出的沸腾的愤怒。","","","","",""
"""""","narrator_e2fbde5f","这种愤怒就像火焰一样，开始慢慢吞噬着一切美好的东西。","","","","",""
"""""","narrator_953cfe96","复仇的火焰，正在莎拉脑海里燃烧着。","","","","",""
"S """"","S_364ebf1f","去死… 蒙斯克！","","","","",""
"S """"","S_5a058075","不可饶恕！！！","","","","",""
"""""","narrator_5f936344","一种特殊的力量在莎拉体内苏醒。她陶醉在他的痛苦和折磨中。","","","","",""
"S """"","S_62773e49","我要复仇… ","","","","",""
"S """"","S_50bda6e5","像你这样的人，就应该永远呆在地狱！","","","","",""
"S """"","S_05663364","我发誓，我发誓，你活不了多久了！","","","","",""
"S """"","S_e0091ea4","啊啊啊...","","","","",""
"""""","narrator_6a3b2306","欲望之火还带着愤怒，在莎拉胸中燃烧着。","","","","",""
"S """"","S_ea8f8fc1","呜啊啊！… ","","","","",""
"S """"","S_f08792c5","糟糕！","","","","",""
"""""","narrator_f6fa5e39","蛹已经感觉到了一切。它已经准备好释放它最耀眼的光芒。","","","","",""
"""""","narrator_fbca95a7","蝶蛹周围的光环越来越强。","","","","",""
"""""","narrator_fa167b22","这将全部转化成莎拉的力量。","","","","",""
"S """"","S_09550122","啊啊啊！！！","","","","",""
"""""","narrator_e04e09cf","一种难以形容的情感，夹杂着恐惧、愤怒和快乐，或者将它们连接成一种不可阻挡的力量… ","","","","",""
"""""","narrator_e075e1fb","以前的训练是有意义的。","","","","",""
"""""","narrator_f70bdd1b","所有的努力，似乎就在等待着一刻。","","","","",""
"S """"","S_aa94e6fe","燃烧… 我要燃烧！","","","","",""
"S """"","S_9d6ae832","啊啊啊… ","","","","",""
"""""","narrator_298b40cf","难以置信的意志力来避免在这种持续的快乐攻击中失去理智。","","","","",""
"""""","narrator_a24e25b7","莎拉在这样的多重折磨下，身体处于了巅峰状态，她可以无意识地感受到她身上的力量。","","","","",""
"""""","narrator_d1be0154","她要将触手的力量化为己用。","","","","",""
"S """"","S_2809cfa8","改变，我渴望改变。","","","","",""
"S """"","S_9c10e21d","Mmmg!!!","","","","",""
