location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_49182d9a,I'd like to talk about my training...,,,,,
"A """"",A_19312488,"Alright, what exactly would you like to talk about?",,,,,
"A """"",A_541e0be0,"So, are you done?",,,,,
"S """"",S_79f17f5a,N-not yet...,,,,,
"A """"",A_607a407d,What're you waiting for then?,,,,,
"S """"",S_bbd0fc38,A-alright...,,,,,
"S """"",S_789436ce,So I just have to... play with myself?,,,,,
"A """"",A_14109863,"Not exactly. I was really surprised when you told me you masturbate so little. This task is simple and pleasurable, all you have to do is...",,,,,
"A """"",A_44f366e5,"You have to start masturbating more often. Have you done so here, in this room already?",,,,,
"S """"",S_134c2991,What??? No... I've not done it here...,,,,,
"A """"",A_fc6d20e2,"Well, let's start with fixing that.",,,,,
"S """"",S_9043308f,"Don't tell me I have to do it right now, in front of you...",,,,,
"A """"",A_bd36a037,"Hah, do you want to?",,,,,
"S """"",S_3a711ab5,!!!,,,,,
"S """"",S_f5fcd04a,No! I prefer to do it when I'm alone. So... I should do it and then just call you?..,,,,,
"A """"",A_23969dfa,"Yes, you are correct.",,,,,
"S """"",S_5307ec8d,(Sounds simple enough. I definitely won't have any problems with this!),,,,,
"A """"",A_9576a6b3,Any questiongs?,,,,,
"S """"",S_39b6b7dd,No.,,,,,
"A """"",A_ce2967f7,"Alright, I'll be waiting for you then.",,,,,
"A """"",A_94e069c6,"I see you weren't wasting your time, ahaha!",,,,,
"S """"",S_e9a34699,Why prolong the torture?,,,,,
"A """"",A_0c8cbb1b,"Well, tell me, how was it?",,,,,
"S """"",S_c2474926,"W-what do you mean, 'how was it'? I did it, everything went according to plan.",,,,,
"A """"",A_c5644ba3,"No-no-no. You misunderstood me, you have to tell me everything that happened, with details.",,,,,
"S """"",S_ffe2c9d7,Huh? Details? W-what do you mean everything? I thought I just had to call you and tell you I did it...,,,,,
"A """"",A_98740744,"Ehehe, nope, you were wrong. You also have to tell me how you did it.",,,,,
"S """"",S_1d86a109,(Damn... telling somebody about that wasn't something I ever thought I would ever do...),,,,,
"S """"",S_7ab5f9a5,Eh... Well I...,,,,,
"S """"",S_6da27922,{size=-5}I used that poster on the wall...{/size},,,,,
"A """"",A_cd161ba4,The poster? So you found it useful too! Ahahaha!,,,,,
"S """"",S_7055fb66,"S-stop... I needed to relax and that isn't easy here, so I had to use everything I could.",,,,,
"A """"",A_88ee38d8,"Ahah, I'm happy you found a use for it.",,,,,
"A """"",A_45c12ccc,I found a use for it in the past too. Have you imagined her to be a savage from the wild too?,,,,,
"S """"",S_3a711ab5_1,!!!,,,,,
