location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"C """"",C_d9037846,(脱衣服吧！我们可以开始下一步了。),,,,,
"S """"",S_06205f29,该死，你不觉得这样很傻吗？,,,,,
"C """"",C_e83a7023,(你为什么每次总要抱怨，做到这一点又对于你来说不难。),,,,,
"S """"",S_c75e2324,(知道了，只需要调整好呼吸就可以了，这跟我们人族的瑜伽一样。别傻傻的以为我什么都不知道，这样有意思吗？),,,,,
"C """"",C_d4a19a2c,(有意思，你知道得还真多呀！),,,,,
"S """"",S_62b2ee38,哼！当然呢。,,,,,
"C """"",C_e2eb235d,(那就结合你的方法做吧！让我见识一下你们人类的方法吧！),,,,,
"S """"",S_41bb882a,我希望这句话没有讽刺的意思。,,,,,
"C """"",C_14c6af64,(当然，我可是由衷的。),,,,,
"S """"",S_c3c2955d,知道吗？其实我一直不敢完全相信你。,,,,,
"C """"",C_0b039f8c,(当然，因为你们人类一直都是狡诈的生物。),,,,,
"S """"",S_9a4828c7,(说我们人类狡诈吗？那你们虫族把我关起来，逼迫我完成你们变态训练，那么这又算什么呢？......),,,,,
"C """"",C_c73a575b,(这是女王的陛下的命令，像我这种低级的生物，是没有权利过问的。),,,,,
"S """"",S_ae6a3933,你以前已经说过这个，不需要再重复了，现在请让我安静一会儿......,,,,,
"""""",narrator_245ad45d,这个时候，斯图科夫拿着的装置进入了房间。,,,,,
"Aside9 """"",Aside9_5c98b122,嗨，想我了吗？我今天心情不错，要开始下一步训练吗？,,,,,
"""""",narrator_fac0682f,斯图科夫终于看见莎拉光着身子站在房间中央，他惊喜得两眼放光。,,,,,
"A """"",A_5ab188ce,......非常好，我喜欢这突如其来的惊喜，哈哈哈！,,,,,
"S """"",S_40a1beff,(该死的，他还是一如既往的贱！),,,,,
"A """"",A_dc4d3067,懂得举一反三，你是我见过最出色的调教对象。,,,,,
"S """"",S_bb0c7833,我只是在为新的练习做准备。,,,,,
"S """"",S_6f4968b0,只是为了我的训练！,,,,,
"A """"",A_63daa6a5,酷毙了，你是怎么想出裸奔这样的方法！,,,,,
"S """"",S_fb44a4d7,当然不是我想的，实际上是塞蒙。,,,,,
"C """"",C_e2f6a987,(我并没有强迫她，很明显是小莎拉想要用身体勾引你。),,,,,
"A """"",A_819d3ca1,哈哈哈！她成功了！,,,,,
"S """"",S_bbf1bed0,(你这个白痴，为什么要胡说八道......),,,,,
"C """"",C_94ff50d4,,,,,,
"C """"",C_f2ea7f14,,,,,,
"S """"",S_f5e724c2,骗子，你这个骗子！,,,,,
"A """"",A_c18f8146,塞蒙，至少我从你的话语中看到了莎拉无限的可能性。,,,,,
"A """"",A_09e3b192,简直无下限，这让我大吃一惊。,,,,,
"S """"",S_d5760b6a,！！！,,,,,
"S """"",S_75e8e13d,(该死的，我早就应该知道他们是一伙的，现在的斯图科夫的鸡巴又硬了起来，他似乎对我有了新想法......),,,,,
"""""",narrator_2d9ca1e3,不知为何，莎拉竟然有了一种自豪感。,,,,,
"A """"",A_b8554494,我知道你喜欢赛蒙为你准备的训练方式。,,,,,
"S """"",S_648d3bc8,根本谈不上喜欢，我只是都是被动的接受。,,,,,
"A """"",A_ac8743db,那么，你清楚训练的目的是什么吗？,,,,,
"S """"",S_355d9441,塞蒙说这样能更好集中我的注意力。,,,,,
"A """"",A_4684fc08,嗯，说的对，我想这会对你有所帮助的。,,,,,
"A """"",A_220f38b8,放松心情，这也是很重要的。,,,,,
"S """"",S_4f4fe391,别用这样好色的眼神似乎要吃人的眼神看着我，我简直觉得恶心。,,,,,
"A """"",A_df5d4053,毕竟我是一个正常男人，你看见我的鸡巴勃起了吗？,,,,,
"S """"",S_a4311dba,变态，这才不关我的事！,,,,,
"A """"",A_15d6d27c,说点正经的，你没发现自己有些不同了吗？,,,,,
"S """"",S_4347a523,有些不同？是关于哪个方面的？,,,,,
"A """"",A_0fc57fa0,这里不受重力的影响，长时间进行训练，如果你能回到你的星球上去，你会发现自己的力量比以前大了好几倍。,,,,,
"S """"",S_82df977a,但是，我为什么从来没有感觉到，而且我真的有机会，可以回到我的族人当中去吗？？,,,,,
"A """"",A_be37447d,或许，你跟我一样喜欢上了这里，再也不想回去了吧！......,,,,,
"S """"",S_30bb84a5,(他脑子有病吧！谁会跟他一样？。),,,,,
"A """"",A_27b8c25b,我跟你一样进行训练，想知道我现在能举起多重的物体吗？？？,,,,,
"S """"",S_a88d5ce9,不想，我对你没兴趣！！,,,,,
"A """"",A_b67e9779,一百公升的水！我在模拟重力的试验室里，我一只手就能把轻易举起一百公升水,,,,,
"A """"",A_ab271953,是不是很惊人？！,,,,,
"S """"",S_68edfa6a,你在开玩笑，你以前你是一头牛吗？,,,,,
"A """"",A_52be9907,……,,,,,
"A """"",A_626d985a,是真的......我知道你很难信服......,,,,,
"A """"",A_52be9907_1,……,,,,,
"A """"",A_e4cf38cd,,,,,,
"A """"",A_78511cfb,,,,,,
"A """"",A_c87d971a,你必须听我的，因为我是一位经验丰富的训练师。,,,,,
"""""",narrator_796fb00e,斯图科夫迫不及待地开始脱自己的衣服，然后把它们丢在一旁。,,,,,
"S """"",S_d5760b6a_1,！！！,,,,,
"S """"",S_c1512d4a,嘿，变态你想干嘛？别这样把衣服扔得到处都是......,,,,,
"A """"",A_85664d53,这不是显而易见的吗？你现在的样子几乎让我疯狂。,,,,,
"S """"",S_188c8aba,是的，我可以看出来......,,,,,
"A """"",A_9758a0c6,脱下了这该死的衣服，舒服多了......,,,,,
"A """"",A_128e9089,现在我也裸奔了，有我陪着你，是不是觉得更有自信多了。,,,,,
"S """"",S_2bf74ed2,不，这更遭。,,,,,
"S """"",S_4f846723,,,,,,
"S """"",S_b5197431,,,,,,
"A """"",A_d1a0ed0c,别担心，这需要时间，我们的身体会习惯彼此的。,,,,,
"A """"",A_8f73c053,你现在有没有什么想去的地方？,,,,,
"S """"",S_3cc950ec,想去的地方？你干嘛突然这么问？？？,,,,,
"A """"",A_69e99cfe,出去走走怎么样？我会陪着你的。,,,,,
"S """"",S_18352566,就这样光着身子走？,,,,,
"S """"",S_78c3bbdd,让我光着身子跟你一起走，哦不，我做不到！,,,,,
"A """"",A_06e55976,皇帝的新装这个故事你知道吧？你就假装，我们两个人都穿着最豪华的衣服。,,,,,
"S """"",S_10d34220,……,,,,,
"S """"",S_5454947e,虽然这是个糟糕的主意，但我知道你同意的事，我是无法改变的！！！,,,,,
"A """"",A_00bef693,你同意了吗？那么，我们现在就开始走吧。,,,,,
"A """"",A_98eab60d,*兴奋地抽搐*,,,,,
"A """"",A_a7a025b8,*怪笑*,,,,,
"A """"",A_a52909a7,感觉到了吗？我感觉到我们的幸福生活就快来临了。,,,,,
"S """"",S_a69bbcb6,不会幸福的，这里没有我想要的生活......,,,,,
"A """"",A_c0900c2f,你想好我们要去的地方了吗？,,,,,
"S """"",S_b363b8b9,让我选择吗？不是从一开始就是你的主意吗？,,,,,
"A """"",A_bf8cac5b,好吧！也可以这么说。,,,,,
"A """"",A_71edcf80,我带你参观一下飞船怎么样？你以前不是一直对那里感兴趣吗？也许这对你的逃跑游戏会有所帮助的。,,,,,
"S """"",S_5bf855f9,...... 你真的会这么好心？还是你知道我们身处太空，我就根本逃不掉。,,,,,
"A """"",A_8479bf65,当你每一次爬到墙上被卡住的时候，你又想过这些问题吗？,,,,,
"S """"",S_10d34220_1,……,,,,,
"S """"",S_abc5bb84,好吧！你赢了，我事实上就是想给予自己一点心灵上的安慰。,,,,,
"""""",narrator_b7336142,*摩擦* *摩擦* *摩擦*,,,,,
"""""",narrator_86bfa3c9,莎拉刚睁开眼睛就看见了一个全裸的斯图科夫。像狗一样出现在她的面前，一边猥琐地笑着，一边还在自己自慰着。,,,,,
"A """"",A_20b42d77,嘿。早上好。,,,,,
"S """"",S_050cc4d6,有你这样一个变态在我面前晃悠，我怎么可能好起来？,,,,,
"A """"",A_4fedf61e,我以为你会像大多数女人一样，喜欢这个玩意的。,,,,,
"S """"",S_1c0b869c,没有一个正常女性，会喜欢变态！,,,,,
"A """"",A_d381761a,你爱怎么想就怎么想吧！想好，今天要去哪里转转了吗？,,,,,
"S """"",S_83b5471d,现在就走吗？可我还没吃早餐呢？,,,,,
"A """"",A_2fe67d17,少吃一顿饿不死你，我都已经迫不及待了。,,,,,
"S """"",S_7640462c,反正有你在这里，我也不会有什么胃口，走吧！,,,,,
"A """"",A_96eefe09,要不然，我等你几分钟也是可以的。,,,,,
"S """"",S_caeee25d,不用了，我只想知道你带我这样瞎逛真的有作用吗？,,,,,
"A """"",A_6b4b9c2f,当然有呢！不信你可以问塞蒙证实这一切。,,,,,
"S """"",S_20b801b2,不用了，有你一个变态就已经够了，我们走吧！。,,,,,
"A """"",A_63510460,感觉你今天好像不一样了，想好我们要去哪里了吗？,,,,,
"""""",narrator_89dcb10f,莎拉从床上爬了起来，开始环顾了一下整个房间，在确定斯图科夫不在这里，她才长舒了一口气。,,,,,
"S """"",S_04e825c1,太好了，那个死变态没有来,,,,,
"S """"",S_c991ed82,(他难道有事要忙，太好了，我得救了，不用被强迫跟他一起去任何地方！),,,,,
"S """"",S_45b943f1,(其实，总呆在这里想当非常无聊。),,,,,
"C """"",C_eb84d8a5,(当然，适当的出去运动运动，可以缓解你的精神压力，这样对训练会更有帮助的。),,,,,
"S """"",S_23b7a0fb,我依然讨厌散步吗，但我承认你说的有几分捣乱。,,,,,
"S """"",S_d931dbce,那么，我今天该干什么呢？......,,,,,
"A """"",A_e0ed9b69,亲爱的莎拉，我很高兴你能想起我，事实上，刚才我才对着你的全息图自慰了一次！,,,,,
"""""",narrator_d92dd7ef,莎拉对斯图科夫竖起了中指，露出了一个鄙视的表情。,,,,,
"S """"",S_28cf41ae,我知道。,,,,,
"A """"",A_b87eabf2,今天要我陪你散散步吗？,,,,,
"S """"",S_af30ecb4,我很诧异，你为什么今天没有来？,,,,,
"A """"",A_9fb9d77e,我昨天喝大了，不过你能主动找我，还真是一个惊喜。,,,,,
"S """"",S_fd63bc28,是吗？我对你有些失望，还以为你能一如既往的陪我一起训练呢！,,,,,
"A """"",A_22dfd565,也许，你只是你的借口吧！你从内心是其实是想让我陪你转转的。,,,,,
"S """"",S_69b5f597,恶心，你总是这样自以为是！,,,,,
"S """"",S_0db10a96,如果你还是采用这样的方式说话，那么我们很难再交流下去。,,,,,
"""""",narrator_27ee8a45,斯图科夫压住心中的怒火地看了莎拉一眼，但很快就恢复了常态，继续说下去。,,,,,
"A """"",A_f44f4fd0,耐心点宝贝，你很快就会体会到其中的乐趣的。,,,,,
"S """"",S_f0c587f9,是吗？那么，我们就拭目以待吧！,,,,,
"A """"",A_f55c4390,知道吗？你就连生气时候的样子也特别可爱。,,,,,
"A """"",A_ae28e5b3,宝贝，来散散步怎么样？,,,,,
"S """"",S_fccdaf86,好吧！我答应你。,,,,,
"A """"",A_f7722bf6,万岁！,,,,,
"""""",narrator_9c251875,斯图科夫急冲冲的挂断跟莎拉通话的工具，然后来到了莎拉的房间。,,,,,
"A """"",A_8b43b6ef,想好今天去哪了吗？,,,,,
"S """"",S_02bce506,我们去访问一下女王陛下吧！,,,,,
"A """"",A_ca08c37c,你对女人更感兴趣吗？也许我早该注意到你的怪癖！,,,,,
"S """"",S_123045f2,你要小心说话，当心被人割了舌头，我找女王陛下，只是因为，她也许能帮我建立与蜂群的联系！,,,,,
"A """"",A_e3fb5ed3,是吗？也许人家根本不吃你这一套。,,,,,
"S """"",S_3a2cf120,就算倒霉，我也会拉你做垫背！,,,,,
"S """"",S_71b9bccd,(该死的斯图科夫，简直是个毒舌！),,,,,
"""""",narrator_d593bc6c,在通往王座的路上，斯图科夫一直不停跟莎拉聊着各种无聊的问题，莎拉觉得他非常无聊，最后，他们终于到达了目的地。,,,,,
"A1side2 """"",A1side2_88637c8d,好了，我们到了。,,,,,
"""""",narrator_f730838b,当莎拉和斯图科夫进入她的私人领地时，女王惊讶地看着他们。,,,,,
"Q """"",Q_1d36fb21,你的转变真让我吃惊，难道只是为了让我看这个吗？,,,,,
"S """"",S_821d90a6,(我简直不敢相信，自己竟然会做出这么愚蠢的事！！！),,,,,
"S """"",S_4694aa7d,女王陛下，您听我说，我是为了让自己静下来，才保持裸体的，塞蒙说衣服的材料，干扰了我跟蜂群之间的联系......,,,,,
"Q """"",Q_dbb0830e,真是有趣的言论，斯图科夫竟然也支持你这么胡闹。,,,,,
"Q """"",Q_3c5f6cd0,也许是你们地球人的一种风俗，算了，我也不处罚你们了！,,,,,
"Q """"",Q_7b7f0cfc,我倒是很想问问塞蒙，它是怎么说服你的。塞蒙，你还是自己出来跟我们解释一下吧！,,,,,
"C """"",C_8d9eb01f,(是的，女主人，这个练习，其实也处于测试阶段，我和莎拉一直都很努力的尝试跟蜂群建立更紧密联系。),,,,,
"C """"",C_9a637608,(经过我的观察，我从她身上看到了无穷的潜力，我认为她是完美的试验品。),,,,,
"Q """"",Q_634661f0,是吗？身为虫族的智囊团队之一，我很少听见你们这么夸奖一个人。,,,,,
"Q """"",Q_4437da03,那就继续帮助她吧！对于目前跟她和合二为一的你来说，这是她的荣耀，也是你的荣耀......,,,,,
"Q """"",Q_74cd398b,斯图科夫你有没有情况要向我汇报呢？,,,,,
"A1side4 """"",A1side4_0f229698,女主人，也许莎拉更能把这些事情解释清楚。,,,,,
"S """"",S_c5227583,这么看着我干什么？,,,,,
"S """"",S_6c8d53ca,(这眼神简直让人感到窒息......),,,,,
"""""",narrator_49062b7a,女王的目光扫过莎拉的身体，然后又转向斯图科夫的赤裸裸的身上。,,,,,
"Q """"",Q_ec7d1836,莎拉，跟我谈谈你对男人的性器官的理解怎么样......,,,,,
"S """"",S_b590d489,什么，让我说那个？,,,,,
"Q """"",Q_fdf84d13,我一直非常感兴趣，你们人类是怎么看待这个问题的？,,,,,
"S """"",S_6c78b5c4,让我想想。,,,,,
