location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_f379c3a4,Portami da Abathur.,,,,,
"A """"",A_58dbad04,"Heh, quindi hai deciso di accettare l'offerta di Abathur.",,,,,
"S """"",S_fdf80ec5,,,,,,
"A """"",A_e40c5f48,"Va bene, seguimi allora.",,,,,
"""""",narrator_9b28ab2a,Stukov e Sarah si diressero verso la Sala dell'Evoluzione.,,,,,
"A """"",A_f948b706,Eccoci qui. Sai cosa fare.,,,,,
"A """"",A_1305f8e7,"Aspetterò qui, come al solito.",,,,,
"""""",narrator_9f6c9013,"Le porte si aprirono davanti a Sarah, un altro incontro con Abathur la attese.",,,,,
"AB """"",AB_589c9e88,"Terran arrivò, pronto per iniziare.",,,,,
"S """"",S_262d2c7f,Eh? W-cosa? Non spiegheresti almeno qualcosa?,,,,,
"AB """"",AB_2530bc6d,"Troppe domande 2504 esperimenti condotti. 1 ritenuto successo. Risultati accettabili, non sono necessari ulteriori test.",,,,,
"S """"",S_c571dca3,(J-proprio come questo ...),,,,,
"S """"",S_ac4dd6df,Non so nemmeno cosa sto firmando per ...,,,,,
"AB """"",AB_18db8630,"Il design deve essere semplice. Elegante. Implementazione, meno così.",,,,,
"S """"",S_753ce766,Cosa devo fare?,,,,,
"AB """"",AB_f6403bb3,Ingerire organismi. Attendi effetti. L'evoluzione richiede tempo. L'essenza terrestre impone condizioni difficili. Troppo debole.,,,,,
"S """"",S_36c73fc8,I-ingerire?,,,,,
"AB """"",AB_65c97b77,"Sì, l'opzione ottimale. Mangiali.",,,,,
"S """"",S_34199a59,,,,,,
"S """"",S_5f290dbb,,,,,,
"S """"",S_c4c3ea75,(Questo è senza dubbio disgustoso ... Ma devo farlo.),,,,,
"S """"",S_e81bfd28,"Va bene, lo farò ...",,,,,
"""""",narrator_121f944a,Sarah si sedette lentamente a terra.,,,,,
"ABside4 """"",ABside4_861a2570,"La materia morta deve essere rimossa. Hanno distrutto la materia morta su altri organismi. La padrona ha ordinato di preservarli. Intento sconosciuto, ma ordine capito.",,,,,
"S """"",S_34199a59_1,,,,,,
"S """"",S_57760df7,"(Cazzo, lo sapevo ...)",,,,,
"ABside2 """"",ABside2_da2c840a,Sii più veloce.,,,,,
"S """"",S_5f290dbb_1,,,,,,
"S """"",S_16d309bb,Va bene.,,,,,
"""""",narrator_c43f6215,Sarah ha prontamente rimosso i suoi indumenti e li ha messi a terra accanto a lei.,,,,,
"ABside1 """"",ABside1_45966a76,Inizieremo,,,,,
"""""",narrator_f6371875,"Sarah sedeva proprio di fronte ad Abathur, senza alcuna conoscenza di ciò che l'attendeva.",,,,,
"ABside1 """"",ABside1_8912f90b,Posizione ottimale per l'ingestione. Processo di inizio,,,,,
"S """"",S_b463b829,Sì? .. Non ho nemmeno pagato niente ...,,,,,
"S """"",S_eead84fa,(È tutto merito di come ottengo il cibo qui ...),,,,,
"""""",narrator_21b06b9a,Abathur raddrizzò il suo corpo e torreggiò su Sarah.,,,,,
"S """"",S_1b703c3c,(Aaah ??? D-ha appena esteso se stesso o qualcosa del genere? Quanto è grande è veramente?),,,,,
"AB """"",AB_20a23388,Inizia la produzione dell'organismo. Preparati ad ingerire.,,,,,
"""""",narrator_3ea97418,Varie creature minuscole hanno iniziato ad apparire nella bocca di Abathur e ha iniziato a emettere un suono molto strano.,,,,,
"S """"",S_7d43b3c0,"Aspetta, come potrei mangiarli? Non puoi semplicemente ... darmeli?",,,,,
"AB """"",AB_7c900c7a,"Gli organismi sono fragili Dentro di me, al sicuro.",,,,,
"AB """"",AB_d02fc227,Trasferimento iniziale,,,,,
"S """"",S_34199a59_2,,,,,,
"S """"",S_546131f9,"S-stop, non solo ...",,,,,
"S """"",S_ed11986a,(Aaah ??? T-stanno venendo già ...),,,,,
"S """"",S_25fdad47,Mngh ... ah ... ,,,,,
"S """"",S_d0498839,,,,,,
"S """"",S_16362214,(Ahh ... no ... questo è strano ... ahh ... stanno dimenando ...),,,,,
"AB """"",AB_2ba9e938,"Organismi ingeriti attivati, più richiesti.",,,,,
