location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_42225baf,"""Королева Клинков медленно приближалась к Лиззаре, сгорая от предвкушения.""",,,,,
,S1_6479db8c,"S1 ""Как я рада снова видеть тебя!""",,,,,
,L_47611823,"L ""(Это не взаимно...)""",,,,,
,S1_4a226aa8,"S1 ""Возможно, я бы очень разозлилась на твою фразу, но впереди нас ждет кое-что настолько увлекательное, что я пропущу это мимо своих ушей.""",,,,,
,L_9fe859f4,"L ""(Увлекательное? Что извращенный разум может принимать за увлекательное?)""",,,,,
,S1_1dbff532,"S1 ""Не волнуйся, рано или поздно ты все узнаешь. Но будет не так весело, если я раскрою все карты с самого начала.""",,,,,
,S1_f56cf277,"S1 ""Я уже не могу дождаться, когда мы наконец приступим! Черт, это предвкушение может свести с ума, хи-хи.""",,,,,
,L_53930c75,"L ""(Мне все это не нравится...)""",,,,,
,narrator_546beabe,"""Лиззара чувствовала себя еще более не комфортно, чем в их первую встречу. Дикий и похотливый взгляд девушки пугал ее. Но еще больше ее пугала неизвестность.""",,,,,
,L_7309a9ff,"L ""(Т-ты собираешься причинить мне вред?)""",,,,,
,S1_824e030a,"S1 ""Что?""",,,,,
,S1_9b7bfa1c,"S1 ""Нет же, глупышка. Не в моих интересах портить тебя.""",,,,,
,L_de8d34a5,"L ""(Тогда что меня ждет?)""",,,,,
,S1_8b34530d,"S1 ""Осталось недолго... Ты скоро все-е-е узнаешь, хи-хи.""",,,,,
,S1_bb3a6679,"S1 ""Прекрасно...""",,,,,
,narrator_34459861,"""Лиззара без раздумий сделала попытку пошевелиться, но ее тело не слушалось.""",,,,,
,L_2306fd44,"L ""(Ч-что происходит? Почему я не могу пошевелиться?!)""",,,,,
,narrator_24a26d60,"""Протосс прилагала все силы, чтобы сдвинуться с места, но ее попытки были обречены на провал.""",,,,,
,S1_2310f20f,"S1 ""Перестань напрасно растрачивать энергию, это бесполезно.""",,,,,
,L_e4205be7,"L ""(Перестать?! Тогда скажи, что ты собралась делать со мной?)""",,,,,
,S1_2fd84186,"S1 ""К чему все эти переживания? Просто небольшая процедура. Настало время снова немного улучшить твое прекрасное тело.""",,,,,
,L_fb1d0380,"L ""(О чем ты вообще говоришь? Процедуры?)""",,,,,
,S1_41d551c9,"S1 ""Не процедуры, а процедура. Всего одна безвредная процедурка.""",,,,,
,S1_8f7da4d9,"S1 ""А ты очень любопытная, Лиззара. Все тебе нужно знать...{w} Хм...{w} раз мы уже здесь, можно и рассказать тебе о моих великолепных планах на тебя.""",,,,,
,L_b94bfc5a,"L ""(Что вообще творится в твоей голове? Что за безумие ты придумала на этот раз?)""",,,,,
,S1_24a56bd6,"S1 ""Ничего безумного. Твое тело прекрасно, но... Ему все еще есть куда совершенствоваться. Я хочу изменить в тебе кое-какую деталь.""",,,,,
,S1_d166d3cd,"S1 ""Создать из тебя еще более совершенное существо, хи-хи.""",,,,,
,L_2e6e7eca,"L "" (C-создать?)""",,,,,
,S1_0d3de4ea,"S1 ""Что тебя в этом так удивляет? Это тело тоже было другим раньше, более хрупким и менее податливым изменениям.""",,,,,
,S1_51722854,"S1 ""Хм, оно все еще далеко до моего идеала, но и мои совершенствования пока не окончены. Как и твои, хи-хи.""",,,,,
,L_f46a1988,"L ""(Я протосс! Это зерги поддаются постоянной... мутации. Но мы другие! Со мной так нельзя!!!)""",,,,,
,narrator_4dfdf666,"""На Лиззару накатывала паника от мысли, что ее тело как-то изуродуют или сделают с ним что-то неприемлемое.""",,,,,
,S1_0d09298f,"S1 ""Расслабься, в большинстве ты останешься такой же. Нет необходимости в масштабных изменениях.""",,,,,
,S1_28f332e9,"S1 ""Просто для наших игр тебе не хватает кое-чего очень важного. Мы не можем обойти этот вопрос стороной.""",,,,,
,L_eb0494e7,"L ""(Ты серьезно хочешь менять мое тело ради своих забав?)""",,,,,
,S1_ecfa7f54,"S1 ""Да... *зевок* Мне надоедает говорить об этом. Мы здесь не ради пустой болтовни собрались.""",,,,,
