location,source,target,ID,fuzzy,context,translator_comments,developer_comments,gametemplate
,narrator_674fd925,"Вы уже видели данную сцену, хотите ли ее пропустить?",,,,,,"""%%"""
,A_3bcc08ba,"Ну что ж... Поздравляю, у тебя всё-таки это получилось.",,,,,,"A ""%%"""
,S_7cceabbd,"Что-то ты совсем не выглядишь удовлетворённым. Хотя я своими глазами видела, что тебе всё понравилось.",,,,,,"S ""%%"""
,S_354f57ad,"Не можешь смириться с тем, что я тебя победила? Но разве не этого ты добивался?",,,,,,"S ""%%"""
,A_69a782ce,"Да, этого, ты абсолютно права...",,,,,,"A ""%%"""
,S_2a2c2675,Ну так что там дальше? Этим дурацким тренировкам наконец настанет конец?,,,,,,"S ""%%"""
,A_8c3f52dc,"Да нет, ты что. Дальше будет только интереснее...",,,,,,"A ""%%"""
,S_b04f4595,"Да? Хм, по тебе не скажешь. Я точно всё сделала правильно?",,,,,,"S ""%%"""
,A_a250c876,Дело не в этом. Просто... Следующий этап потребует от тебя определённого преображения.,,,,,,"A ""%%"""
,S_c8429101,"Чёрт. Следовало догадаться, что такими темпами я вскоре стану похожа на одну из ваших зверушек...",,,,,,"S ""%%"""
,A_fdc29756,"Да не переживай, ты станешь только лучше. Посмотри на меня! Моё тело преобразилось только в лучшую сторону. Качественный, и не только, рост!",,,,,,"A ""%%"""
,S_76e9f2a0,У меня же не вырастет такая рука?,,,,,,"S ""%%"""
,A_d18dd633,"Вообще я говорил про член, но... Ни то, ни то тебе не грозит. По крайней мере, в ближайшее время.",,,,,,"A ""%%"""
,S_cebecdc1,"Вообще крайне удивительно, что ты не радуешься тому что я выполнила все твои извращённые задания. Я думала, в конце ты будешь так мерзко ржать, как обычно. Как придурок...",,,,,,"S ""%%"""
,A_0ae830a2,"Понимаешь... Когда-то давно я был совсем как ты. Не в смысле с дыркой, нет, у меня всегда был красавец-член, просто... У меня была любимая жена. И да, она была с дыркой.",,,,,,"A ""%%"""
,S_cfa097d8,"Продолжай, только меньше про дырки, пожалуйста...",,,,,,"S ""%%"""
,A_b599a574,"Я много лет её уже не видел, да и вряд ли уже увижу снова...",,,,,,"A ""%%"""
,S_588b2f14,Ну... Такое бывает на войне. Порой мы теряем самых близких...,,,,,,"S ""%%"""
,A_d7c6255e,"Но ты... Ты так напоминаешь мне её сейчас. Пока ты ещё в этом состоянии, я смотрю на тебя и порой вижу её.",,,,,,"A ""%%"""
,S_2fc1a4bf,"Это потому, что у меня тоже дырка?",,,,,,"S ""%%"""
,A_9b1251c1,...,,,,,,"A ""%%"""
,S_98f50ffb,"Ладно, прости. Просто... Не ожидала от тебя чего-то подобного. Ну... Я же всё ещё буду тут, да и ты сказал, что первое преображение не особо серьёзное. Неужели я буду... Совсем другой?",,,,,,"S ""%%"""
,A_2eff8010,"Твоё тело действительно немного преобразится. И ты уже будешь меньше похожа на обычную женщину. А я так хотел провести несколько тренировок, пока ты ещё в старом обличии.",,,,,,"A ""%%"""
,S_efe8ecd4,"Вот оно что. Ну тогда понятно, почему ты так расстроен. Неужели твои грязные фантазии нельзя как-то... Забыть?",,,,,,"S ""%%"""
,A_22fcadff,"Я просто надеялся сделать кое-что с тобой, словно со своей женой. Вернуться, так сказать, на несколько часов домой...",,,,,,"A ""%%"""
,S_7eebda66,"Даже не знаю, что тебе сказать. Ты говоришь про...",,,,,,"S ""%%"""
,A_f3ca6ad5,"Да. Такой...Своеобразный супружеский долг. Я думал, это будет хорошей тренировкой. Надеялся оставить её, как запасной вариант. Но раз уж ты со всем справилась, всё, что я могу - это поздравить тебя...",,,,,,"A ""%%"""
,S_738378a3,"Это какое-то безумие. Я ждала от тебя чего-то подобного, но вот чтобы прям так...",,,,,,"S ""%%"""
,A_20b89218,Я... Я действительно должен был это сказать. Хотя бы чтобы ты знала...,,,,,,"A ""%%"""
,S_492df74c,"Хорошо. Но ты же не рассчитывал, что я вот так же по инерции пожалею тебя и соглашусь?",,,,,,"S ""%%"""
,A_e7bf850b,Ну... Вообще я бы не отказался от такого сценария. Но я не волен тебя заставлять. Это не входит в твои обязательные тренировки. Я никогда не принуждал к этому свою супругу.,,,,,,"A ""%%"""
,S_c7eb3e26,И слава богу. Давай тогда больше никогда не будем касаться этого диалога. А сейчас я бы очень хотела помыть руки...,,,,,,"S ""%%"""
,A_f811edbb,"Хорошо, ты можешь идти. Я сообщу, какой наш следующий этап.",,,,,,"A ""%%"""
,A_5857cc06,Мне нужно сделать пару воночков в соответствующие органы.,,,,,,"A ""%%"""
,S_ac19c2c2,Надеюсь не в половые.,,,,,,"S ""%%"""
,A_9b1251c1_1,...,,,,,,"A ""%%"""
,C_e7c7a9df,(...),,,,,,"C ""%%"""
,S_68c082b8,Что???,,,,,,"S ""%%"""
,S_e6a86f17,Да нормальная же шутка!,,,,,,"S ""%%"""
