"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_rEFFohHh","So, what's your assignment going to be?","","","","",""
"M """"","M_nzDmkeLp","It's very simple.","","","","",""
"M """"","M_MpCpgyPn","You could have already noticed what qualities of yours might interest me most.","","","","",""
"M """"","M_CQT9jLSs","Now you have to prove that you have them in full.","","","","",""
"M """"","M_JnLb8gU2","Then and only then will I be ready to give you my essence.","","","","",""
"S """"","S_HjGToECy","I thought I had already won your favor.","","","","",""
"M """"","M_giP6kpSd","Favor, maybe, but not trust.","","","","",""
"M """"","M_XKsfQq4i","I hope you didn't think it was so easy to impress me?","","","","",""
"S """"","S_ZJBDzePz","Of course…","","","","",""
"S """"","S_dXbCqFwA","(It was easy to impress just one creature. I don't even count on a second instance of such luck.)","","","","",""
"M """"","M_CisNZR5P","If you are mentally prepared, then we can reveal all the cards.","","","","",""
"S """"","S_fw2hZLzP","Let's say I'm ready.","","","","",""
"M """"","M_fsVom8qE","That's enough for me…","","","","",""
"M """"","M_tqTZ8DXW","A special test awaits you. I hope that it will be a novelty for you.","","","","",""
"M """"","M_mmYKpiLa","It will only be more interesting this way!","","","","",""
"S """"","S_Uc9GBkR4","And what is it?","","","","",""
"M """"","M_G7btskjF","I like your attitude.","","","","",""
"M """"","M_aTVfHiyo","The point is to find out who fucks better.","","","","",""
"S """"","S_fEsLsEt5","Fucks?","","","","",""
"M """"","M_3uwYt7DY","Exactly.","","","","",""
"M """"","M_SpMnDktj","I was interested in your idea of a live incubator.","","","","",""
"M """"","M_E2C7pfoR","That doesn't look much like what will happen in the end. But your idea gave me the idea of what I want to see from you.","","","","",""
"S """"","S_7Pwm2mE7","It's still not clear to me exactly what you want from me.","","","","",""
"M """"","M_TkjYoWTe","I have not been able to procure a device that would show who is better at wielding a cock.","","","","",""
"S """"","S_CjKBnSwC","Hold on… Aren't you confusing anything?","","","","",""
"""""","narrator_RustJyTZ","Sarah looked at the mutalisk, and then at herself. The girl's gaze expressed bewilderment.","","","","",""
"M """"","M_b36LYYWk","No, I'm not even slightly confused.","","","","",""
"M """"","M_bgYGuBQp","You'll find out everything on the spot.","","","","",""
"M """"","M_JFd7HDkx","Anyway, we'll have to do everything the old-fashioned way, using a living being.","","","","",""
"M """"","M_ixppwTwn","There is a small issue of course, because of which you will have a slight advantage.","","","","",""
"M """"","M_M5eCL7Qx","Still, you don't have much experience, which means we are equal.","","","","",""
"S """"","S_jdvhhLGr","Well, that's just amazing.","","","","",""
"S """"","S_4kLLTnxL","But... how are we going to check how good they are?","","","","",""
"M """"","M_UUEqY7Hj","Don't worry, I have something for that. This mechanism was invented a long time ago! The main catch is to find a living being.","","","","",""
"S """"","S_XoX6zSsW","(Advantage… Did Mistress decide to entertain herself?)","","","","",""
"S """"","S_SQTZ6nYH","(I haven't seen her in a long time.)","","","","",""
"S """"","S_P3zZFFvG","And the penis...?","","","","",""
"M """"","M_dkTFyuDA","I'm starting to get the impression that you don't really need my essence. Or you don't want to participate in my trial, Sarah.","","","","",""
"S """"","S_HoYxCVWi","No, I sincerely don't understand.","","","","",""
"M """"","M_mEtWcP8t","Well, you may not have a penis right now.","","","","",""
"M """"","M_ZYXSNdm7","But if she could, that second one, then you can too! After all, you share the same body.","","","","",""
"""""","narrator_HvEdEY2x","Sarah tried to imagine how she would make herself a dick. How she would use it, almost like the Queen of Blades, and the thought made her shiver. The girl felt the muffled sensations that she remembered from a similar experience with the Queen of Blades in her dream.","","","","",""
"S """"","S_92jH7kW9","I don't even know… I've never done this and I haven't even thought about it. To journey to the other side of humanity…","","","","",""
"S """"","S_TsZampQJ","(This might be interesting.)","","","","",""
"S """"","S_nYcoSDqv","But I do not know exactly how to do it... create a dick for myself. Last time it was an unconscious act.","","","","",""
"M """"","M_hmQcjQ2y","Don't worry about that. The main thing is to try it once and everything will go on a whim.","","","","",""
"M """"","M_tH76zWhX","But I know for sure. If you've done it once before, then it's possible.","","","","",""
"S """"","S_93Fkcf3X","It was in my head once…","","","","",""
"S """"","S_bRRgquad","Can it even be counted? Despite the fact that everything was like the real thing…","","","","",""
"S """"","S_C4r9xBZk","And it would be difficult to call it a dream.","","","","",""
"M """"","M_cpbDfPRP","You think too much, give yourself to your inner instinct. I don't need your dry judgment today.","","","","",""
"M """"","M_TL3gKE8X","Unless you've changed your mind, of course.","","","","",""
"S """"","S_o2g87DLD","I... I need time to think about all this…","","","","",""
"M """"","M_m77phnm2","Hm... I don't approve of this approach, but the choice is yours.","","","","",""
"M """"","M_7EqLBbLL","Don't take too long with this, I'm looking forward to our competition.","","","","",""
"M """"","M_eQZZSFyh","Come when you feel ready.","","","","",""
"M """"","M_HzLnbWrt","Decided to tease me?","","","","",""
"M """"","M_RjxWdZ83","I'm looking forward to our competition…","","","","",""
"M """"","M_QFbV82nP","So what's your solution?","","","","",""
"S """"","S_mCFxRQHx","Let's get this over with right now.","","","","",""
"M """"","M_KLUXsmd8","Ready?","","","","",""
"S """"","S_93HqwaUf","Yes. I'm ready.","","","","",""
"M """"","M_eccCMhVf","Well, I'm glad to see you in a good mood.","","","","",""
"M """"","M_aJgGcGuv","I appreciate your determination.","","","","",""
"S """"","S_bBHD7YNQ","Hey, what are you doing...","","","","",""
"M """"","M_6CcAtdjD","I reserve the right to keep up the intrigue.","","","","",""
"M """"","M_FFeJ9NcR","Still, you also decided to torment me at the first opportunity.","","","","",""
"""""","narrator_3tdoi6dy","Sarah wanted to find at least something that would prompt her to understand where she was. But someone stopped her.","","","","",""
"M """"","M_ea7MYBrB","Wait and don't ruin the whole show.","","","","",""
"M """"","M_4tJF6jgj","You will find out everything in due time.","","","","",""
"""""","narrator_S5bjmTHW","The girl was unhappy with this answer, but she understood that she had already accepted all the conditions of the game.","","","","",""
"M """"","M_6ETucWZn","Well then.","","","","",""
"""""","narrator_6RrvvXFz","*Drum roll*","","","","",""
"M """"","M_fJ4amHRG","I want to introduce you to the cherry on our cake!","","","","",""
"S """"","S_GJ7m3wmK","!!!","","","","",""
"M """"","M_KjN3U85u","Great surprise, right?","","","","",""
"M """"","M_KYKAv8P2","I've been thinking for a long time about what I should do… There are not that many female beings on the ship for me to have a choice really.","","","","",""
"M """"","M_c4ddedm8","{size=16}Of course, we could not be limited only to girls... but that would be superfluous.","","","","",""
"M """"","M_iAsw926G","At first I thought your friend would be a bad option, but then…","","","","",""
"M """"","M_Qdnm55Ps","All the cards have come together! She's the perfect candidate!","","","","",""
"M """"","M_q2aekn2p","I'm a genius! A genius! A GENIUS! And period!","","","","",""
"""""","narrator_rFFd7DPQ","Sarah couldn't take her eyes off what she saw. It was not the first time she had seen her friend naked, but not in such a position and not under such circumstances. The latex suit evoked dim memories.","","","","",""
"S """"","S_7XJUVBxF","I mustn't look...","","","","",""
"""""","narrator_nFe5mpYD","The girl forcibly covered her eyes with her hands, leaving no slits between her fingers. In the darkness, Sarah could still make out the outline of the protoss's body, which bitterly stuck in her memory.","","","","",""
"S """"","S_VyXCzS7Y","You don't have to... to be here...","","","","",""
"M """"","M_7noEwaBW","Calm your conscience, girlfriend! She doesn't see us... For now.","","","","",""
"S """"","S_UBPqGBVX","What the hell?","","","","",""
"S """"","S_SNuNqdCA","WHAT THE HELL, CARDA?!","","","","",""
"""""","narrator_kAwrWvD7","Sarah didn't know what to grab first. The surge of anger occurred suddenly and unexpectedly, taking all control into out of her hands.","","","","",""
"S """"","S_XoWLSpWe","...","","","","",""
"M """"","M_o3atGoo9","You can't get essence from me that way, so chill out.","","","","",""
"M """"","M_Pij4pAEd","I might change my mind.","","","","",""
"""""","narrator_rSf8Wf5Q","The word 'essence' seemingly enchanted the girl. Her hands immediately dropped powerlessly down, but the anger in the depths of her pupils went nowhere.","","","","",""
"S """"","S_XhfUh6dx","I'm waiting for an explanation.","","","","",""
