location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_cf360ee2,"""Sarah continued to follow Stukov, constantly feeling a gaze on her.""",,,,,
,S_c1926d7c,"S ""Watch the road, or you'll crash into something. Or we'll get lost, which is even worse.""",,,,,
,narrator_040dc5c3,"""Sarah hoped that Stukov would stop staring at her so frankly, but he destroyed her hopes. The man turned to Sarah, looking straight at her.""",,,,,
,S_20a5ded5,"S ""Seriously? Aren't you embarrassed even for a second?""",,,,,
,A_eba8b53d,"A ""Is there a reason? In front of me is a sexy girl, it would be a sin to take my eyes off her. Especially since this girl improved so much lately.""",,,,,
,narrator_379ff476,"""Stukov whistled, barely restraining his hands anymore. In his fantasies he has already studied all the changes that he really wanted to implement in reality.""",,,,,
,A_34716cee,"A ""Have you seen yourself? It was hard to take eyes off you before, but now...""",,,,,
,S_d7753309,"S ""Not off me, but off my breasts, please note.""",,,,,
,A_76df1d82,"A ""Your boobs are still a part of you. Improved and very attractive.""",,,,,
,S_481db0eb,"S ""I never thought I'd have to go near you after everything I've been through. And naked.""",,,,,
,S_e88241e5,"S ""Besides, you'd be looking even if my body hadn't changed at all.""",,,,,
,A_273f779c,"A ""Well, this outcome would not be so pleasant, had you remained unchanged. But now...""",,,,,
,A_ef7a5afa,"A ""I can look at all your charms and make sure you're still my type.""",,,,,
,S_e3e480f1,"S ""Why couldn't I dress there? What is the reason to go all this way without clothes?""",,,,,
,A_f2b03590,"A ""You have no reason to be ashamed of your naked body anymore, we've been through this. And there is only one reason. Mistres didn't want to waste your precious time.""",,,,,
,A_777c4814,"A ""That's why, unfortunately for me, will dress there.""",,,,,
,A_e4577e64,"A ""And since there is almost there, I'm asking you to move forward.""",,,,,
,A_d2d05743,"A ""(I simply must appreciate the behind, hehe.)""",,,,,
,narrator_b84fca66,"""Sarah carefully walked into the new room, looking around.""",,,,,
,S_7f289aad,"S ""Wow... It's like something I can live in. It's a lot more spacious here.""",,,,,
,narrator_9d120183,"""The girl looked around the environment, where there were no more doors that held her back. She could feel free. The room was spacious, so much so that the boundaries could not even be seen.""",,,,,
,S_4ae0ece6,"S ""It's even nicer to be here. I don't feel like a hostage, you know.""",,,,,
,A_417fa05e,"A ""There are many rooms like this. There's no reason to keep you locked up. You've become a full-fledged part of the Swarm, you're supposed to have a better room than you had before. That's for sure.""",,,,,
,A_d37310a2,"A ""Your strength has increased, as has the area of your new home.""",,,,,
,S_bbc0a8e7,"S ""That's good and all, but there is still something wrong... It's... empty?""",,,,,
,A_9fc47229,"A ""That's temporary. You'll soon forget the crampedness of the last room and appreciate the space this one provides. Although I don't think you're really going to care about your place of residence, hehe.""",,,,,
,S_d7a650ab,"S ""We've been getting here for a long time. I don't remember being here before.""",,,,,
,A_7cd14bb7,"A ""Yes, these are new places for you. We were only in some parts of the ship...""",,,,,
,A_47ac7490,"A ""The ship we are on is so huge that even I hadn't been to most of its parts.""",,,,,
,narrator_8138a6a8,"""Sarah felt someone's presence in the room, trying to figure out who had decided to disturb their peace.""",,,,,
,S_4c9b9273,"S ""Shh! Can you feel it?""",,,,,
,A_5e7ff309,"A ""Feel what?""",,,,,
,S_2bc4a59a,"S ""There's definitely someone here...""",,,,,
,SO_72e93073,"SO ""Don't worry.""",,,,,
,narrator_d2bdf73a,"""A seemingly threatless creature appeared before Sarah.""",,,,,
,S_7d115af0,"S ""Who are you?""",,,,,
,SO_dfbc580a,"SO ""I didn't introduce myself, my mistake. I'm Sochus.""",,,,,
,narrator_478fab55,"""Sarah slowly began to circle the drone, studying his large body.""",,,,,
,SO_9e55df97,"SO ""It's been a long time since I've seen guests here... And no one has been in this room for a long time.""",,,,,
,narrator_94851901,"""Sochus began to make incomprehensible sounds, reacting sharply to the last word said.""",,,,,
,S_3944edb2,"S ""(He has a consciousness that is very different from that of an ordinary animal.)""",,,,,
,SO_1b18294a,"SO ""I wasn't prepared for anyone to visit me, but I'm ready to accept someone with such strength and sexuality at any time, hehe-he. Especially if the guest has more debauchery than Mistress herself, and can match her in beauty too.""",,,,,
,SO_2a1b7f91,"SO ""I'd love to serve you if you need my help. Any help, if you know what I mean.""",,,,,
,S_85c19697,"S ""(It's strange that a drone has any individuality, but if I can really count on his help, it's even better.)""",,,,,
,S_c333a7e3,"S ""Do you know this place well?""",,,,,
,SO_2da6d2f2,"SO ""Of course. What exactly are you interested in?""",,,,,
,S_a8ac48ed,"S ""What's going on here?""",,,,,
,SO_334efccf,"SO ""Disorder. There is no one who would put the whole pack together and lead. Everyone considers themselves too strong to obey.""",,,,,
,S_1b92b66d,"S ""Put the pack together? We only discussed the essence with Mistress. She didn't say a word about what was going on here.""",,,,,
,SO_385e2a20,"SO ""Of course, Mistress decided not to tell you that. Maybe she thinks someone as strong as you is just going to take what she needs.""",,,,,
,SO_f760445d,"SO ""But these missions cannot be accomplished separately from each other. Until you subjugate the leaders, you can't get their essence.""",,,,,
,narrator_d8d35ccf,"""Sarah felt the presence of someone else in the room. This time it was a creature that Sarah knew.""",,,,,
,S_8949a8f0,"S ""Overseers... And here's our next meeting?""",,,,,
,Ov_989bd4c1,"Ov ""(You need help of ours again.)""",,,,,
,S_debc74e4,"S ""Can you offer it?""",,,,,
,Ov_650ddd4c,"Ov ""(That's why we're here. Still wish to help you.)""",,,,,
