location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_d3f95652,"""The body and mind of the Queen of Blades were very weak after all the trials that had been endured. Her head was full of thoughts about getting food, even if it had to be got in the most immoral way.""",,,,,
,narrator_ae048b32,"""The girl wandered over the ship, without certain landmarks. In her head, like a mantra, there was a call to eat, irritating an already empty stomach.""",,,,,
,S1_60717a36,"S1 ""Food...{w} I want to eat so much...""",,,,,
,S1_e50de630,"S1 ""Why is there no one here...{w} I need to eat...{w} What could I eat?""",,,,,
,S1_b78b80be,"S1 ""Or is this natural selection?""",,,,,
,narrator_6db3aa5e,"""The Queen of Blades tried to listen to the environment to understand in which direction to move. She wanted to use her psychic power to find a path she should have taken, but the constant thoughts of hunger prevented her from concentrating.""",,,,,
,S1_f2ff3343,"S1 ""Arg... Why are there so many corridors? How much longer do I have to go to find something?""",,,,,
,S1_cf73dfd3,"S1 ""This is just making me weaker and hungrier! And why did the burst of energy after waking up disappear so quickly?.. Feeling weak is so disgusting.""",,,,,
,narrator_75d0f280,"""The Queen of Blades continued to try to find someone with the help of psi-powers, only tiring herself further. It irritated her greatly, but the irritation and forced her to go on.""",,,,,
,S1_5d66ded9,"S1 ""(I... I feel someone. Someone's distinct presence after just a couple of turns. Has there found anything useful?)""",,,,,
,narrator_3e7fb2c3,"""The girl walked further down the corridors, focusing on the feeling of another creature in her surroundings.""",,,,,
,A_07521d66,"A ""It is worth visiting Sarah in the near future and finding out whether the burst of psi-power is connected to her transformation...""",,,,,
,S1_02db2c97,"S1 ""(Where are you? Don't make me hunt you for long. I've got enough of an appetite already.)""",,,,,
,narrator_a34132a9,"""In the distance there were steps that attracted the girl's attention. """,,,,,
,S1_7bd67ef3,"S1 ""At last...""",,,,,
,narrator_02b10dbe,"""The feeling of prey very close made the Queen of Blades cheer up and move faster towards her victim.""",,,,,
,A_aba1a009,"A ""I need to hurry, I can't miss this moment.""",,,,,
,narrator_8eac53b3,"""The girl was looking for someone who was talking to himself. The Queen of Blades did not quite understand what it was about and who was leading the conversation, but she knew for sure that it would help her to satisfy her hunger.""",,,,,
,S1_19776c6c,"S1 ""Got ya...""",,,,,
,narrator_3eb621a5,"""The Queen of Blades prepared to capture her prey, focusing. Stukov did not have time to notice the girl and in less than a moment she was close to him.""",,,,,
,A_a3c0b1f9,"A ""What the heck...""",,,,,
,A_6c772a6d,"A ""Whoa...""",,,,,
,narrator_cb958f37,"""The girl was a little disappointed that she came across a mutated terran, but the desire to satisfy hunger forced her to take what she could.""",,,,,
,narrator_1c27ed18,"""The Queen of Blades began to sniff the man, feeling a strange smell.""",,,,,
,S1_702937cc,"S1 ""(It smells... It's like someone's dead. And long ago. But not so much that it's not edible.)""",,,,,
,S1_25a40303,"S1 ""(It could have been worse.)""",,,,,
,narrator_be5cbe08,"""The Queen of Blades cmirked and deftly licked her victim's lips.""",,,,,
,S1_6e9e9bcd,"S1 ""(Usually I don't get to the most important thing so quickly... but now I don't have the strength...)""",,,,,
,A_c61cc45d,"A ""Have you got out now?""",,,,,
,S1_2610e968,"S1 ""Me? Why ask such strange questions? If I'm standing in front of you, I'm out.""",,,,,
,narrator_f3981c6b,"""Stukov looked at, in his opinion, Sarah's, new body with interest. But he could clearly see that she was a little out of her mind. She had a clouded look about her, and was rapaciously examining the man in front of her as if for the first time.""",,,,,
,A_ff8cec84,"A ""I didn't expect to see you like that, hehe. Apparently, the experiments have been good for you.""",,,,,
,S1_27f8e871,"S1 ""Isn't there too much curiosity on your part?""",,,,,
,narrator_46bd7813,"""The girl pressed her victim against the wall even more.""",,,,,
,A_4469c79e,"A ""Usually our conversations went better than this.""",,,,,
,S1_29aa3374,"S1 ""Shut up, I'm not interested in your empty conversations.""",,,,,
,narrator_8f67e971,"""The Queen of Blades acted quickly and prudently, pressing Stukov into the wall. From the surprise he did not even have time to dodge.""",,,,,
,A_a94ccbd5,"A ""What are you interested in? Revenge for all the training? We can make a deal.""",,,,,
,S1_3fd80943,"S1 ""Pf... Who needs you?""",,,,,
,narrator_306b1cbe,"""The girl wasted no time, and crouched down. The Queen of Blades was ready to tear the clothes off Stukov, just to get to her goal faster.""",,,,,
,A_51e3149f,"A ""I don't know what got over you, but it looks pretty entertaining. Although if that's what you wanted, you could have asked. I wouldn't say no to that.""",,,,,
,S1_77dd6dd3,"S1 ""It's like you deserve to be asked to do something. I'm not asking - I get what I want.""",,,,,
,narrator_f6a4c240,"""Knocking could hardly withstand the pressure of the Queen of Blades, who did not allow him to move a millimeter. When the girl finally managed to free his penis, she immediately took it in her mouth.""",,,,,
,A_f6ab6aae,"A ""Ha, if only you were so enthusiastic about our training every time!""",,,,,
,S_7b47355d,"S ""(Now your dick is in dangerous proximity to my teeth. Do you want to use it ever again?)""",,,,,
,narrator_a074bf89,"""Stukov made the decision to temporarily quiet down, noticing the determination in the girl's eyes. He wasn't ready to lose his penis, especially for some joke.""",,,,,
,narrator_47fabc59,"""The queen of blades treated Stukov as a normal feeding session, without paying any attention to him. All her concentration was on the penis, which naturally began to harden in her mouth.""",,,,,
,S1_7a174770,"S1 ""(And the dick is good... For its sake, I could tolerate his endless chatter. But only sometimes, until it's boring.)""",,,,,
,narrator_4722569c,"""The Queen of Blades did not restrain herself, allowing one hand to reach for the pussy, while the second jerked Stukov off.""",,,,,
,S1_bbc81547,"S1 ""*Slurp* *Fap* *Slurp*""",,,,,
,S1_aefe8d73,"S1 ""(Some pleasure with the food wouldn't hurt me.)""",,,,,
,narrator_f7b9f58b,"""The girl's mouth was getting very wet because of the abundance of saliva. The Queen of Blades with great appetite swallowed Stukov deeper and deeper and completely controlled the situation.""",,,,,
,S1_38323fcc,"S1 ""Ah~ *Slurp*""",,,,,
,narrator_2479b41a,"""The queen of blades did not let the dick out of her mouth even when the amount of saliva and lubricant became too much. She continued to suck, trying to swallow the accumulated liquid.""",,,,,
,A_e73bb221,"A ""I didn't expect you to miss my penis so much. Probably, it was necessary to make small breaks between our meetings, so that you had time to accumulate a desire.""",,,,,
,S1_a3d12671,"S1 ""*Slurp* Mmm...""",,,,,
,S1_247ba990,"S1 ""(Don't try my patience, otherwise you'll start missing your dick and wait for my permission to see it!)""",,,,,
,A_461ad265,"A ""If you bite it off, you can't get my sperm. I figured you were hungry, so you wouldn't hurt me.""",,,,,
,S1_d6744d98,"S1 ""(Haha, who said I'd take it off now?)""",,,,,
,narrator_86310719,"""The girl was in a playful mood. Even hunger temporarily faded into the background, allowing her to have a little fun.""",,,,,
,S1_d58bfb7e,"S1 ""*Slurp*""",,,,,
,A_42532e44,"A ""Usually at this time you were already using your tongue...""",,,,,
,S1_0a9866ab,"S1 ""(And you thought I was going to please you? I can get your sperm without involving my tongue.)""",,,,,
,A_cc8af4f7,"A ""But the portion would be bigger that way.""",,,,,
,S1_d13ee823,"S1 ""(And you'd be happy that I've fulfilled your wish. So fuck off.)""",,,,,
,narrator_547e8272,"""The Queen of Blades was filled with the desire to get the much-needed sperm, but because of this desire she was agitated, caressing herself.""",,,,,
,A_f7637353,"A ""Mmm..""",,,,,
,S1_eeb84448,"S1 ""(Damn... Now it's hard to know what's more important. I'm still hungry, but my body is so excited.)""",,,,,
,S1_73dcc955,"S1 ""(But if we finish together... Hmm, that would be a great addition.)""",,,,,
,S1_82a78597,"S1 ""*Slurp* * Squish*""",,,,,
,narrator_49653395,"""The Queen of Blades enjoyed the movement of the penis in her mouth and hands on her clitoris. But she still did not allow Stuckov deeper into her.""",,,,,
,A_930863c6,"A ""Ha... Why are you so slow?""",,,,,
,S1_77e85b96,"S1 ""(I'm spoiling your fun, isn't that obvious?)""",,,,,
,narrator_ddc10ba8,"""The girl tightly squeezed her lips around the penis, making the squishing sounds only louder. Stukov's reaction to this was immediate. The member began to harden noticeably, demanding more affection.""",,,,,
,A_71c2c462,"A ""Fuck... Yes.""",,,,,
,S1_bad11c34,"S1 ""(Hurry up. I have no itention of spending an eternity milking you.)""",,,,,
,A_5f615b74,"A ""How could you ever give up such a glorious dick?""",,,,,
,S1_5b02daca,"S1 ""Mmg...""",,,,,
,S1_1afa666e,"S1 ""(I wouldn't just use it for food. Actually, I could use your mouth too.)""",,,,,
,narrator_6ea6f665,"""Stukov made an attempt to move himself, sliding his penis even deeper and forcing the Queen of Blades to moan loudly.""",,,,,
,S1_6b9cee10,"S1 ""(Bold, are we...)""",,,,,
,narrator_f9cb320a,"""The Queen of Blades put her teeth dangerously close to Stukov's penis, forcing him to tense up.""",,,,,
,S1_bf3aff51,"S1 ""*Slurp* *Slurp*""",,,,,
,S1_050a51f1,"S1 ""(Confident that I won't do anything to you, huh?)""",,,,,
,A_f8038f88,"A ""Ha... There's too much at stake to take risks.""",,,,,
,narrator_5fe32d80,"""Stukov felt the hot tongue of the girl, who finally started active movement all over the penis, delivering more pleasure.""",,,,,
,S1_e904a4ff,"S1 ""(It's time to end this.)""",,,,,
,narrator_675b17fe,"""The Queen of Blades worked diligently with her tongue, trying to distribute saliva throughout the penis for better penetration.""",,,,,
,S1_60b41d2c,"S1 ""*Slurp* *Slurp*""",,,,,
,S1_ec0c2e17,"S1 ""(Damn, this's turning me on...)""",,,,,
,narrator_2ac9adbe,"""The girl began to feel even hungrier, wanting to get food as soon as possible. The abundance of saliva only simplified this process.""",,,,,
,S1_6cca439e,"S1 ""Mmmh! *Slurp*""",,,,,
,A_260afa6f,"A ""Ha... You're good!""",,,,,
,S1_5b9a81f1,"S1 ""(The feeling of a penis in my throat... Amazing.)""",,,,,
,S1_b22a17ee,"S1 ""*Slurp* *Slurp* *Slurp*""",,,,,
,narrator_06204281,"""The Queen of Blades was fully ready to receive the so-desired sperm, feeling wild desire. She gave in to the process.""",,,,,
,S1_7fd0a987,"S1 ""*Slurp*""",,,,,
,S1_04e837ad,"S1 ""(Just cum already!)""",,,,,
,narrator_3243c86a,"""Stukov's body responded to the call of the Queen of Blades. The girl felt Stukov's willingness to give her all the sperm that he had.""",,,,,
,A_b45b9832,"A ""If that's what you want, get it!""",,,,,
,narrator_f8384373,"""*Squish* *Squish* *Squish*""",,,,,
,S1_3b01985c,"S1 ""Mmmmmmg!""",,,,,
,narrator_f0f88025,"""The queen of blades took all the sperm that flowed down her throat.""",,,,,
,narrator_77386f15,"""*Squish* *Squish*""",,,,,
,S1_908db928,"S1 ""(How good... My stomach is finally filling up.)""",,,,,
,S1_15aed029,"S1 ""(Mmmmm... Its so much!)""",,,,,
