location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""%%""",narrator_7ed1a731,"Королева Клинков медленно, но уверенно шла к осквернителю.",,,,,
"S1 ""%%""",S1_26ddff3d,На мостике никого нет... Оно и к лучшему.,,,,,
"S1 ""%%""",S1_954f80d5,"Меньше свидетелей – громче сюрприз, хи-хи-хи.",,,,,
"""%%""",narrator_f97f768c,"Девушка уже ощущала легкое покалывание внизу живота, предвкушая то, что ее ждет.",,,,,
"S1 ""%%""",S1_61ee369d,"Если все будет так, как он ей рассказывал... Это станет лучшим моим выходом за все это время!",,,,,
"S1 ""%%""",S1_673dc1bf,"И я не собираюсь упускать такой шанс, как это делают некоторые.",,,,,
"""%%""",narrator_d3ea1a3f,"Осквернитель уже смотрел в сторону девушки, когда Королева Клинков начала приближаться к нему.",,,,,
"Os ""%%""",Os_1e7d9399,Какой неожиданный визит... Ваше присутствие было заметно еще до вашего появления.,,,,,
"S1 ""%%""",S1_daaa33cb,Еще бы. Я вся горю от нетерпения!,,,,,
"S1 ""%%""",S1_ce8586a8,"Я слышала про твои требования и лично меня все устраивает. Это вполне неплохой шанс повеселиться. Новые ощущения, ммм...",,,,,
"S1 ""%%""",S1_3053b5c1,Легкая эссенция.,,,,,
"""%%""",narrator_b62aa021,"У девушки пошла дрожь по телу, когда она вспомнила, с каким запалом осквернитель говорил о процессе оплодотворения.",,,,,
"Os ""%%""",Os_089ccc8c,"А я говорил, что перед этим сложно устоять...",,,,,
"S1 ""%%""",S1_d1d07c22,Сара та еще дурочка. Она как всегда отказывается от всего самого интересного! Она совершенно не понимает таких важных вещей... Что в этом и таится вся сила разврата.,,,,,
"S1 ""%%""",S1_3462bc06,Нужно веселиться и получать удовольствие. Познать все счастье материнства... Ради высшей цели! Стать сильнее!,,,,,
"""%%""",narrator_5561f620,"Осквернитель с неприкрытым интересом наблюдал за разгоряченной тирадой Королевы Клинков, которая еще сильнее возбудилась от своих же слов.",,,,,
"S1 ""%%""",S1_01b05e5c,Эти ощущения... Я как будто уже наполнена твоими яйцами. Превосходно...,,,,,
"S1 ""%%""",S1_5c8245f0,Но Сара бы ни за что не согласилась...,,,,,
"S1 ""%%""",S1_ead0a654,"И терять эссенцию ради этого? Нет, я не могу это допустить.",,,,,
"S1 ""%%""",S1_75a5a72f,Я не позволю каким-то принципам Сары навредить моей задумке. Заполни меня немедленно!,,,,,
"S1 ""%%""",S1_460471c0,Я хочу почувствовать твоих малышей... внутри...,,,,,
"Os ""%%""",Os_4d83cd3a,О-о-о-о-о-обяза-ательно... какой энтузиазм...,,,,,
"Os ""%%""",Os_29856d0c,Но сначала я должен спросить о твоей фертильности. Это очень ва-ажно...,,,,,
