location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S1 """"",S1_809adfca,"С кем бы мне позабавиться в этот раз... Выбор так велик, хи-хи. Но нужно найти кого-то достойного, кто бы утолил мою жажду.",S1_809adfca,,,,
"S1 """"",S1_ce97b969,"Точно! Я знаю одного кандидата, который сможет достойно меня повеселить!",S1_ce97b969,,,,
"""""",narrator_02fbe18d,"Глаза Королевы Клинков горели диким пламенем, когда она смотрела на гидралиска.",narrator_02fbe18d,,,,
"S1 """"",S1_1cca68a2,"Лучше и придумать нельзя... Эй, не хочешь немного повеселиться в компании такой завидной женщины, хи-хи?",S1_1cca68a2,,,,
"""""",narrator_b054e07c,"Девушка все ближе приближалась к зергу, неторопливой походкой. Он со своей стороны продолжал откровенно пялиться на сиськи.",narrator_b054e07c,,,,
"H """"",H_fa944330,Смотря какие у завидной женщины предложения. У меня... достаточно извращенные вкусы. Сможешь их потянуть?,H_fa944330,,,,
"S1 """"",S1_0a545336,Потянуть? Хах...,S1_0a545336,,,,
"S1 """"",S1_ff7ce4b9,"Поверь мне, я смогу подарить то ,что тебе даже не снилось. Я хорошо знаю о твоих предпочтениях. Грудь... хороший выбор, но я позволю тебе окунуться в настоящее блаженство.",S1_ff7ce4b9,,,,
"H """"",H_62a4710c,От такого грех отказываться... Но...,H_62a4710c,,,,
"S1 """"",S1_997223bf,"Тц, ты еще не понимаешь, с кем разговариваешь. От меня никто не уходил недовольным.",S1_997223bf,,,,
"S1 """"",S1_bafae301,"Скажем так, я умею убеждать...",S1_bafae301,,,,
"H """"",H_f99dcffc,"Может, недовольные не уходили потому что ты их убивала? Я твою жажду слышу издалека.",H_f99dcffc,,,,
"S1 """"",S1_6206a5e7,"Ха-ха-ха, какой подозрительный! Не переживай, сейчас меня интересует другой... голод. Даже если так, это только дополнительный стимул для тебя получить максимум удовольствия от нашего 'общения'.",S1_6206a5e7,,,,
"""""",narrator_b578eb4c,"Королева Клинков была максимально довольна своим выбором. Гидралиск только больше добавлял масла в огонь, повышая градус напряжения в теле девушки.",narrator_b578eb4c,,,,
"S1 """"",S1_0d59f5b4,"У меня не так много времени, чтобы уговаривать тебя.",S1_0d59f5b4,,,,
"H """"",H_c8369225,"Тогда не трать его, а пойди найди кого еще. Сиськи только оставь тут...",H_c8369225,,,,
"""""",narrator_1f190cb3,"Королева Клинков только шире улыбалась, выслушивая настолько нахальные изречения в ее сторону.",narrator_1f190cb3,,,,
"S1 """"",S1_f0dbde56,"Ха-ха-ха, это не у меня нет выбора... Это ты в безвыходном положении.",S1_f0dbde56,,,,
"""""",narrator_fbba3ba6,Королева Клинков одним прыжком максимально приблизилась к гидралиску.,narrator_fbba3ba6,,,,
"S1 """"",S1_ba3f5788,"Пора тебе показать все прелести женского тела, дорогуша.",S1_ba3f5788,,,,
"""""",narrator_6693b0db,"Королева Клинков одним рывком оседлала гидралиска, демонстрируя ему позу, которую он ранее не пробовал.",narrator_6693b0db,,,,
"S1 """"",S1_dcbeb5b6,"Что? Не ожидал? Я же говорила, что ты не понимаешь, с кем говоришь. Мои ручки отправят тебя туда, где ты не оказывался от любых грудей. И даже киски...",S1_dcbeb5b6,,,,
"H """"",H_fc1225b8,Все еще звучит не убедительно... Я хочу сиськи! И у тебя есть как раз пара хороших.,H_fc1225b8,,,,
"S1 """"",S1_a715bd1c,"Просто заткнись. Еще спасибо скажешь, дорогуша.",S1_a715bd1c,,,,
"S1 """"",S1_5b92e04e,(Дрочить такой член только сисиьками... себя не уважать. Он достоин большего внимания.),S1_5b92e04e,,,,
"S1 """"",S1_ed2da89f,"(Хочу на него посмотреть после, когда я поменяю его предпочтения на все 360.)",S1_ed2da89f,,,,
"S1 """"",S1_090286f4,"(Ха-ха-ха, что за вопросы? Конечно! Сара была слишком мелочна, когда полностью сдалась ему.)",S1_090286f4,,,,
"S1 """"",S1_f7e45d5a,"(Пора отстоять нашу честь и показать, кто тут настоящий лидер.)",S1_f7e45d5a,,,,
"""""",narrator_b4303a3b,"Гидралиск резко прекратил любое сопротивление, когда руки Королевы Клинков начали движение вдоль его члена.",narrator_b4303a3b,,,,
"H """"",H_37f824fc,Ч-что...,H_37f824fc,,,,
"S1 """"",S1_6388e5dc,"Что такое? Нравится? А ведь это только начало, пупсик.",S1_6388e5dc,,,,
"H """"",H_e9c2a719,"Это... действительно что-то удивительное. Меня не в первый раз пытаются ублажить руками, но это...",H_e9c2a719,,,,
"S1 """"",S1_d8e5e163,"Ха-ха-ха, черт, дорогуша, знаешь, сколько раз я слышала эту фразу?",S1_d8e5e163,,,,
"H """"",H_8fef9ef9,Ах... п-продолжай!,H_8fef9ef9,,,,
"""""",narrator_c033265b,"Королева Клинков без особого энтузиазма надрачивала член, замечая каждое изменение на лице гидралиска.",narrator_c033265b,,,,
"S1 """"",S1_480dd457,"Хи-хи, ты так хотел сисек, а теперь твой член стоит колом от простой дрочки. Ты точно достаточно экспериментировал?",S1_480dd457,,,,
"S1 """"",S1_238d4eb9,"Может, тебе просто попадались пустышки? Принцесски, которые сами ничего делать не умеют?",S1_238d4eb9,,,,
"""""",narrator_b59acb40,"Гидралиск и Королева Клинков вели зрительную войну, ведомые нарастающим желанием.",narrator_b59acb40,,,,
"H """"",H_7df53dcb,"Мммм, но на руках мои эксперименты точно не заканчивались...",H_7df53dcb,,,,
"S1 """"",S1_320d1cfb,"Ах, да. Точно, вспомнила, ты же у нас тот еще герой-любовник. Ну как, это экзотичнее, чем три груди?",S1_320d1cfb,,,,
"H """"",H_43670c80,"Я еще недостаточно распробовал, мне нужно больше... времени.",H_43670c80,,,,
"S1 """"",S1_acb3a4e2,"Ха-ха-ха, минуту назад у тебя не было столько желания. Больше тебе нужно? Хорошо, ты получишь!",S1_acb3a4e2,,,,
"H """"",H_64f22019,М-м-м... аххх... грааааа!,H_64f22019,,,,
"S1 """"",S1_b3568f2a,"Тише, дорогой. Я, конечно, говорила, что у меня мало времени, но не настолько же. Я только начинаю. А твоя задача развлечь меня как следует.",S1_b3568f2a,,,,
"S1 """"",S1_72e8d4ac,"(Саре придется здорово попотеть, чтобы вернуть себе его расположение после меня, хи-хи.)",S1_72e8d4ac,,,,
"S1 """"",S1_ca112359,"Надеюсь, что ты успел все распробовать, потому что наши аттракционы еще не закончились.",S1_ca112359,,,,
"S1 """"",S1_dfed5f8b,Сейчас будет еще лучше...,S1_dfed5f8b,,,,
"""""",narrator_cbc6a8c5,"Королева Клинков плотно обхватила член ногами, незамедлительно проводя по всей длине.",narrator_cbc6a8c5,,,,
"H """"",H_5569f889,ГРАААААА!!!,H_5569f889,,,,
"H """"",H_c266b086,Как это... интересно!,H_c266b086,,,,
"H """"",H_5fc613e8,Не могу поверить... Что это может ощущаться ТАК! М-мне никогда не делали...,H_5fc613e8,,,,
"""""",narrator_3dc181ad,Девушка была максимально довольна реакцией гидралиска на пока что легкую стимуляцию.,narrator_3dc181ad,,,,
"S1 """"",S1_9fb169b4,"Не делали это ножками? Ооо, так ты еще оказываешься фетишистом...",S1_9fb169b4,,,,
"S1 """"",S1_8a01be33,"(Посмотрим как ты запоешь, дальше, хи-хи-хи.)",S1_8a01be33,,,,
"""""",narrator_ed044c53,"Гидралиск находился на грани между шоком и наслаждением, постоянно оглядываясь на свой член, который подергивался с каждым новым движением. Но он старался изо всех сил, ему хотелось продлить момент.",narrator_ed044c53,,,,
"S1 """"",S1_bcb9cdd9,"Ха-ха-ха, я чувствую твое недоумение. Никак не можешь смириться с тем, что твоей член встал не от сисек? Такой забавный... Но ничего. Ты не первый, кто открывается для себя совсем с другой стороны, когда попадает в мои умелые руки. И не только руки, хи-хи.",S1_bcb9cdd9,,,,
"S1 """"",S1_1cf59e5d,"Запомни этот момент как можно лучше, потому что кто еще позволит ощутить себя так?..",S1_1cf59e5d,,,,
"H """"",H_059777fa,Хаааа... мммм... Х-а-а-а-а-а!!,H_059777fa,,,,
"""""",narrator_61a08172,"Гидралиск как бы ни старался, но был уже на грани. Его тело содрогалось, а член мог в любую минуту выстрелить.",narrator_61a08172,,,,
"S1 """"",S1_d4eaef17,"Ты, считай, уже объявил свою полную капитуляцию передо мной, ха-ха-ха.",S1_d4eaef17,,,,
"""""",narrator_56a063f1,"Королева Клинков не отвлекалась от своей главной задачи, удерживая разгоряченного гидралиска от того, чтобы кончить раньше времени.",narrator_56a063f1,,,,
