location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_5a6723ea,为什么是现在？她为什么这么不安？,,,,,
"S """"",S_83cc49b8,我应该预料到……,,,,,
"S """"",S_c5ce5e66,为什么我不能永远阻止她？她不会拒绝毁灭一切的机会，至少不是一切。,,,,,
"C """"",C_ebb29fb2,（如果你这样看，我们目前正在破坏她的计划。所以……）,,,,,
"S """"",S_fbf8b831,嘿你站在哪一边？Turncoating，是吗？,,,,,
"C """"",C_370eb75c,（只是客观地看待情况。）,,,,,
"S """"",S_7ffdecc6,妈的，当她醒来时，我需要做点什么来控制她……我忍不住，它会爆发，这是不可避免的！,,,,,
"S """"",S_fd2ec4e0,即使我把身体固定住，也不能阻止她……,,,,,
"S """"",S_c5d24243,也许……是的！,,,,,
"S """"",S_82a93d5b,我们需要尽快离开这里。最好尽可能地远离……,,,,,
"S """"",S_a8b3f742,但是现在？,,,,,
"S """"",S_59817a33,（赛蒙，虫族通过某种渠道穿越利维坦，对吧？）,,,,,
"C """"",C_7e5f91ca,（是的，没错，在尼多斯网络的帮助下。）,,,,,
"S """"",S_a75fadfe,太好了，你能把它设置好吗？即使我也不知道它会把我送到哪里去？,,,,,
"C """"",C_42538697,（理论上，我可以……）,,,,,
"S """"",S_c0c81ded,我不仅需要理论上！,,,,,
"C """"",C_a34f7c5a,（好吧，我会的。我不喜欢整个前景。我希望刀锋女王不会发现我卷入了这件事……我不想就这样死去……）,,,,,
"S """"",S_f5a5934a,你需要把我传送到尽可能远的地方。,,,,,
"S """"",S_9587c939,这将为我们赢得时间。也许等她来的时候，我的身体就能恢复正常了！,,,,,
"S """"",S_11eb1b6c,这个阻碍她前进的可能性并不像我们希望的那样大。但总比什么都没有好！,,,,,
"S """"",S_22b7dbe1,啊啊啊啊！！！你应该快点。她很快就恢复了体力。你可能做不到。,,,,,
"""""",narrator_c580741a,突然，一个奇怪的生物从墙上出现，并立即开始发出与频道设置有关的声音。莎拉猜对了，这么大的一艘船会有一个系统，可以将力量快速转移到船上的各个点。,,,,,
"""""",narrator_ac87733f,但现在她很幸运地看到了现场直播。,,,,,
"C """"",C_5758f7f9,（你的优步在这里。）,,,,,
"S """"",S_68fa137f,好吧，赛蒙，把我弄出去！,,,,,
"C """"",C_94a7f783,（那我们走吧！）,,,,,
"centered """"",centered_58aa6f77,虫族称之为尼多斯海峡。它仍然是一个相当卑鄙的生物，没有人知道它的功能细节，只有猜测。它可能已经能够利用利维坦在自身内部产生的小黑洞来运输这些生物，或者它可能是一个遍布飞船的隧道网络。,,,,,
"centered """"",centered_1d04c013,有一件事是肯定的：它又脏又滑。,,,,,
