location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S1_EeKbQRXe,"S1 ""А вот и ты!""",,,,,
,narrator_A2dABgLX,"""На Лиззару сверху кто-то резко навалился, прижимая тело к земле. Протосс ощутила дикий испуг, но не от того, что кто-то схватил ее, а от того, что присутствие этого существа пробудило бабочки внизу живота.""",,,,,
,L_KrZK2oYN,"L ""О Кхала...""",,,,,
,S1_9qGk5T6c,"S1 ""Лиззара... Я знала, что ты будешь рада меня видеть, но не настолько же...""",,,,,
,S1_5HsgGdq5,"S1 ""Извращенка, хи-хи.""",,,,,
,narrator_NQjmxCnJ,"""Королева Клинков приблизилась максимально близко к лицу Лиззары и что-то ей нашептывала, пока протосс сгорала от стыда. Она четко ощущала смазку на бедрах и готова была провалиться под землю.""",,,,,
,S1_PZbd8iA5,"S1 ""Тебе понравилась прошлая викторина? Хочешь повторить?""",,,,,
,L_MSPDRHvJ,"L ""У... у меня нет идей.""",,,,,
,narrator_WbcFMYMa,"""Лиззара корила себя за то, что совсем не сопротивлялась. Сару она уже не ждала, полностью отдаваясь во власть своего тела. Оно чего-то очень жаждала, заставляя протосса сводить бедра в истоме.""",,,,,
,L_f52bS4C9,"L ""Ах!""",,,,,
,S1_tXVVqCgx,"S1 ""Эй! Расставь-ка ноги пошире. Я хочу наслаждаться видом на эту сочную киску!""",,,,,
,narrator_8PBXRSGa,"""Лиззара почувствовала хлесткий удар по своим ягодицам, тут же выполняя приказ. Она ощущала это как приказ, которого ни за что нельзя ослушаться.""",,,,,
,S1_rWXRRPgP,"S1 ""Вот так... Какая хорошая девочка.""",,,,,
,L_L4CqeE2j,"L ""(Н-нет...)""",,,,,
,narrator_6Gs9Xozc,"""Девушка легонько поглаживала покрасневшее место от удара, будто заглаживая свою вину. Ноги протосса начали дрожать еще сильнее от пульсирующего узла возле киски, терпеть это возбуждение было невыносимо""",,,,,
,S1_t85JDbaN,"S1 ""Сегодня будет другой вопрос. Что ТЫ хочешь, чтобы я с тобой сделала?""",,,,,
,L_M4VNwTzp,"L ""Я... Я...""",,,,,
,narrator_qeKoy3dc,"""Лиззара ощущала, как захлебывается в своих чувствах. Раньше было легче отрицать их, но теперь они заняли всю голову и заставляли тело кричать о себе. Протосс готова была умолять о чем-то, что ей не удавалась осознать.""",,,,,
