"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_6555ed55","我想今天从的接吻训练开始.","","","","",""
"A """"","A_3d1f840f","接吻训练,是的...选择不错!","","","","",""
"S """"","S_94b882b6","你能告诉我，我现在该怎么做吗?","","","","",""
"A """"","A_eace249e","放松点，照我说的去做.","","","","",""
"S """"","S_2cdda037","(好的, 我会尽量放轻松的...)","","","","",""
"A """"","A_e8996031","好了，可以开始了吗?","","","","",""
"S """"","S_3fddfa6f","是的...","","","","",""
"A """"","A_7dcf0bc7","我知道,叫你迈出第一步有点难，但是你需要勇于尝试的精神.","","","","",""
"S """"","S_4761d59d","在我的印象中只有当人们真的彼此喜欢的时候才会接吻，但是，我现在这是在做什么.","","","","",""
"S """"","S_50e68454","(见鬼，我的心...它的跳得好厉害.)","","","","",""
"S """"","S_48c02598","没关系，只是一个吻...","","","","",""
"A """"","A_7aa84288","就像童话里面的那一个吻!哈哈.然后，我们的爱情故事就它就会自己写出来.","","","","",""
"""""","narrator_449b3d86","斯托克夫带着猥琐的笑容向莎拉走了过去.","","","","",""
"""""","narrator_ea05e587","他靠近了莎拉,然后用一只手搂着他，最后紧紧地把她抱在自己的怀里.","","","","",""
"A """"","A_42a7cb33","宝贝, 你闻起来真香.","","","","",""
"S """"","S_75754b47","你在说什么，你这个变态...","","","","",""
"A """"","A_2363fcbd","不, 我说的是真的. 你真的特别有女人味.","","","","",""
"S """"","S_fc1a5ccd","……","","","","",""
"S """"","S_c9a2e3f0","你能不能别这么恶心好吗?说实在的，你身上的味道跟你的思想一样，都让我作呕.","","","","",""
"A """"","A_32a32f24","哦，亲爱的，那是男人的味道.我相信不久的将来，你会被我折服的.","","","","",""
"S """"","S_9d6dd84c","...哼...","","","","",""
"A """"","A_90d3ef94","快点开始吧!我迫不及待地想尝到你朱唇的味道.","","","","",""
"S """"","S_be877315","(该死，这不是我的初吻...但为什么我这么紧张?)","","","","",""
"A """"","A_268b7517","宝贝，我没告诉你吗?放松点，这是你必须要克服的问题.你应该更开放一些!","","","","",""
"S """"","S_7e983358","我受不了，你能不能别离我这么近?","","","","",""
"A """"","A_91503bdb","这个吻很快会解决我们之间的问题，到时候你就不会这样厌恶我了!","","","","",""
"S """"","S_16e99acb","(加油-加油-加油... 我得挺过去!我会挺过去的!)","","","","",""
"A """"","A_683faea8","我们开始吧.","","","","",""
"S """"","S_f03285ff","唔唔唔!!!","","","","",""
"""""","narrator_3468a8ac","斯托克夫把脑袋往莎拉脸上一靠，他们就亲上了.","","","","",""
"S """"","S_cde6bb70","唔唔...","","","","",""
"S """"","S_4d5e3f1d","(啊,我们在接吻...我在吻一个我不爱的男人...)","","","","",""
"S """"","S_8eaa462c","嗯...嗯...唔...","","","","",""
"S """"","S_55c191c3","(他的舌头那么......有力)","","","","",""
"S """"","S_ba9bd692","(无论我做什么，它总能到达我嘴巴的每一个部位，不管我怎么反抗.)","","","","",""
"S """"","S_04fb0c66","唔...嗯...唔唔...","","","","",""
"A """"","A_8e3f9a84","啊，你的嘴唇是甜的!!","","","","",""
"S """"","S_ece3e5ee","(！！！)","","","","",""
"S """"","S_978bcd7d","嗯嗯嗯... 唔唔!!!","","","","",""
"S """"","S_ca64ea41","(我是不是不该和他接吻...)","","","","",""
"S """"","S_ea0ec56b","嗯嗯嗯... 唔唔!!!","","","","",""
"S """"","S_9d385a1f","(一定是的......我不应该这样的的...)","","","","",""
"S """"","S_1b407470","唔唔...啊...","","","","",""
"""""","narrator_8255a015","他们的嘴唇分开了。与此同时，她的呼吸又加快了一点.","","","","",""
"S """"","S_e664bf27","啊哈...","","","","",""
"A """"","A_e2512bdf","你觉得我们的初次接吻怎么样?你有什么感觉吗?","","","","",""
"S """"","S_00027617","它......这是错误的...","","","","",""
"A """"","A_2df306b9","哈哈，但是，我看见露出无比喜悦的表情，我觉得你一定喜欢它.","","","","",""
"A """"","A_17a0554f","看来印象不够深刻，我们继续吧!","","","","",""
"S """"","S_d96bd585","！！！","","","","",""
"S """"","S_6ff40d14","不，不，我跟你之间没有爱情，你不...","","","","",""
"""""","narrator_26c18713","斯托克夫又一次无情地亲上莎拉毫无防备的嘴唇里.","","","","",""
"S """"","S_f1d8d136","哎呀...啊!!!","","","","",""
"S """"","S_bf39d331","(啊...这个吻...不不不...它让人恶心了...)","","","","",""
"""""","narrator_b0808337","他们接吻打呗的肮脏声音，传遍了整个房间.","","","","",""
"S """"","S_dd4ea286","(我的舌头......他不会放过我的舌头...他想把它俘虏了)","","","","",""
"S """"","S_dd91c0a7","喘息声...嗯...嗯...","","","","",""
"S """"","S_46ac70b2","(别这样跟它玩..)","","","","",""
"S """"","S_d1c628eb","嗯嗯嗯...","","","","",""
"S """"","S_93a7bb18","(该死，我的舌头我的头...啊......为什么那个恶心的吻，竟然让我产生了快感??)","","","","",""
"S """"","S_446a528c","嗯...嗯...","","","","",""
"S """"","S_a2b77982","呼吸声...嗯...呼吸声...","","","","",""
"S """"","S_9ebe7cda","(这甚至不是一个吻......)","","","","",""
"""""","narrator_2f399e75","斯托克夫身体离开了莎拉.","","","","",""
"A """"","A_d154459d","哈哈, 我们的爱之吻让你心情愉快一点了吗?","","","","",""
"S """"","S_d96bd585_1","！！！","","","","",""
"S """"","S_e6b38257","爱之吻??? 你在说什么... 这是一个谎言... 这里面根本没有爱情... 太恶心了...","","","","",""
"A """"","A_b063736d","哈哈哈,来日方长，这只是开始.我不得不承认，我已经很久没有尝到这样甘甜可口的红唇了......","","","","",""
"S """"","S_290e7c0c","你走开，我现在不想跟你说话...","","","","",""
"S """"","S_fa02782a","(哦,我的天... 是不是因为他说的话，我身上又有反应了...)","","","","",""
"A """"","A_b10f7e5d","经过这两次接触我觉得，我们的感情得到了升华，你现在应该没有什么放不开的，下次接吻的时候，你要用上你的舌头...","","","","",""
"S """"","S_6a73aa3b","什么? ? ?但那太下流了...","","","","",""
"A """"","A_b626fe39","亲爱的，我会教你什么是真正的吻.然后你会疯狂的爱上它的.哈哈哈!","","","","",""
"S """"","S_eb97deb1","(这根本不算?该死的...这个吻不是真实的...只是让人恶心)","","","","",""
"A """"","A_326ff3cc","你要学会多用用你的舌头.","","","","",""
"S """"","S_fc1a5ccd_1","……","","","","",""
"""""","narrator_fba04f0f","他们又接吻了.但是这次莎拉试图更积极地使用她的舌头.","","","","",""
"S """"","S_c2b1b994","嗯嗯...啊...","","","","",""
"S """"","S_c009ec2f","(唔...唔...吮吸...)","","","","",""
"S """"","S_1766dc65","(啊...我不敢相信...我竟然用了我的舌头...)","","","","",""
