location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_7dc07c10,"""A very interesting figure wandered into the Queen of Blades' gaze, the origin of which alone could interest the girl.""",,,,,
,S1_87900b95,"S1 ""(Well, well, well, who's that? Could Sarah have found a pretty toy? How interesting...)""",,,,,
,L_341e2cbc,"L ""Hee????""",,,,,
,S1_7cd5ce7f,"S1 ""What a curious creature has fallen right into my hands. What incredible luck! Don't you think so?""",,,,,
,L_9fb5db5c,"L ""(S-Sarah? No... I feel a completely different energy. Who are you?)""",,,,,
,S1_ed6a9dd8,"S1 ""Pfft, what's the use of these stupid formalities? Although, you know, I'd love to know who you are.""",,,,,
,narrator_ad59b9b6,"""Lizzara felt uncomfortable in the presence of this stranger. She still recognized Sarah's features, but they were rough and distorted. Lizzara tried to look away, but the Protoss was pressed by the power that the girl radiated, as if she were being tacitly subdued.""",,,,,
,L_b1180256,"L ""(You're acting like a hunter. Does a predator need to know who its prey is?)""",,,,,
,S1_27e76784,"S1 ""Haha, you're funny... You're too exotic, especially for this place, to get rid of you so quickly. But you are no more interesting than a toy anyway.""",,,,,
,L_e6c2dc7c,"L ""(I didn't expect anything more.)""",,,,,
,S1_5021b784,"S1 ""Hmm, so what's your name?""",,,,,
,L_43b189a5,"L ""(Lizzara.)""",,,,,
,narrator_52b2197c,"""The Protoss tried her best to escape by averting her eyes or turning her face away, but the Queen of Blades was everywhere. She wasn't going to let her go so easily.""",,,,,
,S1_112c0b1e,"S1 ""Wow, you're so icy. How aren't you freezing there, huh?.""",,,,,
,narrator_4b587b5f,"""The Queen of Blades was amused by the Protoss's behavior. Her aloofness only served to fuel the girl's unhealthy interest in her.""",,,,,
,S1_dfd21c8f,"S1 ""I am the Queen of Blades. You should set aside a separate section of memory for this name, because you will have to think about me many... many times.""",,,,,
,L_c3d7cbf9,"L ""(Queen of Blades... Is this what I felt inside Sarah? This can't be happening.)""",,,,,
,S1_381a7ff8,"S1 ""Inside Sarah... it sounds rough, you know, it's my body, too. From the very beginning, it was and will be!""",,,,,
,S1_3c7818fc,"S1 ""But you're very smart! You and Sarah are special... Girlfriends?""",,,,,
,L_b5d2b169,"L ""(I think you should know better if you share the same body.)""",,,,,
,S1_891fb8dd,"S1 ""Mmmm, even so... You know, your aloofness is funny, but there are limits. I love it when my questions are answered.""",,,,,
,narrator_9e37750f,"""The Queen of Blades approached the Protoss, grabbing her chin. It was a novelty for the girl to touch such skin, so she was happy to run her fingers over the cool and smooth surface.""",,,,,
,L_18984f14,"L ""(W-what are you up to?)""",,,,,
,S1_4a047ae3,"S1 ""Are you cold like this everywhere?{w} No! Don't say... I want to find out for myself, but later. We'll have plenty of time to experiment, haha.""",,,,,
,S1_53fb9d28,"S1 ""But you know, you'll be doing yourself a big favor if you behave more agreeably. I like resistance, but within reason. It would be a pity to damage such a specimen.""",,,,,
,L_0f1dd1a3,"L ""(I don't understand you.)""",,,,,
,S1_f1048654,"S1 ""Hmm, I don't want to capture more of your kind if something happens to you.""",,,,,
,L_1e392f20,"L ""(Experiments? Something's going to happen? What are you up to?)""",,,,,
,narrator_903036cb,"""Lizzara stared at the Queen of Blades in confusion, this being her first time seeing someone like this. The girl was unpredictable and very confident, towering over the Protoss. Their faces were close together, and they could feel each other's breath.""",,,,,
,S1_e3592b0e,"S1 ""Nothing special... Such a pampered mind needs a careful approach, but it's no less pleasant.""",,,,,
