location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_3cf4a301,"Владычица не церемонилась долго, заставив Стукова раздеться быстрее. Сопротивляться ей было бесполезно, потому что в ее глазах горел опасный огонек возбуждения. Она готова была сделать все что угодно, чтобы наиграться вдоволь.",narrator_3cf4a301,,,,
"""""",narrator_f2dbf16d,"Стуков не видел ее лица в тот момент, когда в него входил тентакль по желанию Владычицы, но по влажным звукам сзади можно было понять, что открывающийся вид очень удовлетворял Владычицу.",narrator_f2dbf16d,,,,
"A """"",A_8f70a9b9,"Я знал, что Вы очень сильно завелись, но все повернулось в очень интересное русло...",A_8f70a9b9,,,,
"Q """"",Q_bc96a1a8,"Ты никогда не можешь знать, что же произойдет в следующий момент... Тебе стоит приготовиться, потому что хищником сегодня будешь не ты.",Q_bc96a1a8,,,,
"""""",narrator_4c40851f,"Мышцы Стукова напряглись, хотя сам мужчина оставался спокойным. От него не было ни звука.",narrator_4c40851f,,,,
"Q """"",Q_b47f6fd4,"Вау, Стуков. Ты схватываешь настрой на лету.",Q_b47f6fd4,,,,
"Q """"",Q_f3f1fcdd,Но тебе лучше расслабиться...,Q_f3f1fcdd,,,,
"A """"",A_021c6799,"Вы же знаете, я никогда не против поиграть. А что Вы задумали на этот раз?",A_021c6799,,,,
"""""",narrator_8628294b,"Стуков расслабился, как только рука Владычицы не сильно сжалась на его члене.",narrator_8628294b,,,,
"Q """"",Q_f4ade5ac,О-очень хорошо... Ты скоро и сам все узнаешь.,Q_f4ade5ac,,,,
"A """"",A_1ce089a8,(Звучит... Заманчиво.),A_1ce089a8,,,,
"Q """"",Q_37eadd2d,"Но сегодня ты точно не уйдешь от меня, пока я не опустошу тебя полностью.",Q_37eadd2d,,,,
"A """"",A_f75d236b,"Сегодня Вы активнее, чем когда-либо.",A_f75d236b,,,,
"A """"",A_4d9de1d5,"Когда шел сюда, я не думал, что под 'поработать' будет иметься в виду... это. Вы, должно быть, очень возбуждены.",A_4d9de1d5,,,,
"Q """"",Q_f2373a50,С чего ты решил это?,Q_f2373a50,,,,
"A """"",A_32af0107,...,A_32af0107,,,,
"A """"",A_fdb5deff,"Мое тело полностью обездвижено, значит, Вы решили поиграть как следует. Грубо и без лишних вопросов.",A_fdb5deff,,,,
"Q """"",Q_49f1b459,"Хах, это похоже на правду...",Q_49f1b459,,,,
"Q """"",Q_5dcb27fe,"Но лучше замолкни и хорошенько кончи, пока я разрешаю.",Q_5dcb27fe,,,,
"Q """"",Q_9d35665d,Пока ты и особенно твой член полностью принадлежите мне.,Q_9d35665d,,,,
"""""",narrator_029928ed,"Щупальца в Стукове зашевелилось активнее, заставляя член только сильнее затвердеть в сосках.",narrator_029928ed,,,,
"Q """"",Q_b8f9b005,Дополнительная стимуляция была отличной идеей...,Q_b8f9b005,,,,
"Q """"",Q_fb4d266c,"С этой небольшой помощью твоей член становится еще крепче. Нужно будет взять это на заметку, если кончишь ты так же сильно, как реагируешь.",Q_fb4d266c,,,,
"A """"",A_4f8f863e,"Если Вы хотите, чтобы я сильнее кончил, тогда почему медлите?",A_4f8f863e,,,,
"Q """"",Q_9e8e5aaa,"Ты и сам должен знать, что воздержание творит чудеса, Стуков.",Q_9e8e5aaa,,,,
"""""",narrator_38ffe79e,"Язычки дразнят, двигаясь медленно и осторожно. Они специально не задевают наиболее чувствительные места, находясь возле них.",narrator_38ffe79e,,,,
"A """"",A_de4eee89,"(О каком воздержании идет речь, если в этих сосках так мокро и узко...)",A_de4eee89,,,,
"Q """"",Q_717c43a9,"Интересно, можешь ли ты кончить, находясь только на этом этапе? Этого может быть недостаточно, но если держать тебя достаточно долго...",Q_717c43a9,,,,
"""""",narrator_a71dc04d,"Владычица сжала конечности Стукова сильнее, когда язык наконец прошелся по всей головке. От Стукова послышался сдавленный хрип.",narrator_a71dc04d,,,,
"Q """"",Q_0bc28cc0,Мы же можем сделать из этого целый праздник. Разве ты не устал дрочить по вечерам? Это так обыденно и привычно...,Q_0bc28cc0,,,,
"""""",narrator_9e5ffa26,*Хлюп* *Лизь* *Хлюп*,narrator_9e5ffa26,,,,
"A """"",A_751ef829,"Стабильность признак мастерства, хех.",A_751ef829,,,,
"Q """"",Q_23e1563c,"Ох, брось, Стуков. Ты расстраиваешь меня этими словами. Стабильность слишком скучная, именно этому ты сейчас и научишься...",Q_23e1563c,,,,
"""""",narrator_51bd9fb6,"Владычица регулировала уровень захода члена в сосок, иногда позволяя ему зайти чуть дальше, но снова возвращая его в самое начало.",narrator_51bd9fb6,,,,
"""""",narrator_62850c9a,"Она довольно улыбалась, наблюдая за тем, как Стуков реагировал на действия язычка и тентаклей внутри него.",narrator_62850c9a,,,,
"Q """"",Q_dadcd127,"Чем дальше я тебя пускаю, тем больше ты реагируешь. Даже не только твой член начинает отзываться на внешнее воздействие.",Q_dadcd127,,,,
"Q """"",Q_89aedcc3,"Ты ведь так же тренируешь Сару, верно? Каково это - поменяться местами? Ничего не решать и только получать удовольствие, когда тебе позволят?",Q_89aedcc3,,,,
"A """"",A_171808c8,Я... Я...,A_171808c8,,,,
"""""",narrator_7e13ad0e,*Лизь* *Хлюп* *Хлюп*,narrator_7e13ad0e,,,,
"A """"",A_bde12114,Аррх...,A_bde12114,,,,
"""""",narrator_c6eafd83,"Стуков пытался что-то сказать, но из-за двойного удовольствия у него не получалось сказать что-то членораздельное. Его пробирало мелкой дрожью, когда язычок проходился особенно быстро, сменяя темп.",narrator_c6eafd83,,,,
"Q """"",Q_a7ad0729,"Не стоит слов, твое тело и так прекрасно говорит за тебя. И ему все нравится...",Q_a7ad0729,,,,
"A """"",A_31acf5b5,(Еще бы... Это точно не похоже на обычную дрочку.),A_31acf5b5,,,,
"Q """"",Q_a355fc83,Видеть тебя таким уязвимым одно удовольствие. Я могу оставить тебя так.,Q_a355fc83,,,,
"Q """"",Q_fc30f169,"И наблюдать, как твой член дергается мне навстречу, требуя большего внимания к себе.",Q_fc30f169,,,,
"Q """"",Q_56960ca0,"Могу снова дразнить тебя, ощущая, как напрягается и расслабляется твое тело в зависимости от такта движения языка.",Q_56960ca0,,,,
"""""",narrator_5f5e10b8,*Лизь* *Лизь* *Лизь*,narrator_5f5e10b8,,,,
"A """"",A_d13b85e4,Черт...,A_d13b85e4,,,,
