location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_ZUd7J33Q,"Сара нетерпеливо постукивала ногой по полу, издавая нестерпимый звук для осквернителя. Ее не радовало его мучительное выражение морды, даже его страдания не заполняли ту дыру в душе, которую породили его эксперименты.",narrator_ZUd7J33Q,,,,
"S """"",S_8D34RXfk,(Никто в этом проклятом богом месте не смел так издеваться над моим телом! Он воспользовался моим бездействием!),S_8D34RXfk,,,,
"S """"",S_d8LTX2WU,"(Как же бесит, что он и она! ОН и ОНА!!! Заставили вынашивать меня какие-то яйца.)",S_d8LTX2WU,,,,
"S """"",S_8v8iqSHM,"(Сладкая парочка... Удивительно, что он ей сразу не отдал эссенцию. Она явно стала его музой для новых экспериментов.)",S_8v8iqSHM,,,,
"""""",narrator_YZt4Brr3,"Сару успокаивала мысль, что она породила на свет новое поколение сильнейших существ. Но сейчас она была как никогда согласна с Абатуром, что это не продуктивное вынашивание.",narrator_YZt4Brr3,,,,
"Os """"",Os_EkRiDC2i,Ты не могла бы... Ну знаеш-шь... Прекратить это адс-ское топанье?,Os_EkRiDC2i,,,,
"S """"",S_kmesd8pF,"Я знаю, что у такой мерзопакостной сошки, как ты, припасены еще горы ужасных экспериментов за плечами. И достанутся они мне! Так что...",S_kmesd8pF,,,,
"S """"",S_VRp8LWTp,НЕТ!,S_VRp8LWTp,,,,
"""""",narrator_hFPufhuK,"Постукивание носком стало еще громче и быстрее. Сара была вся на нервах от того, что ей предстоит забрать эссенцию. Мысли об этом вызывали предвкушение, пока она не вспоминала, с кем имеет дело.",narrator_hFPufhuK,,,,
"""""",narrator_MhYVrB89,"Существо перед ней порождало у нее самые будоражащие и пугающие чувства, которые она когда-либо испытывала. Но теперь ей предстояло забрать эссенцию, а это уже новый уровень в их отношениях.",narrator_MhYVrB89,,,,
"Os """"",Os_oi87jtAi,Ты вс-ся прям на иголках. Не нужно так не-ервничать!,Os_oi87jtAi,,,,
"S """"",S_Pp2jHdbT,Рядом с тобой я не могу не нервничать! Стуков по сравнению с тобой лапочка... А это о многом говорит.,S_Pp2jHdbT,,,,
"Os """"",Os_MRHwebWx,"Не понимаю, о ч-чем ты. Но раз пришла, то хочешь одну вещ-щицу от меня.",Os_MRHwebWx,,,,
"S """"",S_YNddv9Ud,...,S_YNddv9Ud,,,,
"S """"",S_TrGWkGTx,А ты догадливый.,S_TrGWkGTx,,,,
"Os """"",Os_odU6LrKi,"Я знал, что ты вернеш-шься!",Os_odU6LrKi,,,,
"S """"",S_tSoH5iY3,"Да ладно, а ты думал, я извращенка, которая мечтает быть оплодотворена яйцами???",S_tSoH5iY3,,,,
"Os """"",Os_aKhi2ABV,По тебе вс-се было видно с первой с-секунды.,Os_aKhi2ABV,,,,
"Os """"",Os_sqbhnK2G,Вош-шла во вкус после первого раза?,Os_sqbhnK2G,,,,
"S """"",S_KwaWMEth,Да что ты несешь...,S_KwaWMEth,,,,
"""""",narrator_gRp54UrZ,"Осквернитель пристально посмотрел на девушку, заставляя ту отвести взгляд.",narrator_gRp54UrZ,,,,
"Os """"",Os_doi8ueeu,"Я, каж-жется, говорил, что имею огромный ж-жизненный опыт.",Os_doi8ueeu,,,,
"""""",narrator_WrDVUpck,"Осквернитель возбужденно зашевелился, пробуждая в сознании давние воспоминания о былых временах.",narrator_WrDVUpck,,,,
"S """"",S_QP3bGnMQ,*Топ* *Топ* *Топ*,S_QP3bGnMQ,,,,
"Os """"",Os_aachwCFB,Ради этого ты пойдеш-шь на любые мои эксперименты!,Os_aachwCFB,,,,
"S """"",S_fXrEBUoA,*Топ* *Топ* *Топ* *Топ* *Топ* *Топ*,S_fXrEBUoA,,,,
"Os """"",Os_n9whraPR,Ты хочешь застучать меня до с-смерти?!,Os_n9whraPR,,,,
"S """"",S_WGfowPTx,В точку!,S_WGfowPTx,,,,
"S """"",S_sTSMkzMy,И эссенция в любом случае достанется мне.,S_sTSMkzMy,,,,
"S """"",S_4CvCQ9aK,Разве это не гениально?,S_4CvCQ9aK,,,,
"Os """"",Os_SB5YZL8e,"Ну раз так... Мне и помереть не жалко, чтобы потом пос-смотреть на твое разочарование.",Os_SB5YZL8e,,,,
"S """"",S_mfjdpxof,Это еще почему?,S_mfjdpxof,,,,
"""""",narrator_h4G9GxQo,"Осквернитель ухмыльнулся, выдерживая паузу, еще больше выводя Сару на эмоции.",narrator_h4G9GxQo,,,,
"Os """"",Os_dxp3gySb,Моя эс-ссенция после смерти никому не передается. Исчезнет вмес-сте со мной!,Os_dxp3gySb,,,,
"Os """"",Os_kB4aRdDU,Раз-зве это не гениально?,Os_kB4aRdDU,,,,
"S """"",S_6WbBxEfE,"(Да вы тут все мистеры гениальности, я смотрю...)",S_6WbBxEfE,,,,
"""""",narrator_cscjFUhZ,"У Сары так и тянулись руки придушить гада, который без какого-либо зазрения совести стоял прямо перед ней и потешался. Она и сама не понимала, почему его самодовольная морда вызывает у нее такой бурный отклик, но равнодушным он точно не оставлял никого.",narrator_cscjFUhZ,,,,
