location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_6d409d59,"Сай'мон, я приняла решение. Хочу, чтобы ты занялся моим обучением.",,,,,
"C """"",C_cb67bfa9,(Я удивлен твоим выбором.),,,,,
"S """"",S_43b0c2c5,Почему же это?,,,,,
"C """"",C_06a95de9,"Ну, вас всегда манит путь наименьшего сопротивления. Многие терраны выбрали бы именно легкий вариант.",,,,,
"S """"",S_6237c055,Я уже выбирала легкий путь. И он не привел меня к успеху.,,,,,
"C """"",C_2d94fd89,"(Я понял тебя. Тогда, думаю, мы можем начать прямо сейчас.)",,,,,
"S """"",S_b7ea4226,"Отлично, давай начнем. Что мне нужно делать?",,,,,
"C """"",C_7c658f78,(Первый этап станет довольно простым для тебя и будет по большей мере заключаться в сборе информации. ),,,,,
"C """"",C_450cde06,"(Итак, давай еще раз попробуем установить связь с Роем.)",,,,,
"S """"",S_65fe8ded,"Хорошо, я готова. Надеюсь, не будет как в прошлый раз...",,,,,
"C """"",C_6a4f113a,"(Тебе не нужно переживать об этом. Теперь будет все по-другому, просто сделай это.)",,,,,
"C """"",C_31e364e5,"(Ранее у тебя это уже получалось. Но сейчас представь, будто ты хочешь найти там определенное существо.)",,,,,
"S """"",S_297dbe80,Легко тебе сказать... но я постараюсь.,,,,,
"C """"",C_b1950e5c,"(Нам повезло, что ты умеешь обращаться с псионикой. Если мне вдобавок еще пришлось бы учить тебя пользоваться ей, я бы вообще с ума сошел...)",,,,,
"S """"",S_842305d7,"(Хм, интересно, а как ты бы это делал.)",,,,,
"C """"",C_33ae2e3d,"(У нас есть приоритетные задачи, об этом поговорим в другой раз.)",,,,,
"S """"",S_e28e4bb0,Угу!,,,,,
"C """"",C_2bce80e2,"(Отлично. Теперь выбери, с кем хочешь связаться. Сейчас ты ограничена только теми созданиями, которых ранее встречала. Но со временем этот список будет увеличиваться.)",,,,,
"S """"",S_a2d84fda,"(Три дня прошли. Сай'мон, это был... {i}интересный{/i} опыт.)",,,,,
"C """"",C_91032714,(Чувствуешь прогресс в своих пси-способностях?),,,,,
"S """"",S_e027bab7,"(Ни капли! Я надеюсь, это все было не зря и ты знаешь, что делаешь?)",,,,,
"C """"",C_631a967d,"(Конечно-конечно. Перед тем, как быть имплантированным в твою голову, я написал целый учебник 'Как начать управлять роем зергов за двадцать один день'!)",,,,,
"S """"",S_382188bb,"(Ха-ха, ну хватит. Не сомневаюсь в твоих методах! Ты уже успел подумать над нашим следующим шагом?)",,,,,
"C """"",C_9c217513,"(А то! Я тут, знаешь ли, тоже зря времени не теряю.)",,,,,
"C """"",C_2cb51ab2,"(Наблюдая за твоими попытками взять под контроль свою новую силу, я пришел к определенному выводу. Возможно, проблема заключается в том, что ты не умеешь отключать все посторонние раздражители, чтобы сконцентрироваться только на своей мысленной команде.)",,,,,
"C """"",C_a7cc3745,"(Каждую секунду миллионы твоих нервных окончаний посылают сигналы мозгу. И хоть терраны и научились большую часть времени их просто не замечать, вся эта информация по-прежнему отнимает столь важные для нас ресурсы твоего разума.)",,,,,
"S """"",S_f74a49f6,(И что ты предлагаешь? Ты ведь не собираешься меня парализовать или что-нибудь вроде того?),,,,,
"C """"",C_aa32d2ec,"(Нет, не собираюсь. Да и это не дало бы необходимого эффекта.)",,,,,
"C """"",C_47caf2c8,"(Однако мне пришло в голову, что, возможно, мы могли бы попробовать использовать все эти тактильные рецепторы! Так сказать, постараться подчинить их все одной общей цели.)",,,,,
"C """"",C_7c04b044,"(Например, путем одновременной стимуляции каждого из них, чтобы помочь тебе войти в нужное состояние.)",,,,,
"S """"",S_50a27d70,"(Я что-то совсем не понимаю, к чему ты клонишь. Сай'мон, ты что, собрался обвешать меня вибраторами, как новогоднюю елку?)",,,,,
"C """"",C_6fb5d51e,(А знаешь... Это на самом деле может быть не такой уж и плохой идеей!),,,,,
