location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_daa6a9c0,"Стуков с довольной миной осматривал Сару, до сих пор не проронив ни слова.",narrator_daa6a9c0,,,,
"S """"",S_305b35b6,"Может быть, ты уже скажешь, что собираешься делать?",S_305b35b6,,,,
"A """"",A_3891b72d,А у тебя есть предположения?,A_3891b72d,,,,
"""""",narrator_d6846d7b,"Голос Стукова заметно изменился, приобретая веселые нотки.",narrator_d6846d7b,,,,
"S """"",S_72ab8e8e,"Было бы проще, если бы ты хотел просто посмотреть за процессом, но я уверена, что это не так...",S_72ab8e8e,,,,
"A """"",A_1d68ede0,"И ты права, хех. Лично проверить я хочу во всех смыслах.",A_1d68ede0,,,,
"S """"",S_0930be95,Проверить...,S_0930be95,,,,
"S """"",S_02188edf,"Проверять, как дрочу я? Это даже звучит нелепо...",S_02188edf,,,,
"A """"",A_c4461ad2,"Хе-хе-хе, ты ошибаешься, звучит как раз отлично. Если ты следовала моим указаниям, то все будет отлично, не переживай.",A_c4461ad2,,,,
"S """"",S_34c24ea8,"Скажи мне, что ты шутишь, пожалуйста.",S_34c24ea8,,,,
"S """"",S_d710b0e3,"(Серьезно? Я не готова к тому, что все фантазии воплотятся в жизнь... Я точно сплю.)",S_d710b0e3,,,,
"A """"",A_646a2f8a,"Не-е-ет, это дело серьезное. Какие шутки, хе-хе.",A_646a2f8a,,,,
"A """"",A_7a97429d,Но перед самым интересным тебе стоит переодеться.,A_7a97429d,,,,
"S """"",S_1f61ae1a,Это обязательно?...,S_1f61ae1a,,,,
"A """"",A_ddf29900,"Конечно, отказы не принимаются! Так что за дело, детка.",A_ddf29900,,,,
"""""",narrator_eee5d0f6,"Сара послушно надела эротическое белье, все еще удивляясь происходящему.",narrator_eee5d0f6,,,,
"A """"",A_2a15c14d,"Ты как всегда выглядишь прекрасно. Как шлюшка. Хех, мне уже не терпится приступить!",A_2a15c14d,,,,
"A """"",A_611365d4,"Как же жаль, что сегодня мы не зайдем дальше дрочки. Но ведь у нас все еще впереди, да?",A_611365d4,,,,
"""""",narrator_aa2e2e30,"Стуков довольно облизнулся, разминая пальцы. От этого жеста Сара нервно сглотнула скопившуюся слюну.",narrator_aa2e2e30,,,,
"S """"",S_77913983,Ммм...,S_77913983,,,,
"S """"",S_770964ef,И-идиотская поза... это обязательно должно проходить именно так?,S_770964ef,,,,
"A """"",A_cf5d9171,"Хе-хе, конечно!",A_cf5d9171,,,,
"S """"",S_8c1b9b2e,Почему ты выбрал такую неудобную и развратную позу?,S_8c1b9b2e,,,,
"A """"",A_4b69b1e4,"Это все не просто так. Благодаря ей твои формы столь аппетитны и доступны, хех. И небольшое напряжение в этом деле тебе совершенно не помешает.",A_4b69b1e4,,,,
"S """"",S_226d1790,Погоди... Неужели ты... Снял фуражку?!,S_226d1790,,,,
"A """"",A_976d630d,"Ну да, а что в этом такого удивительного?",A_976d630d,,,,
"S """"",S_d5b0ce3d,"Вау, оказывается, она не часть тебя, надо же...",S_d5b0ce3d,,,,
"S """"",S_69587a7a,"Знаешь, впервые вижу тебя без фуражки... я думала, она часть тебя.",S_69587a7a,,,,
"S """"",S_1e393fe6,А можно я надену твою фуражку?,S_1e393fe6,,,,
"A """"",A_3ebd8f9d,... нет!,A_3ebd8f9d,,,,
"S """"",S_ca39a6fa,... Жадина!,S_ca39a6fa,,,,
"A """"",A_d1693cbc,"Хе-хе, сейчас ты узнаешь, как я хорошо работаю пальчиками.",A_d1693cbc,,,,
"""""",narrator_ef35b2da,"Стуков немного натянул трусики Сары, заставляя ее дернуться от приятных ощущений.",narrator_ef35b2da,,,,
"A """"",A_f829a513,"Видишь? В этой позе есть свои плюсы. Очень скоро ты познаешь их в полной мере, хе-хе.",A_f829a513,,,,
"A """"",A_58614a8d,"Итак, что у нас тут?",A_58614a8d,,,,
"""""",narrator_9ed1c6f6,"Стуков специально делал все очень медленно, заставляя Сару мелко дрожать от предвкушения.",narrator_9ed1c6f6,,,,
"A """"",A_d17f2f1c,"Ты такая похотливая, Сара. Я еще не начал, а твоя киска уже жаждет, чтобы я ее проверил!",A_d17f2f1c,,,,
"S """"",S_817e37fd,Ахх!... Да.,S_817e37fd,,,,
"A """"",A_af07b76e,"Хочешь, чтобы я продолжил? Чтобы проверил ее как следует? Ммм?",A_af07b76e,,,,
"S """"",S_533824f3,Д-да...,S_533824f3,,,,
"A """"",A_408ba020,"Тогда тебе стоит попросить. О-о-о-о-очень хорошо попросить, хе-хе.",A_408ba020,,,,
"S """"",S_0f6a9905,"(Серьезно? Он сам дал это задание, а теперь я должна просить? Он невыносим!)",S_0f6a9905,,,,
"A """"",A_683806be,"Эх, видимо, ты не хочешь завершить проверку... Как жаль.",A_683806be,,,,
"S """"",S_a8583b0c,...,S_a8583b0c,,,,
"S """"",S_b2c68dd2,"П-пожалуйста! Я хочу, чтобы ты проверил мою киску... проверил, хорошо ли я с ней играюсь каждый день... пожалуйста.",S_b2c68dd2,,,,
"""""",narrator_9d3a701a,Рот Стукова растянулся в самодовольной улыбке.,narrator_9d3a701a,,,,
"A """"",A_541b7dba,"Отлично, ну раз ты так жаждешь, то пора начинать проверку!",A_541b7dba,,,,
"S """"",S_e9f56f56,Мммм! Ахххах...~♥,S_e9f56f56,,,,
"""""",narrator_e0f29ce5,"Пальцы Стукова резко вошли в Сару, заставляя ее сжаться внутри.",narrator_e0f29ce5,,,,
"S """"",S_1b2bbc06,(Ахх! П-почему так приятно!..),S_1b2bbc06,,,,
"A """"",A_58940e2a,"Ого, начало обещало быть интересным, но не настолько! Ты вся дрожишь, хотя я даже ничего толком не сделал.",A_58940e2a,,,,
"A """"",A_18c451e3,"Неужели ты так плохо дрочила, что теперь твоя киска в восторге от моих умелых пальцев? Тогда тебе нужно пристально следить за моими движениями, чтобы научиться делать все правильно.",A_18c451e3,,,,
"S """"",S_a7e20d5c,Ммм... Хорошо.,S_a7e20d5c,,,,
"""""",narrator_890742d0,"Сара продолжала движения, сама насаживаясь на пальцы. Стоны, которые вырывались из ее рта, становились все громче.",narrator_890742d0,,,,
"A """"",A_0acc2406,"Вот, теперь я вижу, что твои тренировки не прошли зря.",A_0acc2406,,,,
"""""",narrator_33828293,"Стуков продвинул свои пальцы дальше, стараясь задеть самые чувствительные точки.",narrator_33828293,,,,
"A """"",A_055f589d,*Хлюп* *Хлюп*,A_055f589d,,,,
"S """"",S_fe0137ee,Хахахах!!!~♥,S_fe0137ee,,,,
"A """"",A_505d6c4b,"Хорошо запомни это ощущение. Тебе нужно достигать его каждый раз, как ты будешь играть со своей киской.",A_505d6c4b,,,,
"S """"",S_0168dd59,Х-хорошо...,S_0168dd59,,,,
"A """"",A_27bdd2d9,"Ну и конечно же не щади свою киску, прямо вот так!",A_27bdd2d9,,,,
"S """"",S_aa1ad3f4,Ах-ах-ах-ах!!!,S_aa1ad3f4,,,,
"A """"",A_b2e82e90,Ну что? Все неудобства отошли на задний план?,A_b2e82e90,,,,
"S """"",S_6f26a1a7,Д-дааа... Мне нужно больше... Больше!,S_6f26a1a7,,,,
"A """"",A_69ca3b39,"Ты такая нетерпеливая, Сара. Когда ты успела стать такой?",A_69ca3b39,,,,
"S """"",S_c7109bf3,Ахахаааах... э-это все твоя вина.,S_c7109bf3,,,,
"S """"",S_5e5348c8,"(Моя киска горит... Все так быстро, и совсем по-другому! Мне все больше кажется, что это сон! Так хорошо...)",S_5e5348c8,,,,
"S """"",S_b0eaab3c,"Хаааах... Мммм, черт!",S_b0eaab3c,,,,
"""""",narrator_0fb871ca,"Стуков медленно вернул пальцы на прежнее место, не забывая снова пройтись по нужным точкам. Он сжимал пальцы внутри Сары, доводя девушку до звездочек в глазах.",narrator_0fb871ca,,,,
"S """"",S_b0eaab3c_1,"Хаааах... Мммм, черт!",S_b0eaab3c_1,,,,
"A """"",A_0c9ad123,*Хлюп* *Хлюп* *Хлюп*,A_0c9ad123,,,,
"A """"",A_0b127f5a,"Ты слышишь это? Так звучит разврат. И эти звуки издает твоя киска, хе-хе.",A_0b127f5a,,,,
"A """"",A_439f7bf5,"Они тебя заводят? Тебе нравится, как пошло ты стонешь?",A_439f7bf5,,,,
"S """"",S_90c7b62b,"Я... Боже, я... Д-да!",S_90c7b62b,,,,
"A """"",A_97281f64,Замечательно...,A_97281f64,,,,
"""""",narrator_c27cfd90,"Сара с трудом могла связать слова, получая удовольствие от манипуляций Стукова и от пикантности всей ситуации.",narrator_c27cfd90,,,,
"A """"",A_fafdc395,"Ты такая громкая... Еще немного и я подумаю, что ты решилась записаться в ряды нимфоманок. Это проверка становится все лучше и лучше.",A_fafdc395,,,,
"A """"",A_606a0230,*Хлюп* *Чмок* *Хлюп*,A_606a0230,,,,
"S """"",S_95701f48,Ч-что?! Нееет... Почему ты вышел?,S_95701f48,,,,
