location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""","""Вы уверены, что хотите выйти в главное меню?\n Весь несохраненный прогресс будет утерян.""",你确定要返回主菜单吗？\n这将丢失未保存的进度。,,,,,
"""""","""Вы уверены, что хотите выйти?""",你确定要退出吗？,,,,,
"""""","""Загрузка приведет к потере текущего прогресса.\n Вы уверены, что хотите это сделать?""",加载将丢失未保存的进度。\n你确定要这么做吗？,,,,,
"""""","""Уловки""",欺骗,,,,,
"""""","""никогда""",不是,,,,,
"""""","""не бывают""",什么,,,,,
"""""","""честными""",好事,,,,,
"""""","""хе-хе""",呵呵,,,,,
"""""","""поддайся""",,,,,,
"""""","""не сопротивляйся""",,,,,,
"""""","""сдайся""",,,,,,
"""""","""не борись""",,,,,,
"""""","""не бойся""",,,,,,
"""""","""бесполезно""",,,,,,
"""""","""Посмотреть на лицо""",,,,,,
"""""","""Посмотреть на грудь""",,,,,,
"""""","""Посмотреть на вагину""",,,,,,
"""""","""Использовать""",,,,,,
"""""","""Осмотреть (cooming soon)""",,,,,,
"""""","""Заглянуть""",看里面,,,,,
"""""","""Попробовать пролезть""",试着爬过去,,,,,
"""""","""Ударить посильнее""",更猛烈地打击,,,,,
"""""","""Взаимодействия (частично доступы)""",互动(少部分可用),,,,,
"""""","""Поиграться (не доступно)""",和他进行游戏 (当前不可用),,,,,
"""""","""Погладить (не доступно)""",私人宠物 (当前不可用),,,,,
"""""","""Удовлетворить потребности""",满足他的更多的需求,,,,,
"""""","""Наладить связь (не доступно)""",建立沟通 (当前不可用),,,,,
"""""","""Искупать""",,,,,,
"""""","""Дней в плену:""",囚禁天数：,,,,,
"""""","""Сколько раз показывала тело Стукову:""",向斯图科夫展示了裸体的次数：,,,,,
"""""","""Сколько раз была облапана Стуковым:""",斯图科夫触摸裸体的次数：,,,,,
"""""","""Сколько раз была материалом для дрочки:""",被用作打手枪材料次数：,,,,,
"""""","""Сколько проглочено спермы:""",吞精子量：,,,,,
"""""","""Сколько проглочено 'еды':""",,,,,,
"""""","""Сколько раз кончила, из них:""",来了次数：,,,,,
"""""","""Орально:""",通过口腔：,,,,,
"""""","""Клиторально:""",通过阴茎：,,,,,
"""""","""Вагинально:""",通过小嫩B：,,,,,
"""""","""Анально:""",通过肛门：,,,,,
"""""","""Сколько раз тренировалась, из них:""",训练：,,,,,
"""""","""Тренировок пси-способностей:""",幽能训练：,,,,,
"""""","""Тренировок физических:""",体育训练：,,,,,
"""""","""Отношения со Стуковым:""",与斯图科夫的关系：,,,,,
"""""","""Отношения с Сай'моном:""",与西蒙的关系：,,,,,
"""""","""Pulling Sarah's hair - more speed""",,,,,,
"""""","""Drowns Sarah - more deep""",,,,,,
"""""","""Returns Sarah to a neutral position""",,,,,,
"""""","""Cancels Sarah\""s handjob""",,,,,,
"""""","""Help""",,,,,,
"""""","""Hide interface""",,,,,,
"""""","""Как только шкала эякуляции заполнится - Стуков сможет кончить.""",一旦射精进度条满了，斯托克夫就可以射出来。,,,,,
"""""","""Чем выше темп и глубина, тем быстрее заполнится шкала эякуляции.""",节奏越快，兴奋度越高，填充得就越快。,,,,,
"""""","""Подними Сару за волосы, чтобы повысить темп. Осторожно - глубина начнет падать.""",拉扯莎拉的头发，能够控制节奏，但会降低兴奋度。,,,,,
"""""","""Окуни Сару в воду, чтобы повысить глубину. Осторожно - темп начнет падать.""",将莎拉的头按入水中，这样会增加兴奋度，但会打断节奏。,,,,,
"""""","""Отпусти Сару, чтобы заморозить темп. Если она не сможет держаться - она будет тонуть!""",灵活控制莎拉的头部，稳定当前节奏，如果两者没有配合好，她就会开始溺水！,,,,,
"""""","""Если темп выше половины, то глубина начнет падать.""",如果速度超过最大速度的一半，兴奋度也会降低。,,,,,
"""""","""Если темп ниже половины, то глубина продолжит расти.""",如果速度低于最大速度的一半，兴奋度就会增加。,,,,,
"""""","""Шлепни Сару по заднице, если она будет вести себя неожиданно!""",如果莎拉不听话，你就给她一巴掌！,,,,,
"""""","""Каждое последующее окончание будет тяжелее! Ты всегда можешь вызвать подсказку снова, нажав на знак вопроса.""",连续的高潮都会很难达到，你要通过点击问号按钮再次看到这个提示。,,,,,
"""""","""X""",,,,,,
"""""","""Внимание!\n Данная игра предназначена для лиц, достигших 18 лет.\n Вам есть 18?""",,,,,,
"""""","""Точно?""",好的！,,,,,
"""""","""Вы действительно уверены?""",那好吧！请再点一次。,,,,,
"""""","""{size=+3}Хотите вернуться к контрольной точке?{/size}""",,,,,,
"""""","""Pause""",,,,,,
"""""","""Костюм призрака""",幽灵特工套装,,,,,
"""""","""Обычное белье""",斯托克夫把这个答案记录了下来.,,,,,
"""""","""Развратное белье""",性感内衣,,,,,
"""""","""Постер""",色情海报,,,,,
"""""","""Ящик""",(这对我来说太难，一时间还无法接受...),,,,,
"""""","""Тентакль""",莎拉还不想这么做.她还不够淫荡.,,,,,
"""""","""Белье Амазонки""",亚马逊人内衣,,,,,
"""""","""Артефакт Протоссов""",,,,,,
"""""","""Спортивный костюм""",,,,,,
"""""","""Эротический журнал""",,,,,,
"""""","""Артур""",,,,,,
"""""","""Керриган""",,,,,,
"""""","""Sarah Kerrigan""",莎拉·凯丽甘,,,,,
"""""","""Стуков""",阿列克谢·斯图科夫,,,,,
"""""","""СТУКУС""",,,,,,
"""""","""Абатур""",阿巴瑟,,,,,
"""""","""Сай'мон""",西蒙,,,,,
"""""","""Владычица""",女王,,,,,
"""""","""Zerg 1""",,,,,,
"""""","""Zerg 2""",,,,,,
"""""","""Zerg 3""",,,,,,
"""""","""Zerg 4""",,,,,,
"""""","""Зерг 5""",,,,,,
"""""","""Надзиратель""",领主,,,,,
"""""","""Зерглинг""",小狗,,,,,
"""""","""Мужской голос""",男性声音,,,,,
"""""","""Женский голос""",女性声音,,,,,
"""""","""[lizzara_name!t]""",,,,,,
"""""","""[akarun_name!t]""",,,,,,
"""""","""[drone_name!t]""",,,,,,
"""""","""[mutalisk_name!t]""",,,,,,
"""""","""[ultralisk_name!t]""",,,,,,
"""""","""[defiler_name!t]""",,,,,,
"""""","""[hydralisk_name!t]""",,,,,,
"""""","""[guardian_name!t]""",,,,,,
"""""","""[zergling_name!t]""",,,,,,
"""""","""Зерг 1""",,,,,,
"""""","""Зерг 2""",,,,,,
"""""","""Зерг 3""",,,,,,
"""""","""Зерг 4""",,,,,,
"""""","""???""",？？？,,,,,
"""""","""Русский""",,,,,,
"""""","""English""",,,,,,
"""""","""Italiana""",,,,,,
"""""","""漢語""",,,,,,
"""""","""Choose your preferred language.""",,,,,,
"""""","""Да""",是的,,,,,
"""""","""Нет""",不要,,,,,
"""""","""Использовать цензуру для 18+ контента?""",,,,,,
"""""","""Вы сможете изменить свой выбор позже, через меню настроек.""",,,,,,
"""""","""Использовать продвинутые анимации?""",,,,,,
"""""","""Очистить""",,,,,,
"""""","""Пропустить""",算了,,,,,
"""""","""Если вы начинали играть раннее, то необходимо очистить постоянные данные""",,,,,,
"""""","""Начать с начала""",从最初的开始,,,,,
"""""","""Начать со второй главы (ver.0.13)""",从第二章开始（0.13版） ,,,,,
"""""","""Начать с третьей главы (ver.0.22)""",,,,,,
"""""","""Тестирование""",,,,,,
"""""","""Тестовый режим""",,,,,,
"""""","""С геймплея""",,,,,,
"""""","""Ивенты""",,,,,,
"""""","""Древо""",,,,,,
"""""","""Разное""",,,,,,
"""""","""0.25""",,,,,,
"""""","""0.26""",,,,,,
"""""","""0.27""",,,,,,
"""""","""0.28""",,,,,,
"""""","""0.29""",,,,,,
"""""","""30""",,,,,,
"""""","""31""",,,,,,
"""""","""32""",,,,,,
"""""","""Используется для прыжков на метки. (Следует убрать?)""",,,,,,
"""""","""Используется для прыжков на отведенные сценарные ивенты. (Посредством экрана выборов.)""",,,,,,
"""""","""Используется для быстрого доступа к древу сценарных ивентов.""",,,,,,
"""""","""1 ветвь""",,,,,,
"""""","""2 ветвь""",,,,,,
"""""","""Пройти через ветку Саймона""",,,,,,
"""""","""Пройти через ветку Абатура""",,,,,,
"""""","""Различные возможности не акцентрированные на версию игры.""",,,,,,
"""""","""bridge leaders""",,,,,,
"""""","""Используется для быстрого взаимодействия с лидерами. (Не обновлялось/тестировалось с 0.23/0.24 версии)""",,,,,,
"""""","""event_sara_kiss_lizzara_2""",,,,,,
"""""","""event_sara_drone_sex""",,,,,,
"""""","""event_qb_vs_mistress_1""",,,,,,
"""""","""event_sara_zergnest.first""",,,,,,
"""""","""event_sara_zergnest.second""",,,,,,
"""""","""ZERGLING ESSENCE""",,,,,,
"""""","""animation -> event_food_dispenser_level_intro()""",,,,,,
"""""","""event_dialogue.hydralisk_1()""",,,,,,
"""""","""event_sara_little_zergling_0()""",,,,,,
"""""","""event_sara_evolution_boobs_0()""",,,,,,
"""""","""hydralisk_essence""",,,,,,
"""""","""start""",,,,,,
"""""","""crystal""",,,,,,
"""""","""scene""",,,,,,
"""""","""before_minigame""",,,,,,
"""""","""minigame_tutorial""",,,,,,
"""""","""minigame""",,,,,,
"""""","""minigame_loop""",,,,,,
"""""","""minigame_end""",,,,,,
"""""","""after_minigame""",,,,,,
"""""","""screen""",,,,,,
"""""","""ui""",,,,,,
"""""","""event_dialogue.hydralisk_0()""",,,,,,
"""""","""event_dialogue.hydralisk_2()""",,,,,,
"""""","""event_dialogue.hydralisk_3()""",,,,,,
"""""","""event_lizzara_feeding_2""",,,,,,
"""""","""event_dialogue.lizzara_7()""",,,,,,
"""""","""event_qb_hunger_hydralisk()""",,,,,,
"""""","""event_qb_confrontation_kin""",,,,,,
"""""","""event_dialogue.defiler_1""",,,,,,
"""""","""event_dialogue.sara_1""",,,,,,
"""""","""event_qb_semination""",,,,,,
"""""","""event_qb_semination.awareness""",,,,,,
"""""","""zergling_essence.zergling_scene""",,,,,,
"""""","""event_laying_eggs""",,,,,,
"""""","""event_stuck_in_pipe""",,,,,,
"""""","""event_dialogue.defiler_2""",,,,,,
"""""","""event_qb_hunger_drone""",,,,,,
"""""","""event_qb_fatal_climax_0""",,,,,,
"""""","""main""",,,,,,
"""""","""sara_1""",,,,,,
"""""","""lizzara_1""",,,,,,
"""""","""garbage_collection""",,,,,,
"""""","""ursa""",,,,,,
"""""","""lizzara_11""",,,,,,
"""""","""split_splash""",,,,,,
"""""","""fatal""",,,,,,
"""""","""gloryhole""",,,,,,
"""""","""essence_defile""",,,,,,
"""""","""1000 zergs""",,,,,,
"""""","""pregnancy_day_one""",,,,,,
"""""","""garbage_collection_1""",,,,,,
"""""","""zerling_wash""",,,,,,
"""""","""event_qb_hunger_hydralisk() - animation""",,,,,,
"""""","""trial_of_thrusting""",,,,,,
"""""","""old friend""",,,,,,
"""""","""diablogue""",,,,,,
"""""","""event_play_with_me_2 (animation)""",,,,,,
"""""","""Акарун""",,,,,,
"""""","""мастурбировать""",,,,,,
"""""","""Осеменитель""",小狗,,,,,
"""""","""Сошс""",,,,,,
"""""","""Королева Клинков""",,,,,,
"""""","""Осмотреть""",观察,,,,,
"""""","""Заглянуть внутрь""",看里面,,,,,
"""""","""Открыть""",打开,,,,,
"""""","""Отменить""",取消,,,,,
"""""","""Надеть новое белье""",,,,,,
"""""","""Отказаться""",拒绝,,,,,
"""""","""Оральный секс""",口交,,,,,
"""""","""Вагинальный секс""",性交,,,,,
"""""","""Анальный секс""",肛交,,,,,
"""""","""Мне нравится абсолютно все""",我喜欢一切!,,,,,
"""""","""Делать самой""",给予,,,,,
"""""","""Чтобы мне делали""",接受,,,,,
"""""","""Жестко""",粗暴地,,,,,
"""""","""Нежно""",温柔地,,,,,
"""""","""1""",,,,,,
"""""","""4""",,,,,,
"""""","""Не знаю""",不知道.,,,,,
"""""","""Узнать""",询问,,,,,
"""""","""Не узнавать""",忽略,,,,,
"""""","""Да, мне нравится эксгибиционизм""","是的,我是个暴露癖",,,,,
"""""","""Нет, мне не нравится эксгибиционизм""",不是，我不是暴露癖,,,,,
"""""","""Мне нравятся переодевания""",我喜欢换衣服,,,,,
"""""","""Мне не нравятся переодевания""",我不喜欢换衣服,,,,,
"""""","""Сексуальные рассказы""",性爱故事,,,,,
"""""","""Поцелуи""",接吻,,,,,
"""""","""Физические упражнения""",身体锻炼,,,,,
"""""","""Связь с Роем""",虫族蜂群链接.,,,,,
"""""","""Продолжить""",继续,,,,,
"""""","""Я готова""",我准备好了,,,,,
"""""","""Мне нужно время""",我还需要想想,,,,,
"""""","""Иследовать""",检查,,,,,
"""""","""Взаимодействовать""",互动,,,,,
"""""","""Вызвать Стукова""",叫斯图科夫,,,,,
"""""","""Повелительница щупалец""",,,,,,
"""""","""Овладейте целиком и полностью непослушными щупальцами""",,,,,,
"""""","""Тренировка""",训练,,,,,
"""""","""Связь с Роем: путь Абатура""",通过阿巴瑟，跟蜂群建立链接.,,,,,
"""""","""Поговорить""",聊天,,,,,
"""""","""Спросить про девушку на плакате""",向他询问海报上的那个女孩.,,,,,
"""""","""Показать тело""",展示下身体,,,,,
"""""","""Материал для дрочки""",手枪必备,,,,,
"""""","""Отмена""",取消,,,,,
"""""","""Поговорить с Сай'моном""",给西蒙聊天,,,,,
"""""","""Спросить Сай'мона про тентакль""",问赛蒙关于触手的事,,,,,
"""""","""Связь с Роем, путь Сай'мона""",,,,,,
"""""","""Тренироваться""",训练,,,,,
"""""","""Попытаться сбежать""",,,,,,
"""""","""Читы (ДЕБАГ МЕНЮ)""",,,,,,
"""""","""Ассистент""",,,,,,
"""""","""Голые тренировки""",进行裸体训练,,,,,
"""""","""Физическая тренировка""",体育训练,,,,,
"""""","""Пробудить пси-способности""",幽能训练,,,,,
"""""","""Искать способ выбраться""",寻找出口,,,,,
"""""","""Осмотреть комнату""",Inspect the room,,,,,
"""""","""Настройка оджеды""",,,,,,
"""""","""Одежда""",,,,,,
"""""","""Белье""",,,,,,
"""""","""Броня (стандратная)""",,,,,,
"""""","""Надеть""",穿上,,,,,
"""""","""Снять""",,,,,,
"""""","""Обычное (стандратное)""",,,,,,
"""""","""Мастурбировать""",自慰,,,,,
"""""","""Лечь спать""",去睡觉,,,,,
"""""","""Послушать Сай’мона и попробовать его способ""",听西蒙,,,,,
"""""","""Прислушаться к Сай'мону""",听塞蒙的话,,,,,
"""""","""Проигнорировать Сай'мона""",不听塞蒙的话,,,,,
"""""","""Ответить честно""",老实回答,,,,,
"""""","""Соврать""",对他说谎,,,,,
"""""","""Остановиться""",停止,,,,,
"""""","""Показать свою грудь""",展示自己的乳房,,,,,
"""""","""Люблю порку""",我喜欢被鞭打,,,,,
"""""","""Показывать свою киску""",展示自己的阴部,,,,,
"""""","""Повернуть направо""",向右转.,,,,,
"""""","""Повернуть налево""",向左转.,,,,,
"""""","""Спросить у Сай'мона""",询问塞蒙,,,,,
"""""","""Вернуться к предыдущей локации""",返回,,,,,
"""""","""Осмотреться""",到处寻找,,,,,
"""""","""Вернуться""",回来,,,,,
"""""","""Осмотреть странную дверь""",检查门.,,,,,
"""""","""Спросить Сай'мона о странной двери""",向塞蒙询问奇怪的门,,,,,
"""""","""Продолжать движение""",继续.,,,,,
"""""","""Узнать о Зале Эволюции""",了解进化大厅,,,,,
"""""","""Уйти""",离开,,,,,
"""""","""Идти вперед""",前进,,,,,
"""""","""Спросить, где находится выход""",询问出口在哪里,,,,,
"""""","""Расскажи о себе""",说说你自己,,,,,
"""""","""Расскажи о владычице""",说说女王,,,,,
"""""","""Расскажи о Стукове""",说说托克夫,,,,,
"""""","""Закончить разговор""",结束对话,,,,,
"""""","""Заглянуть в комнату""",看看房间里面,,,,,
"""""","""Взять тентакль""",捡起触手,,,,,
"""""","""Не брать тентакль""",离开触手,,,,,
"""""","""Спросить про летающее создание""",询问飞行生物,,,,,
"""""","""Использовать тентакль""",使用触手,,,,,
"""""","""Продолжай""",继续,,,,,
"""""","""Достаточно""",够了,,,,,
"""""","""Сопротивляться дальше (coming soon)""",,,,,,
"""""","""Сопротивляться дальше (только для разработчиков)""",,,,,,
"""""","""Согласиться""",同意。,,,,,
"""""","""Солгать и согласиться""",假装同意,,,,,
"""""","""Спросить о владычице""",询问女王,,,,,
"""""","""Спросить про побег""",询问逃跑,,,,,
"""""","""Спросить, куда мы направляемся""",询问我们前进的方向,,,,,
"""""","""Спросить о корабле""",询问船的情况,,,,,
"""""","""Спросить о Стукове""",询问斯图科夫,,,,,
"""""","""Завершить диалог""",结束,,,,,
"""""","""Узнать больше""",了解更多,,,,,
"""""","""Спросить про Даггота""",询问达苟斯,,,,,
"""""","""Продолжить движение""",继续,,,,,
"""""","""Поднять по лестнице""",爬楼梯,,,,,
"""""","""Не подниматься""",无视楼梯,,,,,
"""""","""0 Локация""",,,,,,
"""""","""1 Локация""",,,,,,
"""""","""18 Локация""",,,,,,
"""""","""12 Локация""",,,,,,
"""""","""7 Локация""",,,,,,
"""""","""8 Локация""",,,,,,
"""""","""11 Локация""",,,,,,
"""""","""17 Локация""",,,,,,
"""""","""15 Локация""",,,,,,
"""""","""6 Локация""",,,,,,
"""""","""4 Локация""",,,,,,
"""""","""3 Локация""",,,,,,
"""""","""10 Локация""",,,,,,
"""""","""2 Локация""",,,,,,
"""""","""5 Локация""",,,,,,
"""""","""19 Локация""",,,,,,
"""""","""14 Локация""",,,,,,
"""""","""16 Локация""",,,,,,
"""""","""20 Локация""",,,,,,
"""""","""13 Локация""",,,,,,
"""""","""Убрать руку""",把手移开,,,,,
"""""","""Перестать прикрываться""",移动手,,,,,
"""""","""Эта игра - всего лишь пародия, создание которой разрешено Бернской конвенцией и распространяется бесплатно, не преследуя цель получение прибыли. Все оригинальные персонажи, логотипы, имена и т.д. принадлежат их оригинальным создателям - Blizzard Entertainment.""",目前这个游戏还处于开发阶段，有些场景可能无法访问，但是每次更新都会添加更多的内容。希望大家能够理解,,,,,
"""""","""Игра содержит нецензурную лексику, сцены насилия, а так же сцены сексуального характера. Помните, что это всего лишь игра и предназначена она исключительно для развлечения. Если игра пришлась вам по вкусу, то вы можете поддержать нас на нашем патреоне - Patreon""",这款游戏包含脏话、野蛮和性爱场面，记住，这只是一款游戏，我们的目的只是为了娱乐。,,,,,
"""""","""{size=-3}Игра на стадии разработки.\n Держите в голове, что игра находится на стадии разработки и ее сейчас нельзя пройти полностью.\n Некоторые сцены могут быть недоступны, игра будет дополняться по мере готовности.\n Благодарим за понимание.{/size}""",,,,,,
"""""","""Сделать так, как говорит 'голос'""",听'声音'的话。,,,,,
"""""","""Узнать про Стукова""",了解更多关于斯图科夫的信息。,,,,,
"""""","""Узнать про паразита""",问寄生虫的情况。,,,,,
"""""","""Надавить на мозг слева""",按压大脑左侧,,,,,
"""""","""Надавить на лобную долю""",按压额叶,,,,,
"""""","""Пощекотать гипоталамус""",刺激下丘脑,,,,,
"""""","""Попытаться освободиться""",试着挣脱出来。,,,,,
"""""","""Да, пропустить сцену""",跳过这个场景,,,,,
"""""","""Нет, посмотреть сцену""",播放这个场景,,,,,
"""""","""Знает""",,,,,,
"""""","""Не знает""",,,,,,
"""""","""Не менять значение""",,,,,,
"""""","""Анализировать""",进行分析,,,,,
"""""","""Улучшение""",进行改造,,,,,
"""""","""Осмотреть его 'штуковину'""",检查他的东西',,,,,
"""""","""Взаимодействия""",互动,,,,,
