location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_674fd925,你已经看过这个场景了，你想跳过它吗？？,,,,,
"A """"",A_3bcc08ba,祝贺你，你做到了。,,,,,
"S """"",S_7cceabbd,我怎么听起来这话怎么这么酸呢？,,,,,
"S """"",S_354f57ad,你难道还不能接受，我打败你这个事实吗？,,,,,
"A """"",A_69a782ce,你爱怎么想，就怎么想吧！…,,,,,
"S """"",S_2a2c2675,那接下来呢？ 是不是就意味着，这项愚蠢的训练终于结束了吗？,,,,,
"A """"",A_8c3f52dc,当然，你终于可以进入下一个阶段了…,,,,,
"S """"",S_b04f4595,希望，下一个阶段不会很难。,,,,,
"A """"",A_a250c876,做好准备，不然你是无法通过下一个考验的。,,,,,
"S """"",S_c8429101,该死的，你应该知道，照这样下去，我很快就会变得失去自我了。,,,,,
"A """"",A_fdc29756,这正是我最终的训练目的。,,,,,
"S """"",S_76e9f2a0,我在想，我会不会长出你这样的胳膊？,,,,,
"A """"",A_d18dd633,不一定，每个人都不一样。也许不会，也许更糟。,,,,,
"S """"",S_cebecdc1,说实话，我很惊讶你没有为我满足了你所有变态的要求而感到高兴，我还以为你会像往常那样，脸上露出白痴一样的笑容…,,,,,
"A """"",A_0ae830a2,知道吗？我一直都很绅士，我一直都没有涉及到你下半身那个隐私部位。,,,,,
"S """"",S_cfa097d8,我不想跟你谈那个。,,,,,
"A """"",A_b599a574,有句话，我一直想说，你让我想起来了，我的妻子…你们有一样的漂亮金发,,,,,
"S """"",S_588b2f14,想她也没用，这就是残酷的战争…你选择这条路就永远见不到她了,,,,,
"A """"",A_d7c6255e,我知道我再也见不到她，不过，现在你来了，我有时看着你，就像看到了她。,,,,,
"S """"",S_2fc1a4bf,就因为，我跟她一样也有头漂亮的金发吗？,,,,,
"A """"",A_9b1251c1,……,,,,,
"S """"",S_98f50ffb,多么拙劣的漂亮技巧，说实话，你对我的第一印象相当糟糕，不过，毕竟我们在一起经历了一些事情。,,,,,
"A """"",A_2eff8010,这足以让你重新审视我吗？,,,,,
"S """"",S_efe8ecd4,知道吗？你让我最反感的原因，就是你满脑子，都是那种龌龊的想法。,,,,,
"A """"",A_22fcadff,我有个想法，我想和你做点事，就像和我妻子一样。我只需要几个小时…,,,,,
"S """"",S_7eebda66,你太老了，你以前根本不再我考虑的人之列…,,,,,
"A """"",A_f3ca6ad5,那现在呢？毕竟我是你的训练老师，如果我要将这个要求当成一次训练呢？…,,,,,
"S """"",S_738378a3,你真不要脸，你甚至都不懂哄女孩子开心…,,,,,
"A """"",A_20b89218,我还以为你跟那些庸俗的女人不一样…,,,,,
"S """"",S_492df74c,想想你在地球上，你想泡一个妞，至少需要跟她约会，送她东西，增加好感，等等……最后才能上床。,,,,,
"A """"",A_e7bf850b,也许你是对的，如果我要求一个女孩跟我做爱，首先需要得到她的心。最低限度，至少不让她反感才对,,,,,
"S """"",S_c7eb3e26,没错，就是这样，感觉你能理解我…,,,,,
"A """"",A_f811edbb,好吧！这一阶段的测试结束了。,,,,,
"A """"",A_5857cc06,,,,,,
"S """"",S_ac19c2c2,我只希望你能遵守承诺。,,,,,
"A """"",A_9b1251c1_1,……,,,,,
"C """"",C_e7c7a9df,（……）,,,,,
"S """"",S_68c082b8,怎么呢???,,,,,
"S """"",S_e6a86f17,我的拒绝，让你很伤心吗？！,,,,,
"A """"",A_9b1251c1_2,……,,,,,
"C """"",C_e7c7a9df_1,（……）,,,,,
"S """"",S_279c6761,塞蒙，去你妈的...,,,,,
"S """"",S_75edebf6,别想控制我？你这个肮脏的小混蛋…,,,,,
"C """"",C_31c327a0,（但是他真的很真诚？）,,,,,
"S """"",S_7e8084e9,这摆明是个陷阱，休想说服我…,,,,,
"C """"",C_fbccba58,（在这里只有他是唯一的人类，为什么你们就不能留下一些美好回忆呢？）,,,,,
"S """"",S_27a0cb51,但是，我根本不爱他？而且他给我安排了那么多变态的任务,,,,,
"C """"",C_45a2aa4d,(也许吧？),,,,,
"S """"",S_cf4923d6,你根本就不懂人类与人类之间的感情…,,,,,
"C """"",C_b9d9a83e,（你骗不了自己。）,,,,,
"S """"",S_97255886,我骗不了自己什么？我根本就不懂你这句话到底是什么意思？…,,,,,
"C """"",C_48092949,（至少他对你还是有吸引力的对吧！）,,,,,
"S """"",S_e0a7cee3,（我不否则这个，但都只是为了完成那些该死的任务？）,,,,,
"C """"",C_0aba0274,（是吗？我确定不懂你们人与人之间的感觉，但是就在斯托克夫求你的时候，你心跳得很快。）,,,,,
"S """"",S_be7435c0,（我只是在听说他怀念妻子的时候，有一丢丢的惋惜之情…）,,,,,
"C """"",C_e2899298,（这就是够了，莎拉，我觉得在你潜意识里已经不像过去那样鄙视斯托克夫了，毕竟，你们一起做了经历了这么多。恐怕在你这里，没有任何异性能比得上他了吧！）,,,,,
"S """"",S_b82ae6f2,（你是想说服我接受他吗？）,,,,,
"C """"",C_7f28b307,（我只是在告诉你，你内心深处的声音。）,,,,,
"S """"",S_d3f61148,（但是，如果这样做的话，我岂不是就成了一个廉价的妓女了？）,,,,,
"C """"",C_cd87eecd,（我相信你只要稍微发挥一下自己的魅力，他就会把你当成一个非常亲密的朋友…）,,,,,
"S """"",S_cf508cc5,好吧！等他下次找我的时候，我再考虑一下…,,,,,
"C """"",C_1585a1ef,（如果，你自己做不到，我可以控制你的身体。）,,,,,
"S """"",S_f9b86f43,不要！你给我滚开…,,,,,
"A """"",A_305dfb12,女主人派我来告诉你，她想跟你谈谈。,,,,,
"S """"",S_cb527c2b,好吧！我准备好了，我这就去见她。,,,,,
"C """"",C_d2ac9e64,（莎拉，上次的提议，你考虑得怎么样了）,,,,,
"S """"",S_a2da322a,（现在，别打扰我。）,,,,,
"S """"",S_24775704,顺便问一下，你后面那个盒子是干什么的？,,,,,
"A """"",A_a61e0310,你是问这个吗？…,,,,,
"S """"",S_0eb86fe5,我想知道里面有什么？,,,,,
"A """"",A_9ac602d3,…我想你不会感兴趣的。,,,,,
"S """"",S_465e791a,是给我的吗？ 你为什么不把它拿给我呢？,,,,,
"A """"",A_15861d22,好吧！既然你想要就拿去吧！…,,,,,
"S """"",S_47c44b59,哇，好像是睡袍，这是干嘛的？,,,,,
"A """"",A_43df73d2,我就知道你不会喜欢这个的…,,,,,
"S """"",S_dc5006d4,我猜这个一定是你私人为我定制的对吗？,,,,,
"A """"",A_d3f35649,回来再聊吧！我们该走了，女王陛下还等着我们了…,,,,,
"S """"",S_e34427e4,斯托克夫，如果我答应了你的请求，你会不会高兴得跳起来？,,,,,
"A """"",A_bcda2ba5,当然会，等等你是什么意思，你同意了吗？…,,,,,
"S """"",S_6740122b,我只是觉得有时候你也挺不容易的，毕竟这里只有我们两个人类。,,,,,
"A """"",A_07d7e18e,…什么，你该不会是认真的吧？,,,,,
"S """"",S_adece98c,在我还没有反悔之前，你趁早做决定吧！…,,,,,
"A """"",A_083aa658,你真的同意以我妻子的身份陪我度过一个晚上吗？一定是塞蒙，我真是爱死它了。,,,,,
"C """"",C_b89958ca,（是我，老哥，你以后有机会再报答我吧！）,,,,,
"S """"",S_407e3008,你没有听错，而且没有任何阴谋在里面，我同意扮演你妻子一次。,,,,,
"A """"",A_38fb79ec,天呀！今天是我的幸运日吗？,,,,,
"S """"",S_d1df4ac4,那我现在是不是要穿上你给我订做的衣服呢？,,,,,
"A """"",A_d79ac92e,不，请不要再诱惑我了，他很快就要和他金发妻子重逢了！,,,,,
"A """"",A_ef68d8d9,我的鸡巴只属于我的妻子，你的诱惑对我不起作用，你这个荡妇！,,,,,
"S """"",S_2dab547e,你疯了吗？得了便宜好卖乖的家伙…,,,,,
"A """"",A_ef4416e3,不，我想你误会了，我的意思是说，今天你是我的妻子，我的鸡巴只属于你一个人。,,,,,
"S """"",S_ae28d960,很好，我知道了…,,,,,
"A """"",A_bccd8559,只是不要提前给我看这个。在我们角色扮演之前再做那件事。,,,,,
"S """"",S_3bf21831,嗯，我答应你…,,,,,
"A """"",A_a1b34056,还有一件事:当你脱下睡袍时: 要说 ‘基蒂想要她的香肠了’ 。,,,,,
"S """"",S_bc9cb28e,为什么要这么说？,,,,,
"A """"",A_133a1209,你不是要角色扮演吗？,,,,,
"S """"",S_8a1b285b,好吧！我知道了...,,,,,
"S """"",S_c46ef6a7,(真是鳄鱼的眼泪，我已经后悔自己同情他了...),,,,,
"A """"",A_1fb22c2c,好了，如果你没有其他问题，我现在立刻带你求产卵室...，我已经跟女王请好假了，我在门口等你，当你沐浴更衣完成后，就出来找我吧！,,,,,
"S """"",S_20243b3f,嗯，这就办...,,,,,
"A """"",A_7ec61cc9,希望他能快点？我都要等不及要脱下她的浴袍...,,,,,
"A """"",A_9b1251c1_3,……,,,,,
"A """"",A_27a99a93,说实话，她比我老婆更漂亮，当我第一次见到她的时候，甚至就已经为之倾倒...,,,,,
"A """"",A_7ade7e4f,说实话，她比我老婆更漂亮，当我第一次见到她的时候，甚至就已经为之倾倒...,,,,,
"A """"",A_9b1251c1_4,……,,,,,
"A """"",A_ddae202f,这里人太多了，我要把她弄到房间里面去。,,,,,
"A """"",A_b57e392c,...怎么还不出来，我都开始后悔，让她洗澡了...,,,,,
"A """"",A_9b1251c1_5,……,,,,,
"A """"",A_887b949f,抱歉打扰了，我知道我不该进来的...,,,,,
"Aside5 """"",Aside5_2d113d06,但是，我实在已经等不及了？,,,,,
"S """"",S_d4fcf17e,我差不多已经洗好了，转过身去，我要换衣服了。,,,,,
"Aside2 """"",Aside2_90095dcd,当然，我会遵守规则的...,,,,,
"S """"",S_65b7afa3,嗯，请给我几分钟时间。,,,,,
"Aside1 """"",Aside1_0c7ddaeb,听你的。,,,,,
"C """"",C_9588af01,(我不懂，女人就真的这么有吸引力吗？...),,,,,
"C """"",C_e7c7a9df_2,（……）,,,,,
"S """"",S_8a4e3d63,……,,,,,
