"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_c88f53de","*沙沙响声*","","","","",""
"""""","narrator_c88f53de_1","*沙沙响声*","","","","",""
"""""","narrator_c88f53de_2","*沙沙响声*","","","","",""
"S """"","S_8f9f8819","*打哈欠*","","","","",""
"""""","narrator_c88f53de_3","*沙沙响声*","","","","",""
"S """"","S_46f229cc","我...... 我好想睡觉...... 希望你别打扰我。","","","","",""
"""""","narrator_c88f53de_4","*沙沙响声*","","","","",""
"Z """"","Z_08fd9db4","*汪-汪-汪！*","","","","",""
"""""","narrator_c88f53de_5","*沙沙响声*","","","","",""
"S """"","S_da3c456d","！！！","","","","",""
"""""","narrator_091e7cc4","当莎拉又听到一种相当熟悉的低频率的叫声，她意识到有什么不对劲。","","","","",""
"S """"","S_27d55755","你又过来干什么？ 快离开我吧","","","","",""
"Z """"","Z_85c38d1c","*汪*","","","","",""
"""""","narrator_c88f53de_6","*沙沙响声*","","","","",""
"S """"","S_c320ff29","你应该去找你的同类别在我身上","","","","",""
"S """"","S_be4803bb","(该死的，跟他完全说不通......)","","","","",""
"S """"","S_a9f223af","你打算怎么做?","","","","",""
"Z """"","Z_08fd9db4_1","*汪-汪-汪！*","","","","",""
"""""","narrator_f6c8f830","莎拉似乎还没有完全明白那只狗的企图，或许她根本没有朝那个方向去想。","","","","",""
"S """"","S_da3c456d_1","！！！","","","","",""
"S """"","S_19985a58","喂，快滚下去。","","","","",""
"Z """"","Z_85c38d1c_1","*汪*","","","","",""
"S """"","S_814e8a74","别在我身上打滚了，这里不是你的游乐场","","","","",""
"S """"","S_da3c456d_2","！！！","","","","",""
"""""","narrator_1e4ed9d4","但是，那只奇怪的小狗，完全没有理会她。","","","","",""
"S """"","S_f8827c3a","嘿......啊啊......请停下来，你在做什么","","","","",""
"Z """"","Z_85c38d1c_2","*汪*","","","","",""
"S """"","S_e44650ad","(妈耶，这个完全不通灵性的畜生......等等......它把它的那个东西放在我的腿之间......)","","","","",""
"S """"","S_ee5498e4","啊......不，不要......你不能这么做......","","","","",""
"S """"","S_3e73a2fc","(它是多么强壮...... 多么敏捷呀......啊啊啊......)","","","","",""
"Z """"","Z_cbaa9583","*汪-汪-汪*","","","","",""
"S """"","S_8aab9721","等等，不！你不能一下子就这么！","","","","",""
"Z """"","Z_746e3cb9","*汪-汪-汪* *汪-汪-汪*","","","","",""
"""""","narrator_836099e9","小狗继续用它的生殖器官在莎拉腿上摩擦着。","","","","",""
"S """"","S_c1d3f63b","(虫族每个生物都是变态，谁能想到一只狗，也这么色。)","","","","",""
