location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_c648e4b5,"""Вам не хватает уровня, займитесь другими сценами.""",,,,,
,S_6c7027b4,"S ""(Теперь осталось белье...)""",,,,,
,S_46dfa4ca,"S ""Я не могу сейчас это сделать.""",,,,,
,narrator_3f5f6d2d,"""Вам необходимо продвинуться по ивентам кормежки для продолжения данной сцены.""",,,,,
,S_1beb7494,"S ""!!!""",,,,,
,S_d8b516ab,"S ""(Я не могу снять с себя броню. Сюда может зайти кто угодно. Я не хочу, чтобы меня увидели голой.)""",,,,,
,S_72cc195a,"S ""Я не могу ее надеть сейчас. Должна завершить тренировку.""",,,,,
,S_5ad70842,"S ""Осталось совсем чуть-чуть я не могу остановиться на полпути.""",,,,,
,S_05f50342,"S ""Остался последний день. Я не могу сейчас бросить все.""",,,,,
,S_154230d4,"S ""Сначала нужно снять броню.""",,,,,
,S_f2e11406,"S ""Н-на мне другой комплект белья.""",,,,,
,S_daa52a17,"S ""!!!""",,,,,
,S_1cd65edc,"S ""З-зачем мне сейчас снимать мое белье?""",,,,,
,S_33c01074,"S ""Я не буду это делать!""",,,,,
,S_346c670c,"S ""Я не могу ее надеть сейчас. Должна завершить тренировку.""",,,,,
,S_b50a8a7d,"S ""Осталось совсем чуть-чуть я не могу остановиться на полпути.""",,,,,
,S_f1181c03,"S ""Остался последний день. Я не могу сейчас бросить все.""",,,,,
,S_738115f6,"S ""Я не могу ее надеть сейчас. Должна завершить тренировку.""",,,,,
,S_18020265,"S ""Осталось совсем чуть-чуть я не могу остановиться на полпути.""",,,,,
,S_7a5832eb,"S ""Остался последний день. Я не могу сейчас бросить все.""",,,,,
,S_8cd99b18,"S ""О-оно уже на мне...""",,,,,
,S_ae12b22f,"S ""...""",,,,,
,S_a277c4ad,"S ""(Я должна это сделать...)""",,,,,
,S_ab3a75eb,"S ""Ах... черт...""",,,,,
,S_47855b8b,"S ""Я снова надела его.""",,,,,
,S_60593fff,"S ""...""",,,,,
,S_49c99b2f,"S ""Я не знаю что с ним делать...""",,,,,
,S_7427dc89,"S ""Зачем я вообще послушала его и взяла этот бесполезный кусок... непонятно чего!""",,,,,
,S_7fc6d185,"S ""Возможно мне стоит выбросить его?""",,,,,
,S_60593fff_1,"S ""...""",,,,,
,S_627b78df,"S ""Ладно, пусть пока будет. Возможно пригодится.""",,,,,
,narrator_1f7f390b,"""В данной версии не доступно.""",,,,,
,S_fada3c7d,"S ""Мне незачем сейчас его надевать.""",,,,,
,ABside1_23a6ee8d,"ABside1 ""Сон неэффективен, необходимо убрать. Временное решение... неудовлетворительно. Улучшения не требуется. Не стоит усилий. """,,,,,
,ABside1_eeb1dd74,"ABside1 ""Масса плоти, внешний слой мягкий. Необходима для сна образцов. Конструкции в верхней части — пузыри плоти. Предназначены для расположения головы поверх них. Бессмысленная трата биомассы.""",,,,,
,ABside2_9b44aa14,"ABside2 ""Бесполезно, улучшения контрпродуктивны.""",,,,,
,ABside1_4beaa1ec,"ABside1 ""Найден источник несовершенства. Огромные потери жидкости. Неприемлемо! Требуется исправление.""",,,,,
,ABside1_010ae8ea,"ABside1 ""Предосторожность. Проверю остальную комнату перед работой. Могут быть иные проблемы.""",,,,,
,ABside1_18665dec,"ABside1 ""Орган питания, предназначен для кормления терранов. Вырабатывает питательную смесь. Высокое содержание питательных веществ. Содержит афродизиаки для терранов. Цель — вызвать зависимость.""",,,,,
