location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_3dc3ae15,"Сара неотрывно смотрела на шкатулку в своих руках. Она была глубоко в своих мыслях, вспоминала отрывки тренировок с тем, что находилось внутри этой шкатулки.",narrator_3dc3ae15,,,,
"S """"",S_d0f795d1,(Да...неплохие были времена...),S_d0f795d1,,,,
"S """"",S_34f200da,"(Тогда казалось, будто я могла умереть от них... ха-ха...)",S_34f200da,,,,
"S """"",S_9b47380f,"(Подумать только, какая я была глупая... хотя до сих пор отчетливо помню эту боль... ммм...)",S_9b47380f,,,,
"""""",narrator_00393b85,"Сара продолжала вспоминать о тренировках, которые ей приходилось пройти, но в голове были лишь приятные воспоминания.",narrator_00393b85,,,,
"L1side3 """"",L1side3_e9d4cacd,(О чем ты так задумалась?),L1side3_e9d4cacd,,,,
"S """"",S_bb9a6f90,...,S_bb9a6f90,,,,
"S """"",S_959f0b5f,А?,S_959f0b5f,,,,
"L """"",L_f269d178,(Я спросила о чем ты задумалась.),L_f269d178,,,,
"S """"",S_b5b86598,"А... Да так, ничего такого, не бери в голову.",S_b5b86598,,,,
"""""",narrator_eb152b01,"Лиззара с интересом рассматривала то, что держала Сара.",narrator_eb152b01,,,,
"""""",narrator_5527725e,Девушка перевела взгляд с протосса на шкатулку.,narrator_5527725e,,,,
"S """"",S_f1a19473,Хотя...,S_f1a19473,,,,
"S """"",S_0143bc5a,Вот!,S_0143bc5a,,,,
"""""",narrator_23823ec4,"Сара протянула вещицу Лиззаре, показывая, что находится внутри.",narrator_23823ec4,,,,
"S """"",S_dab7d1e1,"Лиззара, слушай, ты случайно не знаешь ничего о этих штуках?",S_dab7d1e1,,,,
"""""",narrator_39f6ddf0,"Протосс сначала не придала значения просьбе, но как только увидела содержимое, на ее лице появилась тревога.",narrator_39f6ddf0,,,,
"L """"",L_355737f4,(Это... Откуда это у тебя?),L_355737f4,,,,
"S """"",S_5d6f657c,А???,S_5d6f657c,,,,
"S """"",S_98d8a0bf,Ээм... ну как тебе сказать...,S_98d8a0bf,,,,
"""""",narrator_ac377376,"Девушка пыталась придумать, как же можно было объяснить, для чего и, главное, зачем они использовали приспособление. С небольшим нежеланием отвечать Сара решает скрыть эту правду.",narrator_ac377376,,,,
"S """"",S_2c8a5cf9,Ха-ха... Долгая история.,S_2c8a5cf9,,,,
"S """"",S_d2ef2f2c,"Если в двух словах, то Стуков когда-то принес. Понятия не имею, откуда он это взял.",S_d2ef2f2c,,,,
"""""",narrator_873d5be8,"Лиззара с опаской осматривала саму шкатулку и кристаллы, лежащие внутри. Девушка не могла поверить своим глазам.",narrator_873d5be8,,,,
"L """"",L_e51652a1,"(Никогда не думала, что лично смогу увидеть нечто такое...)",L_e51652a1,,,,
"L """"",L_360df7de,(Я... я читала о подобном. Подумать только..),L_360df7de,,,,
"S """"",S_7383a416,Это что-то настолько редкое?,S_7383a416,,,,
"L """"",L_99ae1853,"(Редкое? Не то слово! Оно не просто очень редкое, оно о-о-о-очень опасно!)",L_99ae1853,,,,
"S """"",S_43316ab4,"{size=-4}Да... Это та еще опасная штучка, хе-хе... Особенно когда шарахала меня током...{/size}",S_43316ab4,,,,
"""""",narrator_3e7d5b2b,Девушка на секунду оторвалась от кристаллов и резко перебросила внимание на Сару.,narrator_3e7d5b2b,,,,
"L """"",L_b7082e43,(Ты ничего с ним не делала?),L_b7082e43,,,,
"S """"",S_5d6f657c_1,А???,S_5d6f657c_1,,,,
"""""",narrator_dd66e101,Сара не ожидала такой резкости и была немного выбита из колеи.,narrator_dd66e101,,,,
"S """"",S_00378b3b,"Кхм! Ну-у-у-у-у, почти ничего. Пару раз они меня током ударили. Но, как видишь, жива, хи-хи.",S_00378b3b,,,,
"L """"",L_af181396,(Током? Хм...),L_af181396,,,,
"""""",narrator_01d7742c,"Девушка снова начала внимательно рассматривать кристаллы, не желая даже притрагиваться к ним, все более детально разглядывая.",narrator_01d7742c,,,,
"L """"",L_f76acd74,"(Возможно, это защитный механизм такой... а так как у тебя нет доступа, то он защищался от тебя.)",L_f76acd74,,,,
"L """"",L_fb068626,"(Возможно, твои врожденные пси-способности спасли тебя. Или же у них цель не уничтожить, а просто отбить желание...)",L_fb068626,,,,
"""""",narrator_a29fd03d,Сара внимательно продолжала слушать размышления протосса.,narrator_a29fd03d,,,,
"S """"",S_e8c4ab75,"Так это не просто побрякушка, ха-ха?",S_e8c4ab75,,,,
"L """"",L_50854489,"(Украшения? Конечно же, нет.)",L_50854489,,,,
"L """"",L_1fe66b8e,"(Это кристалл Ихан. Я слышала, их когда-то использовали, чтобы хранить воспоминания.)",L_1fe66b8e,,,,
"L """"",L_23c92646,(О нем не так много известно...),L_23c92646,,,,
"""""",narrator_1dfd2bd5,Сара отрицательно покачала головой.,narrator_1dfd2bd5,,,,
"L """"",L_47ef99d7,"(Но этот... он поврежден, изуродован. Я ощущаю, что его разбили на части и изменили.)",L_47ef99d7,,,,
