location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_7dc07c10,一个非常有趣的身影闯入了刀锋女王的视线，只有它的来历才能引起女王的兴趣。,,,,,
"S1 """"",S1_87900b95,（嗯，嗯，嗯，那是谁？莎拉会不会找到了一个漂亮的玩具？有意思……）,,,,,
"L """"",L_341e2cbc,蛤？？？,,,,,
"S1 """"",S1_7cd5ce7f,一个多么奇怪的生物正好落在我手里。真是走运！你不这么认为吗？,,,,,
"L """"",L_9fb5db5c,（萨—萨拉? 不……我感到一种完全不同的能量，你是谁？）,,,,,
"S1 """"",S1_ed6a9dd8,且，这些傻逼的手续有什么用？然而，你明白，我很想知道你是谁。,,,,,
"""""",narrator_ad59b9b6,在这个陌生人面前，丽莎拉感到很不自在。她仍然认出了莎拉的特征，但它们是粗糙和扭曲的。丽莎拉试图移开视线，但这个普罗托斯人被这个女孩散发的力量压住了，好像她被默默地制服了。,,,,,
"L """"",L_b1180256,（你就像一个猎人。一个捕食者需要知道谁是它的猎物吗？）,,,,,
"S1 """"",S1_27e76784,哈哈，你真有趣……。你太奇特了，尤其是在这个地方，这么快就把你打发了。但无论如何，你并不比一个玩具更有趣。,,,,,
"L """"",L_e6c2dc7c,（我没有期待别的。）,,,,,
"S1 """"",S1_5021b784,嗯，所以，你叫什么？,,,,,
"L """"",L_43b189a5,(利扎拉。),,,,,
"""""",narrator_52b2197c,这个普罗托斯女孩试图通过转移视线或把脸转过去来逃避，但刀锋女王无处不在。她不打算这么轻易地让她走。,,,,,
"S1 """"",S1_112c0b1e,哇，你太冷漠了。你怎么不在那里冻着，啊？,,,,,
"""""",narrator_4b587b5f,刀锋女王对这个普罗托斯女孩的行为感到好笑。她的冷漠只会助长女王对她的不健康的兴趣。,,,,,
"S1 """"",S1_dfd21c8f,我是刀锋女王。你应该为这个名字在记忆中留出一个单独的部分，因为你将不得不多次……多次想到我。,,,,,
"L """"",L_c3d7cbf9,（刀锋女王… 这就是我在莎拉体内的感觉吗？这不可能。）,,,,,
"S1 """"",S1_381a7ff8,萨拉体内……听起来很乱，你知道，这也是我的身体。从一开始，它就是，而且将来还是！,,,,,
"S1 """"",S1_3c7818fc,但你非常聪明！你和莎拉都很特别。你和莎拉的关系很特别… 女朋友？,,,,,
"L """"",L_b5d2b169,（我想如果你们共用一个身体，你们应该更清楚。）,,,,,
"S1 """"",S1_891fb8dd,嗯，即使如此… 你知道，你的冷漠很有趣，但也有限度。我希望我的问题得到回答。,,,,,
"""""",narrator_9e37750f,刀锋女王走近这个普罗托斯女孩，抓住了她的下巴。对她来说，触摸这样的皮肤是一种新奇，所以她很高兴地用手指在冰凉光滑的表面上摸索。,,,,,
"L """"",L_18984f14,（你—你想干嘛？）,,,,,
"S1 """"",S1_4a047ae3,,,,,,
"S1 """"",S1_53fb9d28,但是你知道，如果你表现得更顺从，你将会帮自己一个大忙。我喜欢抵抗，但要在合理范围内。损坏这样一个标本是很可惜的。,,,,,
"L """"",L_0f1dd1a3,（我不明白你的意思。）,,,,,
"S1 """"",S1_f1048654,嗯，如果你出了什么事，我不想捕捉更多你的同类。,,,,,
"L """"",L_1e392f20,（实验？要发生的事情？你在搞什么？）,,,,,
"""""",narrator_903036cb,丽莎拉困惑地盯着刀锋女王，这是她第一次看到这样的人。这个女孩难以捉摸，而且非常自信，在这个普罗托斯女孩面前高高在上。她们的脸紧紧贴在一起，她们可以感受到彼此的呼吸。,,,,,
"S1 """"",S1_e3592b0e,没什么特别的…这样一个娇生惯养的头脑需要谨慎对待，但它同样令人愉快。,,,,,
"S1 """"",S1_357629fa,我希望你有一张嘴… 也许那是可以解决的，哈哈。但这也有它自己的魅力。也许它甚至是更好的开始！,,,,,
"L """"",L_1e6845aa,（我们的物种不需要嘴巴。）,,,,,
"S1 """"",S1_4d672044,是的，我知道，但你错过了很多机会，嗯……。,,,,,
"L """"",L_285d6d46,,,,,,
"S1 """"",S1_bf44fbee,我只是想和一个如此纯洁的人玩玩。只要一想到要腐蚀你，我就兴奋不已…… 莎拉怎么能抗拒你呢？她错过的东西太多了！,,,,,
"L """"",L_f1e1bece,（玩玩? 我已经不喜欢它了……）,,,,,
"""""",narrator_284fd81e,丽莎拉试图从刀锋女王那里拉开，但她只是收紧了她的手。,,,,,
