location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_a96f11ed,"啊,该死,又是一场噩梦...",,,,,
"""""",narrator_9230c63e,"还睁着朦胧的睡眼,这时萨拉看着牢房的入口.令她完全吃惊的是,她发现门开得很大.",,,,,
"S """"",S_b4fdd8bd,"(什么,怎么回事? 这是真的吗?)",,,,,
"S """"",S_aca4216a,(这是梦吗?感觉不应该这样),,,,,
"S """"",S_7bc8914d,"(别想这么多了,没准这是我的机会呢!)",,,,,
"""""",narrator_617b6042,"莎拉从床上跳下来,让她觉得有点头晕. 摇摇晃晃地向前走着,她终于找到了平衡点.",,,,,
"S """"",S_f6790eec,"(妈的,我不该跳得这么快...)",,,,,
"C """"",C_3f30c31d,(你打算逃跑吗?),,,,,
"S """"",S_6e054d6b,"(当然,因为我现在有机会了.不要试图阻止我!)",,,,,
"C """"",C_4f1f74af,(我并不打算这么做.),,,,,
"S """"",S_6391a6a1,"(嗯? ? ?你最近怪怪的,我不喜欢.)",,,,,
"C """"",C_4bc37c7e,(没有你那个意思，我还是以前的我.),,,,,
"""""",narrator_2c6bdf63,莎拉停了下来.,,,,,
"S """"",S_d9b5b736,"(现在看起来没有任何守卫,如果我现在不采取行动,我认为我不会再有这样的机会了!)",,,,,
"""""",narrator_4373e2c5,"莎拉小心翼翼地离开了牢房,检查了她房间所连接的走廊.",,,,,
"S """"",S_6ab3e605,"(哎呀,恶心......我没见过像这样的虫族基地,甚至不知道我在哪里?)",,,,,
"S """"",S_0e725139,(我必须仔细考虑这一切.当我离开基地后我该怎么办?我得找人......但是到底找谁呢?),,,,,
"S """"",S_67f43639,"(蒙斯克是个叛徒,所以科尔哈尔的儿子不值得信任.如果他们发现我还活着,他们会竭尽全力确保我不能够回来.)",,,,,
"S """"",S_e1bd7c92,(但也许我能联系到雷纳.他是我唯一的机会!),,,,,
"S """"",S_8263f93b,……,,,,,
"S """"",S_27566fde,"(妈的,我现在没时间考虑了.我必须出去然后再想办法.)",,,,,
"S """"",S_07e6be0f,(但我不知道逃生的出口在哪里.),,,,,
"S """"",S_b3a7cb52,这是我的牢房.,,,,,
"S """"",S_75601a36,我想我应该向右拐.,,,,,
"S """"",S_7e11a3b3,这次我想我应该向左转.,,,,,
"""""",narrator_fb25fee5,"几分钟后,莎拉到了一个岔路口.",,,,,
"S """"",S_9e50610e,……,,,,,
"S """"",S_f6859279,(看起来像迷宫...我该怎么办? 也许我应该问萨蒙?),,,,,
