location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_7dc07c10,"В поле зрения Королевы Клинков попалась очень интересная фигура, которая только своим происхождением смогла заинтересовать девушку.",narrator_7dc07c10,,,,
"S1 """"",S1_87900b95,"(Так-так-так, а кто это у нас? Неужели Сара смогла найти себе хорошенькую игрушку? Как интересно...)",S1_87900b95,,,,
"L """"",L_341e2cbc,ХИ????,L_341e2cbc,,,,
"S1 """"",S1_7cd5ce7f,"Какое любопытное создание попало прямо мне в руки. Это, должно быть, невероятная удача! Ты так не думаешь?",S1_7cd5ce7f,,,,
"L """"",L_9fb5db5c,(С-Сара? Нет... Я чувствую совершенно другую энергию. Кто ты?),L_9fb5db5c,,,,
"S1 """"",S1_ed6a9dd8,"Пф, какой толк от этих глупых формальностей? Хотя, знаешь, я с удовольствием узнала бы, кто ты такая.",S1_ed6a9dd8,,,,
"""""",narrator_ad59b9b6,"Лиззара чувствовала себя некомфортно в присутствии незнакомки. Она все еще узнавала Сару в этих чертах, но черты эти были грубы и искажены. Лиззара пыталась отвести взгляд, но на протосса давила та сила, которую излучала девушка, как будто ее негласно хотели подчинить.",narrator_ad59b9b6,,,,
"L """"",L_b1180256,"(Ты ведешь себя как охотник. Разве хищнику нужно знать, кто его добыча?)",L_b1180256,,,,
"S1 """"",S1_27e76784,"Ха-ха, а ты забавная... Ты слишком экзотична, особенно для этих мест, чтобы избавляться от тебя так быстро. Но не будем обольщаться, ты интересна не более чем игрушка.",S1_27e76784,,,,
"L """"",L_e6c2dc7c,(Ничего более я и не ждала.),L_e6c2dc7c,,,,
"S1 """"",S1_5021b784,"Хм, так как же тебя зовут?",S1_5021b784,,,,
"L """"",L_43b189a5,(Лиззара.),L_43b189a5,,,,
"""""",narrator_52b2197c,"Протосс всеми силами пыталась сбежать, отводя взгляд или отворачивая лицо, но Королева Клинков была повсюду. Она не собиралась отпускать ее так просто.",narrator_52b2197c,,,,
"S1 """"",S1_112c0b1e,"Ух, какая ты ледышка. От твоего холодного поведения можно и насмерть замерзнуть.",S1_112c0b1e,,,,
"""""",narrator_4b587b5f,Королеву Клинков забавляло такое поведение протосса. Своей отстраненностью она только сильнее подогревала нездоровый интерес к себе со стороны девушки.,narrator_4b587b5f,,,,
"S1 """"",S1_dfd21c8f,"Я Королева Клинков. Тебе стоит выделить для этого имени отдельный участок памяти, потому что думать обо мне тебе придется еще много... и много раз.",S1_dfd21c8f,,,,
"L """"",L_c3d7cbf9,"(Королева Клинков... Неужели это то, что я чувствовала в Саре? Быть такого не может.)",L_c3d7cbf9,,,,
"S1 """"",S1_381a7ff8,"В Саре... Звучит грубовато, знаешь, это и мое тело тоже. С са-а-а-амого начала, было и будет!",S1_381a7ff8,,,,
"S1 """"",S1_3c7818fc,Но ты очень догадливая! Вы с Сарой какие-то особые... Подружки?,S1_3c7818fc,,,,
"L """"",L_b5d2b169,"(Я думаю, что тебе лучше знать об этом, если вы делите одно тело.)",L_b5d2b169,,,,
"S1 """"",S1_891fb8dd,"Мммм, даже так... Знаешь, твоя отстраненность забавна, но всему есть предел. Я люблю, когда на мои вопросы отвечают.",S1_891fb8dd,,,,
"""""",narrator_9e37750f,"Королева Клинков приблизилась к протоссу, хватая ее за подбородок. Для девушки было в новинку трогать такую кожу, поэтому она с удовольствием водила пальцами по прохладной и гладкой поверхности.",narrator_9e37750f,,,,
"L """"",L_18984f14,(Ч-что ты задумала?),L_18984f14,,,,
"S1 """"",S1_4a047ae3,"А ты вся такая холодная?{w} Нет! Не говори... Я хочу это узнать сама, но позже. У нас будет достаточно времени на эксперименты, ха-ха.",S1_4a047ae3,,,,
"S1 """"",S1_53fb9d28,"Но знаешь, ты окажешь себе большую услугу, если будешь вести себя покладистее. Я люблю строптивых, но в пределах разумного. Будет жалко повредить такой экземпляр.",S1_53fb9d28,,,,
"L """"",L_0f1dd1a3,(Я тебя не понимаю.),L_0f1dd1a3,,,,
"S1 """"",S1_f1048654,"Хм, не хотелось бы захватывать твоих сородичей, если с тобой что-то случится.",S1_f1048654,,,,
"L """"",L_1e392f20,(Эксперименты? Что-то случится? Что ты задумала?),L_1e392f20,,,,
"""""",narrator_903036cb,"Лиззара растерянно смотрела на Королеву Клинков, впервые сталкиваясь с кем-то подобным. Девушка вела себя непредсказуемо и очень уверенно, возвышаясь над протоссом. Их лица сблизились, они могли чувствовать дыхание друг друга.",narrator_903036cb,,,,
