location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_5a5274cc,"""Сара направилась к кнопке вызова Стукова.""",,,,,
,narrator_da8d6fc3,"""Через некоторое время Стуков заходит в комнату.""",,,,,
,A_f4869590,"A ""А ты быстро справилась, небось, сама хотела поскорее примерить мой подарочек?""",,,,,
,A_e8898b7b,"A ""Аха-ха-ха-ха-ха.""",,,,,
,S_014bae9d,"S ""П-прекрати...""",,,,,
,A_122c8838,"A ""Но знаешь, ты стала намного сексуальнее.""",,,,,
,S_fe799e12,"S ""!!!""",,,,,
,S_1cd23da6,"S ""Ч-что ты такое говоришь... быть такого не может...""",,,,,
,A_aa5bbfa3,"A ""Определенно это так. Твоя фигура стала сексуальней.""",,,,,
,S_8dcc2708,"S ""Ты врешь... ты специально это говоришь...""",,,,,
,S_a52129fd,"S ""Д-давай ближе к делу. Ты говорил, что я готова перейти к следующему испытанию. Выкладывай, что это за испытание.""",,,,,
,A_84f4c825,"A ""Охо-хо, вот это моя девочка, сразу к делу, как я и учил.""",,,,,
,S_260600fe,"S ""...""",,,,,
,S_26f6615f,"S ""Н-не пойми меня неправильно... я хочу поскорее закончить все это.""",,,,,
,A_954d76ec,"A ""Хорошо, но в этом испытании спешка к добру не приведет. Так что наберись терпения.""",,,,,
,S_260600fe_1,"S ""...""",,,,,
,S_6b4eeaa4,"S ""Х-хорошо...""",,,,,
,A_d553f33d,"A ""Тебе почти ничего не нужно будет делать.""",,,,,
,A_db040010,"A ""Пойдем со мной.""",,,,,
,narrator_f8806100,"""После этих слов Стуков повел Сару к её кровати.""",,,,,
,A_5d725fbc,"A ""Встань напротив меня.""",,,,,
,S_44a67c4e,"S ""П-поняла...""",,,,,
,narrator_afdb6345,"""Сара послушно, но неуверенно исполняет все приказы Стукова.""",,,,,
,S_692f7da8,"S ""Ч-что дальше?""",,,,,
,A_f3d0c2e6,"A ""Кхм-кхм.""",,,,,
,A_946d7550,"A ""Следующее твое испытание - это научиться заводить мужчин и быть хорошим материалом для дрочки.""",,,,,
,S_e9d77aeb,"S ""ЧТО?""",,,,,
,A_7c046553,"A ""Не переживай, конечно же, я помогу тебе с этим.""",,,,,
,S_1dab0bfd,"S ""Т-ты с ума сошел?""",,,,,
,A_415db089,"A ""Нет, я сейчас на полном серьезе.""",,,,,
,S_8c9080bd,"S ""Я не буду ничего такого делать!""",,,,,
,A_e5ba39c1,"A ""Ты должна была подумать об этом, когда разрешила мне сделать твою голограмму.""",,,,,
,S_fe799e12_1,"S ""!!!""",,,,,
,S_beb9e106,"S ""Я-я... тебе ничего не разрешала... ты не спрашивал у меня ничего такого...""",,,,,
,A_989b3027,"A ""Да? А по твоему телу это и не скажешь, оно так и хотело, чтобы кто-то хорошенько передернул на него.""",,,,,
,A_ccc0e90d,"A ""Аха-ха-ха-ха.""",,,,,
,S_0f0db9a2,"S ""П-прекрати, не говори такие вещи... это не так...""",,,,,
,A_5012ef6a,"A ""Я уверен, что ты и сейчас тоже немного завелась от всех этих разговоров.""",,,,,
,S_fe799e12_2,"S ""!!!""",,,,,
,S_0d52ff34,"S ""Н-нет...""",,,,,
,A_461f6784,"A ""*Кхм*""",,,,,
,A_e78c8f27,"A ""В общем, я тебя ни к чему не принуждаю. Ты можешь отказаться и продолжать гнить в этой камере или же согласиться и выбраться отсюда, пройдя все испытания.""",,,,,
,A_658eff8f,"A ""И поверь, деточка, если тебя отдадут в другие руки, то никто с тобой церемониться не станет.""",,,,,
