location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_3cf4a301,女王没有浪费时间，她让她的男宠斯托克夫脱掉了衣服.她的眼睛闪耀出欲望的火焰.,,,,,
"""""",narrator_f2dbf16d,斯托克夫甚至都没有观察她的表情吗，而且选择完全服从女王陛下的命令.,,,,,
"A """"",A_8f70a9b9,女主人，我知道这样做会让您兴奋...,,,,,
"Q """"",Q_bc96a1a8,永远不知道下一次会发生什么……你应该做好准备，因为你今天不会再掌握主动权了.,,,,,
"""""",narrator_4c40851f,斯托克夫的脸上的肌肉绷紧了，但他依然保持微笑.,,,,,
"Q """"",Q_b47f6fd4,嘿，我的男宠斯托克夫.,,,,,
"Q """"",Q_f3f1fcdd,你要放轻松...,,,,,
"A """"",A_021c6799,女主人，我该怎么做?,,,,,
"""""",narrator_8628294b,当女王的脑袋压着他的鸡巴的时候，斯托克夫就放松了.,,,,,
"Q """"",Q_f4ade5ac,你很快就知道了.,,,,,
"A """"",A_1ce089a8,(会很刺激吗？.),,,,,
"Q """"",Q_37eadd2d,在你未让我满意之前，我决不允许你离开我.,,,,,
"A """"",A_f75d236b,您今天比以往任何时候都活跃.,,,,,
"A """"",A_4d9de1d5,是最近太过操劳了吗？,,,,,
"Q """"",Q_f2373a50,你果然是最贴心的男宠?,,,,,
"A """"",A_32af0107,……,,,,,
"A """"",A_fdb5deff,为了您的身体，我愿意做任何事.,,,,,
"Q """"",Q_49f1b459,我就是喜欢你这一点...,,,,,
"Q """"",Q_5dcb27fe,你的绝对忠诚.,,,,,
"Q """"",Q_9d35665d,我只要你的鸡巴.,,,,,
"""""",narrator_029928ed,触手开始移动了，使得斯托克夫的肉棒更加坚硬.,,,,,
"Q """"",Q_b8f9b005,希望你也能喜欢这种外力...,,,,,
"Q """"",Q_fb4d266c,在这个小小的帮助下，你的鸡巴比平常还要硬.,,,,,
"A """"",A_4f8f863e,难道我以前的工作完成的不好?,,,,,
"Q """"",Q_9e8e5aaa,并不是这样，只是我最近再寻求新的刺激.,,,,,
"""""",narrator_38ffe79e,就这样女王和斯托克夫游戏开始了.,,,,,
"A """"",A_de4eee89,(其实，我并不喜欢男宠这个形容词...),,,,,
"Q """"",Q_717c43a9,动起来，你的动作怎么比往常慢了...,,,,,
"""""",narrator_a71dc04d,女王开始挤压斯托克夫的四肢，他的肉棒几乎被刺激到了过度紧张的阶段了.,,,,,
"Q """"",Q_0bc28cc0,据手下的人说，你经常自己打飞机，这不累吗？...,,,,,
"""""",narrator_9e5ffa26,*舔* *舔* *舔*,,,,,
"A """"",A_751ef829,毕竟，我还是个正常的地球男人.,,,,,
"Q """"",Q_23e1563c,斯托克夫你说这样的话，还真让伤心...,,,,,
"""""",narrator_51bd9fb6,女王小心地控制着这些触手吞下斯托克夫肉棒的深度.,,,,,
"""""",narrator_62850c9a,她笑着观察斯托克夫的反应.,,,,,
"Q """"",Q_dadcd127,是我考虑，也许早该给你配性伴侣了.,,,,,
"Q """"",Q_89aedcc3,对了，那个叫莎拉的女孩你还满意吗?,,,,,
"A """"",A_171808c8,我...我...,,,,,
"""""",narrator_7e13ad0e,*摩擦* *摩擦*,,,,,
"A """"",A_bde12114,Arrgh...,,,,,
"""""",narrator_c6eafd83,在多从刺激下，斯托克夫早点了久闻的快感.,,,,,
"Q """"",Q_a7ad0729,这次算我弥补你的...,,,,,
"A """"",A_31acf5b5,(女主人还真是贴心...),,,,,
"Q """"",Q_a355fc83,It's a pleasure to see you so vulnerable. I could leave you like that.,,,,,
"Q """"",Q_fc30f169,毕竟我跟你一样，我们都是的孤独人.,,,,,
"Q """"",Q_56960ca0,让我们一起享受这美好的时光.,,,,,
"""""",narrator_5f5e10b8,*舔舐* *舔舐* *舔舐*,,,,,
"A """"",A_d13b85e4,Damn...,,,,,
"""""",narrator_a09a6064,触手加快了速度.,,,,,
"""""",narrator_b0baf4c9,女王的尾巴也加入了战斗，它不停地指着斯托克夫敏感的地方.,,,,,
"Q """"",Q_db8e315b,这是我最近学到的新把戏.,,,,,
"A """"",A_63b5182b,非常不错..,,,,,
"Q """"",Q_003d16f8,终于可以投入实战了...,,,,,
"""""",narrator_a7d048d8,*舔舐* *舔舐* *舔舐*,,,,,
"""""",narrator_5368ec5f,女王不断尝试用各种方法取悦斯托克夫.,,,,,
