location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_60a3f846,"There's definitely something wrong with my body. I feel strange, and a weird feeling of hunger comes over me.",,,,,
"C """"",C_27c9fa41,"(Ooh, run for your lives, lustful Sara is attacking.)",,,,,
"S """"",S_c3d9a083,"This is no time for jokes... this isn't funny at all, I need to deal with it. And I can definitely guess who did it...",,,,,
"""""",narrator_11b1ac42,"Just by looking at Sarah, you could tell that she wasn't in this reality. Her body seemed to have turned to stone, falling into a deep sleep. The girl was completely immersed in herself in search of a meeting with her worst enemy, with whom she shared a body.",,,,,
"S1 """"",S1_c218a3d3,Such guests... It was my beloved Sarah who decided to visit me in this dark and boring place. Were you lonely?,,,,,
"S """"",S_56c9739d,"As if I had anything to talk to you about after everything you've done. If it wasn't for your stupid games again, I would have been glad to not see you all my life.",,,,,
"S1 """"",S1_aea2a576,"Games? What kind of games? I don't know what you're talking about, honey. You're always blaming me for your problems... Can I offer you some tea?",,,,,
"S """"",S_e8b9ed9f,Maybe you shouldn't create them. No one will blame you then.,,,,,
"S1 """"",S1_348d58d2,"How cruel you are... You put me here, and you're accusing me.",,,,,
"S """"",S_55d18d0f,The change in my body is your doing. Don't even try to get away with it. You're the only one interested in that to make my life miserable!,,,,,
"S1 """"",S1_082207a5,How rude to throw such loud statements at me...,,,,,
"S """"",S_10d0f289,"I know it's you, stop pretending. You can try to deceive anyone, but not me.",,,,,
"S1 """"",S1_e4b33ae8,What about me? I had to wait so long for you to finally notice my little gift...,,,,,
"S """"",S_15ee3962,"Well, Yes... No one doubted that it wasn't your doing. Arouse my body? What a pettiness... But this is your style.",,,,,
"S1 """"",S1_72002424,"Oooh, did you just notice that? This is only the beginning. The fun begins when the berries ripen.",,,,,
"S """"",S_18f376c8,What? {w}What did you do with my body and why?!,,,,,
"S1 """"",S1_ec1e860b,Isn't it more interesting if it's a surprise and you find out for yourself when the time comes?,,,,,
"S """"",S_1ad398bb,Tell me right now!,,,,,
"S1 """"",S1_ec8caa43,Why should I? You should have kept a better eye on me so I wouldn't catch you off guard. Did you think that I would do nothing and wait meekly for you to decide to devour me?,,,,,
"S1 """"",S1_41783af6,I've waited long enough. But silence doesn't teach you anything. Where would you be without me? Control should be taken by the one who is stronger and smarter. I don't see such a candidate in front of me.,,,,,
"S """"",S_c1d21133,"We'll see who's stronger and smarter. Even in this situation, I came out the winner. Your doom will take place very soon. Enjoy the time when I forget about you.",,,,,
"S """"",S_51a4938a,And it's better for you if I do so more.,,,,,
"S1 """"",S1_c25b03c1,Are you threatening me? We'll see how everything works out for you. Maybe I'll take pity on you and leave you here.,,,,,
"S """"",S_3d0192d5,I didn't expect you to be sensible.,,,,,
