location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,C_d9037846,"C ""(Decided to start training? Very well.)""",,,,,
,S_06205f29,"S ""No, I just wanted to get naked! What a stupid question!""",,,,,
,C_e83a7023,"C ""(Wisecracking, aren't we? So you're fine. I'm satisfied with that.)""",,,,,
,S_c75e2324,"S ""(In fact, this exercise is not so terrible. The body needs to breathe sometimes anyway. Or did you think this would stop my progress???)""",,,,,
,C_d4a19a2c,"C ""(On the contrary, I knew that you wouldn't mind this trifle.)""",,,,,
,S_62b2ee38,"S ""Exactly!""",,,,,
,C_e2eb235d,"C ""(It even makes me curious what lengths you're ready to go to for power.)""",,,,,
,S_41bb882a,"S ""I hope this was said without any vulgarity in mind, right?""",,,,,
,C_14c6af64,"C ""(Of course, without them.)""",,,,,
,S_c3c2955d,"S ""I still don't believe you, you know.""",,,,,
,C_0b039f8c,"C ""(And rightly so.)""",,,,,
,S_9a4828c7,"S ""(Though I have been here for a long time, it's still so weird... and I'm not gonna lie... the idea that I'll have to go all this time without clothes kinda arouses me...)""",,,,,
,C_c73a575b,"C ""(This is good. This novelty will help us overcome your mental barriers that really hinder us.)""",,,,,
,S_ae6a3933,"S ""In fact, I'd like you to leave my barriers alone... but if it's the only way to get better...""",,,,,
,narrator_245ad45d,"""Buried in his tablet, Stukov walked into the room.""",,,,,
,Aside9_5c98b122,"Aside9 ""Well, well, well, I'm in a wonderful mood today and I just finished all my work, so now we can...""",,,,,
,narrator_fac0682f,"""Stukov finally spotted Sara standing without clothes in the middle of the room. He slightly squinted in joyful surprise.""",,,,,
,A_5ab188ce,"A ""...make good use of our time, heh-heh-heh.""",,,,,
,S_40a1beff,"S ""(Fuck, his timing is as terrible as ever!)""",,,,,
,A_dc4d3067,"A ""I see you don't waste time here. That's, of course, very commendable. But what exactly are you doing? I don't remember giving you such instructions.""",,,,,
,S_bb0c7833,"S ""It's... well, this is a new exercise...""",,,,,
,S_6f4968b0,"S ""So I'm training!""",,,,,
,A_63daa6a5,"A ""Is this some kind of special ghost training? Hahaha, I like it!""",,,,,
,S_fb44a4d7,"S ""Obviously it's not! This was Sai'Mon's idea.""",,,,,
,C_e2f6a987,"C ""(I have absolutely nothing to do with this. Apparently, our little Sarah decided to seduce you with her body.)""",,,,,
,A_819d3ca1,"A ""Heh-heh-heh, she succeeded!""",,,,,
,S_bbf1bed0,"S ""(You idiot, stop talking nonsense, you know this idiot will believe it...).""",,,,,
,C_94ff50d4,"C ""(Okay, okay, I gave her a task.)""",,,,,
,C_f2ea7f14,"C ""(And for some reason she decided to take off all her bargs, and claimed she won't wear them for three days.)""",,,,,
,S_f5e724c2,"S ""You're lying again!""",,,,,
,A_c18f8146,"A ""Attaboy, Sai'mon, you know a thing or two about training, heh-heh-heh.""",,,,,
,A_09e3b192,"A ""You managed to surprise me.""",,,,,
,S_d5760b6a,"S ""!!!""",,,,,
,S_75e8e13d,"S ""(Damn... His dick seems to be taking decisions faster than its owner! It looks like it's staring right at me and Stukov is just dangling from its other end...)""",,,,,
,narrator_2d9ca1e3,"""These thoughts amused Sarah and she smiled.""",,,,,
,A_b8554494,"A ""I see you like the exercises Sai'mon prepared for you too.""",,,,,
,S_648d3bc8,"S ""I would not say that I like them. But I tolerate them. Who knows what Abathur would have in store for me.""",,,,,
,A_ac8743db,"A ""So, what exactly is the purpose of this exercise?""",,,,,
,S_355d9441,"S ""That's a good question... all Sai'mon said was that I should merge with the local fauna...""",,,,,
,A_4684fc08,"A ""Mmm, that's actually a very good thought that's sure to help you.""",,,,,
