location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_47992d84,"Порадуй меня, Сошс. Я пришла по твою эссенцию. И чем быстрее мы покончим с этим, тем лучше!",S_47992d84,,,,
"SO """"",SO_d7804ad2,"Я рад, что ты решилась! Получение эссенции, да и еще первой, это очень важное занятие, но...",SO_d7804ad2,,,,
"SO """"",SO_3b977296,"Все это не так просто, хе-хе-хе.",SO_3b977296,,,,
"S """"",S_83e0b115,Да? И что ты хочешь за свою эссенцию?,S_83e0b115,,,,
"SO """"",SO_037c6a8d,"Я твой верный преданный слуга и готов поделиться эссенцией с тобой в любую минуту, но тебе нужно добыть ее.",SO_037c6a8d,,,,
"S """"",S_9de21de5,Добыть? Это какая-то уловка? Или ты серьезно?,S_9de21de5,,,,
"""""",narrator_76f894ff,"Сошс стал издавать характерные звуки, подталкивая Сару к разгадке.",narrator_76f894ff,,,,
"S """"",S_23b935ee,"Стой! Нет... Неужели... Стоило догадаться, что без этого не обойдется.",S_23b935ee,,,,
"S """"",S_8c154ba1,"Рад, что тебя наконец ублажат?",S_8c154ba1,,,,
"SO """"",SO_3faf12e4,Хи-хе-хе... Конечно!,SO_3faf12e4,,,,
"S """"",S_2e5107ae,(Кто бы сомневался.),S_2e5107ae,,,,
"S """"",S_527ce643,"(Но мне хотя бы не придется выполнять какое-то мерзкое задание ради того, чтобы получить эту эссенцию. Есть свои плюсы в том, чтобы иметь Сошса в своем подчинении. Кто знает, что бы он вообще придумал...)",S_527ce643,,,,
"S """"",S_0c25618c,"Хорошо, мы можем приступать?",S_0c25618c,,,,
"SO """"",SO_cd4df20d,У-у-у--у-у-у-ху-ху-ху! К этому я всегда готов!,SO_cd4df20d,,,,
"S """"",S_bce2c621,Ты можешь не издавать этих звуков?,S_bce2c621,,,,
"SO """"",SO_352d5e18,"Прошу меня простить, но этот рефлекс мне неподвластен.",SO_352d5e18,,,,
"S """"",S_c9fc546a,Напомни мне поговорить с Абатуром по поводу этого...,S_c9fc546a,,,,
"""""",narrator_ce476b18,"Сара была готова получить свою первую эссенцию. Сошс в свою очередь немедленно начал все нужные подготовки для этого. Как только все было готово, они незамедлительно начали.",narrator_ce476b18,,,,
"SO """"",SO_2a93f955,"Ну что в этот раз, ты готова вернуться к моим членам и стать сильнее???",SO_2a93f955,,,,
"S """"",S_be5ae176,"В этот раз, я готова поглотить твою эссенцию и не более!",S_be5ae176,,,,
"SO """"",SO_4e9f8102,"Хи-хе-хо, я это и имею в виду *странный смех* отлично-отлично.",SO_4e9f8102,,,,
"SO """"",SO_3b5b555b,"Надеюсь сейчас ты не остановишься на самом интересном, в каком же я предвкушении!!!",SO_3b5b555b,,,,
"SO """"",SO_5330d535,"Отлично, ты все поняла, что нужно делать?",SO_5330d535,,,,
"S """"",S_4852228f,...,S_4852228f,,,,
"S """"",S_9a9f34a2,Яснее некуда... чего же я могла еще ожидать от тебя...,S_9a9f34a2,,,,
"SO """"",SO_40c990d9,"Я рад, что тебе все нравится! Как только соберешься с мыслями, просто потрогай член.",SO_40c990d9,,,,
"SO """"",SO_97cad838,У-у-у-у-у-у-хи-хе-ху!! О... Сделай это как следует.,SO_97cad838,,,,
"S """"",S_5607ea6b,Замолчи...,S_5607ea6b,,,,
"S """"",S_636a29bb,"Не отвлекай меня, чтобы я не передумала и не решила получить эссенцию у кого-то другого.",S_636a29bb,,,,
"SO """"",SO_f4559a03,Как прикажешь...,SO_f4559a03,,,,
"S """"",S_184f0e66,Сразу бы так.,S_184f0e66,,,,
