location,source,target,ID,fuzzy,context,translator_comments,developer_comments,gametemplate
,narrator_7dc07c10,"В поле зрения Королевы Клинков попалась очень интересная фигура, которая только своим происхождением смогла заинтересовать девушку.",,,,,,"""%%"""
,S1_87900b95,"(Так-так-так, а кто это у нас? Неужели Сара смогла найти себе хорошенькую игрушку? Как интересно...)",,,,,,"S1 ""%%"""
,L_341e2cbc,ХИ????,,,,,,"L ""%%"""
,S1_7cd5ce7f,"Какое любопытное создание попало прямо мне в руки. Это, должно быть, невероятная удача! Ты так не думаешь?",,,,,,"S1 ""%%"""
,L_9fb5db5c,(С-Сара? Нет... Я чувствую совершенно другую энергию. Кто ты?),,,,,,"L ""%%"""
,S1_ed6a9dd8,"Пф, какой толк от этих глупых формальностей? Хотя, знаешь, я с удовольствием узнала бы, кто ты такая.",,,,,,"S1 ""%%"""
,narrator_ad59b9b6,"Лиззара чувствовала себя некомфортно в присутствии незнакомки. Она все еще узнавала Сару в этих чертах, но черты эти были грубы и искажены. Лиззара пыталась отвести взгляд, но на протосса давила та сила, которую излучала девушка, как будто ее негласно хотели подчинить.",,,,,,"""%%"""
,L_b1180256,"(Ты ведешь себя как охотник. Разве хищнику нужно знать, кто его добыча?)",,,,,,"L ""%%"""
,S1_27e76784,"Ха-ха, а ты забавная... Ты слишком экзотична, особенно для этих мест, чтобы избавляться от тебя так быстро. Но не будем обольщаться, ты интересна не более чем игрушка.",,,,,,"S1 ""%%"""
,L_e6c2dc7c,(Ничего более я и не ждала.),,,,,,"L ""%%"""
,S1_5021b784,"Хм, так как же тебя зовут?",,,,,,"S1 ""%%"""
,L_43b189a5,(Лиззара.),,,,,,"L ""%%"""
,narrator_52b2197c,"Протосс всеми силами пыталась сбежать, отводя взгляд или отворачивая лицо, но Королева Клинков была повсюду. Она не собиралась отпускать ее так просто.",,,,,,"""%%"""
,S1_112c0b1e,"Ух, какая ты ледышка. От твоего холодного поведения можно и насмерть замерзнуть.",,,,,,"S1 ""%%"""
,narrator_4b587b5f,Королеву Клинков забавляло такое поведение протосса. Своей отстраненностью она только сильнее подогревала нездоровый интерес к себе со стороны девушки.,,,,,,"""%%"""
,S1_dfd21c8f,"Я Королева Клинков. Тебе стоит выделить для этого имени отдельный участок памяти, потому что думать обо мне тебе придется еще много... и много раз.",,,,,,"S1 ""%%"""
,L_c3d7cbf9,"(Королева Клинков... Неужели это то, что я чувствовала в Саре? Быть такого не может.)",,,,,,"L ""%%"""
,S1_381a7ff8,"В Саре... Звучит грубовато, знаешь, это и мое тело тоже. С са-а-а-амого начала, было и будет!",,,,,,"S1 ""%%"""
,S1_3c7818fc,Но ты очень догадливая! Вы с Сарой какие-то особые... Подружки?,,,,,,"S1 ""%%"""
,L_b5d2b169,"(Я думаю, что тебе лучше знать об этом, если вы делите одно тело.)",,,,,,"L ""%%"""
,S1_891fb8dd,"Мммм, даже так... Знаешь, твоя отстраненность забавна, но всему есть предел. Я люблю, когда на мои вопросы отвечают.",,,,,,"S1 ""%%"""
,narrator_9e37750f,"Королева Клинков приблизилась к протоссу, хватая ее за подбородок. Для девушки было в новинку трогать такую кожу, поэтому она с удовольствием водила пальцами по прохладной и гладкой поверхности.",,,,,,"""%%"""
,L_18984f14,(Ч-что ты задумала?),,,,,,"L ""%%"""
,S1_4a047ae3,"А ты вся такая холодная?{w} Нет! Не говори... Я хочу это узнать сама, но позже. У нас будет достаточно времени на эксперименты, ха-ха.",,,,,,"S1 ""%%"""
,S1_53fb9d28,"Но знаешь, ты окажешь себе большую услугу, если будешь вести себя покладистее. Я люблю строптивых, но в пределах разумного. Будет жалко повредить такой экземпляр.",,,,,,"S1 ""%%"""
,L_0f1dd1a3,(Я тебя не понимаю.),,,,,,"L ""%%"""
,S1_f1048654,"Хм, не хотелось бы захватывать твоих сородичей, если с тобой что-то случится.",,,,,,"S1 ""%%"""
,L_1e392f20,(Эксперименты? Что-то случится? Что ты задумала?),,,,,,"L ""%%"""
,narrator_903036cb,"Лиззара растерянно смотрела на Королеву Клинков, впервые сталкиваясь с кем-то подобным. Девушка вела себя непредсказуемо и очень уверенно, возвышаясь над протоссом. Их лица сблизились, они могли чувствовать дыхание друг друга.",,,,,,"""%%"""
,S1_e3592b0e,"Ничего особенного... С таким изнеженным умом нужно быть осторожным и начинать с самого простого, но не менее приятного.",,,,,,"S1 ""%%"""
,S1_357629fa,"Жаль, что у тебя нет рта... Возможно, это поправимо, ха-ха. Но в этом же есть и своя изюминка. Может, для начала это еще лучше!",,,,,,"S1 ""%%"""
,L_1e6845aa,(Нашему виду не нужны рты.),,,,,,"L ""%%"""
,S1_4d672044,"Да, я знаю об этом, но вы упускаете столько возможностей, ммм...",,,,,,"S1 ""%%"""
,L_285d6d46,"Лучше расскажи, ч-что ты задумала.",,,,,,"L ""%%"""
,S1_bf44fbee,Я всего лишь хочу развлечься с такой невинной натурой. Одна мысль о твоем развращении меня заводит... Как Сара смогла устоять перед тобой? Она так много упускает!,,,,,,"S1 ""%%"""
,L_f1e1bece,(Р-развлечься? Мне это уже не нравится...),,,,,,"L ""%%"""
,narrator_284fd81e,"Лиззара сделала попытку отстраниться от Королевы Клинков, но та только укрепила свою хватку.",,,,,,"""%%"""
,S1_c78fd062,"Т-ш-ш-ш... тише-тише, куда ты собралась.",,,,,,"S1 ""%%"""
,L_07c6cc92,"(Меня не увлекают такие игры. Я не понимаю, что ты хочешь от меня, но ты этого не дождешься. Я здесь только из-за Сары, мне не интересна роль игрушки для тебя.)",,,,,,"L ""%%"""
,L_3db5d81f,"(Я не наврежу тебе, потому что это и тело Сары тоже. Но только по этой причине.)",,,,,,"L ""%%"""
