"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_c5c83a98","你已经看过这个场景了，你想跳过它吗？？","","","","",""
"""""","narrator_b696e17f","斯托克夫离开了莎拉，他说他要去处理一些事。","","","","",""
"S """"","S_3bfc7731","（我敢打赌，一定是什么阴谋…）","","","","",""
"C """"","C_511137da","（也许，是什么好事呢？）","","","","",""
"S """"","S_755ed828","（我感觉气氛有些不对…）","","","","",""
"C """"","C_11e27d34","（正常的气氛呀！我看你是荷尔蒙激素分泌旺盛，让你胡思乱想吧！）","","","","",""
"S """"","S_16a91670","（才没有呢！我真的感觉不对劲。）","","","","",""
"C """"","C_268db886","（我看你还有一些神经衰弱？）","","","","",""
"S """"","S_2f28d03c","（……）","","","","",""
"S """"","S_3ce8d5fa","（不，我没有。）","","","","",""
"C """"","C_a96ef434","（等一下，这就是你们人类害怕的感觉吗？）","","","","",""
"S """"","S_8f22e3f0","","","","","",""
"S """"","S_c5937dcb","（我确实有点害怕，因为我不知道阿巴瑟会对我做什么。）","","","","",""
"C """"","C_afdd36f2","（横竖都是挨一刀，为什么就不能欣然接受呢？）","","","","",""
"C """"","C_fa8b85b5","（反正你已经有了心理准备。）","","","","",""
"S """"","S_4bff8b31","（…你觉得我下一步该怎么办？）","","","","",""
"""""","narrator_6ecdc139","莎拉神经兮兮地在走廊上走来走去。","","","","",""
"C """"","C_5dc6fed8","（别像太多了，没准你会像上一次那样喜欢它。）","","","","",""
"S """"","S_22e7ded4","（不知怎么的，我总感觉这是非常严肃的一件事…）","","","","",""
"C """"","C_f8adeec7","（我看你担心，自己变丑吧！美丽对你来说真的很重要吗？）","","","","",""
"S """"","S_edccaef9","（当然重要，如果要我失去漂亮，我宁愿去死…）","","","","",""
"S """"","S_af267fff","（而且女王还说会给我一个新的身体。）","","","","",""
"C """"","C_5bb53715","（其实吧！在我们虫族审美中，你根本算不上漂亮。）","","","","",""
"C """"","C_d64b56fd","（所以，你根本没必要在意这些有的没的事。你应该感到荣幸，女王陛下能选中你）","","","","",""
"S """"","S_60a66bbe","（我觉得我只是一颗棋子，她做不到了，就让我来做…）","","","","",""
"C """"","C_e295b2f5","（……）","","","","",""
"C """"","C_8ea2c8eb","（你的言论很危险，这是大不敬！）","","","","",""
"S """"","S_3dfc0659","你是对的，我确实不该这么说。","","","","",""
"C """"","C_ff345b6d","（放松。你可以确信一件事——那就是，你不会死的。）","","","","",""
"""""","narrator_fb3d8fbd","在塞蒙不断安抚下，莎拉终于决定迎接自己的命运，去进化大厅。","","","","",""
"S """"","S_341498e7","这次我豁出去了，反正要倒霉我们一起倒霉。","","","","",""
"C """"","C_6dd6ea8c","{size=16}（希望一切都能顺利……）{/size}","","","","",""
"S """"","S_45bfc7d4","(西蒙！)","","","","",""
"""""","narrator_45bfe504","当塞蒙退场之后，阿巴瑟出现在这里。","","","","",""
"S """"","S_dbf111e8","（他什么时候出现的！）","","","","",""
"AB """"","AB_678c6cbb","人类女孩，欢迎回来。","","","","",""
"""""","narrator_bedf8382","阿巴瑟指着一张椅子一样的东西，示意莎拉坐下去。","","","","",""
"S """"","S_f75f527c","作为一个科学家，你的实验室也太简陋了吧。","","","","",""
"""""","narrator_cff7c942","莎拉小心翼翼的坐了下来，尽量保持了一个让她舒服的姿势。","","","","",""
"S """"","S_16297e15","有时间好好改造一下你的椅子，这让我很不舒服。","","","","",""
"""""","narrator_5aa6d63d","阿巴瑟无视莎拉的话，它一直在进行自己的实验。","","","","",""
"S """"","S_c34a65d2","喂，你能告诉我，你要对我做什么吗？","","","","",""
"S """"","S_da7ba60b","（该死的，那个科学疯子…）","","","","",""
"AB """"","AB_b1708385","准备好了吗？","","","","",""
"S """"","S_8ec6ead7","……","","","","",""
"S """"","S_281fed6f","好了，就是我现在很想知道你到底要对我干什么？","","","","",""
"AB """"","AB_74dd6044","一些实验而已。","","","","",""
"S """"","S_047cf798","（……）","","","","",""
"S """"","S_eacae826","（他这是一句废话…）","","","","",""
"C """"","C_43d5589d","（是的，他的性格就是这样，从不多说一句。）","","","","",""
"S """"","S_2f4144d6","（塞蒙怎么是你？！）","","","","",""
"C """"","C_5bb19e53","（有什么好惊讶的？）","","","","",""
