location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_674fd925,"""Вы уже видели данную сцену, хотите ли ее пропустить?""",,,,,
,A_3bcc08ba,"A ""Ну что ж... Поздравляю, у тебя всё-таки это получилось.""",,,,,
,S_7cceabbd,"S ""Что-то ты совсем не выглядишь удовлетворённым. Хотя я своими глазами видела, что тебе всё понравилось.""",,,,,
,S_354f57ad,"S ""Не можешь смириться с тем, что я тебя победила? Но разве не этого ты добивался?""",,,,,
,A_69a782ce,"A ""Да, этого, ты абсолютно права...""",,,,,
,S_2a2c2675,"S ""Ну так что там дальше? Этим дурацким тренировкам наконец настанет конец?""",,,,,
,A_8c3f52dc,"A ""Да нет, ты что. Дальше будет только интереснее...""",,,,,
,S_b04f4595,"S ""Да? Хм, по тебе не скажешь. Я точно всё сделала правильно?""",,,,,
,A_a250c876,"A ""Дело не в этом. Просто... Следующий этап потребует от тебя определённого преображения.""",,,,,
,S_c8429101,"S ""Чёрт. Следовало догадаться, что такими темпами я вскоре стану похожа на одну из ваших зверушек...""",,,,,
,A_fdc29756,"A ""Да не переживай, ты станешь только лучше. Посмотри на меня! Моё тело преобразилось только в лучшую сторону. Качественный, и не только, рост!""",,,,,
,S_76e9f2a0,"S ""У меня же не вырастет такая рука?""",,,,,
,A_d18dd633,"A ""Вообще я говорил про член, но... Ни то, ни то тебе не грозит. По крайней мере, в ближайшее время.""",,,,,
,S_cebecdc1,"S ""Вообще крайне удивительно, что ты не радуешься тому что я выполнила все твои извращённые задания. Я думала, в конце ты будешь так мерзко ржать, как обычно. Как придурок...""",,,,,
,A_0ae830a2,"A ""Понимаешь... Когда-то давно я был совсем как ты. Не в смысле с дыркой, нет, у меня всегда был красавец-член, просто... У меня была любимая жена. И да, она была с дыркой.""",,,,,
,S_cfa097d8,"S ""Продолжай, только меньше про дырки, пожалуйста...""",,,,,
,A_b599a574,"A ""Я много лет её уже не видел, да и вряд ли уже увижу снова...""",,,,,
,S_588b2f14,"S ""Ну... Такое бывает на войне. Порой мы теряем самых близких...""",,,,,
,A_d7c6255e,"A ""Но ты... Ты так напоминаешь мне её сейчас. Пока ты ещё в этом состоянии, я смотрю на тебя и порой вижу её.""",,,,,
,S_2fc1a4bf,"S ""Это потому, что у меня тоже дырка?""",,,,,
,A_9b1251c1,"A ""...""",,,,,
,S_98f50ffb,"S ""Ладно, прости. Просто... Не ожидала от тебя чего-то подобного. Ну... Я же всё ещё буду тут, да и ты сказал, что первое преображение не особо серьёзное. Неужели я буду... Совсем другой?""",,,,,
,A_2eff8010,"A ""Твоё тело действительно немного преобразится. И ты уже будешь меньше похожа на обычную женщину. А я так хотел провести несколько тренировок, пока ты ещё в старом обличии.""",,,,,
,S_efe8ecd4,"S ""Вот оно что. Ну тогда понятно, почему ты так расстроен. Неужели твои грязные фантазии нельзя как-то... Забыть?""",,,,,
,A_22fcadff,"A ""Я просто надеялся сделать кое-что с тобой, словно со своей женой. Вернуться, так сказать, на несколько часов домой...""",,,,,
,S_7eebda66,"S ""Даже не знаю, что тебе сказать. Ты говоришь про...""",,,,,
,A_f3ca6ad5,"A ""Да. Такой...Своеобразный супружеский долг. Я думал, это будет хорошей тренировкой. Надеялся оставить её, как запасной вариант. Но раз уж ты со всем справилась, всё, что я могу - это поздравить тебя...""",,,,,
,S_738378a3,"S ""Это какое-то безумие. Я ждала от тебя чего-то подобного, но вот чтобы прям так...""",,,,,
,A_20b89218,"A ""Я... Я действительно должен был это сказать. Хотя бы чтобы ты знала...""",,,,,
,S_492df74c,"S ""Хорошо. Но ты же не рассчитывал, что я вот так же по инерции пожалею тебя и соглашусь?""",,,,,
,A_e7bf850b,"A ""Ну... Вообще я бы не отказался от такого сценария. Но я не волен тебя заставлять. Это не входит в твои обязательные тренировки. Я никогда не принуждал к этому свою супругу.""",,,,,
,S_c7eb3e26,"S ""И слава богу. Давай тогда больше никогда не будем касаться этого диалога. А сейчас я бы очень хотела помыть руки...""",,,,,
,A_f811edbb,"A ""Хорошо, ты можешь идти. Я сообщу, какой наш следующий этап.""",,,,,
,A_5857cc06,"A ""Мне нужно сделать пару воночков в соответствующие органы.""",,,,,
,S_ac19c2c2,"S ""Надеюсь не в половые.""",,,,,
,A_9b1251c1_1,"A ""...""",,,,,
,C_e7c7a9df,"C ""(...)""",,,,,
,S_68c082b8,"S ""Что???""",,,,,
,S_e6a86f17,"S ""Да нормальная же шутка!""",,,,,
,A_9b1251c1_2,"A ""...""",,,,,
,C_e7c7a9df_1,"C ""(...)""",,,,,
,S_279c6761,"S ""Да идите вы...""",,,,,
,S_75edebf6,"S ""Нет, ты только представь! Вот так спокойно: ‘Эй, почему бы тебе не потрахаться со мной, пока твоя задница не пошла чешуёй?’...""",,,,,
,C_31c327a0,"C ""(Зато он был честен с тобой.)""",,,,,
,S_7e8084e9,"S ""Ты про то, что он хочет засадить мне? Да уж, не читалось по его действиям совсем...""",,,,,
,C_fbccba58,"C ""(Я про то, что он честно сказал, что это - его желания. Хотя вполне мог попытаться подать это, как ещё одну тренировку.)""",,,,,
,S_27a0cb51,"S ""Хм. А вообще ты прав. Я столько раз обвиняла его в том, что он сам выдумывает эти извращённые задания, но зачем отказываться от того, что он наверняка хотел больше всего?""",,,,,
,C_45a2aa4d,"C ""(Вот-вот.)""",,,,,
,S_cf4923d6,"S ""Получается, он может быть действительно не виноват в том, что все эти тренировки больше походили на порно-кастинг...""",,,,,
,C_b9d9a83e,"C ""(Так в общем-то и есть.)""",,,,,
,S_97255886,"S ""И о единственной вещи, которая его на самом деле интересовала, он меня честно попросил. Как бы нелепо ни звучала при этом его просьба...""",,,,,
,C_48092949,"C ""(Да и мне кажется, эта просьба была скорее не из-за тебя, а из-за его воспоминаний о жене.)""",,,,,
,S_e0a7cee3,"S ""(Сай'мон... Мне сейчас реально стыдно за то, что я не отдалась Стукову?)""",,,,,
,C_0aba0274,"C ""(Именно это чувство я сейчас определяю у тебя в голове.)""",,,,,
,S_be7435c0,"S ""(А ещё мне стыдно за подобные мысли...)""",,,,,
,C_e2899298,"C ""(Сара, я чувствую, что где-то в глубине твоего подсознания Стуков тебе уже давно не так противен. Да и к тому же чего вы только вместе не делали. Тебе не должно быть стыдно за то, что он тебе не безразличен.)""",,,,,
,S_b82ae6f2,"S ""(Ты сейчас уговариваешь меня согласиться?)""",,,,,
,C_7f28b307,"C ""(Я уговариваю тебя не стыдиться того, что ты хочешь согласиться.)""",,,,,
,S_d3f61148,"S ""(Но... Он не будет воспринимать меня, как дешёвую шлюху после этого?)""",,,,,
