location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_61118b53,"S ""Мммм...""",,,,,
,S_9606c72a,"S ""О-ох..""",,,,,
,narrator_0db4c55c,"""Сара не хотела открывать глаза, ощущая поблизости знакомую энергетику. Она могла смириться со своей наготой снова, но эта встреча была куда более плохой перспективой, чем отсутствие одежды.""",,,,,
,S_849debd5,"S ""Прячешься?""",,,,,
,narrator_432bde0f,"""Нехотя девушка открыла глаза, осматриваясь по сторонам. На ее вопрос никто и не собирался отвечать. Она могла услышать только собственное тихое дыхание.""",,,,,
,S_605a4a42,"S ""*Вздох* В жизни не поверю, что я пришла в сознание и ты этим не воспользуешься.""",,,,,
,S_147fbf7c,"S ""Хотя... Это, наверное, в твоем стиле. Томишь жертву в ожидании, чтобы охота была интереснее?""",,,,,
,S_fb7b044e,"S ""Ты же знаешь меня лучше всех. Естественно, что я должна знать тебя так же хорошо.""",,,,,
,narrator_434296a7,"""Сара вела себя спокойнее, чем в прошлые разы. Ее речь звучала твердо и уверенно, но на последних фразах голос все-таки дрогнул.""",,,,,
,S_bc44e6f2,"S ""(Может, я здесь действительно одна и как сумасшедшая разговариваю сама с собой?)""",,,,,
,S_187a23f7,"S ""Ты же все слышишь, да?""",,,,,
,S1_81b6a83c,"S1 ""А ты догадливая... Было интересно смотреть за тем, как ты сама себя закапываешь, когда тебе не отвечают, хи-хи-хи-хи.""",,,,,
,S_2418a4dd,"S ""Не вижу здесь ничего смешного.""",,,,,
,S1_50a5d1a3,"S1 ""Значит, соглашаешься с тем, что сама себя закопала?""",,,,,
,S_94508f40,"S ""Что?! Конечно нет!""",,,,,
,S1_98be0feb,"S1 ""Но ты ведь не отрицала, значит согласилась.""",,,,,
,narrator_2201d731,"""Сара начинала закипать, смотря куда-то в темноту. Королева Клинков не спешила показываться, наблюдая где-то со стороны.""",,,,,
,S_d98f7673,"S ""Это аргументы уровня детей!""",,,,,
,S1_11ac4723,"S1 ""Ха-ха-ха, выдохни, Сара. Зачем воспринимать все так серьезно? Мы ведь здесь совсем не для этого.""",,,,,
,S_774d04f8,"S ""Не знаю, зачем ты здесь. Но мои планы точно отличаются от твоих.""",,,,,
,S1_57cb423e,"S1 ""Ох, дорогуша. Ты даже не догадываешься, какая прекрасная идея пришла мне в голову! Ты будешь в восторге, хи-хи.""",,,,,
,S_b7dc6f59,"S ""Я скорее в ужасе.""",,,,,
,S1_4bd0753c,"S1 ""Фу, ты такая предвзятая. Но забываешь, что мы делим этот разум на двоих. Я знаю обо всех твоих самых тайных желаниях...""",,,,,
,S_966c3113,"S ""Свалить от тебя как можно дальше?""",,,,,
,narrator_1aa6d4f5,"""Сара специально посмотрела с максимальной надеждой в глазах, как будто это действительно было ее самым сокровенным желанием во всей жизни. Девушка характерно сложила руки в мольбе для большей правдоподобности.""",,,,,
,S_0720e833,"S ""Так здорово, что ты задумала оставить меня в покое! До конца жизни буду тебе благодарна.""",,,,,
,S1_53c3f1ab,"S1 ""Пф, очень смешно.""",,,,,
,narrator_ff42d5de,"""Сара довольно улыбнулась, добавляя себе балл в воображаемом счете с Королевой Клинков.""",,,,,
,S_1cc13f0e,"S ""Ха-ха, выдохни. Это ведь просто шутка. Зачем ты относишься к ней так серьезно?""",,,,,
,S1_daec320e,"S1 ""Иногда я начинаю немного жалеть, что мы одно целое... Но я слишком люблю тебя, поэтому прощаю.""",,,,,
,S1_a9699ecb,"S1 ""Я слишком горжусь своей затеей, поэтому тебе не испортить мое настроение.""",,,,,
,S_163ea4d1,"S ""Это не значит, что я не буду пытаться.""",,,,,
,S_1482ce31,"S ""(Нужно быть осторожнее... Мало ли что она может сделать.)""",,,,,
,S1_03d912fb,"S1 ""Да, тебе бы стоило думать перед тем, как что-то сказать. Это спасло бы наше тело от многих неприятностей.""",,,,,
,S_bc0e169e,"S ""Иногда я забываю, что ты все слышишь...""",,,,,
,narrator_779a032e,"""Королева Клинков медленно и грациозно приближалась к ней. Сара подметила для себя, что этим она отличалась от всех, кого она повстречала на корабле. Несмотря на невообразимую похоть, которую сконцентрировала в себе Королева Клинков, она никогда не набрасывалась, как это сделал бы зерглинг или Стуков.""",,,,,
,narrator_1bb09955,"""В ней сочеталась тихая опасность, которая была несвойственна Владычице. Владычица была настолько же опасна, насколько она выглядела. У Королевы Клинков была загадка, это немного другой потенциал, даже Сара не знала, чего от нее ожидать. И именно это ее пугало.""",,,,,
,S_56ebd6ca,"S ""Я хоть выживу после твоих игр?""",,,,,
,narrator_833bf4a6,"""Королева Клинков громко засмеялась, хитро щуря глаза.""",,,,,
,S1_87ad2ea8,"S1 ""Конечно... Разве могут быть сомнения?""",,,,,
,S_25eb5348,"S ""...""",,,,,
,S1_f02416d5,"S1 ""Дорогая, как я могу тебе, нет, нам навредить?""",,,,,
,S1_6b9ffe4e,"S1 ""Ладно, хватит болтовни, пора приступать к моему десерту.""",,,,,
,narrator_64f8c62f,"""Сара потеряла контроль из-за пси-силы раньше, чем успела что-либо сделать. Королева Клинков вертела ей как хотела, закрепляя Сару в сидячем положении.""",,,,,
,S_067b2ff0,"S ""Время идет... а твои методы не меняются.""",,,,,
,S1_aa3640b3,"S1 ""Ах, обожаю, когда ты такая беззащитная прямо передо мной... И только для меня, хи-хи. Я прямо не могу выбрать, что хочу сделать с тобой в первую очередь.""",,,,,
,S_328577df,"S ""Снова сковывать меня... Как банально. Смогла бы ты так пялиться на меня, если бы не держала пси-силой?""",,,,,
,S1_02af72f7,"S1 ""Зачем тогда нужна эта пси-сила, если я не могу ей удерживать такую доступную прелесть прямо передо мной? Я бы взяла тебя и без нее, но у нас совсем другие цели.""",,,,,
,S_879e9688,"S ""Почему я именно в такой позе? Непохоже, чтобы ты могла легко входить в меня так. Или тебе захотелось трудностей?""",,,,,
,S1_06863bd9,"S1 ""Какая ты любопытная... Все тебе скажи.""",,,,,
,narrator_163bd1f8,"""Королева Клинков с ядовитой улыбкой водила по бедру Сары, легонько щекоча ее кожу и наблюдая, как девушка каждый раз вздрагивала, напрягаясь от невозможности двинуться.""",,,,,
,S1_4c07d67d,"S1 ""Я могла бы играть так вечно! А ты?""",,,,,
,S_55a86855,"S ""Боюсь, что у меня бы быстро затекли мышцы.""",,,,,
,S1_b9f7e7be,"S1 ""Ах... ты снова о своей физиологии. Если захотеть, то твои мышцы всегда будут в тонусе без плохих последствий и изменений. Мысли шире.""",,,,,
,S_d68cdf55,"S ""Как-то некогда расширять сознание, когда тебя лапают, а ты не можешь двинутся.""",,,,,
,narrator_20d53516,"""Сара напряженно стиснула зубы, когда рука Королевы Клинков переместилась ближе к внутренней части бедра.""",,,,,
,narrator_f4d2d36c,"""Но на удивление ее продолжала трогать просто рука, хотя Сара уже давно ожидала, что рука смениться членом второй девушки.""",,,,,
,S_e66d2f38,"S ""Ах... что ты делаешь?""",,,,,
,S1_87e02426,"S1 ""Готовлю тебя к началу нашего представления. Хочу наблюдать за твоей милой мордашкой, когда ты увидишь мой маленький... может, и не маленький, сюрприз, хи-хи.""",,,,,
,narrator_fcef8594,"""Глаза Королевы Клинков загорелись желтым огоньком, заставляя Сару напрячься. Девушка была слишком обеспокоена тем, чтобы не отрывать взгляд от ехидно ухмыляющейся девушки напротив, не замечая в себе изменения.""",,,,,
,S1_29671653,"S1 ""По-смо-три... Вни-з-з-з-з-з...""",,,,,
,narrator_2194e38c,"""Сара замерла, не желая подчиняться и видеть, что ее вторая половина решила с ней сделать.""",,,,,
,S1_91b68d35,"S1 ""Посмотри вниз.""",,,,,
,narrator_af9cc496,"""Спокойный и мелодичный голос Королевы Клинков резко стал грубым и приобрел металлические нотки. Девушку пробрала странная дрожь, которая постепенно отбирала у нее последний контроль над своим телом.""",,,,,
,narrator_755bab8e,"""Голова Сары невольно опустилась вниз, заставляя ее посмотреть на то, что она совсем не ожидала у себя увидеть.""",,,,,
,S_b2ffc83c,"S ""!!!""",,,,,
,narrator_bb82897a,"""Девушка резко закрыла глаза, пытаясь собраться с мыслями.""",,,,,
,S_387f427b,"S ""У меня... галлюцинации!""",,,,,
,S_600647dc,"S ""У... у меня есть...{w} Нет, ты не могла опуститься до этого!""",,,,,
,S1_2871baf5,"S1 ""Еще как могла. Как тебе новые ощущения?""",,,,,
,S_e51baf33,"S ""Нет... Нет-нет-нет.""",,,,,
