location,source,target,ID,fuzzy,context,translator_comments,developer_comments,gametemplate
,S_3ddc364a,"Думаю, самое время начать физическую тренировку.",,,,,,"S ""%%"""
,A_2ec6b9b4,"Хорошо, для начала нам нужно проверить твой текущий уровень физической формы.",,,,,,"A ""%%"""
,narrator_cca8752a,"Стуков начал ходить вокруг Сары, разглядывая ее тело.",,,,,,"""%%"""
,S_52317230,(...),,,,,,"S ""%%"""
,Aside8_72731c7b,Хм...,,,,,,"Aside8 ""%%"""
,S_b6ad03a4,"Может, ты прекратишь вот так пялиться на меня и мы перейдем к делу?",,,,,,"S ""%%"""
,Aside3_6bd138c9,"Ха-ха-ха, а ты думаешь я чем занимаюсь? Это часть тренировки. Да и я люблю твое шикарное тельце.",,,,,,"Aside3 ""%%"""
,S_75cc25af,...,,,,,,"S ""%%"""
,S_d10af909,(Он просто невыносим...),,,,,,"S ""%%"""
,A_986111f5,"Хорошо, вижу, ты тут без дела не сидела. Мы можем начинать.",,,,,,"A ""%%"""
,S_781fd6db,Наконец-то... и что мне нужно будет делать?,,,,,,"S ""%%"""
,A_0df8d721,Ничего сложного. Просто мы с тобой займемся некоторыми упражнениями для улучшения твоего тела.,,,,,,"A ""%%"""
,S_934f44a6,"Что ты там уже задумал, а?",,,,,,"S ""%%"""
,A_7a5bf057,"Хе-хе-хе, ничего такого.",,,,,,"A ""%%"""
,S_792d00eb,(Снова это его извращенное выражения лица...),,,,,,"S ""%%"""
,A_452b3ff6,"Итак, давай начнем. Покажи мне, как ты занимаешься.",,,,,,"A ""%%"""
,S_91d4fb95,Поняла.,,,,,,"S ""%%"""
,A_db4a9f40,"Хм, этого недостаточно. Сперва тебе нужно привести свое тело в порядок, и только потом мы сможем продолжить.",,,,,,"A ""%%"""
,S_23a3130b,"(Черт... а он прав, я уже давно не делала физические упражнения.)",,,,,,"S ""%%"""
,S_a62fc576,"Хорошо, я позову тебя, как только сделаю это...",,,,,,"S ""%%"""
,narrator_90b3e6cf,"Сара приняла позу, в которой она выполняла упражнения. Ее руки были у нее за головой, а ноги на ширине плеч.",,,,,,"""%%"""
,Aside8_d9b85a6c,"Ты что, собралась выполнять упражнения вот в этой броне? Тебе не кажется это немного странным?",,,,,,"Aside8 ""%%"""
,S_3f32666e,"Нет, я всегда занималась в этой броне!",,,,,,"S ""%%"""
,Aside8_8f82ac3c,...,,,,,,"Aside8 ""%%"""
