location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_omooCGRL,Sarah was trying to make plans for the next day when she was caught off guard by a desire to check out one area.,,,,,
"S """"",S_GVZiaXMC,Nonsense... There are more important things to do today.,,,,,
"S """"",S_gSiNoNqM,"If I am guided by fleeting desires, I will not succeed in anything.",,,,,
"""""",narrator_9z7ErxCq,"The girl slid down the throne, taking a reclining position. The intrusive thought knocked her out of the mood.",,,,,
"S """"",S_pffmWz9d,Although checking the territory is also important. The mutalisk told me that I should take care of my potential subordinates... It will be taken into account.,,,,,
"S """"",S_oeK7JzbF,I already have enough good points in my reputation to forego such nonsense.,,,,,
"S """"",S_BPB7DzJd,This territory quietly existed without anyone's interference. And still will.,,,,,
"S """"",S_S6fEPgZR,"I need to go, definitely! Moreover, I have someone to check there...",,,,,
"S """"",S_M6y3Dm6C,It's not good to leave your old friends like that. Especially when I communicated with them so closely...,,,,,
"S """"",S_eEic4AYt,There will be a chance to settle scores.,,,,,
"""""",narrator_9RFh7Enp,"Sarah looked at the familiar landscape with some pleasure, not even trying to explain to herself why she was so glad.",,,,,
"S """"",S_WT7tWeVN,"I, in theory, am supposed to feel negative emotions right now. After all, this monster has brazenly taken advantage of my position. I hate losing so shamefully...",,,,,
"""""",narrator_AyyRvoQ4,"The memories of what happened were replayed by themselves, causing a pulling desire in her lower abdomen.",,,,,
"S """"",S_Zj5GKTga,I didn't catch the moment then. But now I have a great opportunity to overcome this ignorance.,,,,,
"S """"",S_qG5spnMB,It wasn't too bad anyway... But who in their right mind would refuse more? Take such a big guy yourself...,,,,,
"S """"",S_HXebydjf,I think it will be quite a fair payment for that time.,,,,,
"""""",narrator_qJ9oySRJ,"The girl nodded, agreeing with herself.",,,,,
"S """"",S_GpZNQsnX,It remains only to catch this monster... it's a pity that I have no pheromones left.,,,,,
"S """"",S_YJVw9DvR,They would greatly simplify my task.,,,,,
"""""",narrator_Le4cVJ4V,Sarah wasn't worried about catching him. The psi-force made it possible to determine the location of the Zerg with an accuracy of down to a meter.,,,,,
"S """"",S_kv4cJPzH,"Strange... Do I feel such delight because of my power, because of a new subordinate or... No, never!",,,,,
"S """"",S_f5cvFq72,That's definitely not me...,,,,,
"S """"",S_eNDN7BEu,It's all for the sake of power!,,,,,
"""""",narrator_HGnWD584,"The girl herself smiled at the phrase, saying it more in jest than seriously.",,,,,
"S """"",S_t4UA4uqF,"Is motivation so important? As for me, the process is much more exciting.",,,,,
"S """"",S_cnrHjWeB,"Hey, beast! Do you want to discuss your incredibly abusive behavior?",,,,,
"S """"",S_keaw9DP3,I came to return the favor...,,,,,
"""""",narrator_3is4X3Cm,"Sarah jumped right in front of the monster, causing it to stop sharply. The girl did not close her eyes for a second when the monster braked at full speed.",,,,,
"S """"",S_gR7ekewi,"You look surprised. Didn't you feel it last time, feel who you messed with?",,,,,
