location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_7c043648,我想我现在可以开始自慰训练了..,,,,,
"C """"",C_f37ab85e,(太好了，我还以为你忘记了训练..),,,,,
"C """"",C_199e9885,(你想听听我的建议吗?),,,,,
"S """"",S_bac23984,(管好你自己的事.现在我还不需要你的帮助.),,,,,
"S """"",S_34fcc3c7,(我知道该怎么办.),,,,,
"C """"",C_c9fffdba,(随你的便...),,,,,
"S """"",S_44a28fc7,(我知道该做什么，不需要你的帮助!),,,,,
"S """"",S_9cfe81fc,(虽然也许你会反对，但是我希望偶尔我们也能相互理解一下...),,,,,
"C """"",C_7a7c82a3,(什么？为什么？),,,,,
"S """"",S_02bd0978,"(你可以装作什么都不知道... 嘿, 你能... 休眠一段时间吗?)",,,,,
"C """"",C_f492bc65,（……）,,,,,
"C """"",C_8dce8baf,(别告诉我你是认真的......你说的'休眠'是什么意思?),,,,,
"S """"",S_0c8fd864,(要知道我们是一个共生体，你就不能为我这个共生体牺牲一下吗?),,,,,
"C """"",C_53a0fba9,(好吧，我同意，我可以不打扰你.除非你想让我帮你的时候.),,,,,
"S """"",S_6b3fa351,(我不是这个意思，我很烦躁，我只是让你在这段时间里不要打扰我，好吗??),,,,,
"C """"",C_83a29676,(好的。),,,,,
"S """"",S_e21e932f,终于安静了下来了!,,,,,
"""""",narrator_e0846416,莎拉慢慢地脱下衣服，然后倒在床上，扭动着身子想找个舒服的姿势.当然不是她的床...那个在她房间里模仿床的东西.,,,,,
"S """"",S_e4136a13,(至少这次我是真的一个人了.),,,,,
"""""",narrator_71cb58fe,莎拉轻轻地抚摸她的裆部.她的手很温暖，快感从她的阴道传遍了她的全身..,,,,,
"S """"",S_445a3fdb,(嗯...我已经很久没有这样做了.),,,,,
"""""",narrator_70945e06,她开始慢慢地触摸她的阴道.,,,,,
"S """"",S_9f913ae8,(嗯，我能感觉到我的阴道好像有热量一样),,,,,
"""""",narrator_a59347be,莎拉继续自慰着，她的动作非常柔和.不一会，她的呼吸加快了.,,,,,
"""""",narrator_222a63bf,不一会儿，莎拉的嘴里传来了快乐的呻吟声.,,,,,
"S """"",S_ac8354f4,(很爽...),,,,,
"""""",narrator_b1298a38,莎拉的另一只手伸向她的胸部，轻轻地捏了它一下.,,,,,
"S """"",S_ca8d053b,(啊...我的胸部...),,,,,
"C """"",C_740c2f7b,(你自慰的时候总是那么紧张吗?),,,,,
"S """"",S_0d4ab3e3,(混蛋!我就知道你在偷看),,,,,
"S """"",S_389f8f5d,(我告诉过你不要打扰我!),,,,,
"C """"",C_7d717598,(我不是偷窥，我是通过你自己的眼睛看的.我没有打断你，我来帮你的.),,,,,
"S """"",S_9c7a760b,(谁让你多管闲事的...),,,,,
"S """"",S_1b210d08,(就是因为你的影响，所以我才很紧张!),,,,,
"S """"",S_3be79d59,"(这个房间,这张床, 还有你...都让我分心...)",,,,,
"S """"",S_345ce048,……,,,,,
"""""",narrator_95727786,莎拉试图不去理会这个小小的干扰，又继续这个过程.,,,,,
"S """"",S_c2dac653,(嗯...我得把什么东西塞进去......),,,,,
"""""",narrator_47d29c6c,莎拉慢慢地把两根手指插入自己的身体.,,,,,
"S """"",S_34683199,(啊...嗯......感觉非常好...我的阴道，好热，好舒服),,,,,
"""""",narrator_4e12621d,莎拉把两根手指拔了出来，然后又把它们放了回去，一遍又一遍.,,,,,
"S """"",S_24842c46,啊....不起作用...,,,,,
"S """"",S_dff18b53,该死的，我是不是该想一点什么东西，来帮助我自慰..,,,,,
"S """"",S_48f453b3,嗯...我认为雷诺会帮我这个忙...,,,,,
"""""",narrator_9f8816db,莎拉闭上眼睛，想象着雷诺.,,,,,
"""""",narrator_f5c7fb39,她还记得被雷诺温柔地搂着，她现在只是想了一想，还没开始动手.,,,,,
"S """"",S_a66f9855,(嗯......你还好吗，我的大小伙子.我一直在等你.),,,,,
"S """"",S_b028b9b4,(是的，我是裸体的，我现在很想要.我知道你喜欢看到我这样.),,,,,
