location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_852771bb,"S ""Yikes! What a disgusting thing?! Gross! It even pulsates.""",,,,,
,S_5477b212,"S ""I won't come anywhere close to it.""",,,,,
,S_3c051d1e,"S ""This food ain't that bad...""",,,,,
,S_4917f72b,"S ""Hehehe!""",,,,,
,S_7e3f4d7b,"S ""It really isn't...""",,,,,
,S_925cb416,"S ""I have to eat something...""",,,,,
,S_cdd5ba4e,"S ""I'm staying away from it as far as possible!""",,,,,
,narrator_89f91884,"""I've eaten today already.""",,,,,
,S_cdd5ba4e_1,"S ""I'm staying away from it as far as possible!""",,,,,
,S_852771bb_1,"S ""Yikes! What a disgusting thing?! Gross! It even pulsates.""",,,,,
,S_5477b212_1,"S ""I won't come anywhere close to it.""",,,,,
,narrator_631162b1,"""Done""",,,,,
,narrator_7d869b9e,"""Done""",,,,,
,narrator_7abc3db7,"""Sarah caught sight of the familiar tentacles and stared at them thoughtfully.""",,,,,
,S_b78759b7,"S ""(That was only recently... brats...)""",,,,,
,S_65e7440e,"S ""Hm... I could try again. Much has happened since then. Maybe now I can even implement my plan.""",,,,,
,S_c5835510,"S ""But what's the point of it... although I could teach Stukov a lesson, just for fun.""",,,,,
,S_d059ace7,"S ""But I have this from them.""",,,,,
,S_0cf94554,"S ""Though what it's supposed to be... I still don't know...""",,,,,
,S_7318e564,"S ""Hahaha, okay, I don't have time for stupid games, i need to focus on your current tasks.""",,,,,
,S_c2ced3f0,"S ""No, never... I'm never touching them again. I trusted them with my body, and they... they only want one thing.""",,,,,
,S_87b11d2c,"S ""Traitors!""",,,,,
,S_84838904,"S ""This is the place where Stukov tied me up a few times. I don't even want to remember that...""",,,,,
,S_658e9166,"S ""I think what I've done already is enough for today.""",,,,,
,S_563714ef,"S ""I...""",,,,,
,S_fbb1f136,"S ""I'll... leave interacting with this tentacle for later... for my own safety...""",,,,,
,S_7d4bbae0,"S ""A button to call Stukov. Here everything looks bizarre. Even that button.""",,,,,
,A_427eb046,"A ""Hehehe, there she is, haha. Sarah, the lady of the tentacles.""",,,,,
,S_b32e31f6,"S ""S-shut up...""",,,,,
,A_b75dfd6d,"A ""Ahaha!""",,,,,
,A_0060f04c,"A ""Hell, something like this deserves an achievement!""",,,,,
,S_8d552cc6,"S ""What achievements, you dirty pervert?""",,,,,
,A_8089bd18,"A ""These.""",,,,,
,S_49ae82a9,"S ""!!!""",,,,,
