"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_sFnFFSZU","Sarah tried to rest, feeling the movements in her stomach finally cease. Her body ached with relaxation.","","","","",""
"S """"","S_rrAAq9nc","How good... I didn't even notice that everything was so tense.","","","","",""
"""""","narrator_BxhvroZi","The girl stretched, trying to stretch her cramped muscles. Some kind of desire began to form in her stomach, which Sarah could not define.","","","","",""
"""""","narrator_ZJkv9cS4","She chose not to pay any attention to it, savoring the moments of relaxation.","","","","",""
"S """"","S_KGa8kvVJ","Lizzara is right, I need to rest more often...","","","","",""
"""""","narrator_75iAGkBu","All the worries and running around faded into the background. No one else was telling her to go anywhere, do anything. Sarah was finally able to forget about the hated Queen of Blades and the defiler, sinking into a light doze.","","","","",""
"""""","narrator_cah5UZev","*Rumbling*","","","","",""
"S """"","S_qCGLPfBH","What is it?","","","","",""
"""""","narrator_fkT4N8Cs","Desire caught up with the girl at a huge pace even in her sleep, forcing her to jump up abruptly on the bed.","","","","",""
"S """"","S_jzpCpQG8","Such a strange feeling... It was like something kicked me!","","","","",""
"""""","narrator_mpHgbDtB","Sarah could hardly understand what it was that had pulled her out of her slumber. To the touch, her body was fine, nor were there any sharp pains or discomfort... she just wanted something.","","","","",""
"S """"","S_nwG4sRiT","Baby...","","","","",""
"""""","narrator_SRq8crZ6","The thought of a penis aroused the girl. Lubricant began to seep out from her pussy, which attracted the male with its aroma.","","","","",""
"""""","narrator_acvk6Hfu","[zergling_s_name!t] immediately came into view, sniffing furiously. The girl's eyes lit up at the sight of him.","","","","",""
"Z """"","Z_TgoqTtNQ","Skr?","","","","",""
"""""","narrator_atkC5Mmk","Sarah propped herself up on her elbows, showing off her bulging stomach. She felt more attractive than ever and wanted the sperm of a strong male in her.","","","","",""
"S """"","S_hYbzcs2s","You've always been this... attractive?","","","","",""
"""""","narrator_LpxH7DB6","The girl did not sense any confusion in her mind, her thoughts were quite sane, but something had changed.","","","","",""
"S """"","S_LSr8Qtn8","You like my new body, don't you? Is that belly sexy?","","","","",""
"Z """"","Z_bM2H8vAD","Skr-skr-skr!","","","","",""
"""""","narrator_oUbFtVSy","The Zergling did not dare to jump on the bed, but the girl noticed a strong excitement in his gait.","","","","",""
"S """"","S_mAfvrTiX","Yes... Everyone likes it! Do you want to fuck a pregnant female?","","","","",""
"""""","narrator_qKbYFxrH","Sarah moaned softly, sinking completely onto the bed. Her legs unconsciously settled on different parts of the bed, showing her leaking pussy.","","","","",""
"""""","narrator_HHraFyLS","The girl didn't even notice how excited she was herself. Hormones suddenly hit her head, awakening unbridled desires.","","","","",""
"Z """"","Z_NWkfxT3S","Skr-skr...","","","","",""
"""""","narrator_JBZBpCqr","The zerg continued to hungrily prowl at the foot of the bed, experiencing discomfort from the erect penis.","","","","",""
"S """"","S_tc4bVMEw","Oh... Why are you procrastinating? I'm so hungry... I need your seed!","","","","",""
"Z """"","Z_TTTaFCG2","Skr-skr-skr!","","","","",""
"""""","narrator_rGxg2N3n","Sarah lowered her hand to her crotch, spreading her labia with her fingers. She received incredible pleasure from this performance.","","","","",""
"S """"","S_8tbpCQPr","Would you refuse me a favor? Refuse to fill this needy vagina with your sperm?","","","","",""
"""""","narrator_BG2iBYga","The zerg's patience reached its limit, spurring him to climb onto the bed in a quick jerk. The girl trembled all over from the realization that the creature was agitated precisely because of her.","","","","",""
"Z """"","Z_ZE3kRd7n","Skri...","","","","",""
"S """"","S_XGnYroXN","Mmm... Do you feel how empty it is here without your penis? It's driving me crazy!","","","","",""
"Z """"","Z_3KXR9E4m","SKR-SKR!","","","","",""
"""""","narrator_tBCpQGut","Sarah cried out in surprise as the zergling's paws landed on her stomach. It was inconvenient for the small body to place its paws on the sides, but to a greater extent this decision was influenced by the attractive sexuality of the pregnant belly.","","","","",""
"S """"","S_55zGzxiv","Ah! Naughty! Are you all so turned on by my pregnancy? Hee-hee-hee...","","","","",""
"Z """"","Z_6jXmhzmL","Skriii!","","","","",""
"""""","narrator_dRSXH8sm","The girl unexpectedly became a little worried about the safety of the eggs, but [zergling_s_name!t] was very delicate. He only lightly touched the skin, leaning on his hind legs","","","","",""
"S """"","S_F6KnxYJV","Ohhh... Yes! Ah!","","","","",""
