"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_60a3f846","С моим телом что-то определенно не то. Я себя как-то необычно чувствую, и на меня накатывает странное чувство голода.","","","","",""
"C """"","C_27c9fa41","(Ууу, спасайтесь кто может, похотливая Сара атакует.)","","","","",""
"S """"","S_c3d9a083","Не время шутки шутить... это совсем не смешно, мне нужно разобраться с этим. И я определенно догадываюсь, чьих рук это дело...","","","","",""
"""""","narrator_11b1ac42","Только взглянув на Сару, можно было понять, что она была не в этой реальности. Ее тело будто окаменело, погрузившись в глубокий сон. Девушка полностью погрузилась в себя в поисках встречи со своим злейшим врагом, с которым делила тело.","","","","",""
"S1 """"","S1_c218a3d3","Кто к нам пожаловал... Это же моя любимая Сара решила навестить меня в этом мрачном и скучном месте. Неужели ты решила пойти на диалог?","","","","",""
"S """"","S_56c9739d","Было бы о чем с тобой говорить после всего, что ты сделала. Если бы снова не твои дурацкие игры, я бы тебя всю жизнь не видела.","","","","",""
"S1 """"","S1_aea2a576","Игры? Какие игры? Я совершенно не понимаю, о чем ты говоришь, дорогуша. Вечно ты обвиняешь меня в своих проблемах... Могу я предложить тебе чаю?","","","","",""
"S """"","S_e8b9ed9f","Может, не стоит их устраивать? Никто тогда обвинять не будет.","","","","",""
"S1 """"","S1_348d58d2","Какая ты жестокая... Упрятала меня здесь, еще и обвиняешь.","","","","",""
"S """"","S_55d18d0f","Изменение в моем теле это же твои проделки. Даже не пытайся отвертеться. Только ты заинтересована в том, чтобы испортить мне жизнь!","","","","",""
"S1 """"","S1_082207a5","Как грубо кидаться в меня такими громкими заявлениями...","","","","",""
"S """"","S_10d0f289","Я знаю, что это ты, хватит притворяться. Ты можешь попытаться обмануть кого угодно, но не меня.","","","","",""
"S1 """"","S1_e4b33ae8","А что я? Так долго пришлось ждать, когда же ты наконец заметишь мой небольшой презент...","","","","",""
"S """"","S_15ee3962","Ну как же... Никто и не сомневался, что тут не обойдется без тебя. Возбудить мое тело? Какая мелочность... Но так в твоем стиле.","","","","",""
"S1 """"","S1_72002424","Ооох, ты только это заметила? Это лишь цветочки. Самое веселье начнется тогда, когда созреют ягодки.","","","","",""
"S """"","S_18f376c8","Что и зачем ты сделала с моим телом?!","","","","",""
"S1 """"","S1_ec1e860b","Разве не интереснее, если это будет сюрприз и ты сама обо всем узнаешь, когда придет время?","","","","",""
"S """"","S_1ad398bb","Говори немедленно!","","","","",""
"S1 """"","S1_ec8caa43","С чего бы? Тебе нужно было лучше следить за мной, чтобы я не застала тебя врасплох. Неужели ты думала, что я ничего не предприму и буду покорно ждать, когда же ты решишь поглотить меня?","","","","",""
"S1 """"","S1_41783af6","Я и так ждала достаточно. Но молчание ничему тебя не учит. Где бы ты оказалась без меня? Теперь управление должен взять тот, кто сильнее и умнее. Перед собой я такого кандидата не вижу.","","","","",""
"S """"","S_c1d21133","Мы еще посмотрим, кто сильнее и умнее. Даже в такой ситуации я вышла победителем. Твое поглощение состоится уже очень скоро. Радуйся тому времени, когда я забыла о тебе и ты могла существовать.","","","","",""
"S """"","S_51a4938a","И для тебя же лучше, если так все и продолжится.","","","","",""
"S1 """"","S1_c25b03c1","Угрожаешь мне? Мы еще посмотрим, как у тебя все получится. Может быть, я сжалюсь и оставлю тебе здесь.","","","","",""
"S """"","S_3d0192d5","Я и не надеялась, что ты будешь благоразумной.","","","","",""
"S1 """"","S1_ef47ec3c","Кто из нас не благоразумный? Я старалась ради нашего величия, но ты все испортила. В этот раз все будет иначе, так что ничего у тебя не выйдет.","","","","",""
"S1 """"","S1_8580942a","Тебе придется послушать меня или унижаться, дорогуша. Я знаю, как сильно это заденет твою гордость. Какая досада, что тебе придется забыть о ней.","","","","",""
"S """"","S_97a035ce","Ты говоришь только о своем величии. Не приплетай меня в это! Тем более после того, что ты там задумала.","","","","",""
