"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_1c5156ce","转了几个弯之后,莎拉和斯托克夫进入另一个房间.","","","","",""
"""""","narrator_7573b67f","莎拉迅速环顾四周:几乎没有什么,只有一个大物体在中间......她对这种气味特别熟悉.","","","","",""
"A """"","A_904bf4f3","怎么样, 这个地方你还满意吗?","","","","",""
"""""","narrator_23cdb4f6","莎拉很困惑, 看了一会儿这个'物体'还是不明白它是干什么的.","","","","",""
"""""","narrator_c462cf40","它看起来像一个游泳池,但在一些地方有巨大的刺儿和绿色的水.它看起来好像是活着的.","","","","",""
"S """"","S_d44b29f1","这是什么?","","","","",""
"A """"","A_a00a2196","女王陛下决定让你放松一下.当然,你也要清洗一下自己的身体.","","","","",""
"""""","narrator_6849b9e2","莎拉的脸红了.","","","","",""
"S """"","S_8125eec1","你要我现在,在里面洗澡?!","","","","",""
"A """"","A_a245bd6d","是的.你上次洗澡是什么时候?你有点臭.啊哈哈哈.","","","","",""
"""""","narrator_fba652e5","萨拉记得她确实有一阵子没洗了.然而,她回答:","","","","",""
"S """"","S_d5366252","你不能给我找到一个普通浴缸吗?我想用干净的水!","","","","",""
"A """"","A_39ffc683","哈哈. 这里只有这个. *抛了一个媚眼*","","","","",""
"S """"","S_9d3612ac","(滚开.. 你是个肮脏的变态......)","","","","",""
"A """"","A_87fb7c9a","这个绿色而天然的浴缸到底哪里不好了?","","","","",""
"S """"","S_92a0f31e","它的气味真让人恶心! 而且感觉它一直在动!","","","","",""
"A """"","A_c6d30421","当然它在移动! 因为他本来就是活物!","","","","",""
"S """"","S_0162e272","它里面的液体是什么? 是水吗?","","","","",""
"A """"","A_51330aa7","亲爱的,你忘记了自己的位置吗? 这里没有纯净水. 甚至不要询问洗发水或香液或类似的东西. 你不需要那个. 这种有机物质可以代替这一切帮助你.","","","","",""
"S """"","S_95b19d9f","(哎呀，疼...)","","","","",""
"A """"","A_d5e773e5","随便你洗不洗,但是你知道你现在闻起来像个刺蛇吗?啊哈哈哈.","","","","",""
"S """"","S_8bb219d2","(我身上有臭味吗?)","","","","",""
"S """"","S_82ed658b","……","","","","",""
"""""","narrator_ef4c80eb","莎拉尽量小心翼翼地嗅着她的腋窝...","","","","",""
"S """"","S_fa6b3eda","(我的天,有什么味道......我甚至不记得我最后一次洗澡是什么时候......但是如果仅仅是洗个澡,也没什么问题...)","","","","",""
"S """"","S_82ed658b_1","……","","","","",""
"S """"","S_95ad68f8","好吧,但你必须离开. 我不希望你看见我洗澡.","","","","",""
"A """"","A_e9f9b19c","我们就像熟悉的陌生人一样,用得着对我害羞吗? 我想帮你擦洗你的背部.","","","","",""
"S """"","S_ea7d6524","！！！","","","","",""
"S """"","S_25145346","你疯了吗？","","","","",""
"S """"","S_4dea2d6e","不行!","","","","",""
"A """"","A_707c9b31","好吧,不管你说什么. 当你洗澡完成后,按下此按钮,我就会立即出现在这里. *又抛了个恶心的媚眼*","","","","",""
"""""","narrator_8a6fcf0f","斯托克夫离开了.","","","","",""
"""""","narrator_5e9af356","莎拉慢慢地脱掉衣服,然后把她的腿伸进去试探了一下.","","","","",""
"S """"","S_2125e5fc","呸! 不,不,我简直不能忍受!","","","","",""
"S """"","S_b1287562","(天哪,真恶心了!)","","","","",""
"""""","narrator_9285554f","莎拉迅速将她的腿从泳池中移开.","","","","",""
"C """"","C_b029309c","(我还以为你不会半途而废呢...)","","","","",""
"S """"","S_9c685f69","差点把你忘了...","","","","",""
"C """"","C_0c3624b0","(我不理解你的犹豫.这只是个洗澡间.但是,不管怎样,决定权在你手中,你现在也可以马上离开,但是我认为也人族应该爱卫生才对,是这样吧?)","","","","",""
"S """"","S_82ed658b_2","……","","","","",""
"S """"","S_7db5c808","当然爱卫生呢!!!","","","","",""
"S """"","S_66f72caa","'塞蒙,这个并不危险,对吗?'我总觉得里面有东西......","","","","",""
"C """"","C_2968690f","(相信我,如果女王想伤害你,她早就可以这么做了.这种物质是完全无害的.)","","","","",""
"S """"","S_82ed658b_3","……","","","","",""
"S """"","S_0005a8c9","那,我再试一次...","","","","",""
"""""","narrator_442e5e91","莎拉小心翼翼地把她的一只腿放进浴缸里,然后是另一只腿.","","","","",""
"""""","narrator_075f4d07","液体是热的,没有引起任何不适.但尽管如此,莎拉还是无法让自己放松下来.","","","","",""
"C """"","C_fd8e3299","(躺下,没什么好担心的.)","","","","",""
"S """"","S_85cc35ae","你说起来容易,我可是人族呀...","","","","",""
"S """"","S_1d4076fa","(唷......我慢慢来......我先习惯一下...)","","","","",""
"""""","narrator_4640a453","过了一段时间,萨拉躺在'浴缸'里,于是她闭上了眼睛.","","","","",""
"S """"","S_4ed0ab61","(这还不错.这种液体摸起来像水,只是密度大了一点.它是温暖和舒服的,但这个气味......我就是不能习惯它.)","","","","",""
"""""","narrator_b169a6c6","萨拉在那个怪东西里面躺了一会儿...","","","","",""
"S """"","S_855ac67d","呃呃,接下来是什么?我只是躺在这里吗?","","","","",""
"C """"","C_85083a92","(是的,没错.你不需要做任何事情,这种液体会把你清洗干净.)","","","","",""
"""""","narrator_1a447cb0","池水微微颤动,使得液体轻轻移动,让莎拉感觉自己并不孤单.","","","","",""
"""""","narrator_ad1be3e4","不久之后。","","","","",""
"""""","narrator_16d741bb","莎拉很快站了起来.","","","","",""
"S """"","S_a4ec58fb","我觉得我现在已经够干净了.","","","","",""
"C """"","C_4b72c691","(你,人类,很奇怪......当你在洗澡时,你的多巴胺水平不断上升,你喜欢这个......)","","","","",""
"S """"","S_d867e36b","我不想浪费更多的时间在这里.","","","","",""
"S """"","S_82ed658b_4","……","","","","",""
