"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_6d409d59","塞蒙你会支持我吗？","","","","",""
"C """"","C_cb67bfa9","(当然，因为我们是一体的。)","","","","",""
"S """"","S_43b0c2c5","你怎么知道？","","","","",""
"C """"","C_06a95de9","我是想让你做出最正确的选择，毕竟你们人类总是让人操心的生物。","","","","",""
"S """"","S_6237c055","我之前一直按照你的方法，但是到目前位置我依然一无所获。","","","","",""
"C """"","C_2d94fd89","(我记得我认识的莎拉不是从不放弃的那种人吗？相信我，我是不会害你的。)","","","","",""
"S """"","S_b7ea4226","好吧！我都听你的，那我们下一步该干什么呢？","","","","",""
"C """"","C_7c658f78","(我简单为你介绍一下，第一阶段对你来说应该很简单，而且大部分时间都是收集信息。 )","","","","",""
"C """"","C_450cde06","(现在，再试着跟蜂群做一下链接。)","","","","",""
"S """"","S_65fe8ded","好吧！我准备好了，我希望这次不会重蹈覆辙了......","","","","",""
"C """"","C_6a4f113a","(不会担心，大胆的去做吧！。)","","","","",""
"C """"","C_31e364e5","(至少你以前成功过，你要吸取以前的经验。)","","","","",""
"S """"","S_297dbe80","听起来不难，我要开始尝试了。","","","","",""
"C """"","C_b1950e5c","(我很幸运你知道如何运用灵能。如果非要我教你这些，我肯定会累死的......)","","","","",""
"S """"","S_842305d7","(让我冷静一下。)","","","","",""
"C """"","C_33ae2e3d","(好吧！那么我们一会儿见。)","","","","",""
"S """"","S_e28e4bb0","","","","","",""
"C """"","C_2bce80e2","(是不是又忘记步凑了呢？现在选择你想联系的人。因为现在你被限制在你以前见过的生物中。但随着时间的推移，这个名单的人数还会增加。)","","","","",""
"S """"","S_a2d84fda","(塞蒙，我已经进行裸体训练三天了......但是我并没有取得什么实质性的进展。)","","","","",""
"C """"","C_91032714","(来来试试吧！你看看你的心灵感知能量，得到提高了吗？)","","","","",""
"S """"","S_e027bab7","(我觉得我还是和以前一样，所以，你耍了我对吧？)","","","","",""
"C """"","C_631a967d","(稍安勿躁，你难道没读过这本书吗？书名是 '如何在21天内学会和虫族和睦相处'！)","","","","",""
"S """"","S_382188bb","(Haha, enough of that. I'm not questioning your methods! Just slightly doubting them. You've had time to think about our next step?)","","","","",""
"C """"","C_9c217513","(呵呵，你说呢？)","","","","",""
"C """"","C_2cb51ab2","(看着你试图控制你的新力量状态，我得出了一个结论。也许问题在于你不能忽视所有的外部刺激，而只专注于你的精神命令。)","","","","",""
"C """"","C_a7cc3745","(每秒数百万的神经末梢会向你的大脑发送信号。 尽管人类的意识在大多数时候都是简单地忽略了它们，但所有这些信息仍在被大脑处理，所以，你根本没办法真正静下来。)","","","","",""
"S """"","S_f74a49f6","(那么，你有什么好的建议吗？)","","","","",""
"C """"","C_aa32d2ec","(这主要得靠你自己，我不可能永远帮你代劳所有事。)","","","","",""
"C """"","C_47caf2c8","(不过，也许我们可以尝试利用所有这些触觉的感受来帮助我们完成任务！)","","","","",""
"C """"","C_7c04b044","(例如，通过同时刺激它们来帮助你进入想要的状态。)","","","","",""
