location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_d3f95652,"Тело и разум Королевы Клинков были очень слабы после всех пережитых испытаний. Ее посещали мысли только о получении пищи, даже если бы ее пришлось добывать самым аморальным способом.",narrator_d3f95652,,,,
"""""",narrator_ae048b32,"Девушка блуждала по кораблю, не имея определенных ориентиров. В ее голове, как мантра, звучал призыв поесть, раздражая и без того пустой желудок.",narrator_ae048b32,,,,
"S1 """"",S1_60717a36,Есть...{w} Я так хочу есть...,S1_60717a36,,,,
"S1 """"",S1_e50de630,Почему здесь нет никого...{w} мне нужно подкрепиться...{w} чем бы я могла подкрепиться?,S1_e50de630,,,,
"S1 """"",S1_b78b80be,Или это и есть естественный отбор?,S1_b78b80be,,,,
"""""",narrator_6db3aa5e,"Королева Клинков старалась прислушиваться к окружению, чтобы понимать, в каком направлении двигаться. Она хотела воспользоваться пси-силой и найти путь, по которому ей следовало бы двигаться, но постоянные мысли о голоде не давали сконцентрироваться.",narrator_6db3aa5e,,,,
"S1 """"",S1_f2ff3343,"Арг... Почему тут столько коридоров? Сколько еще я должна пройти, чтобы найти хоть что-то?",S1_f2ff3343,,,,
"S1 """"",S1_cf73dfd3,От этих пеших прогулок голод и слабость только усиливаются! И почему всплеск энергии после пробуждения так быстро исчез?.. Чувствовать себя слабой так отвратительно.,S1_cf73dfd3,,,,
"""""",narrator_75d0f280,"Королева Клинков продолжала попытки найти кого-то с помощью пси-силы, только больше утомляя себя. Это ее сильно раздражало, но это раздражение и заставляло девушки уперто искать дальше.",narrator_75d0f280,,,,
"S1 """"",S1_5d66ded9,(Я... Чувствую кого-то. Чье-то отчетливое присутствие всего через пару поворотов. Неужели нашлось что-то полезное?),S1_5d66ded9,,,,
"""""",narrator_3e7fb2c3,"Девушка шла дальше по коридорам, ориентируясь на ощущение другого существа в своем окружении.",narrator_3e7fb2c3,,,,
"A """"",A_07521d66,"Стоит в ближайшее время навестить Сару и узнать, связан ли всплеск пси-силы с ее превращением...",A_07521d66,,,,
"S1 """"",S1_02db2c97,(Где же ты? Не заставляй меня охотиться на тебя слишком долго. Я уже успела достаточно нагулять аппетит.),S1_02db2c97,,,,
"""""",narrator_a34132a9,"Вдалеке раздавались шаги, привлекшие к себе внимание девушки. ",narrator_a34132a9,,,,
"S1 """"",S1_7bd67ef3,Наконец-то...,S1_7bd67ef3,,,,
"""""",narrator_02b10dbe,Ощущение добычи совсем близко заставило Королеву Клинков взбодриться и быстрее двигаться к своей жертве.,narrator_02b10dbe,,,,
"A """"",A_aba1a009,"Нужно поторопиться, нельзя пропустить такой момент.",A_aba1a009,,,,
"""""",narrator_8eac53b3,"Девушка искала того, кто разговаривал сам с собой. Королева Клинков не совсем понимала, о чем идет речь и кто ведет этот разговор, но она точно знала, что он ей поможет утолить голод.",narrator_8eac53b3,,,,
"S1 """"",S1_19776c6c,Попался...,S1_19776c6c,,,,
"""""",narrator_3eb621a5,"Королева Клинков приготовилась к поимке добычи, сосредоточив все свои силы на скорости движения. Стуков не успел заметить, как девушка за мгновение оказалась вплотную к нему.",narrator_3eb621a5,,,,
"A """"",A_a3c0b1f9,Что за...,A_a3c0b1f9,,,,
"A """"",A_6c772a6d,Воу...,A_6c772a6d,,,,
"""""",narrator_cb958f37,"Девушка была слегка разочарована тем, что ей попался мутированный терран, но желание утолить голод заставляло брать то, что дают.",narrator_cb958f37,,,,
"""""",narrator_1c27ed18,"Королева Клинков стала принюхиваться к мужчине, ощущая странный запах.",narrator_1c27ed18,,,,
"S1 """"",S1_702937cc,"(Пахнет... Как будто кто-то умер. И достаточно давно. Но не так чтобы сильно, поэтому он может быть съедобным.)",S1_702937cc,,,,
"S1 """"",S1_25a40303,"(Могло быть и хуже. Посмотрим, что с его помощью можно будет получить.)",S1_25a40303,,,,
"""""",narrator_be5cbe08,Королева клинков ухмыльнулась и ловко язычком облизала губы своей жертвы.,narrator_be5cbe08,,,,
"S1 """"",S1_6e9e9bcd,(Обычно я так быстро не приступаю к самому главному... но сейчас у меня нет сил...),S1_6e9e9bcd,,,,
"A """"",A_c61cc45d,Ты уже выбралась?,A_c61cc45d,,,,
"S1 """"",S1_2610e968,"Я? Зачем задавать такие странные вопросы? Если я стою перед тобой – значит, выбралась.",S1_2610e968,,,,
"""""",narrator_f3981c6b,"Стуков с интересом осматривал новое тело, по его мнению, Сары. Но он четко мог заметить, что она немного не в себе. Ее выдавал помутненный взгляд, которым она хищно осматривала мужчину.",narrator_f3981c6b,,,,
"A """"",A_ff8cec84,"Не ожидал увидеть тебя в таком виде, хе-хе. Видимо, эксперименты пошли тебе на пользу.",A_ff8cec84,,,,
"S1 """"",S1_27f8e871,Не слишком ли много любопытства с твоей стороны?,S1_27f8e871,,,,
"""""",narrator_46bd7813,Девушка еще сильнее прижала свою жертву к стене.,narrator_46bd7813,,,,
"A """"",A_4469c79e,"Обычно у нас разговор клеился лучше, чем сейчас.",A_4469c79e,,,,
"S1 """"",S1_29aa3374,"Заткнись уже, меня интересуют не твои пустые разговоры.",S1_29aa3374,,,,
"""""",narrator_8f67e971,"Королева Клинков действовала быстро и расчетливо, впечатывая Стукова в стену. От неожиданности он даже не успел увернуться, оказываясь прижатым вплотную.",narrator_8f67e971,,,,
"A """"",A_a94ccbd5,А что тебя интересует? Месть мне за все тренировки? Мы можем договориться.,A_a94ccbd5,,,,
"S1 """"",S1_3fd80943,Пф... Да кому ты нужен.,S1_3fd80943,,,,
"""""",narrator_306b1cbe,"Девушка, не теряя времени, пристроилась к нему ближе, опускаясь на уровень члена. Королева Клинков готова была рвать одежду на Стукове, лишь бы быстрее добраться до своей цели.",narrator_306b1cbe,,,,
"A """"",A_51e3149f,"Я не знаю, что на тебя нашло, но это выглядит весьма занимательно. Хотя если тебе так надо было, то ты могла бы и попросить. Я бы тебе не отказал в подобном.",A_51e3149f,,,,
"S1 """"",S1_77dd6dd3,"Как будто ты достоин того, чтобы тебя о чем-то просили. Я не прошу – я получаю то, что хочу.",S1_77dd6dd3,,,,
"""""",narrator_f6a4c240,"Стуков с трудом выдерживал напор Королевы Клинков, которая не позволяла ему ни на миллиметр сдвинуться с места. Когда девушке наконец удалось высвободить член Стукова, она незамедлительно взяла его в рот.",narrator_f6a4c240,,,,
"A """"",A_f6ab6aae,"Ха, если бы ты каждый раз с таким энтузиазмом подходила к нашим тренировкам, то цены бы тебе не было!",A_f6ab6aae,,,,
"S """"",S_7b47355d,"(Сейчас твой член находится в опасной близости к моим зубам. Держи язык за зубами, если не хочешь расстаться со своим достоинством!)",S_7b47355d,,,,
"""""",narrator_a074bf89,"Стуков принял решение временно притихнуть, заметив решительность в глазах Королевы Клинков. Он не был готов лишиться члена, особенно ради какой-то шутки.",narrator_a074bf89,,,,
"""""",narrator_47fabc59,"Королева Клинков относилась к Стукову, как к обычному способу приема пищи, не обращая на него самого никакого внимания. Вся ее концентрация была на члене, который закономерно начинал твердеть в ее рту.",narrator_47fabc59,,,,
"S1 """"",S1_7a174770,"(А член хорош... Ради него можно и потерпеть его бесконечную болтовню. Но только иногда, пока не наскучит.)",S1_7a174770,,,,
"""""",narrator_4722569c,"Королева Клинков не сдерживала себя, позволяя одной руке потянуться к киске, пока вторая надрачивала Стукову.",narrator_4722569c,,,,
"S1 """"",S1_bbc81547,*Лизь* *Фап* *Лизь*,S1_bbc81547,,,,
"S1 """"",S1_aefe8d73,"(Разрядка отлично дополнит эту трапезу, хах.)",S1_aefe8d73,,,,
"""""",narrator_f7b9f58b,Во рту девушки становилось очень мокро из-за обилия слюны. Королева Клинков с большим аппетитом заглатывала член Стукова глубже и полностью контролировала ситуацию.,narrator_f7b9f58b,,,,
"S1 """"",S1_38323fcc,Ах~ *Лизь* *Чмок*,S1_38323fcc,,,,
"""""",narrator_2479b41a,"Королева Клинков не выпускала член из рта даже тогда, когда слюны и смазки становилось слишком много. Она продолжала сосать, пытаясь проглотить скопившуюся жидкостью.",narrator_2479b41a,,,,
"A """"",A_e73bb221,"Не ожидал, что ты так сильно можешь соскучишься по моему члену. Наверное, нужно было делать небольшие перерывы между нашими встречами, чтобы ты успевала накопить в себе желание.",A_e73bb221,,,,
"S1 """"",S1_a3d12671,*Сюрп* Мммм...,S1_a3d12671,,,,
"S1 """"",S1_247ba990,"(Не испытывай мое терпение, иначе сам начнешь скучать по своему члену и ждать моего разрешения, чтобы повидаться с ним!)",S1_247ba990,,,,
"A """"",A_461ad265,"Если ты его откусишь, то не сможешь получить мою сперму. Я раскусил, что ты голодна, поэтому не навредишь мне.",A_461ad265,,,,
"S1 """"",S1_d6744d98,"(Ха-ха, а кто сказал, что я откушу его сейчас?)",S1_d6744d98,,,,
"""""",narrator_86310719,"Девушку переполняло игривое настроение. Даже голод временно отошел на второй план, позволяя ей немного развлечься.",narrator_86310719,,,,
"S1 """"",S1_d58bfb7e,*Сюрп* *Лизь*,S1_d58bfb7e,,,,
"A """"",A_42532e44,Обычно в это время ты уже пускала в ход свой язычок...,A_42532e44,,,,
"S1 """"",S1_0a9866ab,"(И ты решил, что я собираюсь ублажать тебя? Забудь. Твою сперму можно добыть и без использования языка.)",S1_0a9866ab,,,,
"A """"",A_cc8af4f7,Но так порция была бы больше.,A_cc8af4f7,,,,
"S1 """"",S1_d13ee823,"(А ты был бы доволен, что я выполнила твое желание. Перебьешься.)",S1_d13ee823,,,,
"""""",narrator_547e8272,"Королева Клинков была переполнена желанием получить так необходимую сперму, но из-за этого желания она и сама перевозбудилась, лаская себя рукой.",narrator_547e8272,,,,
"A """"",A_f7637353,Ммм..,A_f7637353,,,,
"S1 """"",S1_eeb84448,"(Черт... Теперь трудно понять, кому кончить важнее. Я все еще голодна, но мое тело такое возбужденное.)",S1_eeb84448,,,,
"S1 """"",S1_73dcc955,"(Но если мы кончим вместе... Хм, это было бы прекрасным дополнением.)",S1_73dcc955,,,,
"S1 """"",S1_82a78597,*Сюрп* *Хлюп*,S1_82a78597,,,,
"""""",narrator_49653395,Королева Клинков наслаждалась движением члена в ее рту и руки на своем клиторе. Но она все еще не позволяла члену Стукова продвинуться дальше.,narrator_49653395,,,,
"A """"",A_930863c6,Ха... Почему ты так медлишь?,A_930863c6,,,,
"S1 """"",S1_77e85b96,"(Обламываю тебе все удовольствие, а что, не заметно?)",S1_77e85b96,,,,
"""""",narrator_ddc10ba8,"Девушка плотнее сжимала губы вокруг члена, делая хлюпающие звуки только громче. Реакция Стукова на это произошла незамедлительно. Член стал заметно твердеть, требуя больше ласки.",narrator_ddc10ba8,,,,
"A """"",A_71c2c462,Черт... Да.,A_71c2c462,,,,
"S1 """"",S1_bad11c34,(Тебе бы стоило поторопиться. У меня нет желания доить тебя здесь вечно.),S1_bad11c34,,,,
"A """"",A_5f615b74,Разве ты смогла бы отказаться от такого члена когда-либо?,A_5f615b74,,,,
"S1 """"",S1_5b02daca,Ммг... *Хлюп*,S1_5b02daca,,,,
"S1 """"",S1_1afa666e,(Я бы воспользовалась им далеко не только для еды. Возможно и не только им. Твой болтливый рот прекрасно было бы занять тоже.),S1_1afa666e,,,,
"""""",narrator_6ea6f665,"Стуков сделал попытку двинуться сам, скользя членом еще глубже и заставляя Королеву Клинков громко стонать.",narrator_6ea6f665,,,,
"S1 """"",S1_6b9cee10,(Наглеешь...),S1_6b9cee10,,,,
"""""",narrator_f9cb320a,"Королева Клинков опасно близко водила зубами возле члена Стукова, заставляя его напрячься.",narrator_f9cb320a,,,,
"S1 """"",S1_bf3aff51,*Хлюп* *Сюрп*,S1_bf3aff51,,,,
