location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_sFnFFSZU,"Сара пыталась отдохнуть, почувствовав прекращение движения в своем животе. Тело расслабленно заныло.",narrator_sFnFFSZU,,,,
"S """"",S_rrAAq9nc,"Как хорошо... Я и не замечала, что все было такое напряженное.",S_rrAAq9nc,,,,
"""""",narrator_BxhvroZi,"Девушка потянулась, стараясь размять затекшие мышцы. В животе начало зарождаться какое-то желание, которое Сара не могла определить.",narrator_BxhvroZi,,,,
"""""",narrator_ZJkv9cS4,"Она предпочла не обращать на это никакого внимания, смакуя минуты расслабления.",narrator_ZJkv9cS4,,,,
"S """"",S_KGa8kvVJ,"Лиззара права, мне нужно чаще отдыхать...",S_KGa8kvVJ,,,,
"""""",narrator_75iAGkBu,"Все переживания и беготня отошли на второй план. Больше никто никуда не подгонял. Сара наконец смогла забыть о ненавистной Королеве Клинков и осквернителе, погружаясь в легкую дрему.",narrator_75iAGkBu,,,,
"""""",narrator_cah5UZev,*Урчание*,narrator_cah5UZev,,,,
"S """"",S_qCGLPfBH,Что это?,S_qCGLPfBH,,,,
"""""",narrator_fkT4N8Cs,"Желание огромными темпами нагоняло девушку даже во сне, заставляя резко вскочить на кровати.",narrator_fkT4N8Cs,,,,
"S """"",S_jzpCpQG8,Такие странные ощущения... Меня как будто что-то пнуло!,S_jzpCpQG8,,,,
"""""",narrator_mpHgbDtB,"Сара с трудом понимала, что именно ее вырвало из дремы. На ощупь тело было в порядке, никаких резких болей и дискомфорта... Просто хотелось чего-то.",narrator_mpHgbDtB,,,,
"S """"",S_nwG4sRiT,Малыш...,S_nwG4sRiT,,,,
"""""",narrator_SRq8crZ6,"Мысль о члене возбудила девушку. Из ее киски начала выделяться смазка, которая привлекла самца своим ароматом.",narrator_SRq8crZ6,,,,
"""""",narrator_acvk6Hfu,"[zergling_s_name!t] немедленно появился в поле зрения, яростно принюхиваясь. Глаза девушки загорелись при его виде.",narrator_acvk6Hfu,,,,
"Z """"",Z_TgoqTtNQ,Скр?,Z_TgoqTtNQ,,,,
"""""",narrator_atkC5Mmk,"Сара приподнялась на локтях, демонстрируя свой выпирающий живот. Она чувствовала себя как никогда привлекательно и хотела в себе сперму сильного самца.",narrator_atkC5Mmk,,,,
"S """"",S_hYbzcs2s,Ты всегда был такой... привлекательный?,S_hYbzcs2s,,,,
"""""",narrator_LpxH7DB6,"Девушка не видела никакого помутнения в своем рассудке, мысли были вполне здравыми, но что-то переменилось.",narrator_LpxH7DB6,,,,
