"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","""Вы уверены, что хотите выйти в главное меню?\n Весь несохраненный прогресс будет утерян.""","","","","","",""
"""""","""Вы уверены, что хотите выйти?""","","","","","",""
"""""","""Загрузка приведет к потере текущего прогресса.\n Вы уверены, что хотите это сделать?""","","","","","",""
"""""","""Уловки""","","","","","",""
"""""","""никогда""","","","","","",""
"""""","""не бывают""","","","","","",""
"""""","""честными""","","","","","",""
"""""","""хе-хе""","","","","","",""
"""""","""поддайся""","","","","","",""
"""""","""не сопротивляйся""","","","","","",""
"""""","""сдайся""","","","","","",""
"""""","""не борись""","","","","","",""
"""""","""не бойся""","","","","","",""
"""""","""бесполезно""","","","","","",""
"""""","""Посмотреть на лицо""","","","","","",""
"""""","""Посмотреть на грудь""","","","","","",""
"""""","""Посмотреть на вагину""","","","","","",""
"""""","""Использовать""","","","","","",""
"""""","""Осмотреть (cooming soon)""","","","","","",""
"""""","""Заглянуть""","Guarda dentro","","","","",""
"""""","""Попробовать пролезть""","Prova ad arrampicarti","","","","",""
"""""","""Ударить посильнее""","Colpisci più forte","","","","",""
"""""","""Взаимодействия (частично доступы)""","Interazioni (parzialmente disponibili)","","","","",""
"""""","""Поиграться (не доступно)""","Gioca (non disponibile)","","","","",""
"""""","""Погладить (не доступно)""","Animale domestico (non disponibile)","","","","",""
"""""","""Удовлетворить потребности""","Soddisfare ha bisogno","","","","",""
"""""","""Наладить связь (не доступно)""","Stabilire comunicazioni (non disponibili)","","","","",""
"""""","""Искупать""","","","","","",""
"""""","""Дней в плену:""","Giorni in cattività:","","","","",""
"""""","""Сколько раз показывала тело Стукову:""","I tempi hanno mostrato il suo corpo a Stukov:","","","","",""
"""""","""Сколько раз была облапана Стуковым:""","Times Stukov ha toccato il suo corpo:","","","","",""
"""""","""Сколько раз была материалом для дрочки:""","Times era stato usato come materiale fap:","","","","",""
"""""","""Сколько проглочено спермы:""","Lo sperma inghiottito:","","","","",""
"""""","""Сколько проглочено 'еды':""","Cibo ingerito:","","","","",""
"""""","""Сколько раз кончила, из них:""","I tempi sono arrivati:","","","","",""
"""""","""Орально:""","Da orale:","","","","",""
"""""","""Клиторально:""","Da clitoride:","","","","",""
"""""","""Вагинально:""","Dal vaginale:","","","","",""
"""""","""Анально:""","Da anale:","","","","",""
"""""","""Сколько раз тренировалась, из них:""","Corsi di formazione:","","","","",""
"""""","""Тренировок пси-способностей:""","Psi-corsi di formazione:","","","","",""
"""""","""Тренировок физических:""","Allenamenti fisici:","","","","",""
"""""","""Отношения со Стуковым:""","Relazione con Stukov:","","","","",""
"""""","""Отношения с Сай'моном:""","Relazione con Sai'mon:","","","","",""
"""""","""Pulling Sarah's hair - more speed""","","","","","",""
"""""","""Drowns Sarah - more deep""","","","","","",""
"""""","""Returns Sarah to a neutral position""","","","","","",""
"""""","""Cancels Sarah\""s handjob""","","","","","",""
"""""","""Help""","","","","","",""
"""""","""Hide interface""","","","","","",""
"""""","""Как только шкала эякуляции заполнится - Стуков сможет кончить.""","","","","","",""
"""""","""Чем выше темп и глубина, тем быстрее заполнится шкала эякуляции.""","","","","","",""
"""""","""Подними Сару за волосы, чтобы повысить темп. Осторожно - глубина начнет падать.""","","","","","",""
"""""","""Окуни Сару в воду, чтобы повысить глубину. Осторожно - темп начнет падать.""","","","","","",""
"""""","""Отпусти Сару, чтобы заморозить темп. Если она не сможет держаться - она будет тонуть!""","","","","","",""
"""""","""Если темп выше половины, то глубина начнет падать.""","","","","","",""
"""""","""Если темп ниже половины, то глубина продолжит расти.""","","","","","",""
"""""","""Шлепни Сару по заднице, если она будет вести себя неожиданно!""","","","","","",""
"""""","""Каждое последующее окончание будет тяжелее! Ты всегда можешь вызвать подсказку снова, нажав на знак вопроса.""","","","","","",""
"""""","""X""","","","","","",""
"""""","""Внимание!\n Данная игра предназначена для лиц, достигших 18 лет.\n Вам есть 18?""","","","","","",""
"""""","""Точно?""","","","","","",""
"""""","""Вы действительно уверены?""","","","","","",""
"""""","""{size=+3}Хотите вернуться к контрольной точке?{/size}""","","","","","",""
"""""","""Pause""","","","","","",""
"""""","""Костюм призрака""","Vestito da fantasma","","","","",""
"""""","""Обычное белье""","Biancheria intima comune","","","","",""
"""""","""Развратное белье""","Biancheria intima sexy","","","","",""
"""""","""Постер""","Manifesto","","","","",""
"""""","""Ящик""","Gabbia","","","","",""
"""""","""Тентакль""","Tentacolo","","","","",""
"""""","""Белье Амазонки""","Lingerie meravigliosa","","","","",""
"""""","""Артефакт Протоссов""","Artefatti Protoss","","","","",""
"""""","""Спортивный костюм""","","","","","",""
"""""","""Эротический журнал""","","","","","",""
"""""","""Артур""","","","","","",""
"""""","""Керриган""","","","","","",""
"""""","""Sarah Kerrigan""","","","","","",""
"""""","""Стуков""","","","","","",""
"""""","""СТУКУС""","","","","","",""
"""""","""Абатур""","","","","","",""
"""""","""Сай'мон""","Sa`mon","","","","",""
"""""","""Владычица""","Regina","","","","",""
"""""","""Zerg 1""","","","","","",""
"""""","""Zerg 2""","","","","","",""
"""""","""Zerg 3""","","","","","",""
"""""","""Zerg 4""","","","","","",""
"""""","""Зерг 5""","","","","","",""
"""""","""Надзиратель""","","","","","",""
"""""","""Зерглинг""","","","","","",""
"""""","""Мужской голос""","Voce maschile","","","","",""
"""""","""Женский голос""","Voce femminile","","","","",""
"""""","""[lizzara_name!t]""","","","","","",""
"""""","""[akarun_name!t]""","","","","","",""
"""""","""[drone_name!t]""","","","","","",""
"""""","""[mutalisk_name!t]""","","","","","",""
"""""","""[ultralisk_name!t]""","","","","","",""
"""""","""[defiler_name!t]""","","","","","",""
"""""","""[hydralisk_name!t]""","","","","","",""
"""""","""[guardian_name!t]""","","","","","",""
"""""","""[zergling_name!t]""","","","","","",""
"""""","""Зерг 1""","","","","","",""
"""""","""Зерг 2""","","","","","",""
"""""","""Зерг 3""","","","","","",""
"""""","""Зерг 4""","","","","","",""
"""""","""???""","","","","","",""
"""""","""Русский""","Russian","","","","",""
"""""","""English""","","","","","",""
"""""","""Italiana""","","","","","",""
"""""","""漢語""","","","","","",""
"""""","""Choose your preferred language.""","","","","","",""
"""""","""Да""","","","","","",""
"""""","""Нет""","","","","","",""
"""""","""Использовать цензуру для 18+ контента?""","","","","","",""
"""""","""Вы сможете изменить свой выбор позже, через меню настроек.""","","","","","",""
"""""","""Использовать продвинутые анимации?""","","","","","",""
"""""","""Очистить""","","","","","",""
"""""","""Пропустить""","","","","","",""
"""""","""Если вы начинали играть раннее, то необходимо очистить постоянные данные""","","","","","",""
